"索引"	"等级"	"星级"	"下一星级"	"总经验"	"物品给予经验"	"消耗物品"	"消耗物品数量"	"10次升级暴击概率"	"加成属性_1"	"加成属性_2"	"加成属性_3"	"加成属性_4"	"加成属性_5"	
"164"	"17"	"3"	"4"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1696"	"9,0,1696"	"10,0,1076"	"11,0,1076"	"6,0,41200"	
"165"	"17"	"4"	"5"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1710"	"9,0,1710"	"10,0,1085"	"11,0,1085"	"6,0,41500"	
"166"	"17"	"5"	"6"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1724"	"9,0,1724"	"10,0,1094"	"11,0,1094"	"6,0,41800"	
"167"	"17"	"6"	"7"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1738"	"9,0,1738"	"10,0,1103"	"11,0,1103"	"6,0,42100"	
"168"	"17"	"7"	"8"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1752"	"9,0,1752"	"10,0,1112"	"11,0,1112"	"6,0,42400"	
"169"	"17"	"8"	"9"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1766"	"9,0,1766"	"10,0,1121"	"11,0,1121"	"6,0,42700"	
"170"	"17"	"9"	"-1"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1780"	"9,0,1780"	"10,0,1130"	"11,0,1130"	"6,0,43000"	
"171"	"18"	"0"	"1"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1794"	"9,0,1794"	"10,0,1139"	"11,0,1139"	"6,0,43300"	
"172"	"18"	"1"	"2"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1808"	"9,0,1808"	"10,0,1148"	"11,0,1148"	"6,0,43600"	
"173"	"18"	"2"	"3"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1822"	"9,0,1822"	"10,0,1157"	"11,0,1157"	"6,0,43900"	
"174"	"18"	"3"	"4"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1836"	"9,0,1836"	"10,0,1166"	"11,0,1166"	"6,0,44200"	
"175"	"18"	"4"	"5"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1850"	"9,0,1850"	"10,0,1175"	"11,0,1175"	"6,0,44500"	
"176"	"18"	"5"	"6"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1864"	"9,0,1864"	"10,0,1184"	"11,0,1184"	"6,0,44800"	
"177"	"18"	"6"	"7"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1878"	"9,0,1878"	"10,0,1193"	"11,0,1193"	"6,0,45100"	
"178"	"18"	"7"	"8"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1892"	"9,0,1892"	"10,0,1202"	"11,0,1202"	"6,0,45400"	
"179"	"18"	"8"	"9"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1906"	"9,0,1906"	"10,0,1211"	"11,0,1211"	"6,0,45700"	
"180"	"18"	"9"	"-1"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1920"	"9,0,1920"	"10,0,1220"	"11,0,1220"	"6,0,46000"	
"181"	"19"	"0"	"1"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1934"	"9,0,1934"	"10,0,1229"	"11,0,1229"	"6,0,46300"	
"182"	"19"	"1"	"2"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1948"	"9,0,1948"	"10,0,1238"	"11,0,1238"	"6,0,46600"	
"183"	"19"	"2"	"3"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1962"	"9,0,1962"	"10,0,1247"	"11,0,1247"	"6,0,46900"	
"184"	"19"	"3"	"4"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1976"	"9,0,1976"	"10,0,1256"	"11,0,1256"	"6,0,47200"	
"185"	"19"	"4"	"5"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1990"	"9,0,1990"	"10,0,1265"	"11,0,1265"	"6,0,47500"	
"186"	"19"	"5"	"6"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,2004"	"9,0,2004"	"10,0,1274"	"11,0,1274"	"6,0,47800"	
"187"	"19"	"6"	"7"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,2018"	"9,0,2018"	"10,0,1283"	"11,0,1283"	"6,0,48100"	
"188"	"19"	"7"	"8"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,2032"	"9,0,2032"	"10,0,1292"	"11,0,1292"	"6,0,48400"	
"189"	"19"	"8"	"9"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,2046"	"9,0,2046"	"10,0,1301"	"11,0,1301"	"6,0,48700"	
"190"	"19"	"9"	"-1"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,2060"	"9,0,2060"	"10,0,1310"	"11,0,1310"	"6,0,49000"	
"191"	"20"	"0"	"1"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,2074"	"9,0,2074"	"10,0,1319"	"11,0,1319"	"6,0,49300"	
"192"	"20"	"1"	"2"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,2088"	"9,0,2088"	"10,0,1328"	"11,0,1328"	"6,0,49600"	
"193"	"20"	"2"	"3"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,2102"	"9,0,2102"	"10,0,1337"	"11,0,1337"	"6,0,49900"	
"194"	"20"	"3"	"4"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,2116"	"9,0,2116"	"10,0,1346"	"11,0,1346"	"6,0,50200"	
"195"	"20"	"4"	"5"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,2130"	"9,0,2130"	"10,0,1355"	"11,0,1355"	"6,0,50500"	
"196"	"20"	"5"	"6"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,2144"	"9,0,2144"	"10,0,1364"	"11,0,1364"	"6,0,50800"	
"197"	"20"	"6"	"7"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,2158"	"9,0,2158"	"10,0,1373"	"11,0,1373"	"6,0,51100"	
"198"	"20"	"7"	"8"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,2172"	"9,0,2172"	"10,0,1382"	"11,0,1382"	"6,0,51400"	
"199"	"20"	"8"	"9"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,2186"	"9,0,2186"	"10,0,1391"	"11,0,1391"	"6,0,51700"	
"200"	"20"	"9"	"-1"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,2200"	"9,0,2200"	"10,0,1400"	"11,0,1400"	"6,0,52000"	
"201"	"21"	"0"	"1"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2216"	"9,0,2216"	"10,0,1410"	"11,0,1410"	"6,0,52340"	
"202"	"21"	"1"	"2"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2232"	"9,0,2232"	"10,0,1420"	"11,0,1420"	"6,0,52680"	
"203"	"21"	"2"	"3"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2248"	"9,0,2248"	"10,0,1430"	"11,0,1430"	"6,0,53020"	
"204"	"21"	"3"	"4"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2264"	"9,0,2264"	"10,0,1440"	"11,0,1440"	"6,0,53360"	
"205"	"21"	"4"	"5"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2280"	"9,0,2280"	"10,0,1450"	"11,0,1450"	"6,0,53700"	
"206"	"21"	"5"	"6"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2296"	"9,0,2296"	"10,0,1460"	"11,0,1460"	"6,0,54040"	
"207"	"21"	"6"	"7"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2312"	"9,0,2312"	"10,0,1470"	"11,0,1470"	"6,0,54380"	
"208"	"21"	"7"	"8"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2328"	"9,0,2328"	"10,0,1480"	"11,0,1480"	"6,0,54720"	
"209"	"21"	"8"	"9"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2344"	"9,0,2344"	"10,0,1490"	"11,0,1490"	"6,0,55060"	
"210"	"21"	"9"	"-1"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2360"	"9,0,2360"	"10,0,1500"	"11,0,1500"	"6,0,55400"	
"211"	"22"	"0"	"1"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2376"	"9,0,2376"	"10,0,1510"	"11,0,1510"	"6,0,55740"	
"212"	"22"	"1"	"2"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2392"	"9,0,2392"	"10,0,1520"	"11,0,1520"	"6,0,56080"	
"213"	"22"	"2"	"3"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2408"	"9,0,2408"	"10,0,1530"	"11,0,1530"	"6,0,56420"	
"214"	"22"	"3"	"4"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2424"	"9,0,2424"	"10,0,1540"	"11,0,1540"	"6,0,56760"	
"215"	"22"	"4"	"5"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2440"	"9,0,2440"	"10,0,1550"	"11,0,1550"	"6,0,57100"	
"216"	"22"	"5"	"6"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2456"	"9,0,2456"	"10,0,1560"	"11,0,1560"	"6,0,57440"	
"217"	"22"	"6"	"7"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2472"	"9,0,2472"	"10,0,1570"	"11,0,1570"	"6,0,57780"	
"218"	"22"	"7"	"8"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2488"	"9,0,2488"	"10,0,1580"	"11,0,1580"	"6,0,58120"	
"219"	"22"	"8"	"9"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2504"	"9,0,2504"	"10,0,1590"	"11,0,1590"	"6,0,58460"	
"220"	"22"	"9"	"-1"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2520"	"9,0,2520"	"10,0,1600"	"11,0,1600"	"6,0,58800"	
"221"	"23"	"0"	"1"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2536"	"9,0,2536"	"10,0,1610"	"11,0,1610"	"6,0,59140"	
"222"	"23"	"1"	"2"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2552"	"9,0,2552"	"10,0,1620"	"11,0,1620"	"6,0,59480"	
"223"	"23"	"2"	"3"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2568"	"9,0,2568"	"10,0,1630"	"11,0,1630"	"6,0,59820"	
"224"	"23"	"3"	"4"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2584"	"9,0,2584"	"10,0,1640"	"11,0,1640"	"6,0,60160"	
"225"	"23"	"4"	"5"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2600"	"9,0,2600"	"10,0,1650"	"11,0,1650"	"6,0,60500"	
"226"	"23"	"5"	"6"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2616"	"9,0,2616"	"10,0,1660"	"11,0,1660"	"6,0,60840"	
"227"	"23"	"6"	"7"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2632"	"9,0,2632"	"10,0,1670"	"11,0,1670"	"6,0,61180"	
"228"	"23"	"7"	"8"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2648"	"9,0,2648"	"10,0,1680"	"11,0,1680"	"6,0,61520"	
"229"	"23"	"8"	"9"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2664"	"9,0,2664"	"10,0,1690"	"11,0,1690"	"6,0,61860"	
"230"	"23"	"9"	"-1"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2680"	"9,0,2680"	"10,0,1700"	"11,0,1700"	"6,0,62200"	
"231"	"24"	"0"	"1"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2696"	"9,0,2696"	"10,0,1710"	"11,0,1710"	"6,0,62540"	
"232"	"24"	"1"	"2"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2712"	"9,0,2712"	"10,0,1720"	"11,0,1720"	"6,0,62880"	
"233"	"24"	"2"	"3"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2728"	"9,0,2728"	"10,0,1730"	"11,0,1730"	"6,0,63220"	
"234"	"24"	"3"	"4"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2744"	"9,0,2744"	"10,0,1740"	"11,0,1740"	"6,0,63560"	
"235"	"24"	"4"	"5"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2760"	"9,0,2760"	"10,0,1750"	"11,0,1750"	"6,0,63900"	
"236"	"24"	"5"	"6"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2776"	"9,0,2776"	"10,0,1760"	"11,0,1760"	"6,0,64240"	
"237"	"24"	"6"	"7"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2792"	"9,0,2792"	"10,0,1770"	"11,0,1770"	"6,0,64580"	
"238"	"24"	"7"	"8"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2808"	"9,0,2808"	"10,0,1780"	"11,0,1780"	"6,0,64920"	
"239"	"24"	"8"	"9"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2824"	"9,0,2824"	"10,0,1790"	"11,0,1790"	"6,0,65260"	
"240"	"24"	"9"	"-1"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2840"	"9,0,2840"	"10,0,1800"	"11,0,1800"	"6,0,65600"	
"241"	"25"	"0"	"1"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2856"	"9,0,2856"	"10,0,1810"	"11,0,1810"	"6,0,65940"	
"242"	"25"	"1"	"2"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2872"	"9,0,2872"	"10,0,1820"	"11,0,1820"	"6,0,66280"	
"243"	"25"	"2"	"3"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2888"	"9,0,2888"	"10,0,1830"	"11,0,1830"	"6,0,66620"	
"244"	"25"	"3"	"4"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2904"	"9,0,2904"	"10,0,1840"	"11,0,1840"	"6,0,66960"	
"245"	"25"	"4"	"5"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2920"	"9,0,2920"	"10,0,1850"	"11,0,1850"	"6,0,67300"	
"246"	"25"	"5"	"6"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2936"	"9,0,2936"	"10,0,1860"	"11,0,1860"	"6,0,67640"	
"247"	"25"	"6"	"7"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2952"	"9,0,2952"	"10,0,1870"	"11,0,1870"	"6,0,67980"	
"248"	"25"	"7"	"8"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2968"	"9,0,2968"	"10,0,1880"	"11,0,1880"	"6,0,68320"	
"249"	"25"	"8"	"9"	"150"	"40"	"820001"	"4"	"0.100000"	"8,0,2984"	"9,0,2984"	"10,0,1890"	"11,0,1890"	"6,0,68660"	
"250"	"25"	"9"	"-1"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3000"	"9,0,3000"	"10,0,1900"	"11,0,1900"	"6,0,69000"	
"251"	"26"	"0"	"1"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3018"	"9,0,3018"	"10,0,1910"	"11,0,1910"	"6,0,69380"	
"252"	"26"	"1"	"2"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3036"	"9,0,3036"	"10,0,1920"	"11,0,1920"	"6,0,69760"	
"253"	"26"	"2"	"3"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3054"	"9,0,3054"	"10,0,1930"	"11,0,1930"	"6,0,70140"	
"254"	"26"	"3"	"4"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3072"	"9,0,3072"	"10,0,1940"	"11,0,1940"	"6,0,70520"	
"255"	"26"	"4"	"5"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3090"	"9,0,3090"	"10,0,1950"	"11,0,1950"	"6,0,70900"	
"256"	"26"	"5"	"6"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3108"	"9,0,3108"	"10,0,1960"	"11,0,1960"	"6,0,71280"	
"257"	"26"	"6"	"7"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3126"	"9,0,3126"	"10,0,1970"	"11,0,1970"	"6,0,71660"	
"258"	"26"	"7"	"8"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3144"	"9,0,3144"	"10,0,1980"	"11,0,1980"	"6,0,72040"	
"259"	"26"	"8"	"9"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3162"	"9,0,3162"	"10,0,1990"	"11,0,1990"	"6,0,72420"	
"260"	"26"	"9"	"-1"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3180"	"9,0,3180"	"10,0,2000"	"11,0,2000"	"6,0,72800"	
"261"	"27"	"0"	"1"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3198"	"9,0,3198"	"10,0,2010"	"11,0,2010"	"6,0,73180"	
"262"	"27"	"1"	"2"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3216"	"9,0,3216"	"10,0,2020"	"11,0,2020"	"6,0,73560"	
"263"	"27"	"2"	"3"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3234"	"9,0,3234"	"10,0,2030"	"11,0,2030"	"6,0,73940"	
"264"	"27"	"3"	"4"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3252"	"9,0,3252"	"10,0,2040"	"11,0,2040"	"6,0,74320"	
"265"	"27"	"4"	"5"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3270"	"9,0,3270"	"10,0,2050"	"11,0,2050"	"6,0,74700"	
"266"	"27"	"5"	"6"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3288"	"9,0,3288"	"10,0,2060"	"11,0,2060"	"6,0,75080"	
"267"	"27"	"6"	"7"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3306"	"9,0,3306"	"10,0,2070"	"11,0,2070"	"6,0,75460"	
"268"	"27"	"7"	"8"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3324"	"9,0,3324"	"10,0,2080"	"11,0,2080"	"6,0,75840"	
"269"	"27"	"8"	"9"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3342"	"9,0,3342"	"10,0,2090"	"11,0,2090"	"6,0,76220"	
"270"	"27"	"9"	"-1"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3360"	"9,0,3360"	"10,0,2100"	"11,0,2100"	"6,0,76600"	
"271"	"28"	"0"	"1"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3378"	"9,0,3378"	"10,0,2110"	"11,0,2110"	"6,0,76980"	
"272"	"28"	"1"	"2"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3396"	"9,0,3396"	"10,0,2120"	"11,0,2120"	"6,0,77360"	
"273"	"28"	"2"	"3"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3414"	"9,0,3414"	"10,0,2130"	"11,0,2130"	"6,0,77740"	
"274"	"28"	"3"	"4"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3432"	"9,0,3432"	"10,0,2140"	"11,0,2140"	"6,0,78120"	
"275"	"28"	"4"	"5"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3450"	"9,0,3450"	"10,0,2150"	"11,0,2150"	"6,0,78500"	
"276"	"28"	"5"	"6"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3468"	"9,0,3468"	"10,0,2160"	"11,0,2160"	"6,0,78880"	
"277"	"28"	"6"	"7"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3486"	"9,0,3486"	"10,0,2170"	"11,0,2170"	"6,0,79260"	
"278"	"28"	"7"	"8"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3504"	"9,0,3504"	"10,0,2180"	"11,0,2180"	"6,0,79640"	
"279"	"28"	"8"	"9"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3522"	"9,0,3522"	"10,0,2190"	"11,0,2190"	"6,0,80020"	
"280"	"28"	"9"	"-1"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3540"	"9,0,3540"	"10,0,2200"	"11,0,2200"	"6,0,80400"	
"281"	"29"	"0"	"1"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3558"	"9,0,3558"	"10,0,2210"	"11,0,2210"	"6,0,80780"	
"282"	"29"	"1"	"2"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3576"	"9,0,3576"	"10,0,2220"	"11,0,2220"	"6,0,81160"	
"283"	"29"	"2"	"3"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3594"	"9,0,3594"	"10,0,2230"	"11,0,2230"	"6,0,81540"	
"284"	"29"	"3"	"4"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3612"	"9,0,3612"	"10,0,2240"	"11,0,2240"	"6,0,81920"	
"285"	"29"	"4"	"5"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3630"	"9,0,3630"	"10,0,2250"	"11,0,2250"	"6,0,82300"	
"286"	"29"	"5"	"6"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3648"	"9,0,3648"	"10,0,2260"	"11,0,2260"	"6,0,82680"	
"287"	"29"	"6"	"7"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3666"	"9,0,3666"	"10,0,2270"	"11,0,2270"	"6,0,83060"	
"288"	"29"	"7"	"8"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3684"	"9,0,3684"	"10,0,2280"	"11,0,2280"	"6,0,83440"	
"289"	"29"	"8"	"9"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3702"	"9,0,3702"	"10,0,2290"	"11,0,2290"	"6,0,83820"	
"290"	"29"	"9"	"-1"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3720"	"9,0,3720"	"10,0,2300"	"11,0,2300"	"6,0,84200"	
"291"	"30"	"0"	"1"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3738"	"9,0,3738"	"10,0,2310"	"11,0,2310"	"6,0,84580"	
"292"	"30"	"1"	"2"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3756"	"9,0,3756"	"10,0,2320"	"11,0,2320"	"6,0,84960"	
"293"	"30"	"2"	"3"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3774"	"9,0,3774"	"10,0,2330"	"11,0,2330"	"6,0,85340"	
"294"	"30"	"3"	"4"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3792"	"9,0,3792"	"10,0,2340"	"11,0,2340"	"6,0,85720"	
"295"	"30"	"4"	"5"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3810"	"9,0,3810"	"10,0,2350"	"11,0,2350"	"6,0,86100"	
"296"	"30"	"5"	"6"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3828"	"9,0,3828"	"10,0,2360"	"11,0,2360"	"6,0,86480"	
"297"	"30"	"6"	"7"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3846"	"9,0,3846"	"10,0,2370"	"11,0,2370"	"6,0,86860"	
"298"	"30"	"7"	"8"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3864"	"9,0,3864"	"10,0,2380"	"11,0,2380"	"6,0,87240"	
"299"	"30"	"8"	"9"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3882"	"9,0,3882"	"10,0,2390"	"11,0,2390"	"6,0,87620"	
"300"	"30"	"9"	"-1"	"300"	"40"	"820001"	"4"	"0.100000"	"8,0,3900"	"9,0,3900"	"10,0,2400"	"11,0,2400"	"6,0,88000"	
"301"	"31"	"0"	"1"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,3922"	"9,0,3922"	"10,0,2412"	"11,0,2412"	"6,0,88500"	
"302"	"31"	"1"	"2"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,3944"	"9,0,3944"	"10,0,2424"	"11,0,2424"	"6,0,89000"	
"303"	"31"	"2"	"3"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,3966"	"9,0,3966"	"10,0,2436"	"11,0,2436"	"6,0,89500"	
"304"	"31"	"3"	"4"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,3988"	"9,0,3988"	"10,0,2448"	"11,0,2448"	"6,0,90000"	
"305"	"31"	"4"	"5"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,4010"	"9,0,4010"	"10,0,2460"	"11,0,2460"	"6,0,90500"	
"306"	"31"	"5"	"6"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,4032"	"9,0,4032"	"10,0,2472"	"11,0,2472"	"6,0,91000"	
"307"	"31"	"6"	"7"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,4054"	"9,0,4054"	"10,0,2484"	"11,0,2484"	"6,0,91500"	
"308"	"31"	"7"	"8"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,4076"	"9,0,4076"	"10,0,2496"	"11,0,2496"	"6,0,92000"	
"309"	"31"	"8"	"9"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,4098"	"9,0,4098"	"10,0,2508"	"11,0,2508"	"6,0,92500"	
"310"	"31"	"9"	"-1"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,4120"	"9,0,4120"	"10,0,2520"	"11,0,2520"	"6,0,93000"	
"311"	"32"	"0"	"1"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,4142"	"9,0,4142"	"10,0,2532"	"11,0,2532"	"6,0,93500"	
"312"	"32"	"1"	"2"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,4164"	"9,0,4164"	"10,0,2544"	"11,0,2544"	"6,0,94000"	
"313"	"32"	"2"	"3"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,4186"	"9,0,4186"	"10,0,2556"	"11,0,2556"	"6,0,94500"	
"314"	"32"	"3"	"4"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,4208"	"9,0,4208"	"10,0,2568"	"11,0,2568"	"6,0,95000"	
"315"	"32"	"4"	"5"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,4230"	"9,0,4230"	"10,0,2580"	"11,0,2580"	"6,0,95500"	
"316"	"32"	"5"	"6"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,4252"	"9,0,4252"	"10,0,2592"	"11,0,2592"	"6,0,96000"	
"317"	"32"	"6"	"7"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,4274"	"9,0,4274"	"10,0,2604"	"11,0,2604"	"6,0,96500"	
"318"	"32"	"7"	"8"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,4296"	"9,0,4296"	"10,0,2616"	"11,0,2616"	"6,0,97000"	
"319"	"32"	"8"	"9"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,4318"	"9,0,4318"	"10,0,2628"	"11,0,2628"	"6,0,97500"	
"320"	"32"	"9"	"-1"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,4340"	"9,0,4340"	"10,0,2640"	"11,0,2640"	"6,0,98000"	
"321"	"33"	"0"	"1"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,4362"	"9,0,4362"	"10,0,2652"	"11,0,2652"	"6,0,98500"	
"322"	"33"	"1"	"2"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,4384"	"9,0,4384"	"10,0,2664"	"11,0,2664"	"6,0,99000"	
"323"	"33"	"2"	"3"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,4406"	"9,0,4406"	"10,0,2676"	"11,0,2676"	"6,0,99500"	
"324"	"33"	"3"	"4"	"400"	"50"	"820001"	"5"	"0.100000"	"8,0,4428"	"9,0,4428"	"10,0,2688"	"11,0,2688"	"6,0,100000"	
