"道具ID："	"物品名称20ABCD0E装备A=第几套B=职业（0通用1丐帮2少林3全真）C=套装（0无属性1阴2阳3内4外）D=品质E=装备subType700101开始是宝石"	"图标ID。填入icon的资源的名称"	"掉落模型ID"	"分类。1=货币，2=装备,3=消耗品，4=宝物，5=礼包，6=宝石，7=任务,8=英雄,9=材料"	"子类型，标识道具子类对于装备，1-武器，2-头盔，3-衣服，4-护肩，5-腰带，6-裤子，7-靴子，8-项链，9-护腕，10-左戒指，11-右戒指，12-饰品对于消耗品1=一般玩法消耗（用于跟道具类型无关的消耗），2=强化药剂，3=鉴定符,4=龙经验丹，5=自动使用血瓶，6=经验丹，7=喇叭8升级丹9=迷城重置符10=大血包11=大魔包12大魔瓶13尊爵体验卡，14=合成材料，15=合成符石，16=时装碎片，17=坐骑碎片19=宠物碎片20=秘籍升阶道具21=秘籍技能格开启道具,22=华山论剑卷轴,23单人首领卷轴=,24=叱咤王府卷轴,25=海上洪涛卷轴,26=千刃绝顶卷轴,27=大军西征卷轴,28=柔然入寇卷轴,29=未鉴定宝图,29=已鉴定宝图，31=再入琅琊卷轴32=280组队本33=300组队本对于宝物，1=坐骑10=宠物11=背旗12=法阵对于宝石，数字表示宝石种类，共9种对于礼包：1=普通礼包，2=时装包对于英雄：1.英雄碎片2.根骨丹3.助战相关道具4.武魂相关道具5.秘籍相关道具."	"使用等级"	"品质。0=白色，1=绿色，2=蓝色，3=紫色，4=金色，5=橙色，6=红色"	"职业限制。1=丐帮可用，2=少林可用，4=全真可用。填入和值"	"物品规则读ItemRuleConfig里的定义必填项"	"出售价格"	"叠加数量叠加多个与可计时冲突，警告！"	"拾取方式。0=手动拾取，1=自动拾取，2=自动拾取即使用，3=拾取进公会仓库，4=购买并自动使用（时装礼包）"	"物品描述"	"物品使用脚本"	"物品使用条件，[type,param0,param1]，type=1物品ID，物品数量type=2金币，所有金币，充值金币"	"特定场景中使用。0=副本，1=野外地图，2=主城"	"物品寿命（分）与ItemRuleConfig表中的计时规则配合生效"	"掉落拾取时是否有成就提示"	"是否记录log"	"是否批量使用"	"是否连续使用"	"是否快捷使用"	"装备显示"	"装备显示"	"装备显示"	"特殊显示"	"使用时打开功能界面"	"使用性别0=通用1=男2=女"	"获得途径"	""	""	""	""	
"201021"	"少林武器II"	"item,archer_bow02"	"200009"	"2"	"1"	"1"	"2"	"2"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"201022"	"少林头盔II"	"item,warrior_head02"	"200006"	"2"	"2"	"1"	"2"	"2"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"201023"	"少林衣服II"	"item,5_02"	"200015"	"2"	"3"	"1"	"2"	"2"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"201024"	"少林挂件II"	"item,9_02"	"200011"	"2"	"4"	"1"	"2"	"2"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"201031"	"全真武器II"	"item,magician_staff02"	"200010"	"2"	"1"	"1"	"2"	"4"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"201032"	"全真头盔II"	"item,warrior_head02"	"200006"	"2"	"2"	"1"	"2"	"4"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"201033"	"全真衣服II"	"item,5_02"	"200015"	"2"	"3"	"1"	"2"	"4"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"201034"	"全真挂件II"	"item,9_02"	"200011"	"2"	"4"	"1"	"2"	"4"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"300101"	"参与奖励"	"icon_baoshi_png,baoshi_700106"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"帮派首领掉落[purple]随机宝石[white]，击杀后所有成员均可获得\n[green]首领等级越高、难度越大，掉落的宝石数量越多"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300102"	"伤害排名奖励"	"icon_baoshi_png,baoshi_700205"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领过程中，伤害排名前3名的玩家可获得额外的[purple]宝石[white]奖励\n[green]首领等级越高、伤害排名越高奖励越多"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300103"	"伤害排名贡献"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领伤害排名贡献，可在帮派商店中兑换商品\n[green]伤害排名奖励数量：\n第1名：300\n第2名：250\n第3名：200\n第4、5名：150\n其他：50"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300104"	"伤害排名贡献"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领伤害排名贡献，可在帮派商店中兑换商品\n[green]伤害排名奖励数量：\n第1名：500\n第2名：400\n第3名：300\n第4-5名：200[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300105"	"伤害排名贡献"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领伤害排名贡献，可在帮派商店中兑换商品\n[green]伤害排名奖励数量：\n第1名：500\n第2名：400\n第3名：300\n第4-5名：200[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300106"	"伤害排名贡献"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领伤害排名贡献，可在帮派商店中兑换商品\n[green]伤害排名奖励数量：\n第1名：500\n第2名：400\n第3名：300\n第4-5名：200[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300107"	"伤害排名贡献"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领伤害排名贡献，可在帮派商店中兑换商品\n[green]伤害排名奖励数量：\n第1名：500\n第2名：400\n第3名：300\n第4-5名：200[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300108"	"伤害排名贡献"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领伤害排名贡献，可在帮派商店中兑换商品\n[green]伤害排名奖励数量：\n第1名：500\n第2名：400\n第3名：300\n第4-5名：200[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300109"	"伤害排名贡献"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领伤害排名贡献，可在帮派商店中兑换商品\n[green]伤害排名奖励数量：\n第1名：500\n第2名：400\n第3名：300\n第4-5名：200[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300110"	"伤害排名贡献"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领伤害排名贡献，可在帮派商店中兑换商品\n[green]伤害排名奖励数量：\n第1名：500\n第2名：400\n第3名：300\n第4-5名：200[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300111"	"伤害排名贡献"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领伤害排名贡献，可在帮派商店中兑换商品\n[green]伤害排名奖励数量：\n第1名：500\n第2名：400\n第3名：300\n第4-5名：200[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300112"	"伤害排名贡献"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领伤害排名贡献，可在帮派商店中兑换商品\n[green]伤害排名奖励数量：\n第1名：500\n第2名：400\n第3名：300\n第4-5名：200[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300113"	"伤害排名贡献"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领伤害排名贡献，可在帮派商店中兑换商品\n[green]伤害排名奖励数量：\n第1名：500\n第2名：400\n第3名：300\n第4-5名：200[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300114"	"伤害排名贡献"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领伤害排名贡献，可在帮派商店中兑换商品\n[green]伤害排名奖励数量：\n第1名：500\n第2名：400\n第3名：300\n第4-5名：200[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300115"	"伤害排名贡献"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领伤害排名贡献，可在帮派商店中兑换商品\n[green]伤害排名奖励数量：\n第1名：500\n第2名：400\n第3名：300\n第4-5名：200[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300116"	"伤害排名贡献"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领伤害排名贡献，可在帮派商店中兑换商品\n[green]伤害排名奖励数量：\n第1名：500\n第2名：400\n第3名：300\n第4-5名：200[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300117"	"伤害排名贡献"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领伤害排名贡献，可在帮派商店中兑换商品\n[green]伤害排名奖励数量：\n第1名：500\n第2名：400\n第3名：300\n第4-5名：200[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300118"	"击杀贡献"	"icon_baoshi_png,baoshi_700204"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"最后一击杀死首领的玩家可获得1颗随机的[purple]2级宝石[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300119"	"击杀贡献"	"icon_baoshi_png,baoshi_700307"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"最后一击杀死首领的玩家可获得1颗随机的[purple]3级宝石[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300120"	"击杀贡献"	"icon_baoshi_png,baoshi_700408"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"最后一击杀死首领的玩家可获得1颗随机的[purple]4级宝石[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300121"	"击杀贡献"	"icon_baoshi_png,baoshi_700509"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"最后一击杀死首领的玩家可获得1颗随机的[gold]5级宝石[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300122"	"击杀贡献"	"icon_baoshi_png,baoshi_700601"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"最后一击杀死首领的玩家可获得1颗随机的[gold]6级宝石[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300123"	"参与贡献"	"icon_item_png,shouyuan"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领后所有成员均可获得奖励\n[green]当前首领奖励：魔力水晶*6[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300124"	"参与贡献"	"icon_item_png,shouyuan"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领后所有成员均可获得奖励\n[green]当前首领奖励：魔力水晶*7[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300125"	"参与贡献"	"icon_item_png,shouyuan"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领后所有成员均可获得奖励\n[green]当前首领奖励：魔力水晶*8[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300126"	"参与贡献"	"icon_item_png,shouyuan"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领后所有成员均可获得奖励\n[green]当前首领奖励：魔力水晶*9[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300127"	"参与贡献"	"icon_item_png,shouyuan"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领后所有成员均可获得奖励\n[green]当前首领奖励：魔力水晶*10[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300128"	"参与贡献"	"icon_item_png,shouyuan"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领后所有成员均可获得奖励\n[green]当前首领奖励：魔力水晶*11[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300129"	"参与贡献"	"icon_item_png,shouyuan"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"击杀帮派首领后所有成员均可获得奖励\n[green]当前首领奖励：魔力水晶*12[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300130"	"参与贡献"	"icon_item_png,shouyuan"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"参与挑战帮派首领贡献，帮派贡献可在帮派商店中兑换商品\n[green]团队参与奖励数量：270[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300131"	"参与贡献"	"icon_item_png,shouyuan"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"参与挑战帮派首领贡献，帮派贡献可在帮派商店中兑换商品\n[green]团队参与奖励数量：280[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300132"	"参与贡献"	"icon_item_png,shouyuan"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"参与挑战帮派首领贡献，帮派贡献可在帮派商店中兑换商品\n[green]团队参与奖励数量：290[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300133"	"参与贡献"	"icon_item_png,shouyuan"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"参与挑战帮派首领贡献，帮派贡献可在帮派商店中兑换商品\n[green]团队参与奖励数量：300[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300134"	"参与贡献"	"icon_item_png,shouyuan"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"参与挑战帮派首领贡献，帮派贡献可在帮派商店中兑换商品\n[green]团队参与奖励数量：310[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300135"	"参与贡献"	"icon_item_png,shouyuan"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"参与挑战帮派首领贡献，帮派贡献可在帮派商店中兑换商品\n[green]团队参与奖励数量：320[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300136"	"参与贡献"	"icon_item_png,shouyuan"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"参与挑战帮派首领贡献，帮派贡献可在帮派商店中兑换商品\n[green]团队参与奖励数量：330[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300137"	"参与贡献"	"icon_item_png,shouyuan"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"参与挑战帮派首领贡献，帮派贡献可在帮派商店中兑换商品\n[green]团队参与奖励数量：340[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300138"	"帮派仓库奖励"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"微量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]联盟仓库奖励数量：3[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300139"	"帮派仓库奖励"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"小量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]联盟仓库奖励数量：13[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300140"	"帮派仓库奖励"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"中量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]联盟仓库奖励数量：23[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300141"	"帮派仓库奖励"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"大量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]联盟仓库奖励数量：33[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300142"	"帮派仓库奖励"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"巨量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]联盟仓库奖励数量：43[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300143"	"帮派仓库奖励"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"微量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]联盟仓库奖励数量：6[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300144"	"帮派仓库奖励"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"微量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]联盟仓库奖励数量：10[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300145"	"帮派仓库奖励"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"小量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]联盟仓库奖励数量：16[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300146"	"帮派仓库奖励"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"小量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]联盟仓库奖励数量：20[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300147"	"帮派仓库奖励"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"中量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]联盟仓库奖励数量：26[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300148"	"帮派仓库奖励"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"中量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]联盟仓库奖励数量：30[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300149"	"帮派仓库奖励"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"大量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]联盟仓库奖励数量：36[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300150"	"帮派仓库奖励"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"大量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]联盟仓库奖励数量：40[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300151"	"帮派仓库奖励"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"巨量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]联盟仓库奖励数量：46[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300152"	"帮派仓库奖励"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"巨量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]联盟仓库奖励数量：50[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300153"	"参与贡献"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"参与挑战帮派首领贡献，帮派贡献可在帮派商店中兑换商品\n[green]团队参与奖励数量：200[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300154"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"巨量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]伤害排名奖励数量：\n第1名：100\n第2名：80\n第3名：53\n第4-5名：27[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300155"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"巨量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]最后一击奖励数量：30[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300156"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"巨量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]团队参与奖励数量：160\n额外奖励：1800点联盟贡献[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300157"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"巨量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]联盟仓库奖励数量：53[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300158"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"巨量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]伤害排名奖励数量：\n第1名：105\n第2名：85\n第3名：56\n第4-5名：29[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300159"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"巨量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]最后一击奖励数量：30[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300160"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"巨量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]团队参与奖励数量：170\n额外奖励：1800点联盟贡献[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300161"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"巨量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]联盟仓库奖励数量：56[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300162"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"巨量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]伤害排名奖励数量：\n第1名：110\n第2名：90\n第3名：60\n第4-5名：31[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300163"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"巨量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]最后一击奖励数量：30[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300164"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"巨量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]团队参与奖励数量：180\n额外奖励：1800点联盟贡献[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
