"装备ID。第一位数字一定要保证是2，不能重复"	"装备名称"	"穿戴模型,ID规则是装备ID+标记位"	"默认升级等级"	"模板起始ID(EquipTemplateConfig)"	"可升星等级"	"套装ID"	"随机技能池"	"技能出现几率"	"斩位值"	"斩位强化值"	"精炼银币消耗"	"装备类型对应的底图"	"可开放宝石孔数目"	"是否为MF顶级进阶装备，橙装才填是"	"装备品质是否固定，全固定和半固定必须填是"	"时装翅膀是否可升级（只针对时装翅膀）"	"附加属性ID（对应ItemEquipExtend表）"	"是否可升级"	"是否可升星"	"是否可洗练"	"基础属性1"	"基础属性1数值"	"基础属性2"	"基础属性2数值"	""	""	
"20222011"	"40级右戒-品质2套装2"	""	""	"22001100"	"6"	"2220"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20222101"	"40级转剑武器-品质2套装2"	"200001"	""	"22000100"	"6"	"2221"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20222102"	"40级转剑头盔-品质2套装2"	"200002"	""	"22000200"	"6"	"2221"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20222103"	"40级转剑衣服-品质2套装2"	"200003"	""	"22000300"	"6"	"2221"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20222112"	"40级转剑饰品-品质2套装2"	"200012"	""	"22001200"	"6"	"2221"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20222201"	"40级天威武器-品质2套装2"	"200001"	""	"22000100"	"6"	"2222"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20222202"	"40级天威头盔-品质2套装2"	"200002"	""	"22000200"	"6"	"2222"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20222203"	"40级天威衣服-品质2套装2"	"200003"	""	"22000300"	"6"	"2222"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20222212"	"40级天威饰品-品质2套装2"	"200012"	""	"22001200"	"6"	"2222"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20222301"	"40级云锦武器-品质2套装2"	"200001"	""	"22000100"	"6"	"2223"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20222302"	"40级云锦头盔-品质2套装2"	"200002"	""	"22000200"	"6"	"2223"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20222303"	"40级云锦衣服-品质2套装2"	"200003"	""	"22000300"	"6"	"2223"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20222312"	"40级云锦饰品-品质2套装2"	"200012"	""	"22001200"	"6"	"2223"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20231004"	"40级护肩-品质3套装1"	""	""	"23000400"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20231005"	"40级腰带-品质3套装1"	""	""	"23000500"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20231006"	"40级裤子-品质3套装1"	""	""	"23000600"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20231007"	"40级靴子-品质3套装1"	""	""	"23000700"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20231008"	"40级项链-品质3套装1"	""	""	"23000800"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20231009"	"40级护腕-品质3套装1"	""	""	"23000900"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20231010"	"40级左戒-品质3套装1"	""	""	"23001000"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20231011"	"40级右戒-品质3套装1"	""	""	"23001100"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20231101"	"40级转剑武器-品质3套装1"	"200001"	""	"23000100"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20231102"	"40级转剑头盔-品质3套装1"	"200002"	""	"23000200"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20231103"	"40级转剑衣服-品质3套装1"	"200003"	""	"23000300"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20231112"	"40级转剑饰品-品质3套装1"	"200012"	""	"23001200"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20231201"	"40级天威武器-品质3套装1"	"200001"	""	"23000100"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20231202"	"40级天威头盔-品质3套装1"	"200002"	""	"23000200"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20231203"	"40级天威衣服-品质3套装1"	"200003"	""	"23000300"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20231212"	"40级天威饰品-品质3套装1"	"200012"	""	"23001200"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20231301"	"40级云锦武器-品质3套装1"	"200001"	""	"23000100"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20231302"	"40级云锦头盔-品质3套装1"	"200002"	""	"23000200"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20231303"	"40级云锦衣服-品质3套装1"	"200003"	""	"23000300"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20231312"	"40级云锦饰品-品质3套装1"	"200012"	""	"23001200"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20232004"	"40级护肩-品质3套装2"	""	""	"23000400"	"9"	"2320"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20232005"	"40级腰带-品质3套装2"	""	""	"23000500"	"9"	"2320"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20232006"	"40级裤子-品质3套装2"	""	""	"23000600"	"9"	"2320"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20232007"	"40级靴子-品质3套装2"	""	""	"23000700"	"9"	"2320"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20232008"	"40级项链-品质3套装2"	""	""	"23000800"	"9"	"2320"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20232009"	"40级护腕-品质3套装2"	""	""	"23000900"	"9"	"2320"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20232010"	"40级左戒-品质3套装2"	""	""	"23001000"	"9"	"2320"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20232011"	"40级右戒-品质3套装2"	""	""	"23001100"	"9"	"2320"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20232101"	"40级转剑武器-品质3套装2"	"200001"	""	"23000100"	"9"	"2321"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20232102"	"40级转剑头盔-品质3套装2"	"200002"	""	"23000200"	"9"	"2321"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20232103"	"40级转剑衣服-品质3套装2"	"200003"	""	"23000300"	"9"	"2321"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20232112"	"40级转剑饰品-品质3套装2"	"200012"	""	"23001200"	"9"	"2321"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20232201"	"40级天威武器-品质3套装2"	"200001"	""	"23000100"	"9"	"2322"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20232202"	"40级天威头盔-品质3套装2"	"200002"	""	"23000200"	"9"	"2322"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20232203"	"40级天威衣服-品质3套装2"	"200003"	""	"23000300"	"9"	"2322"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20232212"	"40级天威饰品-品质3套装2"	"200012"	""	"23001200"	"9"	"2322"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20232301"	"40级云锦武器-品质3套装2"	"200001"	""	"23000100"	"9"	"2323"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20232302"	"40级云锦头盔-品质3套装2"	"200002"	""	"23000200"	"9"	"2323"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20232303"	"40级云锦衣服-品质3套装2"	"200003"	""	"23000300"	"9"	"2323"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20232312"	"40级云锦饰品-品质3套装2"	"200012"	""	"23001200"	"9"	"2323"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20241004"	"40级护肩-品质4套装1"	""	""	"24000400"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20241005"	"40级腰带-品质4套装1"	""	""	"24000500"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20241006"	"40级裤子-品质4套装1"	""	""	"24000600"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20241007"	"40级靴子-品质4套装1"	""	""	"24000700"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20241008"	"40级项链-品质4套装1"	""	""	"24000800"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20241009"	"40级护腕-品质4套装1"	""	""	"24000900"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20241010"	"40级左戒-品质4套装1"	""	""	"24001000"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20241011"	"40级右戒-品质4套装1"	""	""	"24001100"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20241101"	"40级转剑武器-品质4套装1"	"200001"	""	"24000100"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20241102"	"40级转剑头盔-品质4套装1"	"200002"	""	"24000200"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20241103"	"40级转剑衣服-品质4套装1"	"200003"	""	"24000300"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20241112"	"40级转剑饰品-品质4套装1"	"200012"	""	"24001200"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20241201"	"40级天威武器-品质4套装1"	"200001"	""	"24000100"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20241202"	"40级天威头盔-品质4套装1"	"200002"	""	"24000200"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20241203"	"40级天威衣服-品质4套装1"	"200003"	""	"24000300"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20241212"	"40级天威饰品-品质4套装1"	"200012"	""	"24001200"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20241301"	"40级云锦武器-品质4套装1"	"200001"	""	"24000100"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20241302"	"40级云锦头盔-品质4套装1"	"200002"	""	"24000200"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20241303"	"40级云锦衣服-品质4套装1"	"200003"	""	"24000300"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20241312"	"40级云锦饰品-品质4套装1"	"200012"	""	"24001200"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20242004"	"40级护肩-品质4套装2"	""	""	"24000400"	"12"	"2420"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20242005"	"40级腰带-品质4套装2"	""	""	"24000500"	"12"	"2420"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20242006"	"40级裤子-品质4套装2"	""	""	"24000600"	"12"	"2420"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20242007"	"40级靴子-品质4套装2"	""	""	"24000700"	"12"	"2420"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20242008"	"40级项链-品质4套装2"	""	""	"24000800"	"12"	"2420"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20242009"	"40级护腕-品质4套装2"	""	""	"24000900"	"12"	"2420"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20242010"	"40级左戒-品质4套装2"	""	""	"24001000"	"12"	"2420"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20242011"	"40级右戒-品质4套装2"	""	""	"24001100"	"12"	"2420"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20242101"	"40级转剑武器-品质4套装2"	"200001"	""	"24000100"	"12"	"2421"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20242102"	"40级转剑头盔-品质4套装2"	"200002"	""	"24000200"	"12"	"2421"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20242103"	"40级转剑衣服-品质4套装2"	"200003"	""	"24000300"	"12"	"2421"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20242112"	"40级转剑饰品-品质4套装2"	"200012"	""	"24001200"	"12"	"2421"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20242201"	"40级天威武器-品质4套装2"	"200001"	""	"24000100"	"12"	"2422"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20242202"	"40级天威头盔-品质4套装2"	"200002"	""	"24000200"	"12"	"2422"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20242203"	"40级天威衣服-品质4套装2"	"200003"	""	"24000300"	"12"	"2422"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20242212"	"40级天威饰品-品质4套装2"	"200012"	""	"24001200"	"12"	"2422"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20242301"	"40级云锦武器-品质4套装2"	"200001"	""	"24000100"	"12"	"2423"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20242302"	"40级云锦头盔-品质4套装2"	"200002"	""	"24000200"	"12"	"2423"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20242303"	"40级云锦衣服-品质4套装2"	"200003"	""	"24000300"	"12"	"2423"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20242312"	"40级云锦饰品-品质4套装2"	"200012"	""	"24001200"	"12"	"2423"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20251004"	"40级护肩-品质5套装1"	""	""	"25000400"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20251005"	"40级腰带-品质5套装1"	""	""	"25000500"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20251006"	"40级裤子-品质5套装1"	""	""	"25000600"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20251007"	"40级靴子-品质5套装1"	""	""	"25000700"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20251008"	"40级项链-品质5套装1"	""	""	"25000800"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20251009"	"40级护腕-品质5套装1"	""	""	"25000900"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20251010"	"40级左戒-品质5套装1"	""	""	"25001000"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20251011"	"40级右戒-品质5套装1"	""	""	"25001100"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20251101"	"40级转剑武器-品质5套装1"	"200001"	""	"25000100"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20251102"	"40级转剑头盔-品质5套装1"	"200002"	""	"25000200"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20251103"	"40级转剑衣服-品质5套装1"	"200003"	""	"25000300"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20251112"	"40级转剑饰品-品质5套装1"	"200012"	""	"25001200"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20251201"	"40级天威武器-品质5套装1"	"200001"	""	"25000100"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20251202"	"40级天威头盔-品质5套装1"	"200002"	""	"25000200"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20251203"	"40级天威衣服-品质5套装1"	"200003"	""	"25000300"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20251212"	"40级天威饰品-品质5套装1"	"200012"	""	"25001200"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20251301"	"40级云锦武器-品质5套装1"	"200001"	""	"25000100"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20251302"	"40级云锦头盔-品质5套装1"	"200002"	""	"25000200"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20251303"	"40级云锦衣服-品质5套装1"	"200003"	""	"25000300"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20251312"	"40级云锦饰品-品质5套装1"	"200012"	""	"25001200"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20252004"	"40级护肩-品质5套装2"	""	""	"25000400"	"15"	"2520"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20252005"	"40级腰带-品质5套装2"	""	""	"25000500"	"15"	"2520"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20252006"	"40级裤子-品质5套装2"	""	""	"25000600"	"15"	"2520"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20252007"	"40级靴子-品质5套装2"	""	""	"25000700"	"15"	"2520"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20252008"	"40级项链-品质5套装2"	""	""	"25000800"	"15"	"2520"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20252009"	"40级护腕-品质5套装2"	""	""	"25000900"	"15"	"2520"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20252010"	"40级左戒-品质5套装2"	""	""	"25001000"	"15"	"2520"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20252011"	"40级右戒-品质5套装2"	""	""	"25001100"	"15"	"2520"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20252101"	"40级转剑武器-品质5套装2"	"200001"	""	"25000100"	"15"	"2521"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20252102"	"40级转剑头盔-品质5套装2"	"200002"	""	"25000200"	"15"	"2521"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20252103"	"40级转剑衣服-品质5套装2"	"200003"	""	"25000300"	"15"	"2521"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20252112"	"40级转剑饰品-品质5套装2"	"200012"	""	"25001200"	"15"	"2521"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20252201"	"40级天威武器-品质5套装2"	"200001"	""	"25000100"	"15"	"2522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20252202"	"40级天威头盔-品质5套装2"	"200002"	""	"25000200"	"15"	"2522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20252203"	"40级天威衣服-品质5套装2"	"200003"	""	"25000300"	"15"	"2522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20252212"	"40级天威饰品-品质5套装2"	"200012"	""	"25001200"	"15"	"2522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20252301"	"40级云锦武器-品质5套装2"	"200001"	""	"25000100"	"15"	"2523"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20252302"	"40级云锦头盔-品质5套装2"	"200002"	""	"25000200"	"15"	"2523"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20252303"	"40级云锦衣服-品质5套装2"	"200003"	""	"25000300"	"15"	"2523"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20252312"	"40级云锦饰品-品质5套装2"	"200012"	""	"25001200"	"15"	"2523"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20311004"	"80级护肩-品质1套装1"	""	""	"31000400"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20311005"	"80级腰带-品质1套装1"	""	""	"31000500"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20311006"	"80级裤子-品质1套装1"	""	""	"31000600"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20311007"	"80级靴子-品质1套装1"	""	""	"31000700"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20311008"	"80级项链-品质1套装1"	""	""	"31000800"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20311009"	"80级护腕-品质1套装1"	""	""	"31000900"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20311010"	"80级左戒-品质1套装1"	""	""	"31001000"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20311011"	"80级右戒-品质1套装1"	""	""	"31001100"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20311101"	"80级转剑武器-品质1套装1"	"300001"	""	"31000100"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20311102"	"80级转剑头盔-品质1套装1"	"300002"	""	"31000200"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20311103"	"80级转剑衣服-品质1套装1"	"300003"	""	"31000300"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20311112"	"80级转剑饰品-品质1套装1"	"300012"	""	"31001200"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20311201"	"80级天威武器-品质1套装1"	"300001"	""	"31000100"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20311202"	"80级天威头盔-品质1套装1"	"300002"	""	"31000200"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20311203"	"80级天威衣服-品质1套装1"	"300003"	""	"31000300"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20311212"	"80级天威饰品-品质1套装1"	"300012"	""	"31001200"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20311301"	"80级云锦武器-品质1套装1"	"300001"	""	"31000100"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20311302"	"80级云锦头盔-品质1套装1"	"300002"	""	"31000200"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20311303"	"80级云锦衣服-品质1套装1"	"300003"	""	"31000300"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20311312"	"80级云锦饰品-品质1套装1"	"300012"	""	"31001200"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20312004"	"80级护肩-品质1套装2"	""	""	"31000400"	"3"	"3120"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20312005"	"80级腰带-品质1套装2"	""	""	"31000500"	"3"	"3120"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20312006"	"80级裤子-品质1套装2"	""	""	"31000600"	"3"	"3120"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20312007"	"80级靴子-品质1套装2"	""	""	"31000700"	"3"	"3120"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20312008"	"80级项链-品质1套装2"	""	""	"31000800"	"3"	"3120"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20312009"	"80级护腕-品质1套装2"	""	""	"31000900"	"3"	"3120"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20312010"	"80级左戒-品质1套装2"	""	""	"31001000"	"3"	"3120"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20312011"	"80级右戒-品质1套装2"	""	""	"31001100"	"3"	"3120"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20312101"	"80级转剑武器-品质1套装2"	"300001"	""	"31000100"	"3"	"3121"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20312102"	"80级转剑头盔-品质1套装2"	"300002"	""	"31000200"	"3"	"3121"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20312103"	"80级转剑衣服-品质1套装2"	"300003"	""	"31000300"	"3"	"3121"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20312112"	"80级转剑饰品-品质1套装2"	"300012"	""	"31001200"	"3"	"3121"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
