"ID第1位：注灵位ID，1头2胸3脚4武器第2位：预留，填0第3，4，5,位：等级，每阶段单独计算"	"注灵位品质（1=绿，2=蓝，3=紫，4=金，5=橙）实质上是阶段，每阶段等级单独结算"	"注灵所需材料ID"	"单次注灵所需材料数量（不能升级时必须为0）"	"注灵所需总材料数量（不能升级时必须为0）"	"注灵增加属性（填总属性值，而非差值）（属性ID，属性值）"	
"20021"	"1"	"100112"	"3"	"3"	"2,2372,1,2390,10,1318,14,1318,16,1318"	
"20022"	"1"	"100112"	"3"	"3"	"2,2491,1,2509,10,1384,14,1384,16,1384"	
"20023"	"1"	"100112"	"3"	"3"	"2,2609,1,2629,10,1449,14,1449,16,1449"	
"20024"	"1"	"100112"	"3"	"3"	"2,2728,1,2748,10,1515,14,1515,16,1515"	
"20025"	"1"	"100112"	"3"	"3"	"2,2847,1,2868,10,1581,14,1581,16,1581"	
"20026"	"1"	"100112"	"3"	"3"	"2,2965,1,2987,10,1647,14,1647,16,1647"	
"20027"	"1"	"100112"	"3"	"3"	"2,3084,1,3107,10,1713,14,1713,16,1713"	
"20028"	"1"	"100112"	"3"	"3"	"2,3203,1,3226,10,1779,14,1779,16,1779"	
"20029"	"1"	"100112"	"3"	"3"	"2,3321,1,3346,10,1845,14,1845,16,1845"	
"20030"	"1"	"100112"	"3"	"3"	"2,3440,1,3465,10,1911,14,1911,16,1911"	
"20031"	"1"	"100112"	"3"	"3"	"2,3558,1,3585,10,1977,14,1977,16,1977"	
"20032"	"1"	"100112"	"3"	"3"	"2,3677,1,3704,10,2043,14,2043,16,2043"	
"20033"	"1"	"100112"	"3"	"3"	"2,3796,1,3824,10,2108,14,2108,16,2108"	
"20034"	"1"	"100112"	"3"	"3"	"2,3914,1,3943,10,2174,14,2174,16,2174"	
"20035"	"1"	"100112"	"4"	"4"	"2,4033,1,4063,10,2240,14,2240,16,2240"	
"20036"	"1"	"100112"	"4"	"4"	"2,4152,1,4182,10,2306,14,2306,16,2306"	
"20037"	"1"	"100112"	"4"	"4"	"2,4270,1,4302,10,2372,14,2372,16,2372"	
"20038"	"1"	"100112"	"4"	"4"	"2,4389,1,4421,10,2438,14,2438,16,2438"	
"20039"	"1"	"100112"	"4"	"4"	"2,4507,1,4541,10,2504,14,2504,16,2504"	
"20040"	"1"	"100112"	"4"	"4"	"2,4626,1,4660,10,2570,14,2570,16,2570"	
"20041"	"1"	"100112"	"4"	"4"	"2,4745,1,4780,10,2636,14,2636,16,2636"	
"20042"	"1"	"100112"	"4"	"4"	"2,4863,1,4899,10,2702,14,2702,16,2702"	
"20043"	"1"	"100112"	"4"	"4"	"2,4982,1,5019,10,2768,14,2768,16,2768"	
"20044"	"1"	"100112"	"4"	"4"	"2,5101,1,5138,10,2833,14,2833,16,2833"	
"20045"	"1"	"100112"	"5"	"5"	"2,5219,1,5258,10,2899,14,2899,16,2899"	
"20046"	"1"	"100112"	"5"	"5"	"2,5338,1,5377,10,2965,14,2965,16,2965"	
"20047"	"1"	"100112"	"5"	"5"	"2,5457,1,5497,10,3031,14,3031,16,3031"	
"20048"	"1"	"100112"	"5"	"5"	"2,5575,1,5616,10,3097,14,3097,16,3097"	
"20049"	"1"	"100112"	"5"	"5"	"2,5694,1,5736,10,3163,14,3163,16,3163"	
"20050"	"1"	"100112"	"5"	"5"	"2,5812,1,5855,10,3229,14,3229,16,3229"	
"20051"	"2"	"100122"	"2"	"2"	"2,5931,1,5975,10,3295,14,3295,16,3295"	
"20052"	"2"	"100122"	"2"	"2"	"2,6072,1,6117,10,3373,14,3373,16,3373"	
"20053"	"2"	"100122"	"2"	"2"	"2,6214,1,6260,10,3452,14,3452,16,3452"	
"20054"	"2"	"100122"	"2"	"2"	"2,6355,1,6402,10,3530,14,3530,16,3530"	
"20055"	"2"	"100122"	"2"	"2"	"2,6496,1,6544,10,3609,14,3609,16,3609"	
"20056"	"2"	"100122"	"2"	"2"	"2,6638,1,6687,10,3687,14,3687,16,3687"	
"20057"	"2"	"100122"	"2"	"2"	"2,6779,1,6829,10,3766,14,3766,16,3766"	
"20058"	"2"	"100122"	"2"	"2"	"2,6920,1,6971,10,3844,14,3844,16,3844"	
"20059"	"2"	"100122"	"2"	"2"	"2,7061,1,7114,10,3923,14,3923,16,3923"	
"20060"	"2"	"100122"	"2"	"2"	"2,7203,1,7256,10,4001,14,4001,16,4001"	
"20061"	"2"	"100122"	"2"	"2"	"2,7344,1,7398,10,4080,14,4080,16,4080"	
"20062"	"2"	"100122"	"2"	"2"	"2,7485,1,7541,10,4158,14,4158,16,4158"	
"20063"	"2"	"100122"	"2"	"2"	"2,7627,1,7683,10,4237,14,4237,16,4237"	
"20064"	"2"	"100122"	"2"	"2"	"2,7768,1,7826,10,4315,14,4315,16,4315"	
"20065"	"2"	"100122"	"3"	"3"	"2,7909,1,7968,10,4394,14,4394,16,4394"	
"20066"	"2"	"100122"	"3"	"3"	"2,8051,1,8110,10,4472,14,4472,16,4472"	
"20067"	"2"	"100122"	"3"	"3"	"2,8192,1,8253,10,4551,14,4551,16,4551"	
"20068"	"2"	"100122"	"3"	"3"	"2,8333,1,8395,10,4629,14,4629,16,4629"	
"20069"	"2"	"100122"	"3"	"3"	"2,8474,1,8537,10,4708,14,4708,16,4708"	
"20070"	"2"	"100122"	"3"	"3"	"2,8616,1,8680,10,4786,14,4786,16,4786"	
"20071"	"2"	"100122"	"3"	"3"	"2,8757,1,8822,10,4865,14,4865,16,4865"	
"20072"	"2"	"100122"	"3"	"3"	"2,8898,1,8964,10,4943,14,4943,16,4943"	
"20073"	"2"	"100122"	"3"	"3"	"2,9040,1,9107,10,5022,14,5022,16,5022"	
"20074"	"2"	"100122"	"3"	"3"	"2,9181,1,9249,10,5100,14,5100,16,5100"	
"20075"	"2"	"100122"	"3"	"3"	"2,9322,1,9391,10,5179,14,5179,16,5179"	
"20076"	"2"	"100122"	"3"	"3"	"2,9464,1,9534,10,5257,14,5257,16,5257"	
"20077"	"2"	"100122"	"3"	"3"	"2,9605,1,9676,10,5336,14,5336,16,5336"	
"20078"	"2"	"100122"	"3"	"3"	"2,9746,1,9818,10,5414,14,5414,16,5414"	
"20079"	"2"	"100122"	"3"	"3"	"2,9888,1,9961,10,5493,14,5493,16,5493"	
"20080"	"2"	"100122"	"3"	"3"	"2,10029,1,10103,10,5571,14,5571,16,5571"	
"20081"	"2"	"100122"	"3"	"3"	"2,10170,1,10245,10,5650,14,5650,16,5650"	
"20082"	"2"	"100122"	"4"	"4"	"2,10311,1,10388,10,5728,14,5728,16,5728"	
"20083"	"2"	"100122"	"4"	"4"	"2,10453,1,10530,10,5807,14,5807,16,5807"	
"20084"	"2"	"100122"	"4"	"4"	"2,10594,1,10673,10,5885,14,5885,16,5885"	
"20085"	"2"	"100122"	"4"	"4"	"2,10735,1,10815,10,5964,14,5964,16,5964"	
"20086"	"2"	"100122"	"4"	"4"	"2,10877,1,10957,10,6042,14,6042,16,6042"	
"20087"	"2"	"100122"	"4"	"4"	"2,11018,1,11100,10,6121,14,6121,16,6121"	
"20088"	"2"	"100122"	"4"	"4"	"2,11159,1,11242,10,6199,14,6199,16,6199"	
"20089"	"2"	"100122"	"4"	"4"	"2,11301,1,11384,10,6278,14,6278,16,6278"	
"20090"	"2"	"100122"	"4"	"4"	"2,11442,1,11527,10,6356,14,6356,16,6356"	
"20091"	"2"	"100122"	"4"	"4"	"2,11583,1,11669,10,6435,14,6435,16,6435"	
"20092"	"2"	"100122"	"4"	"4"	"2,11724,1,11811,10,6513,14,6513,16,6513"	
"20093"	"2"	"100122"	"4"	"4"	"2,11866,1,11954,10,6592,14,6592,16,6592"	
"20094"	"2"	"100122"	"4"	"4"	"2,12007,1,12096,10,6670,14,6670,16,6670"	
"20095"	"2"	"100122"	"5"	"5"	"2,12148,1,12238,10,6749,14,6749,16,6749"	
"20096"	"2"	"100122"	"5"	"5"	"2,12290,1,12381,10,6827,14,6827,16,6827"	
"20097"	"2"	"100122"	"5"	"5"	"2,12431,1,12523,10,6906,14,6906,16,6906"	
"20098"	"2"	"100122"	"5"	"5"	"2,12572,1,12665,10,6984,14,6984,16,6984"	
"20099"	"2"	"100122"	"5"	"5"	"2,12714,1,12808,10,7063,14,7063,16,7063"	
"20100"	"2"	"100122"	"5"	"5"	"2,12855,1,12950,10,7141,14,7141,16,7141"	
"20101"	"3"	"100132"	"3"	"3"	"2,12996,1,13092,10,7220,14,7220,16,7220"	
"20102"	"3"	"100132"	"3"	"3"	"2,13292,1,13390,10,7384,14,7384,16,7384"	
"20103"	"3"	"100132"	"3"	"3"	"2,13587,1,13688,10,7548,14,7548,16,7548"	
"20104"	"3"	"100132"	"3"	"3"	"2,13883,1,13985,10,7712,14,7712,16,7712"	
"20105"	"3"	"100132"	"3"	"3"	"2,14178,1,14283,10,7876,14,7876,16,7876"	
"20106"	"3"	"100132"	"3"	"3"	"2,14473,1,14581,10,8041,14,8041,16,8041"	
"20107"	"3"	"100132"	"3"	"3"	"2,14769,1,14878,10,8205,14,8205,16,8205"	
"20108"	"3"	"100132"	"3"	"3"	"2,15064,1,15176,10,8369,14,8369,16,8369"	
"20109"	"3"	"100132"	"3"	"3"	"2,15360,1,15474,10,8533,14,8533,16,8533"	
"20110"	"3"	"100132"	"3"	"3"	"2,15655,1,15771,10,8697,14,8697,16,8697"	
"20111"	"3"	"100132"	"3"	"3"	"2,15951,1,16069,10,8861,14,8861,16,8861"	
"20112"	"3"	"100132"	"3"	"3"	"2,16246,1,16367,10,9025,14,9025,16,9025"	
"20113"	"3"	"100132"	"3"	"3"	"2,16542,1,16664,10,9190,14,9190,16,9190"	
"20114"	"3"	"100132"	"3"	"3"	"2,16837,1,16962,10,9354,14,9354,16,9354"	
"20115"	"3"	"100132"	"4"	"4"	"2,17133,1,17259,10,9518,14,9518,16,9518"	
"20116"	"3"	"100132"	"4"	"4"	"2,17428,1,17557,10,9682,14,9682,16,9682"	
"20117"	"3"	"100132"	"4"	"4"	"2,17723,1,17855,10,9846,14,9846,16,9846"	
"20118"	"3"	"100132"	"4"	"4"	"2,18019,1,18152,10,10010,14,10010,16,10010"	
"20119"	"3"	"100132"	"4"	"4"	"2,18314,1,18450,10,10174,14,10174,16,10174"	
"20120"	"3"	"100132"	"4"	"4"	"2,18610,1,18748,10,10339,14,10339,16,10339"	
"20121"	"3"	"100132"	"4"	"4"	"2,18905,1,19045,10,10503,14,10503,16,10503"	
"20122"	"3"	"100132"	"4"	"4"	"2,19201,1,19343,10,10667,14,10667,16,10667"	
"20123"	"3"	"100132"	"4"	"4"	"2,19496,1,19641,10,10831,14,10831,16,10831"	
"20124"	"3"	"100132"	"4"	"4"	"2,19792,1,19938,10,10995,14,10995,16,10995"	
"20125"	"3"	"100132"	"4"	"4"	"2,20087,1,20236,10,11159,14,11159,16,11159"	
"20126"	"3"	"100132"	"4"	"4"	"2,20382,1,20533,10,11323,14,11323,16,11323"	
"20127"	"3"	"100132"	"4"	"4"	"2,20678,1,20831,10,11488,14,11488,16,11488"	
"20128"	"3"	"100132"	"5"	"5"	"2,20973,1,21129,10,11652,14,11652,16,11652"	
"20129"	"3"	"100132"	"5"	"5"	"2,21269,1,21426,10,11816,14,11816,16,11816"	
"20130"	"3"	"100132"	"5"	"5"	"2,21564,1,21724,10,11980,14,11980,16,11980"	
"20131"	"3"	"100132"	"5"	"5"	"2,21860,1,22022,10,12144,14,12144,16,12144"	
"20132"	"3"	"100132"	"5"	"5"	"2,22155,1,22319,10,12308,14,12308,16,12308"	
"20133"	"3"	"100132"	"5"	"5"	"2,22451,1,22617,10,12472,14,12472,16,12472"	
"20134"	"3"	"100132"	"5"	"5"	"2,22746,1,22915,10,12637,14,12637,16,12637"	
"20135"	"3"	"100132"	"5"	"5"	"2,23042,1,23212,10,12801,14,12801,16,12801"	
"20136"	"3"	"100132"	"5"	"5"	"2,23337,1,23510,10,12965,14,12965,16,12965"	
"20137"	"3"	"100132"	"5"	"5"	"2,23632,1,23808,10,13129,14,13129,16,13129"	
"20138"	"3"	"100132"	"5"	"5"	"2,23928,1,24105,10,13293,14,13293,16,13293"	
"20139"	"3"	"100132"	"6"	"6"	"2,24223,1,24403,10,13457,14,13457,16,13457"	
"20140"	"3"	"100132"	"6"	"6"	"2,24519,1,24700,10,13621,14,13621,16,13621"	
"20141"	"3"	"100132"	"6"	"6"	"2,24814,1,24998,10,13785,14,13785,16,13785"	
"20142"	"3"	"100132"	"6"	"6"	"2,25110,1,25296,10,13950,14,13950,16,13950"	
"20143"	"3"	"100132"	"6"	"6"	"2,25405,1,25593,10,14114,14,14114,16,14114"	
"20144"	"3"	"100132"	"6"	"6"	"2,25701,1,25891,10,14278,14,14278,16,14278"	
"20145"	"3"	"100132"	"6"	"6"	"2,25996,1,26189,10,14442,14,14442,16,14442"	
"20146"	"3"	"100132"	"6"	"6"	"2,26292,1,26486,10,14606,14,14606,16,14606"	
"20147"	"3"	"100132"	"7"	"7"	"2,26587,1,26784,10,14770,14,14770,16,14770"	
"20148"	"3"	"100132"	"7"	"7"	"2,26882,1,27082,10,14934,14,14934,16,14934"	
"20149"	"3"	"100132"	"7"	"7"	"2,27178,1,27379,10,15099,14,15099,16,15099"	
"20150"	"3"	"100132"	"7"	"7"	"2,27473,1,27677,10,15263,14,15263,16,15263"	
"20151"	"4"	"100142"	"3"	"3"	"2,27769,1,27974,10,15427,14,15427,16,15427"	
"20152"	"4"	"100142"	"3"	"3"	"2,28188,1,28397,10,15660,14,15660,16,15660"	
"20153"	"4"	"100142"	"3"	"3"	"2,28607,1,28819,10,15893,14,15893,16,15893"	
"20154"	"4"	"100142"	"3"	"3"	"2,29026,1,29241,10,16125,14,16125,16,16125"	
"20155"	"4"	"100142"	"4"	"4"	"2,29445,1,29663,10,16358,14,16358,16,16358"	
"20156"	"4"	"100142"	"4"	"4"	"2,29864,1,30085,10,16591,14,16591,16,16591"	
"20157"	"4"	"100142"	"4"	"4"	"2,30283,1,30508,10,16824,14,16824,16,16824"	
"20158"	"4"	"100142"	"4"	"4"	"2,30702,1,30930,10,17057,14,17057,16,17057"	
"20159"	"4"	"100142"	"4"	"4"	"2,31122,1,31352,10,17290,14,17290,16,17290"	
"20160"	"4"	"100142"	"4"	"4"	"2,31541,1,31774,10,17522,14,17522,16,17522"	
"20161"	"4"	"100142"	"4"	"4"	"2,31960,1,32196,10,17755,14,17755,16,17755"	
"20162"	"4"	"100142"	"4"	"4"	"2,32379,1,32619,10,17988,14,17988,16,17988"	
"20163"	"4"	"100142"	"4"	"4"	"2,32798,1,33041,10,18221,14,18221,16,18221"	
"20164"	"4"	"100142"	"4"	"4"	"2,33217,1,33463,10,18454,14,18454,16,18454"	
"20165"	"4"	"100142"	"4"	"4"	"2,33636,1,33885,10,18686,14,18686,16,18686"	
"20166"	"4"	"100142"	"4"	"4"	"2,34055,1,34307,10,18919,14,18919,16,18919"	
"20167"	"4"	"100142"	"4"	"4"	"2,34474,1,34730,10,19152,14,19152,16,19152"	
"20168"	"4"	"100142"	"5"	"5"	"2,34893,1,35152,10,19385,14,19385,16,19385"	
"20169"	"4"	"100142"	"5"	"5"	"2,35312,1,35574,10,19618,14,19618,16,19618"	
"20170"	"4"	"100142"	"5"	"5"	"2,35732,1,35996,10,19851,14,19851,16,19851"	
"20171"	"4"	"100142"	"5"	"5"	"2,36151,1,36418,10,20083,14,20083,16,20083"	
"20172"	"4"	"100142"	"5"	"5"	"2,36570,1,36841,10,20316,14,20316,16,20316"	
"20173"	"4"	"100142"	"5"	"5"	"2,36989,1,37263,10,20549,14,20549,16,20549"	
"20174"	"4"	"100142"	"5"	"5"	"2,37408,1,37685,10,20782,14,20782,16,20782"	
"20175"	"4"	"100142"	"5"	"5"	"2,37827,1,38107,10,21015,14,21015,16,21015"	
"20176"	"4"	"100142"	"5"	"5"	"2,38246,1,38529,10,21248,14,21248,16,21248"	
"20177"	"4"	"100142"	"5"	"5"	"2,38665,1,38952,10,21480,14,21480,16,21480"	
"20178"	"4"	"100142"	"5"	"5"	"2,39084,1,39374,10,21713,14,21713,16,21713"	
"20179"	"4"	"100142"	"6"	"6"	"2,39503,1,39796,10,21946,14,21946,16,21946"	
"20180"	"4"	"100142"	"6"	"6"	"2,39922,1,40218,10,22179,14,22179,16,22179"	
"20181"	"4"	"100142"	"6"	"6"	"2,40342,1,40640,10,22412,14,22412,16,22412"	
"20182"	"4"	"100142"	"6"	"6"	"2,40761,1,41063,10,22645,14,22645,16,22645"	
"20183"	"4"	"100142"	"6"	"6"	"2,41180,1,41485,10,22877,14,22877,16,22877"	
"20184"	"4"	"100142"	"6"	"6"	"2,41599,1,41907,10,23110,14,23110,16,23110"	
"20185"	"4"	"100142"	"6"	"6"	"2,42018,1,42329,10,23343,14,23343,16,23343"	
"20186"	"4"	"100142"	"6"	"6"	"2,42437,1,42751,10,23576,14,23576,16,23576"	
"20187"	"4"	"100142"	"7"	"7"	"2,42856,1,43174,10,23809,14,23809,16,23809"	
"20188"	"4"	"100142"	"7"	"7"	"2,43275,1,43596,10,24042,14,24042,16,24042"	
"20189"	"4"	"100142"	"7"	"7"	"2,43694,1,44018,10,24274,14,24274,16,24274"	
"20190"	"4"	"100142"	"7"	"7"	"2,44113,1,44440,10,24507,14,24507,16,24507"	
"20191"	"4"	"100142"	"7"	"7"	"2,44532,1,44862,10,24740,14,24740,16,24740"	
"20192"	"4"	"100142"	"7"	"7"	"2,44952,1,45285,10,24973,14,24973,16,24973"	
"20193"	"4"	"100142"	"7"	"7"	"2,45371,1,45707,10,25206,14,25206,16,25206"	
"20194"	"4"	"100142"	"7"	"7"	"2,45790,1,46129,10,25439,14,25439,16,25439"	
"20195"	"4"	"100142"	"8"	"8"	"2,46209,1,46551,10,25671,14,25671,16,25671"	
"20196"	"4"	"100142"	"8"	"8"	"2,46628,1,46973,10,25904,14,25904,16,25904"	
"20197"	"4"	"100142"	"8"	"8"	"2,47047,1,47396,10,26137,14,26137,16,26137"	
"20198"	"4"	"100142"	"8"	"8"	"2,47466,1,47818,10,26370,14,26370,16,26370"	
"20199"	"4"	"100142"	"8"	"8"	"2,47885,1,48240,10,26603,14,26603,16,26603"	
"20200"	"4"	"100142"	"8"	"8"	"2,48304,1,48662,10,26836,14,26836,16,26836"	
"20201"	"5"	"100152"	"3"	"3"	"2,48723,1,49084,10,27068,14,27068,16,27068"	
"20202"	"5"	"100152"	"4"	"4"	"2,49109,1,49473,10,27282,14,27282,16,27282"	
"20203"	"5"	"100152"	"4"	"4"	"2,49494,1,49861,10,27497,14,27497,16,27497"	
"20204"	"5"	"100152"	"4"	"4"	"2,49880,1,50249,10,27711,14,27711,16,27711"	
"20205"	"5"	"100152"	"4"	"4"	"2,50265,1,50637,10,27925,14,27925,16,27925"	
"20206"	"5"	"100152"	"4"	"4"	"2,50650,1,51025,10,28139,14,28139,16,28139"	
"20207"	"5"	"100152"	"4"	"4"	"2,51036,1,51414,10,28353,14,28353,16,28353"	
"20208"	"5"	"100152"	"4"	"4"	"2,51421,1,51802,10,28567,14,28567,16,28567"	
"20209"	"5"	"100152"	"4"	"4"	"2,51806,1,52190,10,28781,14,28781,16,28781"	
"20210"	"5"	"100152"	"4"	"4"	"2,52192,1,52578,10,28995,14,28995,16,28995"	
"20211"	"5"	"100152"	"4"	"4"	"2,52577,1,52967,10,29209,14,29209,16,29209"	
"20212"	"5"	"100152"	"4"	"4"	"2,52963,1,53355,10,29423,14,29423,16,29423"	
"20213"	"5"	"100152"	"4"	"4"	"2,53348,1,53743,10,29637,14,29637,16,29637"	
"20214"	"5"	"100152"	"4"	"4"	"2,53733,1,54131,10,29852,14,29852,16,29852"	
"20215"	"5"	"100152"	"5"	"5"	"2,54119,1,54520,10,30066,14,30066,16,30066"	
"20216"	"5"	"100152"	"5"	"5"	"2,54504,1,54908,10,30280,14,30280,16,30280"	
"20217"	"5"	"100152"	"5"	"5"	"2,54889,1,55296,10,30494,14,30494,16,30494"	
"20218"	"5"	"100152"	"5"	"5"	"2,55275,1,55684,10,30708,14,30708,16,30708"	
"20219"	"5"	"100152"	"5"	"5"	"2,55660,1,56072,10,30922,14,30922,16,30922"	
"20220"	"5"	"100152"	"5"	"5"	"2,56045,1,56461,10,31136,14,31136,16,31136"	
"20221"	"5"	"100152"	"5"	"5"	"2,56431,1,56849,10,31350,14,31350,16,31350"	
"20222"	"5"	"100152"	"5"	"5"	"2,56816,1,57237,10,31564,14,31564,16,31564"	
"20223"	"5"	"100152"	"5"	"5"	"2,57202,1,57625,10,31778,14,31778,16,31778"	
"20224"	"5"	"100152"	"5"	"5"	"2,57587,1,58014,10,31993,14,31993,16,31993"	
"20225"	"5"	"100152"	"5"	"5"	"2,57972,1,58402,10,32207,14,32207,16,32207"	
"20226"	"5"	"100152"	"6"	"6"	"2,58358,1,58790,10,32421,14,32421,16,32421"	
"20227"	"5"	"100152"	"6"	"6"	"2,58743,1,59178,10,32635,14,32635,16,32635"	
"20228"	"5"	"100152"	"6"	"6"	"2,59128,1,59566,10,32849,14,32849,16,32849"	
"20229"	"5"	"100152"	"6"	"6"	"2,59514,1,59955,10,33063,14,33063,16,33063"	
"20230"	"5"	"100152"	"6"	"6"	"2,59899,1,60343,10,33277,14,33277,16,33277"	
"20231"	"5"	"100152"	"6"	"6"	"2,60285,1,60731,10,33491,14,33491,16,33491"	
"20232"	"5"	"100152"	"6"	"6"	"2,60670,1,61119,10,33705,14,33705,16,33705"	
"20233"	"5"	"100152"	"6"	"6"	"2,61055,1,61508,10,33919,14,33919,16,33919"	
"20234"	"5"	"100152"	"7"	"7"	"2,61441,1,61896,10,34133,14,34133,16,34133"	
"20235"	"5"	"100152"	"7"	"7"	"2,61826,1,62284,10,34348,14,34348,16,34348"	
"20236"	"5"	"100152"	"7"	"7"	"2,62211,1,62672,10,34562,14,34562,16,34562"	
"20237"	"5"	"100152"	"7"	"7"	"2,62597,1,63060,10,34776,14,34776,16,34776"	
"20238"	"5"	"100152"	"7"	"7"	"2,62982,1,63449,10,34990,14,34990,16,34990"	
"20239"	"5"	"100152"	"7"	"7"	"2,63368,1,63837,10,35204,14,35204,16,35204"	
"20240"	"5"	"100152"	"7"	"7"	"2,63753,1,64225,10,35418,14,35418,16,35418"	
"20241"	"5"	"100152"	"7"	"7"	"2,64138,1,64613,10,35632,14,35632,16,35632"	
"20242"	"5"	"100152"	"8"	"8"	"2,64524,1,65002,10,35846,14,35846,16,35846"	
"20243"	"5"	"100152"	"8"	"8"	"2,64909,1,65390,10,36060,14,36060,16,36060"	
"20244"	"5"	"100152"	"8"	"8"	"2,65294,1,65778,10,36274,14,36274,16,36274"	
"20245"	"5"	"100152"	"8"	"8"	"2,65680,1,66166,10,36489,14,36489,16,36489"	
"20246"	"5"	"100152"	"8"	"8"	"2,66065,1,66555,10,36703,14,36703,16,36703"	
"20247"	"5"	"100152"	"8"	"8"	"2,66451,1,66943,10,36917,14,36917,16,36917"	
"20248"	"5"	"100152"	"9"	"9"	"2,66836,1,67331,10,37131,14,37131,16,37131"	
"20249"	"5"	"100152"	"9"	"9"	"2,67221,1,67719,10,37345,14,37345,16,37345"	
"20250"	"5"	"100152"	"0"	"0"	"2,67607,1,68107,10,37559,14,37559,16,37559"	
"30001"	"1"	"100113"	"1"	"1"	"1,0,0,0,8,0,18,0,16,0"	
"30002"	"1"	"100113"	"2"	"2"	"1,144,0,1590,8,66,18,66,16,66"	
"30003"	"1"	"100113"	"2"	"2"	"1,289,0,3180,8,132,18,132,16,132"	
"30004"	"1"	"100113"	"2"	"2"	"1,434,0,4770,8,198,18,198,16,198"	
"30005"	"1"	"100113"	"2"	"2"	"1,579,0,6360,8,265,18,265,16,265"	
"30006"	"1"	"100113"	"2"	"2"	"1,724,0,7950,8,331,18,331,16,331"	
"30007"	"1"	"100113"	"2"	"2"	"1,869,0,9541,8,397,18,397,16,397"	
"30008"	"1"	"100113"	"2"	"2"	"1,1014,0,11131,8,463,18,463,16,463"	
"30009"	"1"	"100113"	"2"	"2"	"1,1159,0,12721,8,530,18,530,16,530"	
"30010"	"1"	"100113"	"2"	"2"	"1,1303,0,14311,8,596,18,596,16,596"	
"30011"	"1"	"100113"	"2"	"2"	"1,1448,0,15901,8,662,18,662,16,662"	
"30012"	"1"	"100113"	"2"	"2"	"1,1593,0,17492,8,728,18,728,16,728"	
"30013"	"1"	"100113"	"2"	"2"	"1,1738,0,19082,8,795,18,795,16,795"	
"30014"	"1"	"100113"	"2"	"2"	"1,1883,0,20672,8,861,18,861,16,861"	
"30015"	"1"	"100113"	"2"	"2"	"1,2028,0,22262,8,927,18,927,16,927"	
"30016"	"1"	"100113"	"2"	"2"	"1,2173,0,23852,8,993,18,993,16,993"	
"30017"	"1"	"100113"	"2"	"2"	"1,2318,0,25443,8,1060,18,1060,16,1060"	
"30018"	"1"	"100113"	"2"	"2"	"1,2463,0,27033,8,1126,18,1126,16,1126"	
"30019"	"1"	"100113"	"2"	"2"	"1,2607,0,28623,8,1192,18,1192,16,1192"	
"30020"	"1"	"100113"	"2"	"2"	"1,2752,0,30213,8,1258,18,1258,16,1258"	
"30021"	"1"	"100113"	"3"	"3"	"1,2897,0,31803,8,1325,18,1325,16,1325"	
"30022"	"1"	"100113"	"3"	"3"	"1,3042,0,33394,8,1391,18,1391,16,1391"	
"30023"	"1"	"100113"	"3"	"3"	"1,3187,0,34984,8,1457,18,1457,16,1457"	
"30024"	"1"	"100113"	"3"	"3"	"1,3332,0,36574,8,1523,18,1523,16,1523"	
"30025"	"1"	"100113"	"3"	"3"	"1,3477,0,38164,8,1590,18,1590,16,1590"	
"30026"	"1"	"100113"	"3"	"3"	"1,3622,0,39754,8,1656,18,1656,16,1656"	
"30027"	"1"	"100113"	"3"	"3"	"1,3767,0,41345,8,1722,18,1722,16,1722"	
"30028"	"1"	"100113"	"3"	"3"	"1,3911,0,42935,8,1788,18,1788,16,1788"	
"30029"	"1"	"100113"	"3"	"3"	"1,4056,0,44525,8,1855,18,1855,16,1855"	
"30030"	"1"	"100113"	"3"	"3"	"1,4201,0,46115,8,1921,18,1921,16,1921"	
"30031"	"1"	"100113"	"3"	"3"	"1,4346,0,47705,8,1987,18,1987,16,1987"	
"30032"	"1"	"100113"	"3"	"3"	"1,4491,0,49296,8,2054,18,2054,16,2054"	
"30033"	"1"	"100113"	"3"	"3"	"1,4636,0,50886,8,2120,18,2120,16,2120"	
"30034"	"1"	"100113"	"3"	"3"	"1,4781,0,52476,8,2186,18,2186,16,2186"	
"30035"	"1"	"100113"	"4"	"4"	"1,4926,0,54066,8,2252,18,2252,16,2252"	
"30036"	"1"	"100113"	"4"	"4"	"1,5070,0,55656,8,2319,18,2319,16,2319"	
"30037"	"1"	"100113"	"4"	"4"	"1,5215,0,57247,8,2385,18,2385,16,2385"	
"30038"	"1"	"100113"	"4"	"4"	"1,5360,0,58837,8,2451,18,2451,16,2451"	
"30039"	"1"	"100113"	"4"	"4"	"1,5505,0,60427,8,2517,18,2517,16,2517"	
"30040"	"1"	"100113"	"4"	"4"	"1,5650,0,62017,8,2584,18,2584,16,2584"	
"30041"	"1"	"100113"	"4"	"4"	"1,5795,0,63607,8,2650,18,2650,16,2650"	
"30042"	"1"	"100113"	"4"	"4"	"1,5940,0,65198,8,2716,18,2716,16,2716"	
"30043"	"1"	"100113"	"4"	"4"	"1,6085,0,66788,8,2782,18,2782,16,2782"	
"30044"	"1"	"100113"	"4"	"4"	"1,6230,0,68378,8,2849,18,2849,16,2849"	
"30045"	"1"	"100113"	"5"	"5"	"1,6374,0,69968,8,2915,18,2915,16,2915"	
"30046"	"1"	"100113"	"5"	"5"	"1,6519,0,71558,8,2981,18,2981,16,2981"	
"30047"	"1"	"100113"	"5"	"5"	"1,6664,0,73149,8,3047,18,3047,16,3047"	
