"ID,40000-44999给骑龙和龙的技能，45000到45999给坐骑"	"名称"	"描述"	"描述参数"	"图集ID"	"图标ID"	"是否显示图标"	"友好度0=良性,1=负面,2=中立"	"由Magic对象管理"	"切换场景结束"	"死亡结束"	"下线结束"	"下线计时"	"下龙消失(用于控制龙主动技能产生的buff)"	"组ID，注意如果是光环的话，代表被光环笼罩产生的buff的组"	"组中优先级0为最低"	"同id共存方式0=叠加,1=冲抵,2=免疫,3=共存(只用于龙的被动技)4=刷新已存的buff时间"	"光环标志0x01=可叠加，0x02=他人不可见"	"默认叠加层数"	"叠加层数上限"	"光环目标1=单体；2=敌人；4=友军；8=中立"	"光环持续时间"	"光环生效半径只对光环类型是计时型的起作用。次数型光环均是个人光环。"	"光环更新时间光环刷新时只修改目标列表"	"是否为限制效果"	"效果1ID"	"效果2ID"	"效果3ID"	"效果4ID"	"效果5ID"	"效果6ID"	"客户端效果"	"生效场景--不配表示所有场景中生效--否则仅在配置场景中生效"	"效果添加对象5：人2：dummy4：马"	"状态分类0=无1=定身状态2=中毒状态3=眩晕状态4=缓速状态"	"客户端效果是否叠加如果光环是多层的，那么表现效果是否按照层数叠加"	
"12202010"	"五虎断门最后一击地面地刺攻击"	""	""	""	""	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"2"	"0"	"1"	"0"	"1"	"1200"	"0.000000"	"1200"	"0"	"12202010"	"-1"	"-1"	"-1"	"-1"	"-1"	"12202010"	""	"5"	"0"	"0"	
"12203000"	"九龙破空目标拉近"	""	""	""	""	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"2"	"0"	"1"	"0"	"1"	"100"	"0.000000"	"1000"	"0"	"12203000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"12203010"	"九龙破空目标眩晕技能"	""	""	""	""	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"2"	"0"	"1"	"0"	"1"	"100"	"0.000000"	"1000"	"0"	"12203010"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"12203011"	"气吞山河"	"眩晕中，无法执行任何指令，持续[green]${0},8$[white]秒。"	"[[`aura`,12203011,0,`auraTime`]]"	"BuffAtlas"	"newbuff48"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"5000"	"4"	"0"	"1"	"0"	"1"	"1000"	"0.000000"	"1000"	"1"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1004"	""	"5"	"3"	"0"	
"12203020"	"天下无双"	"免疫眩晕效果，持续[green]${0},8$[white]秒。"	"[[`aura`,12203020,0,`auraTime`]]"	"BuffAtlas"	"newbuff55"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"100000"	"2"	"0"	"1"	"0"	"1"	"6000"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1030"	""	"5"	"0"	"0"	
"12204000"	"精准打击"	"穿透值增加[green]${0},7$[white]，持续[green]${1},8$[white]秒。"	"[[`aura_effect_id`,12204000,`para4`],[`aura`,12204000,0,`auraTime`]]"	"BuffAtlas"	"newbuff1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"2"	"0"	"1"	"0"	"1"	"8000"	"0.000000"	"1000"	"0"	"12204000"	"-1"	"-1"	"-1"	"-1"	"-1"	"1017"	""	"5"	"0"	"0"	
"19011010"	"疾风攻击"	"璇光斩增加自身[green]20%[white]移动速度，持续[green]2[white]秒"	""	"BuffAtlas"	"buff_sdzj"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19011020"	"火焰之刃"	"五岳连横将会在区域内留下[green]5[white]秒火焰残留，对其中的敌人造成每秒[green]5%[white]伤害"	""	"BuffAtlas"	"newbuff57"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19011030"	"死亡旋风"	"剑啸风花期间，周围敌人降低[green]40%[white]移动速度"	""	"BuffAtlas"	"newbuff14"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19011040"	"星河闪耀"	"星河流光增加自身[green]50%[white]移动速度，持续[green]5[white]秒"	""	"BuffAtlas"	"newbuff48"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19011050"	"弱点攻击"	"妙转乾坤增加自身[green]5%[white]暴击率，持续[green]8[white]秒"	""	"BuffAtlas"	"newbuff23"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19011060"	"魅影一击"	"五岳连横及后续的技能增加[green]15%[white]命中率"	""	"BuffAtlas"	"newbuff45"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19011070"	"暴风突袭"	"星河流光会使目标定身[green]2[white]秒"	""	"BuffAtlas"	"newbuff68"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19011080"	"离别之舞"	"剑啸风花会对伤害到的敌人叠加持续伤害，每层[green]3%[white]伤害"	""	"BuffAtlas"	"newbuff34"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19011090"	"飓风之守护"	"星河流光可以解除减速状态，并使自身在接下来的[green]4[white]秒内免疫减速"	""	"BuffAtlas"	"buff_hdlan"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19012010"	"残废打击"	"连环枪减少目标[green]15%[white]移动速度，持续[green]2[white]秒"	""	"BuffAtlas"	"buff_jiansu"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19012020"	"破碎攻击"	"气动山河降低敌人[green]15%[white]防御，持续[green]4[white]秒"	""	"BuffAtlas"	"newbuff19"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19012030"	"撕裂伤害"	"五虎断门附带每秒[green]6%[white]的持续伤害，持续[green]5[white]秒"	""	"BuffAtlas"	"newbuff35"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19012040"	"两机反转"	"九龙破空获得将附近的敌人拉到自己身边的效果"	""	"BuffAtlas"	"newbuff29"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19012050"	"强力穿透"	"天影飞梭增加自身[green]5%[white]穿透率，持续[green]8[white]秒"	""	"BuffAtlas"	"newbuff50"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19012060"	"真气铠甲"	"气动山河增加自身[green]8%[white]格挡率，持续[green]4[white]秒"	""	"BuffAtlas"	"buff_dazuo"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19012070"	"气吞山河"	"九龙破空将会击晕敌人[green]1[white]秒"	""	"BuffAtlas"	"newbuff27"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19012080"	"乱石穿空"	"五虎断门额外产生一次穿刺攻击，造成[green]30%[white]伤害"	""	"BuffAtlas"	"newbuff9"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19012090"	"天下无双"	"九龙破空将会使自身在[green]6[white]秒内免疫眩晕效果"	""	"BuffAtlas"	"newbuff31"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19013010"	"迟缓攻击"	"普庵咒减少目标[green]10%[white]移动速度，持续[green]2[white]秒"	""	"BuffAtlas"	"newbuff24"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19013020"	"内伤爆裂"	"风雷引附带每秒[green]4%[white]的持续伤害，持续[green]5[white]秒"	""	"BuffAtlas"	"newbuff67"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19013030"	"疾风之力"	"十方天音增加自身[green]20%[white]移动速度，持续[green]3.5[white]秒"	""	"BuffAtlas"	"newbuff45"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19013040"	"冰霜坠落"	"沧海龙吟额外增加1次攻击，造成[green]50%[white]伤害"	""	"item_skill_png2"	"bingtianxuedi"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19013050"	"精准打击"	"烟雨逍遥增加自身[green]5%[white]命中率，持续[green]8[white]秒"	""	"BuffAtlas"	"newbuff47"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19013060"	"回响爆裂"	"风雷引额外产生一次爆炸，造成[green]20%[white]伤害"	""	"BuffAtlas"	"newbuff8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19013070"	"寒冰爆发"	"沧海龙吟会将自身周围的敌人冰冻[green]0.8[white]秒"	""	"BuffAtlas"	"buff_bingdong"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19013080"	"强袭飓风"	"十方天音附带将周围的敌人卷入其中的效果"	""	"BuffAtlas"	"newbuff59"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"19013090"	"神行百变"	"沧海龙吟会改变自身的位置，随机出现在施法位置的周围"	""	"BuffAtlas"	"newbuff46"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"20000100"	"避战"	"攻击带有[green]蓄力[white]的目标时，降低50%伤害"	""	"BuffAtlas"	"newbuff59"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"30000"	"0.000000"	"1000"	"0"	"20000100"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"20000200"	"避战"	"攻击带有[green]集气[white]的目标时，降低50%伤害"	""	"BuffAtlas"	"newbuff60"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"30000"	"0.000000"	"1000"	"0"	"20000200"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"20000300"	"避战"	"自身带有[green]虚弱[white]时，降低50%伤害"	""	"BuffAtlas"	"newbuff61"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"30000"	"0.000000"	"1000"	"0"	"20000300"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"20000400"	"避战"	"自身带有[green]破甲[white]时，降低50%伤害"	""	"BuffAtlas"	"newbuff62"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"30000"	"0.000000"	"1000"	"0"	"20000400"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"25001000"	"眩晕中"	"眩晕中，无法执行任何指令，持续[green]${0},8$[white]秒。"	"[[`aura`,25001000,0,`auraTime`]]"	"BuffAtlas"	"newbuff48"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"5000"	"1"	"0"	"1"	"0"	"1"	"3200"	"0.000000"	"1000"	"1"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1004"	""	"5"	"3"	"0"	
"25001010"	"眩晕中"	"眩晕中，无法执行任何指令，持续[green]${0},8$[white]秒。"	"[[`aura`,25001010,0,`auraTime`]]"	"BuffAtlas"	"newbuff48"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"5000"	"1"	"0"	"1"	"0"	"1"	"3400"	"0.000000"	"1000"	"1"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1004"	""	"5"	"3"	"0"	
"25001020"	"眩晕中"	"眩晕中，无法执行任何指令，持续[green]${0},8$[white]秒。"	"[[`aura`,25001020,0,`auraTime`]]"	"BuffAtlas"	"newbuff48"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"5000"	"1"	"0"	"1"	"0"	"1"	"3600"	"0.000000"	"1000"	"1"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1004"	""	"5"	"3"	"0"	
"25001030"	"眩晕中"	"眩晕中，无法执行任何指令，持续[green]${0},8$[white]秒。"	"[[`aura`,25001030,0,`auraTime`]]"	"BuffAtlas"	"newbuff48"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"5000"	"1"	"0"	"1"	"0"	"1"	"3800"	"0.000000"	"1000"	"1"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1004"	""	"5"	"3"	"0"	
"25001040"	"眩晕中"	"眩晕中，无法执行任何指令，持续[green]${0},8$[white]秒。"	"[[`aura`,25001040,0,`auraTime`]]"	"BuffAtlas"	"newbuff48"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"5000"	"1"	"0"	"1"	"0"	"1"	"4000"	"0.000000"	"1000"	"1"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1004"	""	"5"	"3"	"0"	
"25001050"	"眩晕中"	"眩晕中，无法执行任何指令，持续[green]${0},8$[white]秒。"	"[[`aura`,25001050,0,`auraTime`]]"	"BuffAtlas"	"newbuff48"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"5000"	"1"	"0"	"1"	"0"	"1"	"4200"	"0.000000"	"1000"	"1"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1004"	""	"5"	"3"	"0"	
"25001060"	"眩晕中"	"眩晕中，无法执行任何指令，持续[green]${0},8$[white]秒。"	"[[`aura`,25001060,0,`auraTime`]]"	"BuffAtlas"	"newbuff48"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"5000"	"1"	"0"	"1"	"0"	"1"	"4400"	"0.000000"	"1000"	"1"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1004"	""	"5"	"3"	"0"	
"25001070"	"眩晕中"	"眩晕中，无法执行任何指令，持续[green]${0},8$[white]秒。"	"[[`aura`,25001070,0,`auraTime`]]"	"BuffAtlas"	"newbuff48"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"5000"	"1"	"0"	"1"	"0"	"1"	"4600"	"0.000000"	"1000"	"1"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1004"	""	"5"	"3"	"0"	
"25001080"	"眩晕中"	"眩晕中，无法执行任何指令，持续[green]${0},8$[white]秒。"	"[[`aura`,25001080,0,`auraTime`]]"	"BuffAtlas"	"newbuff48"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"5000"	"1"	"0"	"1"	"0"	"1"	"4800"	"0.000000"	"1000"	"1"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1004"	""	"5"	"3"	"0"	
"25001090"	"眩晕中"	"眩晕中，无法执行任何指令，持续[green]${0},8$[white]秒。"	"[[`aura`,25001090,0,`auraTime`]]"	"BuffAtlas"	"newbuff48"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"5000"	"1"	"0"	"1"	"0"	"1"	"5000"	"0.000000"	"1000"	"1"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1004"	""	"5"	"3"	"0"	
"25002000"	"乾坤神佑"	"自身攻击力提升[green]${0},7$[white]，持续[green]${1},8$[white]秒。"	"[[`aura_effect_id`,25002000,`para4`],[`aura`,25002000,0,`auraTime`]]"	"BuffAtlas"	"newbuff22"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"12"	"1"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"25002000"	"-1"	"-1"	"-1"	"-1"	"-1"	"25002000"	""	"5"	"0"	"0"	
"25002010"	"乾坤神佑"	"自身攻击力提升[green]${0},7$[white]，持续[green]${1},8$[white]秒。"	"[[`aura_effect_id`,25002010,`para4`],[`aura`,25002010,0,`auraTime`]]"	"BuffAtlas"	"newbuff22"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"12"	"1"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"25002010"	"-1"	"-1"	"-1"	"-1"	"-1"	"25002000"	""	"5"	"0"	"0"	
"25002020"	"乾坤神佑"	"自身攻击力提升[green]${0},7$[white]，持续[green]${1},8$[white]秒。"	"[[`aura_effect_id`,25002020,`para4`],[`aura`,25002020,0,`auraTime`]]"	"BuffAtlas"	"newbuff22"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"12"	"1"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"25002020"	"-1"	"-1"	"-1"	"-1"	"-1"	"25002000"	""	"5"	"0"	"0"	
"25002030"	"乾坤神佑"	"自身攻击力提升[green]${0},7$[white]，持续[green]${1},8$[white]秒。"	"[[`aura_effect_id`,25002030,`para4`],[`aura`,25002030,0,`auraTime`]]"	"BuffAtlas"	"newbuff22"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"12"	"1"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"25002030"	"-1"	"-1"	"-1"	"-1"	"-1"	"25002000"	""	"5"	"0"	"0"	
"25002040"	"乾坤神佑"	"自身攻击力提升[green]${0},7$[white]，持续[green]${1},8$[white]秒。"	"[[`aura_effect_id`,25002040,`para4`],[`aura`,25002040,0,`auraTime`]]"	"BuffAtlas"	"newbuff22"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"12"	"1"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"25002040"	"-1"	"-1"	"-1"	"-1"	"-1"	"25002000"	""	"5"	"0"	"0"	
"25002050"	"乾坤神佑"	"自身攻击力提升[green]${0},7$[white]，持续[green]${1},8$[white]秒。"	"[[`aura_effect_id`,25002050,`para4`],[`aura`,25002050,0,`auraTime`]]"	"BuffAtlas"	"newbuff22"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"12"	"1"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"25002050"	"-1"	"-1"	"-1"	"-1"	"-1"	"25002000"	""	"5"	"0"	"0"	
"25002060"	"乾坤神佑"	"自身攻击力提升[green]${0},7$[white]，持续[green]${1},8$[white]秒。"	"[[`aura_effect_id`,25002060,`para4`],[`aura`,25002060,0,`auraTime`]]"	"BuffAtlas"	"newbuff22"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"12"	"1"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"25002060"	"-1"	"-1"	"-1"	"-1"	"-1"	"25002000"	""	"5"	"0"	"0"	
"25002070"	"乾坤神佑"	"自身攻击力提升[green]${0},7$[white]，持续[green]${1},8$[white]秒。"	"[[`aura_effect_id`,25002070,`para4`],[`aura`,25002070,0,`auraTime`]]"	"BuffAtlas"	"newbuff22"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"12"	"1"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"25002070"	"-1"	"-1"	"-1"	"-1"	"-1"	"25002000"	""	"5"	"0"	"0"	
"25002080"	"乾坤神佑"	"自身攻击力提升[green]${0},7$[white]，持续[green]${1},8$[white]秒。"	"[[`aura_effect_id`,25002080,`para4`],[`aura`,25002080,0,`auraTime`]]"	"BuffAtlas"	"newbuff22"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"12"	"1"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"25002080"	"-1"	"-1"	"-1"	"-1"	"-1"	"25002000"	""	"5"	"0"	"0"	
"25002090"	"乾坤神佑"	"自身攻击力提升[green]${0},7$[white]，持续[green]${1},8$[white]秒。"	"[[`aura_effect_id`,25002090,`para4`],[`aura`,25002009,0,`auraTime`]]"	"BuffAtlas"	"newbuff22"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"12"	"1"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"25002090"	"-1"	"-1"	"-1"	"-1"	"-1"	"25002000"	""	"5"	"0"	"0"	
"25003000"	"防护罩"	"自身防御力提升[green]${0},7$[white]，持续[green]${1},8$[white]秒。"	"[[`aura_effect_id`,25003000,`para4`],[`aura`,25003000,0,`auraTime`]]"	"BuffAtlas"	"newbuff58"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"5"	"20000"	"6.000000"	"1000"	"0"	"25003000"	"25003999"	"-1"	"-1"	"-1"	"-1"	"25003000"	""	"5"	"0"	"0"	
"25003010"	"防护罩"	"自身防御力提升[green]${0},7$[white]，持续[green]${1},8$[white]秒。"	"[[`aura_effect_id`,25003010,`para4`],[`aura`,25003010,0,`auraTime`]]"	"BuffAtlas"	"newbuff58"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"5"	"20000"	"6.000000"	"1000"	"0"	"25003010"	"25003999"	"-1"	"-1"	"-1"	"-1"	"25003000"	""	"5"	"0"	"0"	
"25003020"	"防护罩"	"自身防御力提升[green]${0},7$[white]，持续[green]${1},8$[white]秒。"	"[[`aura_effect_id`,25003020,`para4`],[`aura`,25003020,0,`auraTime`]]"	"BuffAtlas"	"newbuff58"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"5"	"20000"	"6.000000"	"1000"	"0"	"25003020"	"25003999"	"-1"	"-1"	"-1"	"-1"	"25003000"	""	"5"	"0"	"0"	
"25003030"	"防护罩"	"自身防御力提升[green]${0},7$[white]，持续[green]${1},8$[white]秒。"	"[[`aura_effect_id`,25003030,`para4`],[`aura`,25003030,0,`auraTime`]]"	"BuffAtlas"	"newbuff58"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"5"	"20000"	"6.000000"	"1000"	"0"	"25003030"	"25003999"	"-1"	"-1"	"-1"	"-1"	"25003000"	""	"5"	"0"	"0"	
"25003040"	"防护罩"	"自身防御力提升[green]${0},7$[white]，持续[green]${1},8$[white]秒。"	"[[`aura_effect_id`,25003040,`para4`],[`aura`,25003040,0,`auraTime`]]"	"BuffAtlas"	"newbuff58"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"5"	"20000"	"6.000000"	"1000"	"0"	"25003040"	"25003999"	"-1"	"-1"	"-1"	"-1"	"25003000"	""	"5"	"0"	"0"	
