"层数"	"生命比例"	"物理攻击力比例"	"物理防御力比例"	"魔法攻击力比例"	"魔法防御力比例"	"命中值比例"	"闪避值比例"	"暴击值比例"	"韧性值比例"	"穿透值比例"	"格挡值比例"	"暴击伤害值比例"	"暴击抵抗值比例"	"火抗比例"	"冰抗比例"	"电抗比例"	"毒抗比例"	""	""	""	""	
"79"	"6,1,70.23"	"8,1,3.8"	"10,1,30"	"9,1,1.113"	"11,1,30"	"12,1,29"	"14,1,1.37"	"16,1,1.71"	"18,1,1.71"	"20,1,1.71"	"22,1,1.71"	"24,1,1.71"	"26,1,1.71"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"80"	"6,1,75"	"8,1,10"	"10,1,31"	"9,1,1.114"	"11,1,31"	"12,1,30"	"14,1,1.42"	"16,1,1.72"	"18,1,1.72"	"20,1,1.72"	"22,1,1.72"	"24,1,1.72"	"26,1,1.72"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"81"	"6,1,100"	"8,1,4"	"10,1,32"	"9,1,1.115"	"11,1,32"	"12,1,31"	"14,1,1"	"16,1,1.73"	"18,1,1.73"	"20,1,1.73"	"22,1,1.73"	"24,1,1.73"	"26,1,1.73"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"82"	"6,1,110"	"8,1,5"	"10,1,33"	"9,1,1.116"	"11,1,33"	"12,1,32"	"14,1,1.04"	"16,1,1.74"	"18,1,1.74"	"20,1,1.74"	"22,1,1.74"	"24,1,1.74"	"26,1,1.74"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"83"	"6,1,115"	"8,1,6"	"10,1,34"	"9,1,1.117"	"11,1,34"	"12,1,33"	"14,1,1.08"	"16,1,1.75"	"18,1,1.75"	"20,1,1.75"	"22,1,1.75"	"24,1,1.75"	"26,1,1.75"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"84"	"6,1,120"	"8,1,7"	"10,1,35"	"9,1,1.118"	"11,1,35"	"12,1,34"	"14,1,1.12"	"16,1,1.76"	"18,1,1.76"	"20,1,1.76"	"22,1,1.76"	"24,1,1.76"	"26,1,1.76"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"85"	"6,1,125"	"8,1,8"	"10,1,36"	"9,1,1.119"	"11,1,36"	"12,1,35"	"14,1,1.17"	"16,1,1.77"	"18,1,1.77"	"20,1,1.77"	"22,1,1.77"	"24,1,1.77"	"26,1,1.77"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"86"	"6,1,130"	"8,1,9"	"10,1,37"	"9,1,1.120"	"11,1,37"	"12,1,36"	"14,1,1.22"	"16,1,1.78"	"18,1,1.78"	"20,1,1.78"	"22,1,1.78"	"24,1,1.78"	"26,1,1.78"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"87"	"6,1,140"	"8,1,10"	"10,1,38"	"9,1,1.121"	"11,1,38"	"12,1,37"	"14,1,1.27"	"16,1,1.79"	"18,1,1.79"	"20,1,1.79"	"22,1,1.79"	"24,1,1.79"	"26,1,1.79"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"88"	"6,1,150"	"8,1,11"	"10,1,39"	"9,1,1.122"	"11,1,39"	"12,1,38"	"14,1,1.32"	"16,1,1.80"	"18,1,1.80"	"20,1,1.80"	"22,1,1.80"	"24,1,1.80"	"26,1,1.80"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"89"	"6,1,160"	"8,1,12"	"10,1,40"	"9,1,1.123"	"11,1,40"	"12,1,39"	"14,1,1.37"	"16,1,1.81"	"18,1,1.81"	"20,1,1.81"	"22,1,1.81"	"24,1,1.81"	"26,1,1.81"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"90"	"6,1,200"	"8,1,50"	"10,1,41"	"9,1,1.124"	"11,1,41"	"12,1,40"	"14,1,1.42"	"16,1,1.82"	"18,1,1.82"	"20,1,1.82"	"22,1,1.82"	"24,1,1.82"	"26,1,1.82"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"91"	"6,1,220"	"8,1,54"	"10,1,42"	"9,1,1.125"	"11,1,42"	"12,1,41"	"14,1,1"	"16,1,1.83"	"18,1,1.83"	"20,1,1.83"	"22,1,1.83"	"24,1,1.83"	"26,1,1.83"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"92"	"6,1,240"	"8,1,65"	"10,1,43"	"9,1,1.126"	"11,1,43"	"12,1,42"	"14,1,1.04"	"16,1,1.84"	"18,1,1.84"	"20,1,1.84"	"22,1,1.84"	"24,1,1.84"	"26,1,1.84"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"93"	"6,1,260"	"8,1,74"	"10,1,44"	"9,1,1.127"	"11,1,44"	"12,1,43"	"14,1,1.08"	"16,1,1.85"	"18,1,1.85"	"20,1,1.85"	"22,1,1.85"	"24,1,1.85"	"26,1,1.85"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"94"	"6,1,300"	"8,1,78"	"10,1,45"	"9,1,1.128"	"11,1,45"	"12,1,44"	"14,1,1.12"	"16,1,1.86"	"18,1,1.86"	"20,1,1.86"	"22,1,1.86"	"24,1,1.86"	"26,1,1.86"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"95"	"6,1,400"	"8,1,80"	"10,1,46"	"9,1,1.129"	"11,1,46"	"12,1,45"	"14,1,1.17"	"16,1,1.87"	"18,1,1.87"	"20,1,1.87"	"22,1,1.87"	"24,1,1.87"	"26,1,1.87"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"96"	"6,1,500"	"8,1,84"	"10,1,47"	"9,1,1.130"	"11,1,47"	"12,1,46"	"14,1,1.22"	"16,1,1.88"	"18,1,1.88"	"20,1,1.88"	"22,1,1.88"	"24,1,1.88"	"26,1,1.88"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"97"	"6,1,600"	"8,1,87"	"10,1,48"	"9,1,1.131"	"11,1,48"	"12,1,47"	"14,1,1.27"	"16,1,1.89"	"18,1,1.89"	"20,1,1.89"	"22,1,1.89"	"24,1,1.89"	"26,1,1.89"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"98"	"6,1,700"	"8,1,92"	"10,1,49"	"9,1,1.132"	"11,1,49"	"12,1,48"	"14,1,1.32"	"16,1,1.90"	"18,1,1.90"	"20,1,1.90"	"22,1,1.90"	"24,1,1.90"	"26,1,1.90"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"99"	"6,1,900"	"8,1,95"	"10,1,50"	"9,1,1.133"	"11,1,50"	"12,1,49"	"14,1,1.37"	"16,1,1.91"	"18,1,1.91"	"20,1,1.91"	"22,1,1.91"	"24,1,1.91"	"26,1,1.91"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"100"	"6,1,1000"	"8,1,100"	"10,1,51"	"9,1,1.134"	"11,1,51"	"12,1,50"	"14,1,2"	"16,1,1.92"	"18,1,1.92"	"20,1,1.92"	"22,1,1.92"	"24,1,1.92"	"26,1,1.92"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
