"提炼ID"	"提炼等级"	"提炼节点"	"升级经验"	"加成属性_1"	"加成属性_2"	"加成属性_3"	"加成属性_4"	"加成属性_5"	"加成属性_6"	"加成属性_7"	
"181"	"19"	"1"	"1520"	"0,0,173450"	"1,0,8672"	"2,0,4336"	"8,0,520"	"10,0,520"	"18,0,520"	"16,0,520"	
"182"	"19"	"2"	"1520"	"0,0,175407"	"1,0,8770"	"2,0,4385"	"8,0,526"	"10,0,526"	"18,0,526"	"16,0,526"	
"183"	"19"	"3"	"1520"	"0,0,177364"	"1,0,8868"	"2,0,4434"	"8,0,532"	"10,0,532"	"18,0,532"	"16,0,532"	
"184"	"19"	"4"	"1520"	"0,0,179320"	"1,0,8966"	"2,0,4483"	"8,0,537"	"10,0,537"	"18,0,537"	"16,0,537"	
"185"	"19"	"5"	"1520"	"0,0,181283"	"1,0,9064"	"2,0,4532"	"8,0,543"	"10,0,543"	"18,0,543"	"16,0,543"	
"186"	"19"	"6"	"1520"	"0,0,183240"	"1,0,9162"	"2,0,4581"	"8,0,549"	"10,0,549"	"18,0,549"	"16,0,549"	
"187"	"19"	"7"	"1520"	"0,0,185197"	"1,0,9259"	"2,0,4629"	"8,0,555"	"10,0,555"	"18,0,555"	"16,0,555"	
"188"	"19"	"8"	"1520"	"0,0,187154"	"1,0,9357"	"2,0,4678"	"8,0,561"	"10,0,561"	"18,0,561"	"16,0,561"	
"189"	"19"	"9"	"1520"	"0,0,189117"	"1,0,9455"	"2,0,4727"	"8,0,567"	"10,0,567"	"18,0,567"	"16,0,567"	
"190"	"19"	"10"	"1520"	"0,0,191074"	"1,0,9553"	"2,0,4776"	"8,0,573"	"10,0,573"	"18,0,573"	"16,0,573"	
"191"	"20"	"1"	"1680"	"0,0,193135"	"1,0,9656"	"2,0,4828"	"8,0,579"	"10,0,579"	"18,0,579"	"16,0,579"	
"192"	"20"	"2"	"1680"	"0,0,195203"	"1,0,9760"	"2,0,4880"	"8,0,585"	"10,0,585"	"18,0,585"	"16,0,585"	
"193"	"20"	"3"	"1680"	"0,0,197265"	"1,0,9863"	"2,0,4931"	"8,0,591"	"10,0,591"	"18,0,591"	"16,0,591"	
"194"	"20"	"4"	"1680"	"0,0,199333"	"1,0,9966"	"2,0,4983"	"8,0,598"	"10,0,598"	"18,0,598"	"16,0,598"	
"195"	"20"	"5"	"1680"	"0,0,201395"	"1,0,10069"	"2,0,5034"	"8,0,604"	"10,0,604"	"18,0,604"	"16,0,604"	
"196"	"20"	"6"	"1680"	"0,0,203456"	"1,0,10172"	"2,0,5086"	"8,0,610"	"10,0,610"	"18,0,610"	"16,0,610"	
"197"	"20"	"7"	"1680"	"0,0,205524"	"1,0,10276"	"2,0,5138"	"8,0,616"	"10,0,616"	"18,0,616"	"16,0,616"	
"198"	"20"	"8"	"1680"	"0,0,207586"	"1,0,10379"	"2,0,5189"	"8,0,622"	"10,0,622"	"18,0,622"	"16,0,622"	
"199"	"20"	"9"	"1680"	"0,0,209654"	"1,0,10482"	"2,0,5241"	"8,0,628"	"10,0,628"	"18,0,628"	"16,0,628"	
"200"	"20"	"10"	"1680"	"0,0,211716"	"1,0,10585"	"2,0,5292"	"8,0,635"	"10,0,635"	"18,0,635"	"16,0,635"	
