"ID"	"节点名称"	"节点增加属性（属性ID对应AttributeFormat表）"	"激活所需物品1(ID,数量)"	"激活所需物品2(ID,数量)"	"激活所需物品3(ID,数量)"	"节点类型（0为小点，1为大点）"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030407"	"白泽之眼"	"8,303"	"100044,10"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030408"	"白泽之心"	"14,303"	"100044,11"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030409"	"白泽之灵"	"16,303"	"100044,11"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030410"	"白泽之骨"	"0,4861"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030411"	"白泽之牙"	"1,202"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030412"	"白泽之刚"	"2,303"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030413"	"白泽之魂"	"0,4861"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030414"	"白泽之烈"	"1,202"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030415"	"白泽之翼"	"2,303"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030501"	"金蝉之血"	"0,4861"	"100044,6"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030502"	"金蝉之力"	"1,202"	"100044,7"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030503"	"金蝉之盾"	"2,303"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030504"	"金蝉之怒"	"1,202"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030505"	"金蝉之韧"	"0,4861"	"100044,9"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030506"	"金蝉之爪"	"1,202"	"100044,9"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030507"	"金蝉之眼"	"8,303"	"100044,10"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030508"	"金蝉之心"	"10,303"	"100044,11"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030509"	"金蝉之灵"	"12,303"	"100044,11"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030510"	"金蝉之精"	"14,303"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030511"	"金蝉之魄"	"16,303"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030512"	"金蝉之钝"	"18,303"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030513"	"金蝉之魂"	"0,4861"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030514"	"金蝉之烈"	"1,202"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030515"	"金蝉之足"	"2,303"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040101"	"貔貅之血"	"0,8102"	"100044,10"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040102"	"貔貅之力"	"1,337"	"100044,11"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040103"	"貔貅之盾"	"2,506"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040104"	"貔貅之怒"	"1,337"	"100044,13"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040105"	"貔貅之韧"	"0,8102"	"100044,14"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040106"	"貔貅之爪"	"1,337"	"100044,15"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040107"	"貔貅之眼"	"10,506"	"100044,16"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040108"	"貔貅之心"	"12,506"	"100044,17"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040109"	"貔貅之灵"	"18,506"	"100044,18"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040110"	"貔貅之骨"	"0,8102"	"100044,19"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040111"	"貔貅之牙"	"1,337"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040112"	"貔貅之刚"	"2,506"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040113"	"貔貅之尾"	"1,337"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040114"	"貔貅之魂"	"0,8102"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040115"	"貔貅之烈"	"1,337"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040201"	"角端之血"	"0,8102"	"100044,10"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040202"	"角端之力"	"1,337"	"100044,11"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040203"	"角端之盾"	"2,506"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040204"	"角端之怒"	"1,337"	"100044,13"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040205"	"角端之韧"	"0,8102"	"100044,14"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040206"	"角端之爪"	"1,337"	"100044,15"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040207"	"角端之眼"	"8,506"	"100044,16"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040208"	"角端之心"	"14,506"	"100044,17"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040209"	"角端之灵"	"16,506"	"100044,18"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040210"	"角端之骨"	"0,8102"	"100044,19"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040211"	"角端之牙"	"1,337"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040212"	"角端之刚"	"2,506"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040213"	"角端之尾"	"1,337"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040214"	"角端之魂"	"0,8102"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040215"	"角端之烈"	"1,337"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040301"	"陆吾之血"	"0,8102"	"100044,10"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040302"	"陆吾之力"	"1,337"	"100044,11"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040303"	"陆吾之盾"	"2,506"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040304"	"陆吾之怒"	"1,337"	"100044,13"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040305"	"陆吾之韧"	"0,8102"	"100044,14"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040306"	"陆吾之爪"	"1,337"	"100044,15"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040307"	"陆吾之眼"	"10,506"	"100044,16"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040308"	"陆吾之心"	"12,506"	"100044,17"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040309"	"陆吾之灵"	"18,506"	"100044,18"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040310"	"陆吾之骨"	"0,8102"	"100044,19"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040311"	"陆吾之牙"	"1,337"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040312"	"陆吾之刚"	"2,506"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040313"	"陆吾之尾"	"1,337"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040314"	"陆吾之魂"	"0,8102"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040315"	"陆吾之烈"	"1,337"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040401"	"白泽之血"	"0,8102"	"100044,10"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040402"	"白泽之力"	"1,337"	"100044,11"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040403"	"白泽之盾"	"2,506"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040404"	"白泽之怒"	"1,337"	"100044,13"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040405"	"白泽之韧"	"0,8102"	"100044,14"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040406"	"白泽之爪"	"1,337"	"100044,15"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040407"	"白泽之眼"	"8,506"	"100044,16"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040408"	"白泽之心"	"14,506"	"100044,17"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040409"	"白泽之灵"	"16,506"	"100044,18"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040410"	"白泽之骨"	"0,8102"	"100044,19"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040411"	"白泽之牙"	"1,337"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040412"	"白泽之刚"	"2,506"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040413"	"白泽之魂"	"0,8102"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040414"	"白泽之烈"	"1,337"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040415"	"白泽之翼"	"2,506"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040501"	"金蝉之血"	"0,8102"	"100044,10"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040502"	"金蝉之力"	"1,337"	"100044,11"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040503"	"金蝉之盾"	"2,506"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040504"	"金蝉之怒"	"1,337"	"100044,13"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040505"	"金蝉之韧"	"0,8102"	"100044,14"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040506"	"金蝉之爪"	"1,337"	"100044,15"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040507"	"金蝉之眼"	"8,506"	"100044,16"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040508"	"金蝉之心"	"10,506"	"100044,17"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040509"	"金蝉之灵"	"12,506"	"100044,18"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040510"	"金蝉之精"	"14,506"	"100044,19"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040511"	"金蝉之魄"	"16,506"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040512"	"金蝉之钝"	"18,506"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040513"	"金蝉之魂"	"0,8102"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040514"	"金蝉之烈"	"1,337"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10040515"	"金蝉之足"	"2,506"	"100044,20"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
