"装备ID"	"装备说明，策划注释用，不读"	"指定需求部件1-武器，2-头盔，3-衣服，4-护肩，5-腰带，6-裤子，7-靴子，8-项链，9-护腕，10-左戒指，11-右戒指，12-饰品"	"区域底图及升阶提示暗/亮"	"阶段图标"	"属性1类型ID"	"属性1取值"	"属性1最小值"	"属性1最大值"	"属性2类型ID"	"属性2取值"	"属性2最小值"	"属性2最大值"	"属性3类型ID"	"属性3取值"	"属性3最小值"	"属性3最大值"	"低级道具"	"低级道具数量"	"中级道具"	"中级道具数量"	"高级道具"	"高级道具属性"	"固定属性指向EquipExttendEffect索引ID"	"属性1取值"	"固定属性2"	"属性2取值"	"固定属性3"	"属性3取值"	"固定属性4"	"属性4取值"	"固定属性5"	"属性5取值"	"固定属性6"	"属性6取值"	"固定属性7"	"属性7取值"	"固定属性8"	"属性8取值"	"固定属性9"	"属性9取值"	"固定属性10"	"属性10取值"	"附加属性品质等级(对应ItemEquipExtendRandom表）"	"附加属性条数"	"使用等级修正区间，固定装填0,0"	"物品等级修正区间，固定装填0,0"	"装备出未鉴定几率10000为100%品质和等级判断通过后，出现未鉴定的几率"	"附加属性生成规则，0为全随机1为全固定2为半固定时装必须1"	"魂链生成几率白，蓝，紫，金，橙"	"魂集合：绿=1白=2蓝=4紫=8黄=16橙=32红=64"	"额外魂几率"	"指定自身魂印"	"指定自身魂链"	"指定需求魂印"	
"2010"	"180级衣服"	"3"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"6164.000000"	"2.000000"	"12.000000"	"2"	"9246.000000"	"3.000000"	"18.000000"	"18"	"1710.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2011"	"200级衣服"	"3"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"8247.000000"	"2.000000"	"12.000000"	"2"	"12371.000000"	"3.000000"	"18.000000"	"18"	"2262.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2012"	"220级衣服"	"3"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"10330.000000"	"2.000000"	"12.000000"	"2"	"15496.000000"	"3.000000"	"18.000000"	"18"	"2863.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2013"	"240级衣服"	"3"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"12643.000000"	"2.000000"	"12.000000"	"2"	"18965.000000"	"3.000000"	"18.000000"	"18"	"3542.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2014"	"260级衣服"	"3"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"15143.000000"	"2.000000"	"12.000000"	"2"	"22715.000000"	"3.000000"	"18.000000"	"18"	"4293.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2015"	"280级衣服"	"3"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"17643.000000"	"2.000000"	"12.000000"	"2"	"26465.000000"	"3.000000"	"18.000000"	"18"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2016"	"300级衣服"	"3"	"pic_equip_png,xilian_jin,pic_equip_png,di_jin,pic_equip_png,point_jin"	"pic_equip_png,jie4"	"1"	"17643.000000"	"2.000000"	"12.000000"	"2"	"26465.000000"	"3.000000"	"18.000000"	"18"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3001"	"1级护肩"	"4"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"100.000000"	"2.000000"	"12.000000"	"0"	"3000.000000"	"100.000000"	"320.000000"	"16"	"30.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3002"	"20级护肩"	"4"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"200.000000"	"2.000000"	"12.000000"	"0"	"6000.000000"	"100.000000"	"320.000000"	"16"	"60.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3003"	"40级护肩"	"4"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"300.000000"	"2.000000"	"12.000000"	"0"	"9000.000000"	"100.000000"	"320.000000"	"16"	"90.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3004"	"60级护肩"	"4"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"483.000000"	"2.000000"	"12.000000"	"0"	"14500.000000"	"100.000000"	"320.000000"	"16"	"136.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3005"	"80级护肩"	"4"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"735.000000"	"2.000000"	"12.000000"	"0"	"22050.000000"	"100.000000"	"320.000000"	"16"	"211.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3006"	"100级护肩"	"4"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1122.000000"	"2.000000"	"12.000000"	"0"	"33675.000000"	"100.000000"	"320.000000"	"16"	"330.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3007"	"120级护肩"	"4"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1705.000000"	"2.000000"	"12.000000"	"0"	"51175.000000"	"100.000000"	"320.000000"	"16"	"532.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3008"	"140级护肩"	"4"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"2664.000000"	"2.000000"	"12.000000"	"0"	"79925.000000"	"100.000000"	"320.000000"	"16"	"808.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3009"	"160级护肩"	"4"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"4080.000000"	"2.000000"	"12.000000"	"0"	"122425.000000"	"100.000000"	"320.000000"	"16"	"1209.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3010"	"180级护肩"	"4"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"6164.000000"	"2.000000"	"12.000000"	"0"	"184925.000000"	"100.000000"	"320.000000"	"16"	"1710.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3011"	"200级护肩"	"4"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"8247.000000"	"2.000000"	"12.000000"	"0"	"247425.000000"	"100.000000"	"320.000000"	"16"	"2262.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3012"	"220级护肩"	"4"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"10330.000000"	"2.000000"	"12.000000"	"0"	"309925.000000"	"100.000000"	"320.000000"	"16"	"2863.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3013"	"240级护肩"	"4"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"12643.000000"	"2.000000"	"12.000000"	"0"	"379300.000000"	"100.000000"	"320.000000"	"16"	"3542.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3014"	"260级护肩"	"4"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"15143.000000"	"2.000000"	"12.000000"	"0"	"454300.000000"	"100.000000"	"320.000000"	"16"	"4293.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3015"	"280级护肩"	"4"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"17643.000000"	"2.000000"	"12.000000"	"0"	"529300.000000"	"100.000000"	"320.000000"	"16"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3016"	"300级护肩"	"4"	"pic_equip_png,xilian_jin,pic_equip_png,di_jin,pic_equip_png,point_jin"	"pic_equip_png,jie4"	"1"	"17643.000000"	"2.000000"	"12.000000"	"0"	"529300.000000"	"100.000000"	"320.000000"	"16"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4001"	"1级腰带"	"5"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"100.000000"	"2.000000"	"12.000000"	"0"	"3000.000000"	"100.000000"	"320.000000"	"8"	"30.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4002"	"20级腰带"	"5"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"200.000000"	"2.000000"	"12.000000"	"0"	"6000.000000"	"100.000000"	"320.000000"	"8"	"60.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4003"	"40级腰带"	"5"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"300.000000"	"2.000000"	"12.000000"	"0"	"9000.000000"	"100.000000"	"320.000000"	"8"	"90.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4004"	"60级腰带"	"5"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"483.000000"	"2.000000"	"12.000000"	"0"	"14500.000000"	"100.000000"	"320.000000"	"8"	"136.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4005"	"80级腰带"	"5"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"735.000000"	"2.000000"	"12.000000"	"0"	"22050.000000"	"100.000000"	"320.000000"	"8"	"211.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4006"	"100级腰带"	"5"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1122.000000"	"2.000000"	"12.000000"	"0"	"33675.000000"	"100.000000"	"320.000000"	"8"	"330.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4007"	"120级腰带"	"5"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1705.000000"	"2.000000"	"12.000000"	"0"	"51175.000000"	"100.000000"	"320.000000"	"8"	"532.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4008"	"140级腰带"	"5"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"2664.000000"	"2.000000"	"12.000000"	"0"	"79925.000000"	"100.000000"	"320.000000"	"8"	"808.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4009"	"160级腰带"	"5"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"4080.000000"	"2.000000"	"12.000000"	"0"	"122425.000000"	"100.000000"	"320.000000"	"8"	"1209.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4010"	"180级腰带"	"5"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"6164.000000"	"2.000000"	"12.000000"	"0"	"184925.000000"	"100.000000"	"320.000000"	"8"	"1710.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4011"	"200级腰带"	"5"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"8247.000000"	"2.000000"	"12.000000"	"0"	"247425.000000"	"100.000000"	"320.000000"	"8"	"2262.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4012"	"220级腰带"	"5"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"10330.000000"	"2.000000"	"12.000000"	"0"	"309925.000000"	"100.000000"	"320.000000"	"8"	"2863.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4013"	"240级腰带"	"5"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"12643.000000"	"2.000000"	"12.000000"	"0"	"379300.000000"	"100.000000"	"320.000000"	"8"	"3542.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4014"	"260级腰带"	"5"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"15143.000000"	"2.000000"	"12.000000"	"0"	"454300.000000"	"100.000000"	"320.000000"	"8"	"4293.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4015"	"280级腰带"	"5"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"17643.000000"	"2.000000"	"12.000000"	"0"	"529300.000000"	"100.000000"	"320.000000"	"8"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4016"	"300级腰带"	"5"	"pic_equip_png,xilian_jin,pic_equip_png,di_jin,pic_equip_png,point_jin"	"pic_equip_png,jie4"	"1"	"17643.000000"	"2.000000"	"12.000000"	"0"	"529300.000000"	"100.000000"	"320.000000"	"8"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5001"	"1级裤子"	"6"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"100.000000"	"2.000000"	"12.000000"	"2"	"150.000000"	"3.000000"	"18.000000"	"14"	"30.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5002"	"20级裤子"	"6"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"200.000000"	"2.000000"	"12.000000"	"2"	"300.000000"	"3.000000"	"18.000000"	"14"	"60.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5003"	"40级裤子"	"6"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"300.000000"	"2.000000"	"12.000000"	"2"	"450.000000"	"3.000000"	"18.000000"	"14"	"90.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5004"	"60级裤子"	"6"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"483.000000"	"2.000000"	"12.000000"	"2"	"725.000000"	"3.000000"	"18.000000"	"14"	"136.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5005"	"80级裤子"	"6"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"735.000000"	"2.000000"	"12.000000"	"2"	"1102.000000"	"3.000000"	"18.000000"	"14"	"211.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5006"	"100级裤子"	"6"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1122.000000"	"2.000000"	"12.000000"	"2"	"1683.000000"	"3.000000"	"18.000000"	"14"	"330.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5007"	"120级裤子"	"6"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1705.000000"	"2.000000"	"12.000000"	"2"	"2558.000000"	"3.000000"	"18.000000"	"14"	"532.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5008"	"140级裤子"	"6"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"2664.000000"	"2.000000"	"12.000000"	"2"	"3996.000000"	"3.000000"	"18.000000"	"14"	"808.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5009"	"160级裤子"	"6"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"4080.000000"	"2.000000"	"12.000000"	"2"	"6121.000000"	"3.000000"	"18.000000"	"14"	"1209.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5010"	"180级裤子"	"6"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"6164.000000"	"2.000000"	"12.000000"	"2"	"9246.000000"	"3.000000"	"18.000000"	"14"	"1710.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5011"	"200级裤子"	"6"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"8247.000000"	"2.000000"	"12.000000"	"2"	"12371.000000"	"3.000000"	"18.000000"	"14"	"2262.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5012"	"220级裤子"	"6"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"10330.000000"	"2.000000"	"12.000000"	"2"	"15496.000000"	"3.000000"	"18.000000"	"14"	"2863.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5013"	"240级裤子"	"6"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"12643.000000"	"2.000000"	"12.000000"	"2"	"18965.000000"	"3.000000"	"18.000000"	"14"	"3542.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5014"	"260级裤子"	"6"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"15143.000000"	"2.000000"	"12.000000"	"2"	"22715.000000"	"3.000000"	"18.000000"	"14"	"4293.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5015"	"280级裤子"	"6"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"17643.000000"	"2.000000"	"12.000000"	"2"	"26465.000000"	"3.000000"	"18.000000"	"14"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
