"等级（最细碎的等级）"	"升级所需材料ID"	"单次修炼所需材料数量（不能升级时必须为0）"	"升下阶段所需总材料数量（在第n级的行中填写的是从n升到n+1所需材料数量）"	"等级倍数"	
"549"	"100101"	"2"	"4"	"75.390000"	
"550"	"100101"	"2"	"4"	"75.650000"	
"551"	"100101"	"2"	"4"	"75.900000"	
"552"	"100101"	"3"	"6"	"76.160000"	
"553"	"100101"	"3"	"6"	"76.420000"	
"554"	"100101"	"3"	"6"	"76.680000"	
"555"	"100101"	"3"	"6"	"76.940000"	
"556"	"100101"	"3"	"6"	"77.200000"	
"557"	"100101"	"3"	"6"	"77.460000"	
"558"	"100101"	"3"	"6"	"77.720000"	
"559"	"100101"	"3"	"6"	"77.980000"	
"560"	"100101"	"3"	"6"	"78.250000"	
"561"	"100101"	"3"	"6"	"78.510000"	
"562"	"100101"	"3"	"6"	"78.770000"	
"563"	"100101"	"3"	"6"	"79.040000"	
"564"	"100101"	"3"	"6"	"79.300000"	
"565"	"100101"	"3"	"6"	"79.570000"	
"566"	"100101"	"3"	"6"	"79.830000"	
"567"	"100101"	"3"	"6"	"80.100000"	
"568"	"100101"	"3"	"6"	"80.370000"	
"569"	"100101"	"3"	"6"	"80.630000"	
"570"	"100101"	"3"	"6"	"80.900000"	
"571"	"100101"	"3"	"6"	"81.170000"	
"572"	"100101"	"3"	"6"	"81.440000"	
"573"	"100101"	"3"	"6"	"81.710000"	
"574"	"100101"	"3"	"6"	"81.980000"	
"575"	"100101"	"3"	"6"	"82.250000"	
"576"	"100101"	"3"	"6"	"82.520000"	
"577"	"100101"	"3"	"6"	"82.790000"	
"578"	"100101"	"3"	"6"	"83.070000"	
"579"	"100101"	"3"	"6"	"83.340000"	
"580"	"100101"	"3"	"6"	"83.610000"	
"581"	"100101"	"3"	"6"	"83.890000"	
"582"	"100101"	"3"	"6"	"84.160000"	
"583"	"100101"	"3"	"6"	"84.440000"	
"584"	"100101"	"3"	"6"	"84.710000"	
"585"	"100101"	"3"	"6"	"84.990000"	
"586"	"100101"	"3"	"9"	"85.270000"	
"587"	"100101"	"3"	"9"	"85.540000"	
"588"	"100101"	"3"	"9"	"85.820000"	
"589"	"100101"	"3"	"9"	"86.100000"	
"590"	"100101"	"3"	"9"	"86.380000"	
"591"	"100101"	"3"	"9"	"86.660000"	
"592"	"100101"	"3"	"9"	"86.940000"	
"593"	"100101"	"3"	"9"	"87.220000"	
"594"	"100101"	"3"	"9"	"87.500000"	
"595"	"100101"	"3"	"9"	"87.780000"	
"596"	"100101"	"3"	"9"	"88.070000"	
"597"	"100101"	"3"	"9"	"88.350000"	
"598"	"100101"	"3"	"9"	"88.630000"	
"599"	"100101"	"3"	"9"	"88.920000"	
"600"	"100101"	"3"	"9"	"89.200000"	
"601"	"100101"	"3"	"9"	"89.510000"	
"602"	"100101"	"3"	"9"	"89.820000"	
"603"	"100101"	"3"	"9"	"90.120000"	
"604"	"100101"	"3"	"9"	"90.430000"	
"605"	"100101"	"3"	"9"	"90.740000"	
"606"	"100101"	"3"	"9"	"91.050000"	
"607"	"100101"	"3"	"9"	"91.370000"	
"608"	"100101"	"3"	"9"	"91.680000"	
"609"	"100101"	"3"	"9"	"92.000000"	
"610"	"100101"	"3"	"9"	"92.320000"	
"611"	"100101"	"3"	"9"	"92.630000"	
"612"	"100101"	"3"	"9"	"92.950000"	
"613"	"100101"	"3"	"9"	"93.270000"	
"614"	"100101"	"3"	"9"	"93.600000"	
"615"	"100101"	"3"	"9"	"93.920000"	
"616"	"100101"	"3"	"9"	"94.250000"	
"617"	"100101"	"3"	"9"	"94.570000"	
"618"	"100101"	"3"	"9"	"94.900000"	
"619"	"100101"	"3"	"9"	"95.230000"	
"620"	"100101"	"3"	"9"	"95.570000"	
"621"	"100101"	"3"	"9"	"95.900000"	
"622"	"100101"	"3"	"9"	"96.230000"	
"623"	"100101"	"3"	"9"	"96.570000"	
"624"	"100101"	"3"	"9"	"96.900000"	
"625"	"100101"	"3"	"9"	"97.240000"	
"626"	"100101"	"3"	"9"	"97.580000"	
"627"	"100101"	"3"	"9"	"97.920000"	
"628"	"100101"	"3"	"9"	"98.270000"	
"629"	"100101"	"3"	"9"	"98.610000"	
"630"	"100101"	"3"	"9"	"98.950000"	
"631"	"100101"	"3"	"9"	"99.300000"	
"632"	"100101"	"3"	"9"	"99.650000"	
"633"	"100101"	"3"	"9"	"100.000000"	
"634"	"100101"	"3"	"9"	"100.350000"	
"635"	"100101"	"3"	"9"	"100.700000"	
"636"	"100101"	"3"	"9"	"101.050000"	
"637"	"100101"	"3"	"9"	"101.410000"	
"638"	"100101"	"3"	"9"	"101.770000"	
"639"	"100101"	"3"	"9"	"102.130000"	
"640"	"100101"	"3"	"9"	"102.480000"	
"641"	"100101"	"3"	"9"	"102.840000"	
"642"	"100101"	"3"	"9"	"103.200000"	
"643"	"100101"	"3"	"9"	"103.570000"	
"644"	"100101"	"3"	"9"	"103.930000"	
"645"	"100101"	"3"	"9"	"104.300000"	
"646"	"100101"	"3"	"9"	"104.670000"	
"647"	"100101"	"3"	"9"	"105.030000"	
"648"	"100101"	"4"	"12"	"105.400000"	
"649"	"100101"	"4"	"12"	"105.780000"	
"650"	"100101"	"4"	"12"	"106.150000"	
"651"	"100101"	"4"	"12"	"106.530000"	
"652"	"100101"	"4"	"12"	"106.900000"	
"653"	"100101"	"4"	"12"	"107.280000"	
"654"	"100101"	"4"	"12"	"107.650000"	
"655"	"100101"	"4"	"12"	"108.030000"	
"656"	"100101"	"4"	"12"	"108.420000"	
"657"	"100101"	"4"	"12"	"108.800000"	
"658"	"100101"	"4"	"12"	"109.180000"	
"659"	"100101"	"4"	"12"	"109.570000"	
"660"	"100101"	"4"	"12"	"109.950000"	
"661"	"100101"	"4"	"12"	"110.340000"	
"662"	"100101"	"4"	"12"	"110.730000"	
"663"	"100101"	"4"	"12"	"111.130000"	
"664"	"100101"	"4"	"12"	"111.520000"	
"665"	"100101"	"4"	"12"	"111.910000"	
"666"	"100101"	"4"	"12"	"112.300000"	
"667"	"100101"	"4"	"12"	"112.700000"	
"668"	"100101"	"4"	"12"	"113.100000"	
"669"	"100101"	"4"	"12"	"113.500000"	
"670"	"100101"	"4"	"12"	"113.900000"	
"671"	"100101"	"4"	"12"	"114.300000"	
"672"	"100101"	"4"	"16"	"114.700000"	
"673"	"100101"	"4"	"16"	"115.110000"	
"674"	"100101"	"4"	"16"	"115.520000"	
"675"	"100101"	"4"	"16"	"115.930000"	
"676"	"100101"	"4"	"16"	"116.330000"	
"677"	"100101"	"4"	"16"	"116.740000"	
"678"	"100101"	"4"	"16"	"117.150000"	
"679"	"100101"	"4"	"16"	"117.570000"	
"680"	"100101"	"4"	"16"	"117.980000"	
"681"	"100101"	"4"	"16"	"118.400000"	
"682"	"100101"	"4"	"16"	"118.820000"	
"683"	"100101"	"4"	"16"	"119.230000"	
"684"	"100101"	"4"	"16"	"119.650000"	
"685"	"100101"	"4"	"16"	"120.080000"	
"686"	"100101"	"4"	"16"	"120.500000"	
"687"	"100101"	"4"	"16"	"120.930000"	
"688"	"100101"	"4"	"16"	"121.350000"	
"689"	"100101"	"4"	"16"	"121.780000"	
"690"	"100101"	"4"	"16"	"122.200000"	
"691"	"100101"	"4"	"16"	"122.630000"	
"692"	"100101"	"4"	"16"	"123.070000"	
"693"	"100101"	"4"	"16"	"123.500000"	
"694"	"100101"	"4"	"16"	"123.930000"	
"695"	"100101"	"4"	"16"	"124.370000"	
"696"	"100101"	"4"	"16"	"124.800000"	
"697"	"100101"	"4"	"16"	"125.240000"	
"698"	"100101"	"4"	"16"	"125.680000"	
"699"	"100101"	"4"	"16"	"126.130000"	
"700"	"100101"	"4"	"16"	"126.570000"	
"701"	"100101"	"4"	"16"	"127.010000"	
"702"	"100101"	"4"	"16"	"127.450000"	
"703"	"100101"	"4"	"16"	"127.900000"	
"704"	"100101"	"4"	"16"	"128.350000"	
"705"	"100101"	"4"	"16"	"128.800000"	
"706"	"100101"	"4"	"16"	"129.250000"	
"707"	"100101"	"4"	"16"	"129.700000"	
"708"	"100101"	"4"	"16"	"130.150000"	
"709"	"100101"	"4"	"16"	"130.610000"	
"710"	"100101"	"4"	"16"	"131.070000"	
"711"	"100101"	"4"	"16"	"131.530000"	
"712"	"100101"	"4"	"16"	"131.980000"	
"713"	"100101"	"4"	"16"	"132.440000"	
"714"	"100101"	"4"	"16"	"132.900000"	
"715"	"100101"	"4"	"16"	"133.370000"	
"716"	"100101"	"4"	"16"	"133.830000"	
"717"	"100101"	"4"	"16"	"134.300000"	
"718"	"100101"	"4"	"16"	"134.770000"	
"719"	"100101"	"4"	"16"	"135.230000"	
"720"	"100101"	"4"	"16"	"135.700000"	
"721"	"100101"	"4"	"16"	"136.200000"	
"722"	"100101"	"4"	"16"	"136.700000"	
"723"	"100101"	"4"	"16"	"137.200000"	
"724"	"100101"	"4"	"16"	"137.700000"	
"725"	"100101"	"4"	"16"	"138.200000"	
"726"	"100101"	"4"	"16"	"138.700000"	
"727"	"100101"	"4"	"16"	"139.200000"	
"728"	"100101"	"4"	"16"	"139.700000"	
"729"	"100101"	"4"	"16"	"140.200000"	
"730"	"100101"	"4"	"16"	"140.700000"	
"731"	"100101"	"4"	"16"	"141.200000"	
"732"	"100101"	"5"	"20"	"141.700000"	
"733"	"100101"	"5"	"20"	"142.200000"	
"734"	"100101"	"5"	"20"	"142.700000"	
"735"	"100101"	"5"	"20"	"143.200000"	
"736"	"100101"	"5"	"20"	"143.700000"	
"737"	"100101"	"5"	"20"	"144.200000"	
"738"	"100101"	"5"	"20"	"144.700000"	
"739"	"100101"	"5"	"20"	"145.200000"	
"740"	"100101"	"5"	"20"	"145.700000"	
"741"	"100101"	"5"	"20"	"146.200000"	
"742"	"100101"	"5"	"20"	"146.700000"	
"743"	"100101"	"5"	"20"	"147.200000"	
"744"	"100101"	"5"	"20"	"147.700000"	
"745"	"100101"	"5"	"20"	"148.200000"	
"746"	"100101"	"5"	"20"	"148.700000"	
"747"	"100101"	"5"	"20"	"149.200000"	
"748"	"100101"	"5"	"20"	"149.700000"	
"749"	"100101"	"5"	"20"	"150.200000"	
"750"	"100101"	"5"	"20"	"150.700000"	
"751"	"100101"	"5"	"20"	"151.200000"	
"752"	"100101"	"5"	"20"	"151.700000"	
"753"	"100101"	"5"	"20"	"152.200000"	
"754"	"100101"	"5"	"20"	"152.700000"	
"755"	"100101"	"5"	"20"	"153.200000"	
"756"	"100101"	"5"	"20"	"153.700000"	
"757"	"100101"	"5"	"20"	"154.200000"	
"758"	"100101"	"5"	"20"	"154.700000"	
"759"	"100101"	"5"	"20"	"155.200000"	
"760"	"100101"	"5"	"20"	"155.700000"	
"761"	"100101"	"5"	"20"	"156.200000"	
"762"	"100101"	"5"	"20"	"156.700000"	
"763"	"100101"	"5"	"20"	"157.200000"	
"764"	"100101"	"5"	"20"	"157.700000"	
"765"	"100101"	"5"	"20"	"158.200000"	
"766"	"100101"	"5"	"20"	"158.700000"	
"767"	"100101"	"5"	"20"	"159.200000"	
"768"	"100101"	"5"	"20"	"159.700000"	
"769"	"100101"	"5"	"20"	"160.200000"	
"770"	"100101"	"5"	"20"	"160.700000"	
"771"	"100101"	"5"	"20"	"161.200000"	
"772"	"100101"	"5"	"20"	"161.700000"	
"773"	"100101"	"5"	"20"	"162.200000"	
"774"	"100101"	"5"	"20"	"162.700000"	
"775"	"100101"	"5"	"20"	"163.200000"	
"776"	"100101"	"5"	"20"	"163.700000"	
"777"	"100101"	"5"	"20"	"164.200000"	
"778"	"100101"	"5"	"20"	"164.700000"	
"779"	"100101"	"5"	"20"	"165.200000"	
"780"	"100101"	"6"	"30"	"165.700000"	
"781"	"100101"	"6"	"30"	"166.370000"	
"782"	"100101"	"6"	"30"	"167.030000"	
"783"	"100101"	"6"	"30"	"167.700000"	
"784"	"100101"	"6"	"30"	"168.370000"	
"785"	"100101"	"6"	"30"	"169.030000"	
"786"	"100101"	"6"	"30"	"169.700000"	
"787"	"100101"	"6"	"30"	"170.370000"	
"788"	"100101"	"6"	"30"	"171.030000"	
"789"	"100101"	"6"	"30"	"171.700000"	
"790"	"100101"	"6"	"30"	"172.370000"	
"791"	"100101"	"6"	"30"	"173.030000"	
"792"	"100101"	"6"	"30"	"173.700000"	
"793"	"100101"	"6"	"30"	"174.370000"	
"794"	"100101"	"6"	"30"	"175.030000"	
"795"	"100101"	"6"	"30"	"175.700000"	
"796"	"100101"	"6"	"30"	"176.370000"	
"797"	"100101"	"6"	"30"	"177.030000"	
"798"	"100101"	"6"	"30"	"177.700000"	
"799"	"100101"	"6"	"30"	"178.370000"	
"800"	"100101"	"6"	"30"	"179.030000"	
"801"	"100101"	"6"	"30"	"179.700000"	
"802"	"100101"	"6"	"30"	"180.370000"	
"803"	"100101"	"6"	"30"	"181.030000"	
"804"	"100101"	"6"	"30"	"181.700000"	
"805"	"100101"	"6"	"30"	"182.370000"	
"806"	"100101"	"6"	"30"	"183.030000"	
"807"	"100101"	"6"	"30"	"183.700000"	
"808"	"100101"	"6"	"30"	"184.370000"	
"809"	"100101"	"6"	"30"	"185.030000"	
"810"	"100101"	"6"	"30"	"185.700000"	
"811"	"100101"	"6"	"30"	"186.370000"	
"812"	"100101"	"6"	"30"	"187.030000"	
"813"	"100101"	"6"	"30"	"187.700000"	
"814"	"100101"	"6"	"30"	"188.370000"	
"815"	"100101"	"6"	"30"	"189.030000"	
"816"	"100101"	"6"	"30"	"189.700000"	
"817"	"100101"	"6"	"30"	"190.370000"	
"818"	"100101"	"6"	"30"	"191.030000"	
"819"	"100101"	"6"	"30"	"191.700000"	
"820"	"100101"	"6"	"30"	"192.370000"	
"821"	"100101"	"6"	"30"	"193.030000"	
"822"	"100101"	"7"	"35"	"193.700000"	
"823"	"100101"	"7"	"35"	"194.370000"	
"824"	"100101"	"7"	"35"	"195.030000"	
"825"	"100101"	"7"	"35"	"195.700000"	
"826"	"100101"	"7"	"35"	"196.370000"	
"827"	"100101"	"7"	"35"	"197.030000"	
"828"	"100101"	"7"	"35"	"197.700000"	
"829"	"100101"	"7"	"35"	"198.370000"	
"830"	"100101"	"7"	"35"	"199.030000"	
"831"	"100101"	"7"	"35"	"199.700000"	
"832"	"100101"	"7"	"35"	"200.370000"	
"833"	"100101"	"7"	"35"	"201.030000"	
"834"	"100101"	"7"	"35"	"201.700000"	
"835"	"100101"	"7"	"35"	"202.370000"	
"836"	"100101"	"7"	"35"	"203.030000"	
"837"	"100101"	"7"	"35"	"203.700000"	
"838"	"100101"	"7"	"35"	"204.370000"	
"839"	"100101"	"7"	"35"	"205.030000"	
"840"	"100101"	"7"	"42"	"205.700000"	
"841"	"100101"	"7"	"42"	"206.530000"	
"842"	"100101"	"7"	"42"	"207.370000"	
"843"	"100101"	"7"	"42"	"208.200000"	
"844"	"100101"	"7"	"42"	"209.030000"	
"845"	"100101"	"7"	"42"	"209.870000"	
"846"	"100101"	"7"	"42"	"210.700000"	
"847"	"100101"	"7"	"42"	"211.530000"	
"848"	"100101"	"7"	"42"	"212.370000"	
"849"	"100101"	"7"	"42"	"213.200000"	
"850"	"100101"	"7"	"42"	"214.030000"	
"851"	"100101"	"7"	"42"	"214.870000"	
"852"	"100101"	"7"	"42"	"215.700000"	
"853"	"100101"	"7"	"42"	"216.530000"	
"854"	"100101"	"7"	"42"	"217.370000"	
"855"	"100101"	"7"	"42"	"218.200000"	
"856"	"100101"	"7"	"42"	"219.030000"	
"857"	"100101"	"7"	"42"	"219.870000"	
"858"	"100101"	"7"	"42"	"220.700000"	
"859"	"100101"	"7"	"42"	"221.530000"	
"860"	"100101"	"7"	"42"	"222.370000"	
"861"	"100101"	"7"	"42"	"223.200000"	
"862"	"100101"	"7"	"42"	"224.030000"	
"863"	"100101"	"7"	"42"	"224.870000"	
"864"	"100101"	"8"	"48"	"225.700000"	
"865"	"100101"	"8"	"48"	"226.530000"	
"866"	"100101"	"8"	"48"	"227.370000"	
"867"	"100101"	"8"	"48"	"228.200000"	
"868"	"100101"	"8"	"48"	"229.030000"	
"869"	"100101"	"8"	"48"	"229.870000"	
"870"	"100101"	"8"	"48"	"230.700000"	
"871"	"100101"	"8"	"48"	"231.530000"	
"872"	"100101"	"8"	"48"	"232.370000"	
"873"	"100101"	"8"	"48"	"233.200000"	
"874"	"100101"	"8"	"48"	"234.030000"	
"875"	"100101"	"8"	"48"	"234.870000"	
"876"	"100101"	"8"	"48"	"235.700000"	
"877"	"100101"	"8"	"48"	"236.530000"	
"878"	"100101"	"8"	"48"	"237.370000"	
"879"	"100101"	"8"	"48"	"238.200000"	
"880"	"100101"	"8"	"48"	"239.030000"	
"881"	"100101"	"8"	"48"	"239.870000"	
"882"	"100101"	"8"	"48"	"240.700000"	
"883"	"100101"	"8"	"48"	"241.530000"	
"884"	"100101"	"8"	"48"	"242.370000"	
"885"	"100101"	"8"	"48"	"243.200000"	
"886"	"100101"	"8"	"48"	"244.030000"	
"887"	"100101"	"8"	"48"	"244.870000"	
"888"	"100101"	"9"	"54"	"245.700000"	
"889"	"100101"	"9"	"54"	"246.530000"	
"890"	"100101"	"9"	"54"	"247.370000"	
"891"	"100101"	"9"	"54"	"248.200000"	
"892"	"100101"	"9"	"54"	"249.030000"	
"893"	"100101"	"9"	"54"	"249.870000"	
"894"	"100101"	"9"	"54"	"250.700000"	
"895"	"100101"	"9"	"54"	"251.530000"	
"896"	"100101"	"9"	"54"	"252.370000"	
"897"	"100101"	"9"	"54"	"253.200000"	
"898"	"100101"	"9"	"54"	"254.030000"	
"899"	"100101"	"9"	"54"	"254.870000"	
"900"	"100101"	"10"	"70"	"255.700000"	
"901"	"100101"	"10"	"70"	"256.780000"	
"902"	"100101"	"10"	"70"	"257.870000"	
"903"	"100101"	"10"	"70"	"258.950000"	
"904"	"100101"	"10"	"70"	"260.030000"	
"905"	"100101"	"10"	"70"	"261.120000"	
"906"	"100101"	"10"	"70"	"262.200000"	
"907"	"100101"	"10"	"70"	"263.280000"	
"908"	"100101"	"10"	"70"	"264.370000"	
"909"	"100101"	"10"	"70"	"265.450000"	
"910"	"100101"	"10"	"70"	"266.530000"	
"911"	"100101"	"10"	"70"	"267.620000"	
"912"	"100101"	"10"	"70"	"268.700000"	
"913"	"100101"	"10"	"70"	"269.780000"	
"914"	"100101"	"10"	"70"	"270.870000"	
"915"	"100101"	"10"	"70"	"271.950000"	
"916"	"100101"	"10"	"70"	"273.030000"	
"917"	"100101"	"10"	"70"	"274.120000"	
"918"	"100101"	"10"	"70"	"275.200000"	
"919"	"100101"	"10"	"70"	"276.280000"	
"920"	"100101"	"10"	"70"	"277.370000"	
"921"	"100101"	"10"	"70"	"278.450000"	
"922"	"100101"	"10"	"70"	"279.530000"	
"923"	"100101"	"10"	"70"	"280.620000"	
"924"	"100101"	"11"	"77"	"281.700000"	
"925"	"100101"	"11"	"77"	"282.780000"	
"926"	"100101"	"11"	"77"	"283.870000"	
"927"	"100101"	"11"	"77"	"284.950000"	
"928"	"100101"	"11"	"77"	"286.030000"	
"929"	"100101"	"11"	"77"	"287.120000"	
"930"	"100101"	"11"	"77"	"288.200000"	
"931"	"100101"	"11"	"77"	"289.280000"	
"932"	"100101"	"11"	"77"	"290.370000"	
"933"	"100101"	"11"	"77"	"291.450000"	
"934"	"100101"	"11"	"77"	"292.530000"	
"935"	"100101"	"11"	"77"	"293.620000"	
"936"	"100101"	"11"	"77"	"294.700000"	
"937"	"100101"	"11"	"77"	"295.780000"	
"938"	"100101"	"11"	"77"	"296.870000"	
"939"	"100101"	"11"	"77"	"297.950000"	
"940"	"100101"	"11"	"77"	"299.030000"	
"941"	"100101"	"11"	"77"	"300.120000"	
"942"	"100101"	"11"	"77"	"301.200000"	
"943"	"100101"	"11"	"77"	"302.280000"	
"944"	"100101"	"11"	"77"	"303.370000"	
"945"	"100101"	"11"	"77"	"304.450000"	
"946"	"100101"	"11"	"77"	"305.530000"	
"947"	"100101"	"11"	"77"	"306.620000"	
"948"	"100101"	"11"	"77"	"307.700000"	
"949"	"100101"	"11"	"77"	"308.780000"	
"950"	"100101"	"11"	"77"	"309.870000"	
"951"	"100101"	"11"	"77"	"310.950000"	
"952"	"100101"	"11"	"77"	"312.030000"	
"953"	"100101"	"11"	"77"	"313.120000"	
"954"	"100101"	"11"	"77"	"314.200000"	
"955"	"100101"	"11"	"77"	"315.280000"	
"956"	"100101"	"11"	"77"	"316.370000"	
"957"	"100101"	"11"	"77"	"317.450000"	
"958"	"100101"	"11"	"77"	"318.530000"	
"959"	"100101"	"11"	"77"	"319.620000"	
"960"	"100101"	"15"	"120"	"320.700000"	
"961"	"100101"	"15"	"120"	"322.120000"	
"962"	"100101"	"15"	"120"	"323.530000"	
"963"	"100101"	"15"	"120"	"324.950000"	
"964"	"100101"	"15"	"120"	"326.370000"	
"965"	"100101"	"15"	"120"	"327.780000"	
"966"	"100101"	"15"	"120"	"329.200000"	
"967"	"100101"	"15"	"120"	"330.620000"	
"968"	"100101"	"15"	"120"	"332.030000"	
"969"	"100101"	"15"	"120"	"333.450000"	
"970"	"100101"	"15"	"120"	"334.870000"	
"971"	"100101"	"15"	"120"	"336.280000"	
"972"	"100101"	"15"	"120"	"337.700000"	
"973"	"100101"	"15"	"120"	"339.120000"	
"974"	"100101"	"15"	"120"	"340.530000"	
"975"	"100101"	"15"	"120"	"341.950000"	
"976"	"100101"	"15"	"120"	"343.370000"	
"977"	"100101"	"15"	"120"	"344.780000"	
"978"	"100101"	"15"	"120"	"346.200000"	
"979"	"100101"	"15"	"120"	"347.620000"	
"980"	"100101"	"15"	"120"	"349.030000"	
"981"	"100101"	"15"	"120"	"350.450000"	
"982"	"100101"	"15"	"120"	"351.870000"	
"983"	"100101"	"15"	"120"	"353.280000"	
"984"	"100101"	"15"	"120"	"354.700000"	
"985"	"100101"	"15"	"120"	"356.120000"	
"986"	"100101"	"15"	"120"	"357.530000"	
"987"	"100101"	"15"	"120"	"358.950000"	
"988"	"100101"	"15"	"120"	"360.370000"	
"989"	"100101"	"15"	"120"	"361.780000"	
"990"	"100101"	"15"	"120"	"363.200000"	
"991"	"100101"	"15"	"120"	"364.620000"	
"992"	"100101"	"15"	"120"	"366.030000"	
"993"	"100101"	"15"	"120"	"367.450000"	
"994"	"100101"	"15"	"120"	"368.870000"	
"995"	"100101"	"15"	"120"	"370.280000"	
"996"	"100101"	"15"	"120"	"371.700000"	
"997"	"100101"	"15"	"120"	"373.120000"	
"998"	"100101"	"15"	"120"	"374.530000"	
"999"	"100101"	"15"	"120"	"375.950000"	
"1000"	"100101"	"15"	"120"	"377.370000"	
"1001"	"100101"	"15"	"120"	"378.780000"	
"1002"	"100101"	"15"	"120"	"380.200000"	
"1003"	"100101"	"15"	"120"	"381.620000"	
"1004"	"100101"	"15"	"120"	"383.030000"	
"1005"	"100101"	"15"	"120"	"384.450000"	
"1006"	"100101"	"15"	"120"	"385.870000"	
"1007"	"100101"	"15"	"120"	"387.280000"	
"1008"	"100101"	"17"	"136"	"388.700000"	
"1009"	"100101"	"17"	"136"	"390.120000"	
"1010"	"100101"	"17"	"136"	"391.530000"	
"1011"	"100101"	"17"	"136"	"392.950000"	
"1012"	"100101"	"17"	"136"	"394.370000"	
"1013"	"100101"	"17"	"136"	"395.780000"	
"1014"	"100101"	"17"	"136"	"397.200000"	
"1015"	"100101"	"17"	"136"	"398.620000"	
"1016"	"100101"	"17"	"136"	"400.030000"	
"1017"	"100101"	"17"	"136"	"401.450000"	
"1018"	"100101"	"17"	"136"	"402.870000"	
"1019"	"100101"	"17"	"136"	"404.280000"	
"1020"	"100101"	"17"	"136"	"405.700000"	
"1021"	"100101"	"17"	"136"	"407.120000"	
"1022"	"100101"	"17"	"136"	"408.530000"	
"1023"	"100101"	"17"	"136"	"409.950000"	
"1024"	"100101"	"17"	"136"	"411.370000"	
"1025"	"100101"	"17"	"136"	"412.780000"	
"1026"	"100101"	"17"	"136"	"414.200000"	
"1027"	"100101"	"17"	"136"	"415.620000"	
"1028"	"100101"	"17"	"136"	"417.030000"	
"1029"	"100101"	"17"	"136"	"418.450000"	
"1030"	"100101"	"17"	"136"	"419.870000"	
"1031"	"100101"	"17"	"136"	"421.280000"	
"1032"	"100101"	"17"	"136"	"422.700000"	
"1033"	"100101"	"17"	"136"	"424.120000"	
"1034"	"100101"	"17"	"136"	"425.530000"	
"1035"	"100101"	"17"	"136"	"426.950000"	
"1036"	"100101"	"17"	"136"	"428.370000"	
"1037"	"100101"	"17"	"136"	"429.780000"	
"1038"	"100101"	"17"	"136"	"431.200000"	
"1039"	"100101"	"17"	"136"	"432.620000"	
"1040"	"100101"	"17"	"136"	"434.030000"	
"1041"	"100101"	"17"	"136"	"435.450000"	
"1042"	"100101"	"17"	"136"	"436.870000"	
"1043"	"100101"	"17"	"136"	"438.280000"	
"1044"	"100101"	"17"	"136"	"439.700000"	
"1045"	"100101"	"17"	"136"	"441.120000"	
"1046"	"100101"	"17"	"136"	"442.530000"	
"1047"	"100101"	"17"	"136"	"443.950000"	
"1048"	"100101"	"17"	"136"	"445.370000"	
"1049"	"100101"	"17"	"136"	"446.780000"	
"1050"	"100101"	"20"	"160"	"448.200000"	
"1051"	"100101"	"20"	"160"	"449.620000"	
"1052"	"100101"	"20"	"160"	"451.030000"	
"1053"	"100101"	"20"	"160"	"452.450000"	
"1054"	"100101"	"20"	"160"	"453.870000"	
"1055"	"100101"	"20"	"160"	"455.280000"	
"1056"	"100101"	"20"	"160"	"456.700000"	
"1057"	"100101"	"20"	"160"	"458.120000"	
"1058"	"100101"	"20"	"160"	"459.530000"	
"1059"	"100101"	"20"	"160"	"460.950000"	
"1060"	"100101"	"20"	"160"	"462.370000"	
"1061"	"100101"	"20"	"160"	"463.780000"	
"1062"	"100101"	"20"	"160"	"465.200000"	
"1063"	"100101"	"20"	"160"	"466.620000"	
"1064"	"100101"	"20"	"160"	"468.030000"	
"1065"	"100101"	"20"	"160"	"469.450000"	
"1066"	"100101"	"20"	"160"	"470.870000"	
"1067"	"100101"	"20"	"160"	"472.280000"	
"1068"	"100101"	"20"	"160"	"473.700000"	
"1069"	"100101"	"20"	"160"	"475.120000"	
"1070"	"100101"	"20"	"160"	"476.530000"	
"1071"	"100101"	"20"	"160"	"477.950000"	
"1072"	"100101"	"20"	"160"	"479.370000"	
"1073"	"100101"	"20"	"160"	"480.780000"	
"1074"	"100101"	"20"	"160"	"482.200000"	
"1075"	"100101"	"20"	"160"	"483.620000"	
"1076"	"100101"	"20"	"160"	"485.030000"	
"1077"	"100101"	"20"	"160"	"486.450000"	
"1078"	"100101"	"20"	"160"	"487.870000"	
"1079"	"100101"	"20"	"160"	"489.280000"	
"1080"	"100101"	"30"	"270"	"490.700000"	
"1081"	"100101"	"30"	"270"	"492.780000"	
"1082"	"100101"	"30"	"270"	"494.870000"	
"1083"	"100101"	"30"	"270"	"496.950000"	
"1084"	"100101"	"30"	"270"	"499.030000"	
"1085"	"100101"	"30"	"270"	"501.120000"	
"1086"	"100101"	"30"	"270"	"503.200000"	
"1087"	"100101"	"30"	"270"	"505.280000"	
"1088"	"100101"	"30"	"270"	"507.370000"	
"1089"	"100101"	"30"	"270"	"509.450000"	
"1090"	"100101"	"30"	"270"	"511.530000"	
"1091"	"100101"	"30"	"270"	"513.620000"	
"1092"	"100101"	"30"	"270"	"515.700000"	
"1093"	"100101"	"30"	"270"	"517.780000"	
"1094"	"100101"	"30"	"270"	"519.870000"	
"1095"	"100101"	"30"	"270"	"521.950000"	
"1096"	"100101"	"30"	"270"	"524.030000"	
"1097"	"100101"	"30"	"270"	"526.120000"	
"1098"	"100101"	"30"	"270"	"528.200000"	
"1099"	"100101"	"30"	"270"	"530.280000"	
