"ID"	"场景ID"	"副本时间(秒)"	"可能得到的物品"	"首次奖励"	"首次奖励数量"	"基础奖励"	"基础奖励数量"	"随机Boss1"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"易伤技能1"	"BOSS攻略1"	"推荐英雄组1"	"随机Boss2"	"新获得时位置xyRenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"易伤技能2"	"BOSS攻略2"	"推荐英雄组2"	"随机Boss3"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"易伤技能3"	"BOSS攻略3"	"推荐英雄组3"	"随机Boss4"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"易伤技能4"	"BOSS攻略4"	"推荐英雄组4"	"随机Boss5"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"易伤技能5"	"BOSS攻略5"	"推荐英雄组5"	"随机Boss6"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"易伤技能6"	"BOSS攻略6"	"推荐英雄组6"	"随机Boss7"	"易伤技能7"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"BOSS攻略7"	"推荐英雄组7"	"随机Boss8"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"易伤技能8"	"BOSS攻略8"	"推荐英雄组8"	
"45"	"4000"	"60"	"800081,100102,100101"	"800081,100004,100002"	"15,30,1800000"	"100102,100101,100001"	"1,10,1000"	"40451"	"0,-2.3"	"5.7"	"70000100"	"4009"	"104029,102009,103023"	"40452"	"0,-4"	"9"	"70000200"	"4010"	"104001,103008,103004"	"40453"	"0,-2.8"	"7"	"70000300"	"4011"	"104024,103003,103007"	"40454"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"46"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40461"	"0,-5.7"	"14"	"70000100"	"4009"	"104029,102009,103023"	"40462"	"0,-3.3"	"8"	"70000200"	"4010"	"104001,103008,103004"	"40463"	"0,-3.3"	"8"	"70000300"	"4011"	"104024,103003,103007"	"40464"	"0,-3.3"	"8"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"47"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40471"	"0,-2.2"	"5.2"	"70000100"	"4009"	"104029,102009,103023"	"40472"	"0,-3.2"	"7.7"	"70000200"	"4010"	"104001,103008,103004"	"40473"	"0,-3.1"	"7.7"	"70000300"	"4011"	"104024,103003,103007"	"40474"	"0,-2.5"	"6"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"48"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40481"	"0,-2.2"	"5.5"	"70000100"	"4009"	"104029,102009,103023"	"40482"	"0,-2.9"	"7"	"70000200"	"4010"	"104001,103008,103004"	"40483"	"0,-2.9"	"7"	"70000300"	"4011"	"104024,103003,103007"	"40484"	"0,-3.1"	"7.7"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"49"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40491"	"0,-2.5"	"6"	"70000100"	"4009"	"104029,102009,103023"	"40492"	"0,-1.2"	"3"	"70000200"	"4010"	"104001,103008,103004"	"40493"	"0,-2"	"5"	"70000300"	"4011"	"104024,103003,103007"	"40494"	"0,-2.7"	"6.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"50"	"4000"	"60"	"800081,100102,100101"	"800081,100004,100002"	"15,40,2000000"	"100102,100101,100001"	"1,10,1000"	"40501"	"0,-2.3"	"5.7"	"70000100"	"4009"	"104029,102009,103023"	"40502"	"0,-4"	"9"	"70000200"	"4010"	"104001,103008,103004"	"40503"	"0,-2.8"	"7"	"70000300"	"4011"	"104024,103003,103007"	"40504"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"51"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40511"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40512"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40513"	"0,-0.95"	"2.3"	"70000300"	"4011"	"104024,103003,103007"	"40514"	"0,-0.9"	"2.2"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"52"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40521"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40522"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40523"	"0,-1"	"2.5"	"70000300"	"4011"	"104024,103003,103007"	"40524"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"53"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40531"	"0,-0.95"	"2.3"	"70000100"	"4009"	"104029,102009,103023"	"40532"	"0,-0.95"	"2.3"	"70000200"	"4010"	"104001,103008,103004"	"40533"	"0,-0.95"	"2.3"	"70000300"	"4011"	"104024,103003,103007"	"40534"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"54"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40541"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40542"	"0,-0.95"	"2.3"	"70000200"	"4010"	"104001,103008,103004"	"40543"	"0,-1"	"2.5"	"70000300"	"4011"	"104024,103003,103007"	"40544"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"55"	"4000"	"60"	"800081,100102,100101"	"800081,100004,100002"	"15,40,2200000"	"100102,100101,100001"	"1,15,1000"	"40551"	"0,-5.7"	"14"	"70000100"	"4009"	"104029,102009,103023"	"40552"	"0,-3.3"	"8"	"70000200"	"4010"	"104001,103008,103004"	"40553"	"0,-3.3"	"8"	"70000300"	"4011"	"104024,103003,103007"	"40554"	"0,-3.3"	"8"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"56"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40561"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40562"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40563"	"0,-3.3"	"8"	"70000300"	"4011"	"104024,103003,103007"	"40564"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"57"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40571"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40572"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40573"	"0,-1"	"2.5"	"70000300"	"4011"	"104024,103003,103007"	"40574"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"58"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40581"	"0,-0.8"	"2"	"70000100"	"4009"	"104029,102009,103023"	"40582"	"0,-0.8"	"2"	"70000200"	"4010"	"104001,103008,103004"	"40583"	"0,-0.4"	"1"	"70000300"	"4011"	"104024,103003,103007"	"40584"	"0,-2.8"	"7"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"59"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40591"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40592"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40593"	"0,-0.95"	"2.3"	"70000300"	"4011"	"104024,103003,103007"	"40594"	"0,-0.95"	"2.3"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"60"	"4000"	"60"	"800081,100102,100101"	"800081,100004,100002"	"20,45,2400000"	"100102,100101,100001"	"1,15,1000"	"40601"	"0,-5.7"	"14"	"70000100"	"4009"	"104029,102009,103023"	"40602"	"0,-3.3"	"8"	"70000200"	"4010"	"104001,103008,103004"	"40603"	"0,-3.2"	"7.7"	"70000300"	"4011"	"104024,103003,103007"	"40604"	"0,-3.1"	"7.7"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"61"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40611"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40612"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40613"	"0,-0.95"	"2.3"	"70000300"	"4011"	"104024,103003,103007"	"40614"	"0,-0.9"	"2.2"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"62"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40621"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40622"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40623"	"0,-1"	"2.5"	"70000300"	"4011"	"104024,103003,103007"	"40624"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"63"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40631"	"0,-0.95"	"2.3"	"70000100"	"4009"	"104029,102009,103023"	"40632"	"0,-0.95"	"2.3"	"70000200"	"4010"	"104001,103008,103004"	"40633"	"0,-0.95"	"2.3"	"70000300"	"4011"	"104024,103003,103007"	"40634"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"64"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40641"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40642"	"0,-0.95"	"2.3"	"70000200"	"4010"	"104001,103008,103004"	"40643"	"0,-1"	"2.5"	"70000300"	"4011"	"104024,103003,103007"	"40644"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"65"	"4000"	"60"	"800081,100102,100101"	"800081,100004,100002"	"20,50,2600000"	"100102,100101,100001"	"1,15,1000"	"40651"	"0,-5.7"	"14"	"70000100"	"4009"	"104029,102009,103023"	"40652"	"0,-3.3"	"8"	"70000200"	"4010"	"104001,103008,103004"	"40653"	"0,-3.3"	"8"	"70000300"	"4011"	"104024,103003,103007"	"40654"	"0,-3.3"	"8"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"66"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40661"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40662"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40663"	"0,-1"	"2.5"	"70000300"	"4011"	"104024,103003,103007"	"40664"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"67"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40671"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40672"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40673"	"0,-1"	"2.5"	"70000300"	"4011"	"104024,103003,103007"	"40674"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"68"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40681"	"0,-0.8"	"2"	"70000100"	"4009"	"104029,102009,103023"	"40682"	"0,-0.8"	"2"	"70000200"	"4010"	"104001,103008,103004"	"40683"	"0,-0.4"	"1"	"70000300"	"4011"	"104024,103003,103007"	"40684"	"0,-2.8"	"7"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"69"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40691"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40692"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40693"	"0,-0.95"	"2.3"	"70000300"	"4011"	"104024,103003,103007"	"40694"	"0,-0.95"	"2.3"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"70"	"4000"	"60"	"800081,100102,100101"	"800081,100004,100002"	"20,60,2800000"	"100102,100101,100001"	"1,15,1000"	"40701"	"0,-5.7"	"14"	"70000100"	"4009"	"104029,102009,103023"	"40702"	"0,-3.3"	"8"	"70000200"	"4010"	"104001,103008,103004"	"40703"	"0,-3.2"	"7.7"	"70000300"	"4011"	"104024,103003,103007"	"40704"	"0,-3.1"	"7.7"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"71"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40711"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40712"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40713"	"0,-0.95"	"2.3"	"70000300"	"4011"	"104024,103003,103007"	"40714"	"0,-0.9"	"2.2"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"72"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40721"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40722"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40723"	"0,-1"	"2.5"	"70000300"	"4011"	"104024,103003,103007"	"40724"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"73"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40731"	"0,-0.95"	"2.3"	"70000100"	"4009"	"104029,102009,103023"	"40732"	"0,-0.95"	"2.3"	"70000200"	"4010"	"104001,103008,103004"	"40733"	"0,-0.95"	"2.3"	"70000300"	"4011"	"104024,103003,103007"	"40734"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"74"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40741"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40742"	"0,-0.95"	"2.3"	"70000200"	"4010"	"104001,103008,103004"	"40743"	"0,-1"	"2.5"	"70000300"	"4011"	"104024,103003,103007"	"40744"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"75"	"4000"	"60"	"800081,100102,100101"	"800081,100004,100002"	"20,70,3000000"	"100102,100101,100001"	"1,15,1000"	"40751"	"0,-5.7"	"14"	"70000100"	"4009"	"104029,102009,103023"	"40752"	"0,-3.3"	"8"	"70000200"	"4010"	"104001,103008,103004"	"40753"	"0,-3.3"	"8"	"70000300"	"4011"	"104024,103003,103007"	"40754"	"0,-3.3"	"8"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"76"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40761"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40762"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40763"	"0,-1"	"2.5"	"70000300"	"4011"	"104024,103003,103007"	"40764"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"77"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40771"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40772"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40773"	"0,-1"	"2.5"	"70000300"	"4011"	"104024,103003,103007"	"40774"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"78"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40781"	"0,-0.8"	"2"	"70000100"	"4009"	"104029,102009,103023"	"40782"	"0,-0.8"	"2"	"70000200"	"4010"	"104001,103008,103004"	"40783"	"0,-0.4"	"1"	"70000300"	"4011"	"104024,103003,103007"	"40784"	"0,-2.8"	"7"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"79"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"40791"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40792"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40793"	"0,-0.95"	"2.3"	"70000300"	"4011"	"104024,103003,103007"	"40794"	"0,-0.95"	"2.3"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80"	"4000"	"60"	"800081,100102,100101"	"800081,100004,100002"	"25,80,3200000"	"100102,100101,100001"	"1,15,1000"	"40801"	"0,-5.7"	"14"	"70000100"	"4009"	"104029,102009,103023"	"40802"	"0,-3.3"	"8"	"70000200"	"4010"	"104001,103008,103004"	"40803"	"0,-3.2"	"7.7"	"70000300"	"4011"	"104024,103003,103007"	"40804"	"0,-3.1"	"7.7"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"81"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"40811"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40812"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40813"	"0,-0.95"	"2.3"	"70000300"	"4011"	"104024,103003,103007"	"40814"	"0,-0.9"	"2.2"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"82"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"40821"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40822"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40823"	"0,-1"	"2.5"	"70000300"	"4011"	"104024,103003,103007"	"40824"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"83"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"40831"	"0,-0.95"	"2.3"	"70000100"	"4009"	"104029,102009,103023"	"40832"	"0,-0.95"	"2.3"	"70000200"	"4010"	"104001,103008,103004"	"40833"	"0,-0.95"	"2.3"	"70000300"	"4011"	"104024,103003,103007"	"40834"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"84"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"40841"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40842"	"0,-0.95"	"2.3"	"70000200"	"4010"	"104001,103008,103004"	"40843"	"0,-1"	"2.5"	"70000300"	"4011"	"104024,103003,103007"	"40844"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85"	"4000"	"60"	"800081,100102,100101"	"800081,100004,100002"	"25,90,3400000"	"100102,100101,100001"	"2,20,1000"	"40851"	"0,-5.7"	"14"	"70000100"	"4009"	"104029,102009,103023"	"40852"	"0,-3.3"	"8"	"70000200"	"4010"	"104001,103008,103004"	"40853"	"0,-3.3"	"8"	"70000300"	"4011"	"104024,103003,103007"	"40854"	"0,-3.3"	"8"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"40861"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40862"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40863"	"0,-1"	"2.5"	"70000300"	"4011"	"104024,103003,103007"	"40864"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"87"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"40871"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40872"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40873"	"0,-1"	"2.5"	"70000300"	"4011"	"104024,103003,103007"	"40874"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"88"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"40881"	"0,-0.8"	"2"	"70000100"	"4009"	"104029,102009,103023"	"40882"	"0,-0.8"	"2"	"70000200"	"4010"	"104001,103008,103004"	"40883"	"0,-0.4"	"1"	"70000300"	"4011"	"104024,103003,103007"	"40884"	"0,-2.8"	"7"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"89"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"40891"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40892"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40893"	"0,-0.95"	"2.3"	"70000300"	"4011"	"104024,103003,103007"	"40894"	"0,-0.95"	"2.3"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"90"	"4000"	"60"	"800081,100102,100101"	"800081,100004,100002"	"25,100,3600000"	"100102,100101,100001"	"2,20,1000"	"40901"	"0,-5.7"	"14"	"70000100"	"4009"	"104029,102009,103023"	"40902"	"0,-3.3"	"8"	"70000200"	"4010"	"104001,103008,103004"	"40903"	"0,-3.2"	"7.7"	"70000300"	"4011"	"104024,103003,103007"	"40904"	"0,-3.1"	"7.7"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"91"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"40911"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40912"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40913"	"0,-0.95"	"2.3"	"70000300"	"4011"	"104024,103003,103007"	"40914"	"0,-0.9"	"2.2"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"92"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"40921"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40922"	"0,-1"	"2.5"	"70000200"	"4010"	"104001,103008,103004"	"40923"	"0,-1"	"2.5"	"70000300"	"4011"	"104024,103003,103007"	"40924"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"93"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"40931"	"0,-0.95"	"2.3"	"70000100"	"4009"	"104029,102009,103023"	"40932"	"0,-0.95"	"2.3"	"70000200"	"4010"	"104001,103008,103004"	"40933"	"0,-0.95"	"2.3"	"70000300"	"4011"	"104024,103003,103007"	"40934"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"94"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"40941"	"0,-1"	"2.5"	"70000100"	"4009"	"104029,102009,103023"	"40942"	"0,-0.95"	"2.3"	"70000200"	"4010"	"104001,103008,103004"	"40943"	"0,-1"	"2.5"	"70000300"	"4011"	"104024,103003,103007"	"40944"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
