"特殊掉落ID"	"掉落包描述"	"职业限制(1=对战士可掉;2=对弓手可掉;4=对法师可掉;7=对所有职业可掉)"	"节日特殊掉落1=圣诞"	"击杀者等级限制"	"击杀者变量条件变量,区间1,2区间1：0=挂机迷城，用逗号分隔需要其他和必焕说区间2：挂机迷城击杀怪物数量上下限，用逗号分隔"	"掉落数量"	"掉落1"	"掉落2"	"掉落3"	"掉落4"	"掉落5"	"掉落6"	"掉落7"	"掉落8"	"掉落9"	"掉落10"	"掉落11"	"掉落12"	"掉落13"	"掉落14"	"掉落15"	"掉落16"	"掉落17"	"掉落18"	"掉落19"	"掉落20"	"掉落21"	"掉落22"	"掉落23"	"掉落24"	"掉落25"	"掉落26"	"掉落27"	"掉落28"	"掉落29"	"掉落30"	""	""	""	""	""	""	""	""	""	""	
"1015103"	"160级绿装平分云锦"	"4"	""	""	""	"1"	"1,20511004,100"	"1,20511005,100"	"1,20511006,100"	"1,20511007,100"	"1,20511008,100"	"1,20511009,100"	"1,20511010,100"	"1,20511011,100"	""	""	""	""	""	""	""	""	"1,20511301,100"	"1,20511302,100"	"1,20511303,100"	"1,20511312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1015200"	"160级蓝装平分"	"7"	""	""	""	"1"	"2,1015201,100"	"2,1015202,100"	"2,1015203,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1015201"	"160级蓝装平分转剑"	"1"	""	""	""	"1"	"1,20521004,100"	"1,20521005,100"	"1,20521006,100"	"1,20521007,100"	"1,20521008,100"	"1,20521009,100"	"1,20521010,100"	"1,20521011,100"	"1,20521101,100"	"1,20521102,100"	"1,20521103,100"	"1,20521112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1015202"	"160级蓝装平分天威"	"2"	""	""	""	"1"	"1,20521004,100"	"1,20521005,100"	"1,20521006,100"	"1,20521007,100"	"1,20521008,100"	"1,20521009,100"	"1,20521010,100"	"1,20521011,100"	""	""	""	""	"1,20521201,100"	"1,20521202,100"	"1,20521203,100"	"1,20521212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1015203"	"160级蓝装平分云锦"	"4"	""	""	""	"1"	"1,20521004,100"	"1,20521005,100"	"1,20521006,100"	"1,20521007,100"	"1,20521008,100"	"1,20521009,100"	"1,20521010,100"	"1,20521011,100"	""	""	""	""	""	""	""	""	"1,20521301,100"	"1,20521302,100"	"1,20521303,100"	"1,20521312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1015300"	"160级紫装平分"	"7"	""	""	""	"1"	"2,1015301,100"	"2,1015302,100"	"2,1015303,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1015301"	"160级紫装平分转剑"	"1"	""	""	""	"1"	"1,20531004,100"	"1,20531005,100"	"1,20531006,100"	"1,20531007,100"	"1,20531008,100"	"1,20531009,100"	"1,20531010,100"	"1,20531011,100"	"1,20531101,100"	"1,20531102,100"	"1,20531103,100"	"1,20531112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1015302"	"160级紫装平分天威"	"2"	""	""	""	"1"	"1,20531004,100"	"1,20531005,100"	"1,20531006,100"	"1,20531007,100"	"1,20531008,100"	"1,20531009,100"	"1,20531010,100"	"1,20531011,100"	""	""	""	""	"1,20531201,100"	"1,20531202,100"	"1,20531203,100"	"1,20531212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1015303"	"160级紫装平分云锦"	"4"	""	""	""	"1"	"1,20531004,100"	"1,20531005,100"	"1,20531006,100"	"1,20531007,100"	"1,20531008,100"	"1,20531009,100"	"1,20531010,100"	"1,20531011,100"	""	""	""	""	""	""	""	""	"1,20531301,100"	"1,20531302,100"	"1,20531303,100"	"1,20531312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1015400"	"160级金装平分"	"7"	""	""	""	"1"	"2,1015401,100"	"2,1015402,100"	"2,1015403,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1015401"	"160级金装平分转剑"	"1"	""	""	""	"1"	"1,20541004,100"	"1,20541005,100"	"1,20541006,100"	"1,20541007,100"	"1,20541008,100"	"1,20541009,100"	"1,20541010,100"	"1,20541011,100"	"1,20541101,100"	"1,20541102,100"	"1,20541103,100"	"1,20541112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1015402"	"160级金装平分天威"	"2"	""	""	""	"1"	"1,20541004,100"	"1,20541005,100"	"1,20541006,100"	"1,20541007,100"	"1,20541008,100"	"1,20541009,100"	"1,20541010,100"	"1,20541011,100"	""	""	""	""	"1,20541201,100"	"1,20541202,100"	"1,20541203,100"	"1,20541212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1015403"	"160级金装平分云锦"	"4"	""	""	""	"1"	"1,20541004,100"	"1,20541005,100"	"1,20541006,100"	"1,20541007,100"	"1,20541008,100"	"1,20541009,100"	"1,20541010,100"	"1,20541011,100"	""	""	""	""	""	""	""	""	"1,20541301,100"	"1,20541302,100"	"1,20541303,100"	"1,20541312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1015420"	"160级金套装平分"	"7"	""	""	""	"1"	"2,1015421,100"	"2,1015422,100"	"2,1015423,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1015421"	"160级金套装平分转剑"	"1"	""	""	""	"1"	"1,20542004,100"	"1,20542005,100"	"1,20542006,100"	"1,20542007,100"	"1,20542008,100"	"1,20542009,100"	"1,20542010,100"	"1,20542011,100"	"1,20542101,100"	"1,20542102,100"	"1,20542103,100"	"1,20542112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1015422"	"160级金套装平分天威"	"2"	""	""	""	"1"	"1,20542004,100"	"1,20542005,100"	"1,20542006,100"	"1,20542007,100"	"1,20542008,100"	"1,20542009,100"	"1,20542010,100"	"1,20542011,100"	""	""	""	""	"1,20542201,100"	"1,20542202,100"	"1,20542203,100"	"1,20542212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1015423"	"160级金套装平分云锦"	"4"	""	""	""	"1"	"1,20542004,100"	"1,20542005,100"	"1,20542006,100"	"1,20542007,100"	"1,20542008,100"	"1,20542009,100"	"1,20542010,100"	"1,20542011,100"	""	""	""	""	""	""	""	""	"1,20542301,100"	"1,20542302,100"	"1,20542303,100"	"1,20542312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016100"	"200级绿装平分"	"7"	""	""	""	"1"	"2,1016101,100"	"2,1016102,100"	"2,1016103,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016101"	"200级绿装平分转剑"	"1"	""	""	""	"1"	"1,20611004,100"	"1,20611005,100"	"1,20611006,100"	"1,20611007,100"	"1,20611008,100"	"1,20611009,100"	"1,20611010,100"	"1,20611011,100"	"1,20611101,100"	"1,20611102,100"	"1,20611103,100"	"1,20611112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016102"	"200级绿装平分天威"	"2"	""	""	""	"1"	"1,20611004,100"	"1,20611005,100"	"1,20611006,100"	"1,20611007,100"	"1,20611008,100"	"1,20611009,100"	"1,20611010,100"	"1,20611011,100"	""	""	""	""	"1,20611201,100"	"1,20611202,100"	"1,20611203,100"	"1,20611212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016103"	"200级绿装平分云锦"	"4"	""	""	""	"1"	"1,20611004,100"	"1,20611005,100"	"1,20611006,100"	"1,20611007,100"	"1,20611008,100"	"1,20611009,100"	"1,20611010,100"	"1,20611011,100"	""	""	""	""	""	""	""	""	"1,20611301,100"	"1,20611302,100"	"1,20611303,100"	"1,20611312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016200"	"200级蓝装平分"	"7"	""	""	""	"1"	"2,1016201,100"	"2,1016202,100"	"2,1016203,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016201"	"200级蓝装平分转剑"	"1"	""	""	""	"1"	"1,20621004,100"	"1,20621005,100"	"1,20621006,100"	"1,20621007,100"	"1,20621008,100"	"1,20621009,100"	"1,20621010,100"	"1,20621011,100"	"1,20621101,100"	"1,20621102,100"	"1,20621103,100"	"1,20621112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016202"	"200级蓝装平分天威"	"2"	""	""	""	"1"	"1,20621004,100"	"1,20621005,100"	"1,20621006,100"	"1,20621007,100"	"1,20621008,100"	"1,20621009,100"	"1,20621010,100"	"1,20621011,100"	""	""	""	""	"1,20621201,100"	"1,20621202,100"	"1,20621203,100"	"1,20621212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016203"	"200级蓝装平分云锦"	"4"	""	""	""	"1"	"1,20621004,100"	"1,20621005,100"	"1,20621006,100"	"1,20621007,100"	"1,20621008,100"	"1,20621009,100"	"1,20621010,100"	"1,20621011,100"	""	""	""	""	""	""	""	""	"1,20621301,100"	"1,20621302,100"	"1,20621303,100"	"1,20621312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016300"	"200级紫装平分"	"7"	""	""	""	"1"	"2,1016301,100"	"2,1016302,100"	"2,1016303,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016301"	"200级紫装平分转剑"	"1"	""	""	""	"1"	"1,20631004,100"	"1,20631005,100"	"1,20631006,100"	"1,20631007,100"	"1,20631008,100"	"1,20631009,100"	"1,20631010,100"	"1,20631011,100"	"1,20631101,100"	"1,20631102,100"	"1,20631103,100"	"1,20631112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016302"	"200级紫装平分天威"	"2"	""	""	""	"1"	"1,20631004,100"	"1,20631005,100"	"1,20631006,100"	"1,20631007,100"	"1,20631008,100"	"1,20631009,100"	"1,20631010,100"	"1,20631011,100"	""	""	""	""	"1,20631201,100"	"1,20631202,100"	"1,20631203,100"	"1,20631212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016303"	"200级紫装平分云锦"	"4"	""	""	""	"1"	"1,20631004,100"	"1,20631005,100"	"1,20631006,100"	"1,20631007,100"	"1,20631008,100"	"1,20631009,100"	"1,20631010,100"	"1,20631011,100"	""	""	""	""	""	""	""	""	"1,20631301,100"	"1,20631302,100"	"1,20631303,100"	"1,20631312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016400"	"200级金装平分"	"7"	""	""	""	"1"	"2,1016401,100"	"2,1016402,100"	"2,1016403,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016401"	"200级金装平分转剑"	"1"	""	""	""	"1"	"1,20641004,100"	"1,20641005,100"	"1,20641006,100"	"1,20641007,100"	"1,20641008,100"	"1,20641009,100"	"1,20641010,100"	"1,20641011,100"	"1,20641101,100"	"1,20641102,100"	"1,20641103,100"	"1,20641112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016402"	"200级金装平分天威"	"2"	""	""	""	"1"	"1,20641004,100"	"1,20641005,100"	"1,20641006,100"	"1,20641007,100"	"1,20641008,100"	"1,20641009,100"	"1,20641010,100"	"1,20641011,100"	""	""	""	""	"1,20641201,100"	"1,20641202,100"	"1,20641203,100"	"1,20641212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016403"	"200级金装平分云锦"	"4"	""	""	""	"1"	"1,20641004,100"	"1,20641005,100"	"1,20641006,100"	"1,20641007,100"	"1,20641008,100"	"1,20641009,100"	"1,20641010,100"	"1,20641011,100"	""	""	""	""	""	""	""	""	"1,20641301,100"	"1,20641302,100"	"1,20641303,100"	"1,20641312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016420"	"200级金套装平分"	"7"	""	""	""	"1"	"2,1016421,100"	"2,1016422,100"	"2,1016423,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016421"	"200级金套装平分转剑"	"1"	""	""	""	"1"	"1,20642004,100"	"1,20642005,100"	"1,20642006,100"	"1,20642007,100"	"1,20642008,100"	"1,20642009,100"	"1,20642010,100"	"1,20642011,100"	"1,20642101,100"	"1,20642102,100"	"1,20642103,100"	"1,20642112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016422"	"200级金套装平分天威"	"2"	""	""	""	"1"	"1,20642004,100"	"1,20642005,100"	"1,20642006,100"	"1,20642007,100"	"1,20642008,100"	"1,20642009,100"	"1,20642010,100"	"1,20642011,100"	""	""	""	""	"1,20642201,100"	"1,20642202,100"	"1,20642203,100"	"1,20642212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016423"	"200级金套装平分云锦"	"4"	""	""	""	"1"	"1,20642004,100"	"1,20642005,100"	"1,20642006,100"	"1,20642007,100"	"1,20642008,100"	"1,20642009,100"	"1,20642010,100"	"1,20642011,100"	""	""	""	""	""	""	""	""	"1,20642301,100"	"1,20642302,100"	"1,20642303,100"	"1,20642312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016500"	"200级橙装平分"	"7"	""	""	""	"1"	"2,1016501,100"	"2,1016502,100"	"2,1016503,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016501"	"200级橙装平分转剑"	"1"	""	""	""	"1"	"1,20651004,100"	"1,20651005,100"	"1,20651006,100"	"1,20651007,100"	"1,20651008,100"	"1,20651009,100"	"1,20651010,100"	"1,20651011,100"	"1,20651101,100"	"1,20651102,100"	"1,20651103,100"	"1,20651112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016502"	"200级橙装平分天威"	"2"	""	""	""	"1"	"1,20651004,100"	"1,20651005,100"	"1,20651006,100"	"1,20651007,100"	"1,20651008,100"	"1,20651009,100"	"1,20651010,100"	"1,20651011,100"	""	""	""	""	"1,20651201,100"	"1,20651202,100"	"1,20651203,100"	"1,20651212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016503"	"200级橙装平分云锦"	"4"	""	""	""	"1"	"1,20651004,100"	"1,20651005,100"	"1,20651006,100"	"1,20651007,100"	"1,20651008,100"	"1,20651009,100"	"1,20651010,100"	"1,20651011,100"	""	""	""	""	""	""	""	""	"1,20651301,100"	"1,20651302,100"	"1,20651303,100"	"1,20651312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016520"	"200级橙套装平分"	"7"	""	""	""	"1"	"2,1016521,100"	"2,1016522,100"	"2,1016523,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016521"	"200级橙套装平分转剑"	"1"	""	""	""	"1"	"1,20652004,100"	"1,20652005,100"	"1,20652006,100"	"1,20652007,100"	"1,20652008,100"	"1,20652009,100"	"1,20652010,100"	"1,20652011,100"	"1,20652101,100"	"1,20652102,100"	"1,20652103,100"	"1,20652112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016522"	"200级橙套装平分天威"	"2"	""	""	""	"1"	"1,20652004,100"	"1,20652005,100"	"1,20652006,100"	"1,20652007,100"	"1,20652008,100"	"1,20652009,100"	"1,20652010,100"	"1,20652011,100"	""	""	""	""	"1,20652201,100"	"1,20652202,100"	"1,20652203,100"	"1,20652212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016523"	"200级橙套装平分云锦"	"4"	""	""	""	"1"	"1,20652004,100"	"1,20652005,100"	"1,20652006,100"	"1,20652007,100"	"1,20652008,100"	"1,20652009,100"	"1,20652010,100"	"1,20652011,100"	""	""	""	""	""	""	""	""	"1,20652301,100"	"1,20652302,100"	"1,20652303,100"	"1,20652312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017100"	"240级绿装平分"	"7"	""	""	""	"1"	"2,1017101,100"	"2,1017102,100"	"2,1017103,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017101"	"240级绿装平分转剑"	"1"	""	""	""	"1"	"1,20711004,100"	"1,20711005,100"	"1,20711006,100"	"1,20711007,100"	"1,20711008,100"	"1,20711009,100"	"1,20711010,100"	"1,20711011,100"	"1,20711101,100"	"1,20711102,100"	"1,20711103,100"	"1,20711112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017102"	"240级绿装平分天威"	"2"	""	""	""	"1"	"1,20711004,100"	"1,20711005,100"	"1,20711006,100"	"1,20711007,100"	"1,20711008,100"	"1,20711009,100"	"1,20711010,100"	"1,20711011,100"	""	""	""	""	"1,20711201,100"	"1,20711202,100"	"1,20711203,100"	"1,20711212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017103"	"240级绿装平分云锦"	"4"	""	""	""	"1"	"1,20711004,100"	"1,20711005,100"	"1,20711006,100"	"1,20711007,100"	"1,20711008,100"	"1,20711009,100"	"1,20711010,100"	"1,20711011,100"	""	""	""	""	""	""	""	""	"1,20711301,100"	"1,20711302,100"	"1,20711303,100"	"1,20711312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017200"	"240级蓝装平分"	"7"	""	""	""	"1"	"2,1017201,100"	"2,1017202,100"	"2,1017203,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017201"	"240级蓝装平分转剑"	"1"	""	""	""	"1"	"1,20721004,100"	"1,20721005,100"	"1,20721006,100"	"1,20721007,100"	"1,20721008,100"	"1,20721009,100"	"1,20721010,100"	"1,20721011,100"	"1,20721101,100"	"1,20721102,100"	"1,20721103,100"	"1,20721112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017202"	"240级蓝装平分天威"	"2"	""	""	""	"1"	"1,20721004,100"	"1,20721005,100"	"1,20721006,100"	"1,20721007,100"	"1,20721008,100"	"1,20721009,100"	"1,20721010,100"	"1,20721011,100"	""	""	""	""	"1,20721201,100"	"1,20721202,100"	"1,20721203,100"	"1,20721212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017203"	"240级蓝装平分云锦"	"4"	""	""	""	"1"	"1,20721004,100"	"1,20721005,100"	"1,20721006,100"	"1,20721007,100"	"1,20721008,100"	"1,20721009,100"	"1,20721010,100"	"1,20721011,100"	""	""	""	""	""	""	""	""	"1,20721301,100"	"1,20721302,100"	"1,20721303,100"	"1,20721312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017300"	"240级紫装平分"	"7"	""	""	""	"1"	"2,1017301,100"	"2,1017302,100"	"2,1017303,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017301"	"240级紫装平分转剑"	"1"	""	""	""	"1"	"1,20731004,100"	"1,20731005,100"	"1,20731006,100"	"1,20731007,100"	"1,20731008,100"	"1,20731009,100"	"1,20731010,100"	"1,20731011,100"	"1,20731101,100"	"1,20731102,100"	"1,20731103,100"	"1,20731112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017302"	"240级紫装平分天威"	"2"	""	""	""	"1"	"1,20731004,100"	"1,20731005,100"	"1,20731006,100"	"1,20731007,100"	"1,20731008,100"	"1,20731009,100"	"1,20731010,100"	"1,20731011,100"	""	""	""	""	"1,20731201,100"	"1,20731202,100"	"1,20731203,100"	"1,20731212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017303"	"240级紫装平分云锦"	"4"	""	""	""	"1"	"1,20731004,100"	"1,20731005,100"	"1,20731006,100"	"1,20731007,100"	"1,20731008,100"	"1,20731009,100"	"1,20731010,100"	"1,20731011,100"	""	""	""	""	""	""	""	""	"1,20731301,100"	"1,20731302,100"	"1,20731303,100"	"1,20731312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017400"	"240级金装平分"	"7"	""	""	""	"1"	"2,1017401,100"	"2,1017402,100"	"2,1017403,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017401"	"240级金装平分转剑"	"1"	""	""	""	"1"	"1,20741004,100"	"1,20741005,100"	"1,20741006,100"	"1,20741007,100"	"1,20741008,100"	"1,20741009,100"	"1,20741010,100"	"1,20741011,100"	"1,20741101,100"	"1,20741102,100"	"1,20741103,100"	"1,20741112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017402"	"240级金装平分天威"	"2"	""	""	""	"1"	"1,20741004,100"	"1,20741005,100"	"1,20741006,100"	"1,20741007,100"	"1,20741008,100"	"1,20741009,100"	"1,20741010,100"	"1,20741011,100"	""	""	""	""	"1,20741201,100"	"1,20741202,100"	"1,20741203,100"	"1,20741212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017403"	"240级金装平分云锦"	"4"	""	""	""	"1"	"1,20741004,100"	"1,20741005,100"	"1,20741006,100"	"1,20741007,100"	"1,20741008,100"	"1,20741009,100"	"1,20741010,100"	"1,20741011,100"	""	""	""	""	""	""	""	""	"1,20741301,100"	"1,20741302,100"	"1,20741303,100"	"1,20741312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017500"	"240级橙装平分"	"7"	""	""	""	"1"	"2,1017501,100"	"2,1017502,100"	"2,1017503,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017501"	"240级橙装平分转剑"	"1"	""	""	""	"1"	"1,20751004,100"	"1,20751005,100"	"1,20751006,100"	"1,20751007,100"	"1,20751008,100"	"1,20751009,100"	"1,20751010,100"	"1,20751011,100"	"1,20751101,100"	"1,20751102,100"	"1,20751103,100"	"1,20751112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017502"	"240级橙装平分天威"	"2"	""	""	""	"1"	"1,20751004,100"	"1,20751005,100"	"1,20751006,100"	"1,20751007,100"	"1,20751008,100"	"1,20751009,100"	"1,20751010,100"	"1,20751011,100"	""	""	""	""	"1,20751201,100"	"1,20751202,100"	"1,20751203,100"	"1,20751212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017503"	"240级橙装平分云锦"	"4"	""	""	""	"1"	"1,20751004,100"	"1,20751005,100"	"1,20751006,100"	"1,20751007,100"	"1,20751008,100"	"1,20751009,100"	"1,20751010,100"	"1,20751011,100"	""	""	""	""	""	""	""	""	"1,20751301,100"	"1,20751302,100"	"1,20751303,100"	"1,20751312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017520"	"240级橙套装平分"	"7"	""	""	""	"1"	"2,1017521,100"	"2,1017522,100"	"2,1017523,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017521"	"240级橙套装平分转剑"	"1"	""	""	""	"1"	"1,20752004,100"	"1,20752005,100"	"1,20752006,100"	"1,20752007,100"	"1,20752008,100"	"1,20752009,100"	"1,20752010,100"	"1,20752011,100"	"1,20752101,100"	"1,20752102,100"	"1,20752103,100"	"1,20752112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017522"	"240级橙套装平分天威"	"2"	""	""	""	"1"	"1,20752004,100"	"1,20752005,100"	"1,20752006,100"	"1,20752007,100"	"1,20752008,100"	"1,20752009,100"	"1,20752010,100"	"1,20752011,100"	""	""	""	""	"1,20752201,100"	"1,20752202,100"	"1,20752203,100"	"1,20752212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1017523"	"240级橙套装平分云锦"	"4"	""	""	""	"1"	"1,20752004,100"	"1,20752005,100"	"1,20752006,100"	"1,20752007,100"	"1,20752008,100"	"1,20752009,100"	"1,20752010,100"	"1,20752011,100"	""	""	""	""	""	""	""	""	"1,20752301,100"	"1,20752302,100"	"1,20752303,100"	"1,20752312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018100"	"280级绿装平分"	"7"	""	""	""	"1"	"2,1018101,100"	"2,1018102,100"	"2,1018103,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018101"	"280级绿装平分转剑"	"1"	""	""	""	"1"	"1,20811004,100"	"1,20811005,100"	"1,20811006,100"	"1,20811007,100"	"1,20811008,100"	"1,20811009,100"	"1,20811010,100"	"1,20811011,100"	"1,20811101,100"	"1,20811102,100"	"1,20811103,100"	"1,20811112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
