"id"	"类型0=银币基金1=术力基金2=龙玉基金3=血脉基金4=宝石基金5=龙魂基金6=轻羽基金7=琉璃基金8=启航基金9=扬帆基金10=远航基金"	"子类型（012345）"	"等级"	"职业1=战2=弓3=法"	"价格(充值金币)"	"回报率"	"第1天返回物品(itemid+count)"	"第2天返回物品"	"第3天返回物品"	"第4天返回物品"	"第5天返回物品"	"第6天返回物品"	"第7天返回物品"	"第8天返回物品"	"第9天返回物品"	"第10天返回物品"	""	""	""	
"11093"	"9"	"3"	"20"	"2"	"30"	"240"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"600006,3"	"600006,3"	"600006,3"	"600006,3"	""	""	""	
"11094"	"9"	"4"	"20"	"2"	"30"	"240"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"600006,3"	"600006,3"	"600006,3"	"600006,3"	""	""	""	
"11095"	"9"	"5"	"20"	"2"	"30"	"240"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"600006,3"	"600006,3"	"600006,3"	"600006,3"	""	""	""	
"11100"	"10"	"0"	"20"	"2"	"60"	"360"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"600006,6"	"600006,6"	"600006,6"	"600006,6"	""	""	""	
"11101"	"10"	"1"	"20"	"2"	"60"	"360"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"600006,6"	"600006,6"	"600006,6"	"600006,6"	""	""	""	
"11102"	"10"	"2"	"20"	"2"	"60"	"360"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"600006,6"	"600006,6"	"600006,6"	"600006,6"	""	""	""	
"11103"	"10"	"3"	"20"	"2"	"60"	"360"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"600006,6"	"600006,6"	"600006,6"	"600006,6"	""	""	""	
"11104"	"10"	"4"	"20"	"2"	"60"	"360"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"600006,6"	"600006,6"	"600006,6"	"600006,6"	""	""	""	
"11105"	"10"	"5"	"20"	"2"	"60"	"360"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"600006,6"	"600006,6"	"600006,6"	"600006,6"	""	""	""	
"12000"	"0"	"0"	"20"	"3"	"88"	"500"	"600003,1"	"600003,1"	"600003,1"	"600003,1"	"600003,1"	"600003,1"	"600003,2"	"600002,19"	"600002,21"	"600002,21"	""	""	""	
"12001"	"0"	"1"	"20"	"3"	"88"	"500"	"600003,2"	"600003,2"	"600003,2"	"600003,2"	"600003,2"	"600003,2"	"600003,4"	"600002,24"	"600002,24"	"600002,24"	""	""	""	
"12002"	"0"	"2"	"20"	"3"	"88"	"500"	"600003,2"	"600003,2"	"600003,2"	"600003,2"	"600003,2"	"600003,2"	"600003,4"	"600002,27"	"600002,27"	"600002,27"	""	""	""	
"12003"	"0"	"3"	"20"	"3"	"88"	"500"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,6"	"600002,29"	"600002,29"	"600002,29"	""	""	""	
"12004"	"0"	"4"	"20"	"3"	"88"	"500"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,6"	"600002,31"	"600002,31"	"600002,31"	""	""	""	
"12005"	"0"	"5"	"20"	"3"	"88"	"500"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,6"	"600002,19"	"600002,21"	"600002,21"	""	""	""	
"12010"	"1"	"0"	"20"	"3"	"88"	"500"	"600018,3"	"600018,3"	"600018,3"	"600018,3"	"600018,3"	"600018,3"	"600018,9"	"600018,6"	"600018,8"	"600018,8"	""	""	""	
"12011"	"1"	"1"	"20"	"3"	"88"	"500"	"600018,4"	"600018,4"	"600018,4"	"600018,4"	"600018,4"	"600018,4"	"600018,12"	"600018,8"	"600018,8"	"600018,8"	""	""	""	
"12012"	"1"	"2"	"20"	"3"	"88"	"500"	"600018,4"	"600018,4"	"600018,4"	"600018,4"	"600018,4"	"600018,4"	"600018,12"	"600018,10"	"600018,10"	"600018,10"	""	""	""	
"12013"	"1"	"3"	"20"	"3"	"88"	"500"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,15"	"600018,10"	"600018,10"	"600018,10"	""	""	""	
"12014"	"1"	"4"	"20"	"3"	"88"	"500"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,15"	"600018,10"	"600018,10"	"600018,10"	""	""	""	
"12015"	"1"	"5"	"20"	"3"	"88"	"500"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,15"	"600018,10"	"600018,10"	"600018,10"	""	""	""	
"12020"	"2"	"0"	"30"	"3"	"188"	"800"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,20"	"400100,20"	"400100,20"	"400100,20"	""	""	""	
"12021"	"2"	"1"	"30"	"3"	"188"	"800"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,20"	"400100,20"	"400100,20"	"400100,20"	""	""	""	
"12022"	"2"	"2"	"30"	"3"	"188"	"800"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,20"	"400100,20"	"400100,20"	"400100,20"	""	""	""	
"12023"	"2"	"3"	"30"	"3"	"188"	"800"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,20"	"400100,20"	"400100,20"	"400100,20"	""	""	""	
"12024"	"2"	"4"	"30"	"3"	"188"	"800"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,20"	"400100,20"	"400100,20"	"400100,20"	""	""	""	
"12025"	"2"	"5"	"30"	"3"	"188"	"800"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,20"	"400100,20"	"400100,20"	"400100,20"	""	""	""	
"12030"	"3"	"0"	"30"	"3"	"388"	"2000"	"561001,4"	"561001,4"	"561001,4"	"561001,4"	"561001,4"	"561001,4"	"561001,16"	"561002,5"	"561002,6"	"561002,6"	""	""	""	
"12031"	"3"	"1"	"30"	"3"	"388"	"3000"	"561001,6"	"561001,6"	"561001,6"	"561001,6"	"561001,6"	"561001,6"	"561001,24"	"561002,6"	"561002,6"	"561002,6"	""	""	""	
"12032"	"3"	"2"	"30"	"3"	"388"	"3000"	"561001,6"	"561001,6"	"561001,6"	"561001,6"	"561001,6"	"561001,6"	"561001,24"	"561002,6"	"561002,6"	"561002,6"	""	""	""	
"12033"	"3"	"3"	"30"	"3"	"388"	"4000"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,32"	"561002,7"	"561002,7"	"561002,7"	""	""	""	
"12034"	"3"	"4"	"30"	"3"	"388"	"4000"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,32"	"561002,7"	"561002,7"	"561002,7"	""	""	""	
"12035"	"3"	"5"	"30"	"3"	"388"	"4000"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,32"	"561002,7"	"561002,7"	"561002,7"	""	""	""	
"12040"	"4"	"0"	"50"	"3"	"888"	"3000"	"700303,1"	"700302,1"	"700307,1"	"700308,1"	"700306,1"	"700303,1"	"700406,1"	"700307,2"	"700308,2"	"700306,2"	""	""	""	
"12041"	"4"	"1"	"50"	"3"	"888"	"3000"	"700303,1"	"700302,1"	"700307,1"	"700308,1"	"700306,1"	"700303,1"	"700406,1"	"700307,2"	"700308,2"	"700306,2"	""	""	""	
"12042"	"4"	"2"	"50"	"3"	"888"	"3000"	"700303,1"	"700302,1"	"700307,1"	"700308,1"	"700306,1"	"700303,1"	"700406,1"	"700307,2"	"700308,2"	"700306,2"	""	""	""	
"12043"	"4"	"3"	"50"	"3"	"888"	"3000"	"700303,1"	"700302,1"	"700307,1"	"700308,1"	"700306,1"	"700303,1"	"700406,1"	"700307,2"	"700308,2"	"700306,2"	""	""	""	
"12044"	"4"	"4"	"50"	"3"	"888"	"3000"	"700303,1"	"700302,1"	"700307,1"	"700308,1"	"700306,1"	"700303,1"	"700406,1"	"700307,2"	"700308,2"	"700306,2"	""	""	""	
"12045"	"4"	"5"	"50"	"3"	"888"	"3000"	"700303,1"	"700302,1"	"700307,1"	"700308,1"	"700306,1"	"700303,1"	"700406,1"	"700307,2"	"700308,2"	"700306,2"	""	""	""	
"12050"	"5"	"0"	"50"	"3"	"988"	"4000"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,10"	"400200,10"	"400200,10"	"400200,10"	""	""	""	
"12051"	"5"	"1"	"50"	"3"	"988"	"4000"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,10"	"400200,10"	"400200,10"	"400200,10"	""	""	""	
"12052"	"5"	"2"	"50"	"3"	"988"	"4000"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,10"	"400200,10"	"400200,10"	"400200,10"	""	""	""	
"12053"	"5"	"3"	"50"	"3"	"988"	"4000"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,10"	"400200,10"	"400200,10"	"400200,10"	""	""	""	
"12054"	"5"	"4"	"50"	"3"	"988"	"4000"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,10"	"400200,10"	"400200,10"	"400200,10"	""	""	""	
"12055"	"5"	"5"	"50"	"3"	"988"	"4000"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,10"	"400200,10"	"400200,10"	"400200,10"	""	""	""	
"12060"	"6"	"0"	"45"	"3"	"388"	"2000"	"820001,25"	"820001,25"	"820001,25"	"820001,30"	"820001,30"	"820001,30"	"820001,35"	"820001,70"	"820001,70"	"820001,70"	""	""	""	
"12061"	"6"	"1"	"45"	"3"	"388"	"2000"	"820001,25"	"820001,25"	"820001,25"	"820001,30"	"820001,30"	"820001,30"	"820001,35"	"820001,70"	"820001,70"	"820001,70"	""	""	""	
"12062"	"6"	"2"	"45"	"3"	"388"	"2000"	"820001,25"	"820001,25"	"820001,25"	"820001,30"	"820001,30"	"820001,30"	"820001,35"	"820001,70"	"820001,70"	"820001,70"	""	""	""	
"12063"	"6"	"3"	"45"	"3"	"388"	"2000"	"820001,25"	"820001,25"	"820001,25"	"820001,30"	"820001,30"	"820001,30"	"820001,35"	"820001,70"	"820001,70"	"820001,70"	""	""	""	
"12064"	"6"	"4"	"45"	"3"	"388"	"2000"	"820001,25"	"820001,25"	"820001,25"	"820001,30"	"820001,30"	"820001,30"	"820001,35"	"820001,70"	"820001,70"	"820001,70"	""	""	""	
"12065"	"6"	"5"	"45"	"3"	"388"	"2000"	"820001,25"	"820001,25"	"820001,25"	"820001,30"	"820001,30"	"820001,30"	"820001,35"	"820001,70"	"820001,70"	"820001,70"	""	""	""	
"12070"	"7"	"0"	"45"	"3"	"588"	"3000"	"820002,5"	"820002,5"	"820002,7"	"820002,7"	"820002,10"	"820002,13"	"820002,13"	"820002,25"	"820002,25"	"820002,25"	""	""	""	
"12071"	"7"	"1"	"45"	"3"	"588"	"3000"	"820002,5"	"820002,5"	"820002,7"	"820002,7"	"820002,10"	"820002,13"	"820002,13"	"820002,25"	"820002,25"	"820002,25"	""	""	""	
"12072"	"7"	"2"	"45"	"3"	"588"	"3000"	"820002,5"	"820002,5"	"820002,7"	"820002,7"	"820002,10"	"820002,13"	"820002,13"	"820002,25"	"820002,25"	"820002,25"	""	""	""	
"12073"	"7"	"3"	"45"	"3"	"588"	"3000"	"820002,5"	"820002,5"	"820002,7"	"820002,7"	"820002,10"	"820002,13"	"820002,13"	"820002,25"	"820002,25"	"820002,25"	""	""	""	
"12074"	"7"	"4"	"45"	"3"	"588"	"3000"	"820002,5"	"820002,5"	"820002,7"	"820002,7"	"820002,10"	"820002,13"	"820002,13"	"820002,25"	"820002,25"	"820002,25"	""	""	""	
"12075"	"7"	"5"	"45"	"3"	"588"	"3000"	"820002,5"	"820002,5"	"820002,7"	"820002,7"	"820002,10"	"820002,13"	"820002,13"	"820002,25"	"820002,25"	"820002,25"	""	""	""	
"12080"	"8"	"0"	"20"	"3"	"10"	"100"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600006,1"	"600006,1"	"600006,1"	"600006,1"	""	""	""	
"12081"	"8"	"1"	"20"	"3"	"10"	"100"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600006,1"	"600006,1"	"600006,1"	"600006,1"	""	""	""	
"12082"	"8"	"2"	"20"	"3"	"10"	"100"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600006,1"	"600006,1"	"600006,1"	"600006,1"	""	""	""	
"12083"	"8"	"3"	"20"	"3"	"10"	"100"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600006,1"	"600006,1"	"600006,1"	"600006,1"	""	""	""	
"12084"	"8"	"4"	"20"	"3"	"10"	"100"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600006,1"	"600006,1"	"600006,1"	"600006,1"	""	""	""	
"12085"	"8"	"5"	"20"	"3"	"10"	"100"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600006,1"	"600006,1"	"600006,1"	"600006,1"	""	""	""	
"12090"	"9"	"0"	"20"	"3"	"30"	"240"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"600006,3"	"600006,3"	"600006,3"	"600006,3"	""	""	""	
"12091"	"9"	"1"	"20"	"3"	"30"	"240"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"600006,3"	"600006,3"	"600006,3"	"600006,3"	""	""	""	
"12092"	"9"	"2"	"20"	"3"	"30"	"240"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"600006,3"	"600006,3"	"600006,3"	"600006,3"	""	""	""	
"12093"	"9"	"3"	"20"	"3"	"30"	"240"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"600006,3"	"600006,3"	"600006,3"	"600006,3"	""	""	""	
"12094"	"9"	"4"	"20"	"3"	"30"	"240"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"600006,3"	"600006,3"	"600006,3"	"600006,3"	""	""	""	
"12095"	"9"	"5"	"20"	"3"	"30"	"240"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"600006,3"	"600006,3"	"600006,3"	"600006,3"	""	""	""	
"12100"	"10"	"0"	"20"	"3"	"60"	"360"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"600006,6"	"600006,6"	"600006,6"	"600006,6"	""	""	""	
"12101"	"10"	"1"	"20"	"3"	"60"	"360"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"600006,6"	"600006,6"	"600006,6"	"600006,6"	""	""	""	
"12102"	"10"	"2"	"20"	"3"	"60"	"360"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"600006,6"	"600006,6"	"600006,6"	"600006,6"	""	""	""	
"12103"	"10"	"3"	"20"	"3"	"60"	"360"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"600006,6"	"600006,6"	"600006,6"	"600006,6"	""	""	""	
"12104"	"10"	"4"	"20"	"3"	"60"	"360"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"600006,6"	"600006,6"	"600006,6"	"600006,6"	""	""	""	
"12105"	"10"	"5"	"20"	"3"	"60"	"360"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"600006,6"	"600006,6"	"600006,6"	"600006,6"	""	""	""	
