"赛季"	"开始时间"	"开始时分秒"	"结束时间"	"结束时分秒"	"1v1奖励1"	"1v1奖励2"	"1v1奖励3"	"1v1奖励4"	"1v1奖励5"	"3v3奖励1"	"3v3奖励2"	"3v3奖励3"	"3v3奖励4"	"3v3奖励5"	
"89"	"2017-11-15"	"00:05:00"	"2017-11-29"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"90"	"2017-11-29"	"00:05:00"	"2017-12-13"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"91"	"2017-12-13"	"00:05:00"	"2017-12-27"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"92"	"2017-12-27"	"00:05:00"	"2018-01-10"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"93"	"2018-01-10"	"00:05:00"	"2018-01-24"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"94"	"2018-01-24"	"00:05:00"	"2018-02-07"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"95"	"2018-02-07"	"00:05:00"	"2018-02-21"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"96"	"2018-02-21"	"00:05:00"	"2018-03-07"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"97"	"2018-03-07"	"00:05:00"	"2018-03-21"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"98"	"2018-03-21"	"00:05:00"	"2018-04-04"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"99"	"2018-04-04"	"00:05:00"	"2018-04-18"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"100"	"2018-04-18"	"00:05:00"	"2018-05-02"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"101"	"2018-05-02"	"00:05:00"	"2018-05-09"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"102"	"2018-05-09"	"00:05:00"	"2018-05-16"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"103"	"2018-05-16"	"00:05:00"	"2018-05-23"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"104"	"2018-05-23"	"00:05:00"	"2018-05-30"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"105"	"2018-05-30"	"00:05:00"	"2018-06-06"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"106"	"2018-06-06"	"00:05:00"	"2018-06-13"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"107"	"2018-06-13"	"00:05:00"	"2018-06-20"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"108"	"2018-06-20"	"00:05:00"	"2018-06-27"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"109"	"2018-06-27"	"00:05:00"	"2018-07-04"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"110"	"2018-07-04"	"00:05:00"	"2018-07-11"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"111"	"2018-07-11"	"00:05:00"	"2018-07-18"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"112"	"2018-07-18"	"00:05:00"	"2018-07-25"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"113"	"2018-07-25"	"00:05:00"	"2018-08-01"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"114"	"2018-08-01"	"00:05:00"	"2018-08-08"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"115"	"2018-08-08"	"00:05:00"	"2018-08-15"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"116"	"2018-08-15"	"00:05:00"	"2018-08-22"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"117"	"2018-08-22"	"00:05:00"	"2018-08-29"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"118"	"2018-08-29"	"00:05:00"	"2018-09-05"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"119"	"2018-09-05"	"00:05:00"	"2018-09-12"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"120"	"2018-09-12"	"00:05:00"	"2018-09-19"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"121"	"2018-09-19"	"00:05:00"	"2018-09-26"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"122"	"2018-09-26"	"00:05:00"	"2018-10-03"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"123"	"2018-10-03"	"00:05:00"	"2018-10-10"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"124"	"2018-10-10"	"00:05:00"	"2018-10-17"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"125"	"2018-10-17"	"00:05:00"	"2018-10-24"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"126"	"2018-10-24"	"00:05:00"	"2018-10-31"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"127"	"2018-10-31"	"00:05:00"	"2018-11-07"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"128"	"2018-11-07"	"00:05:00"	"2018-11-14"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"129"	"2018-11-14"	"00:05:00"	"2018-11-21"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"130"	"2018-11-21"	"00:05:00"	"2018-11-28"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"131"	"2018-11-28"	"00:05:00"	"2018-12-05"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"132"	"2018-12-05"	"00:05:00"	"2018-12-12"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"133"	"2018-12-12"	"00:05:00"	"2018-12-19"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"134"	"2018-12-19"	"00:05:00"	"2018-12-26"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"135"	"2018-12-26"	"00:05:00"	"2019-01-02"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"136"	"2019-01-02"	"00:05:00"	"2019-01-09"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"137"	"2019-01-09"	"00:05:00"	"2019-01-16"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"138"	"2019-01-16"	"00:05:00"	"2019-01-23"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"139"	"2019-01-23"	"00:05:00"	"2019-01-30"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"140"	"2019-01-30"	"00:05:00"	"2019-02-06"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"141"	"2019-02-06"	"00:05:00"	"2019-02-13"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"142"	"2019-02-13"	"00:05:00"	"2019-02-20"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"143"	"2019-02-20"	"00:05:00"	"2019-02-27"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"144"	"2019-02-27"	"00:05:00"	"2019-03-06"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"145"	"2019-03-06"	"00:05:00"	"2019-03-13"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"146"	"2019-03-13"	"00:05:00"	"2019-03-20"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"147"	"2019-03-20"	"00:05:00"	"2019-03-27"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"148"	"2019-03-27"	"00:05:00"	"2019-04-03"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"149"	"2019-04-03"	"00:05:00"	"2019-04-10"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"150"	"2019-04-10"	"00:05:00"	"2019-04-17"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"151"	"2019-04-17"	"00:05:00"	"2019-04-24"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"152"	"2019-04-24"	"00:05:00"	"2019-05-01"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
