"模板ID"	"升星等级"	"基础属性1"	"基础属性1数值"	"基础属性2"	"基础属性2数值"	"升星几率"	"元宝数量"	"道具1"	"道具数量"	"道具2"	"道具数量"	"铜币数量"	"回收经验"	"返还铜币"	"返还道具1"	"返还数量"	"返还道具2"	"返还数量"	"返还道具3"	"返还数量"	
"25000911"	"11"	"1"	"1200.000000"	"18"	"180.000000"	"0.500000"	"52"	"100041"	"3"	"-1"	"-1"	"72000"	"50"	"198000"	"100039"	"22"	"100040"	"24"	"100041"	"3"	
"25000912"	"12"	"1"	"1320.000000"	"18"	"198.000000"	"0.500000"	"84"	"100041"	"4"	"-1"	"-1"	"78000"	"50"	"234000"	"100039"	"22"	"100040"	"24"	"100041"	"6"	
"25000913"	"13"	"1"	"1440.000000"	"18"	"215.000000"	"0.500000"	"128"	"100041"	"5"	"-1"	"-1"	"84000"	"50"	"273000"	"100039"	"22"	"100040"	"24"	"100041"	"10"	
"25000914"	"14"	"1"	"1560.000000"	"18"	"233.000000"	"0.500000"	"165"	"100041"	"5"	"-1"	"-1"	"90000"	"50"	"315000"	"100039"	"22"	"100040"	"24"	"100041"	"15"	
"25000915"	"15"	"1"	"1680.000000"	"18"	"251.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"50"	"360000"	"100039"	"22"	"100040"	"24"	"100041"	"20"	
"25001000"	"0"	"1"	"480.000000"	"16"	"72.000000"	"1.000000"	"0"	"100039"	"3"	"-1"	"-1"	"6000"	"50"	"0"	""	""	""	""	""	""	
"25001001"	"1"	"1"	"528.000000"	"16"	"79.000000"	"1.000000"	"0"	"100039"	"6"	"-1"	"-1"	"12000"	"50"	"3000"	"100039"	"1"	""	""	""	""	
"25001002"	"2"	"1"	"576.000000"	"16"	"86.000000"	"0.900000"	"1"	"100039"	"9"	"-1"	"-1"	"18000"	"50"	"9000"	"100039"	"4"	""	""	""	""	
"25001003"	"3"	"1"	"624.000000"	"16"	"93.000000"	"0.800000"	"3"	"100039"	"12"	"-1"	"-1"	"24000"	"50"	"18000"	"100039"	"9"	""	""	""	""	
"25001004"	"4"	"1"	"672.000000"	"16"	"100.000000"	"0.750000"	"5"	"100039"	"15"	"-1"	"-1"	"30000"	"50"	"30000"	"100039"	"15"	""	""	""	""	
"25001005"	"5"	"1"	"720.000000"	"16"	"107.000000"	"0.700000"	"4"	"100040"	"3"	"-1"	"-1"	"36000"	"50"	"45000"	"100039"	"22"	""	""	""	""	
"25001006"	"6"	"1"	"792.000000"	"16"	"118.000000"	"0.650000"	"7"	"100040"	"5"	"-1"	"-1"	"42000"	"50"	"63000"	"100039"	"22"	"100040"	"2"	""	""	
"25001007"	"7"	"1"	"864.000000"	"16"	"129.000000"	"0.600000"	"10"	"100040"	"6"	"-1"	"-1"	"48000"	"50"	"84000"	"100039"	"22"	"100040"	"6"	""	""	
"25001008"	"8"	"1"	"936.000000"	"16"	"140.000000"	"0.550000"	"17"	"100040"	"8"	"-1"	"-1"	"54000"	"50"	"108000"	"100039"	"22"	"100040"	"11"	""	""	
"25001009"	"9"	"1"	"1008.000000"	"16"	"151.000000"	"0.500000"	"23"	"100040"	"9"	"-1"	"-1"	"60000"	"50"	"135000"	"100039"	"22"	"100040"	"17"	""	""	
"25001010"	"10"	"1"	"1080.000000"	"16"	"161.000000"	"0.500000"	"45"	"100041"	"3"	"-1"	"-1"	"66000"	"50"	"165000"	"100039"	"22"	"100040"	"24"	""	""	
"25001011"	"11"	"1"	"1200.000000"	"16"	"180.000000"	"0.500000"	"52"	"100041"	"3"	"-1"	"-1"	"72000"	"50"	"198000"	"100039"	"22"	"100040"	"24"	"100041"	"3"	
"25001012"	"12"	"1"	"1320.000000"	"16"	"198.000000"	"0.500000"	"84"	"100041"	"4"	"-1"	"-1"	"78000"	"50"	"234000"	"100039"	"22"	"100040"	"24"	"100041"	"6"	
"25001013"	"13"	"1"	"1440.000000"	"16"	"215.000000"	"0.500000"	"128"	"100041"	"5"	"-1"	"-1"	"84000"	"50"	"273000"	"100039"	"22"	"100040"	"24"	"100041"	"10"	
"25001014"	"14"	"1"	"1560.000000"	"16"	"233.000000"	"0.500000"	"165"	"100041"	"5"	"-1"	"-1"	"90000"	"50"	"315000"	"100039"	"22"	"100040"	"24"	"100041"	"15"	
"25001015"	"15"	"1"	"1680.000000"	"16"	"251.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"50"	"360000"	"100039"	"22"	"100040"	"24"	"100041"	"20"	
"25001100"	"0"	"1"	"480.000000"	"8"	"72.000000"	"1.000000"	"0"	"100039"	"3"	"-1"	"-1"	"6000"	"50"	"0"	""	""	""	""	""	""	
"25001101"	"1"	"1"	"528.000000"	"8"	"79.000000"	"1.000000"	"0"	"100039"	"6"	"-1"	"-1"	"12000"	"50"	"3000"	"100039"	"1"	""	""	""	""	
"25001102"	"2"	"1"	"576.000000"	"8"	"86.000000"	"0.900000"	"1"	"100039"	"9"	"-1"	"-1"	"18000"	"50"	"9000"	"100039"	"4"	""	""	""	""	
"25001103"	"3"	"1"	"624.000000"	"8"	"93.000000"	"0.800000"	"3"	"100039"	"12"	"-1"	"-1"	"24000"	"50"	"18000"	"100039"	"9"	""	""	""	""	
"25001104"	"4"	"1"	"672.000000"	"8"	"100.000000"	"0.750000"	"5"	"100039"	"15"	"-1"	"-1"	"30000"	"50"	"30000"	"100039"	"15"	""	""	""	""	
"25001105"	"5"	"1"	"720.000000"	"8"	"107.000000"	"0.700000"	"4"	"100040"	"3"	"-1"	"-1"	"36000"	"50"	"45000"	"100039"	"22"	""	""	""	""	
"25001106"	"6"	"1"	"792.000000"	"8"	"118.000000"	"0.650000"	"7"	"100040"	"5"	"-1"	"-1"	"42000"	"50"	"63000"	"100039"	"22"	"100040"	"2"	""	""	
"25001107"	"7"	"1"	"864.000000"	"8"	"129.000000"	"0.600000"	"10"	"100040"	"6"	"-1"	"-1"	"48000"	"50"	"84000"	"100039"	"22"	"100040"	"6"	""	""	
"25001108"	"8"	"1"	"936.000000"	"8"	"140.000000"	"0.550000"	"17"	"100040"	"8"	"-1"	"-1"	"54000"	"50"	"108000"	"100039"	"22"	"100040"	"11"	""	""	
"25001109"	"9"	"1"	"1008.000000"	"8"	"151.000000"	"0.500000"	"23"	"100040"	"9"	"-1"	"-1"	"60000"	"50"	"135000"	"100039"	"22"	"100040"	"17"	""	""	
"25001110"	"10"	"1"	"1080.000000"	"8"	"161.000000"	"0.500000"	"45"	"100041"	"3"	"-1"	"-1"	"66000"	"50"	"165000"	"100039"	"22"	"100040"	"24"	""	""	
"25001111"	"11"	"1"	"1200.000000"	"8"	"180.000000"	"0.500000"	"52"	"100041"	"3"	"-1"	"-1"	"72000"	"50"	"198000"	"100039"	"22"	"100040"	"24"	"100041"	"3"	
"25001112"	"12"	"1"	"1320.000000"	"8"	"198.000000"	"0.500000"	"84"	"100041"	"4"	"-1"	"-1"	"78000"	"50"	"234000"	"100039"	"22"	"100040"	"24"	"100041"	"6"	
"25001113"	"13"	"1"	"1440.000000"	"8"	"215.000000"	"0.500000"	"128"	"100041"	"5"	"-1"	"-1"	"84000"	"50"	"273000"	"100039"	"22"	"100040"	"24"	"100041"	"10"	
"25001114"	"14"	"1"	"1560.000000"	"8"	"233.000000"	"0.500000"	"165"	"100041"	"5"	"-1"	"-1"	"90000"	"50"	"315000"	"100039"	"22"	"100040"	"24"	"100041"	"15"	
"25001115"	"15"	"1"	"1680.000000"	"8"	"251.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"50"	"360000"	"100039"	"22"	"100040"	"24"	"100041"	"20"	
"25001200"	"0"	"1"	"480.000000"	"10"	"72.000000"	"1.000000"	"0"	"100039"	"3"	"-1"	"-1"	"6000"	"50"	"0"	""	""	""	""	""	""	
"25001201"	"1"	"1"	"528.000000"	"10"	"79.000000"	"1.000000"	"0"	"100039"	"6"	"-1"	"-1"	"12000"	"50"	"3000"	"100039"	"1"	""	""	""	""	
"25001202"	"2"	"1"	"576.000000"	"10"	"86.000000"	"0.900000"	"1"	"100039"	"9"	"-1"	"-1"	"18000"	"50"	"9000"	"100039"	"4"	""	""	""	""	
"25001203"	"3"	"1"	"624.000000"	"10"	"93.000000"	"0.800000"	"3"	"100039"	"12"	"-1"	"-1"	"24000"	"50"	"18000"	"100039"	"9"	""	""	""	""	
"25001204"	"4"	"1"	"672.000000"	"10"	"100.000000"	"0.750000"	"5"	"100039"	"15"	"-1"	"-1"	"30000"	"50"	"30000"	"100039"	"15"	""	""	""	""	
"25001205"	"5"	"1"	"720.000000"	"10"	"107.000000"	"0.700000"	"4"	"100040"	"3"	"-1"	"-1"	"36000"	"50"	"45000"	"100039"	"22"	""	""	""	""	
"25001206"	"6"	"1"	"792.000000"	"10"	"118.000000"	"0.650000"	"7"	"100040"	"5"	"-1"	"-1"	"42000"	"50"	"63000"	"100039"	"22"	"100040"	"2"	""	""	
"25001207"	"7"	"1"	"864.000000"	"10"	"129.000000"	"0.600000"	"10"	"100040"	"6"	"-1"	"-1"	"48000"	"50"	"84000"	"100039"	"22"	"100040"	"6"	""	""	
"25001208"	"8"	"1"	"936.000000"	"10"	"140.000000"	"0.550000"	"17"	"100040"	"8"	"-1"	"-1"	"54000"	"50"	"108000"	"100039"	"22"	"100040"	"11"	""	""	
"25001209"	"9"	"1"	"1008.000000"	"10"	"151.000000"	"0.500000"	"23"	"100040"	"9"	"-1"	"-1"	"60000"	"50"	"135000"	"100039"	"22"	"100040"	"17"	""	""	
"25001210"	"10"	"1"	"1080.000000"	"10"	"161.000000"	"0.500000"	"45"	"100041"	"3"	"-1"	"-1"	"66000"	"50"	"165000"	"100039"	"22"	"100040"	"24"	""	""	
"25001211"	"11"	"1"	"1200.000000"	"10"	"180.000000"	"0.500000"	"52"	"100041"	"3"	"-1"	"-1"	"72000"	"50"	"198000"	"100039"	"22"	"100040"	"24"	"100041"	"3"	
"25001212"	"12"	"1"	"1320.000000"	"10"	"198.000000"	"0.500000"	"84"	"100041"	"4"	"-1"	"-1"	"78000"	"50"	"234000"	"100039"	"22"	"100040"	"24"	"100041"	"6"	
"25001213"	"13"	"1"	"1440.000000"	"10"	"215.000000"	"0.500000"	"128"	"100041"	"5"	"-1"	"-1"	"84000"	"50"	"273000"	"100039"	"22"	"100040"	"24"	"100041"	"10"	
"25001214"	"14"	"1"	"1560.000000"	"10"	"233.000000"	"0.500000"	"165"	"100041"	"5"	"-1"	"-1"	"90000"	"50"	"315000"	"100039"	"22"	"100040"	"24"	"100041"	"15"	
"25001215"	"15"	"1"	"1680.000000"	"10"	"251.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"50"	"360000"	"100039"	"22"	"100040"	"24"	"100041"	"20"	
"31000100"	"0"	"1"	"235.000000"	"12"	"35.000000"	"1.000000"	"0"	"100039"	"7"	"-1"	"-1"	"2400"	"1"	"0"	""	""	""	""	""	""	
"31000101"	"1"	"1"	"352.000000"	"12"	"52.000000"	"1.000000"	"0"	"100039"	"14"	"-1"	"-1"	"4800"	"1"	"1200"	"100039"	"3"	""	""	""	""	
"31000102"	"2"	"1"	"470.000000"	"12"	"70.000000"	"0.900000"	"3"	"100039"	"21"	"-1"	"-1"	"7200"	"1"	"3600"	"100039"	"10"	""	""	""	""	
"31000103"	"3"	"1"	"587.000000"	"12"	"87.000000"	"0.800000"	"7"	"100039"	"28"	"-1"	"-1"	"9600"	"1"	"7200"	"100039"	"21"	""	""	""	""	
"31000104"	"4"	"1"	"705.000000"	"12"	"105.000000"	"0.750000"	"12"	"100039"	"35"	"-1"	"-1"	"12000"	"1"	"12000"	"100039"	"35"	""	""	""	""	
"31000105"	"5"	"1"	"823.000000"	"12"	"123.000000"	"0.700000"	"8"	"100040"	"7"	"-1"	"-1"	"14400"	"1"	"18000"	"100039"	"52"	""	""	""	""	
"31000106"	"6"	"1"	"999.000000"	"12"	"149.000000"	"0.650000"	"15"	"100040"	"11"	"-1"	"-1"	"16800"	"1"	"25200"	"100039"	"52"	"100040"	"5"	""	""	
"31000107"	"7"	"1"	"1175.000000"	"12"	"176.000000"	"0.600000"	"24"	"100040"	"14"	"-1"	"-1"	"19200"	"1"	"33600"	"100039"	"52"	"100040"	"14"	""	""	
"31000108"	"8"	"1"	"1352.000000"	"12"	"202.000000"	"0.550000"	"37"	"100040"	"18"	"-1"	"-1"	"21600"	"1"	"43200"	"100039"	"52"	"100040"	"25"	""	""	
"31000109"	"9"	"1"	"1528.000000"	"12"	"229.000000"	"0.500000"	"53"	"100040"	"21"	"-1"	"-1"	"24000"	"1"	"54000"	"100039"	"52"	"100040"	"40"	""	""	
"31000110"	"10"	"1"	"1705.000000"	"12"	"255.000000"	"0.500000"	"90"	"100041"	"6"	"-1"	"-1"	"26400"	"1"	"66000"	"100039"	"52"	"100040"	"56"	""	""	
"31000111"	"11"	"1"	"1999.000000"	"12"	"299.000000"	"0.500000"	"121"	"100041"	"7"	"-1"	"-1"	"28800"	"1"	"79200"	"100039"	"52"	"100040"	"56"	"100041"	"6"	
"31000112"	"12"	"1"	"2293.000000"	"12"	"343.000000"	"0.500000"	"189"	"100041"	"9"	"-1"	"-1"	"31200"	"1"	"93600"	"100039"	"52"	"100040"	"56"	"100041"	"13"	
"31000113"	"13"	"1"	"2587.000000"	"12"	"387.000000"	"0.500000"	"255"	"100041"	"10"	"-1"	"-1"	"33600"	"1"	"109200"	"100039"	"52"	"100040"	"56"	"100041"	"22"	
"31000114"	"14"	"1"	"2881.000000"	"12"	"431.000000"	"0.500000"	"396"	"100041"	"12"	"-1"	"-1"	"36000"	"1"	"126000"	"100039"	"52"	"100040"	"56"	"100041"	"32"	
"31000115"	"15"	"1"	"3175.000000"	"12"	"475.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1"	"144000"	"100039"	"52"	"100040"	"56"	"100041"	"44"	
"31000200"	"0"	"0"	"7056.000000"	"14"	"35.000000"	"1.000000"	"0"	"100039"	"7"	"-1"	"-1"	"2400"	"1"	"0"	""	""	""	""	""	""	
"31000201"	"1"	"0"	"10584.000000"	"14"	"52.000000"	"1.000000"	"0"	"100039"	"14"	"-1"	"-1"	"4800"	"1"	"1200"	"100039"	"3"	""	""	""	""	
"31000202"	"2"	"0"	"14112.000000"	"14"	"70.000000"	"0.900000"	"3"	"100039"	"21"	"-1"	"-1"	"7200"	"1"	"3600"	"100039"	"10"	""	""	""	""	
"31000203"	"3"	"0"	"17640.000000"	"14"	"87.000000"	"0.800000"	"7"	"100039"	"28"	"-1"	"-1"	"9600"	"1"	"7200"	"100039"	"21"	""	""	""	""	
"31000204"	"4"	"0"	"21168.000000"	"14"	"105.000000"	"0.750000"	"12"	"100039"	"35"	"-1"	"-1"	"12000"	"1"	"12000"	"100039"	"35"	""	""	""	""	
"31000205"	"5"	"0"	"24696.000000"	"14"	"123.000000"	"0.700000"	"8"	"100040"	"7"	"-1"	"-1"	"14400"	"1"	"18000"	"100039"	"52"	""	""	""	""	
"31000206"	"6"	"0"	"29988.000000"	"14"	"149.000000"	"0.650000"	"15"	"100040"	"11"	"-1"	"-1"	"16800"	"1"	"25200"	"100039"	"52"	"100040"	"5"	""	""	
"31000207"	"7"	"0"	"35280.000000"	"14"	"176.000000"	"0.600000"	"24"	"100040"	"14"	"-1"	"-1"	"19200"	"1"	"33600"	"100039"	"52"	"100040"	"14"	""	""	
"31000208"	"8"	"0"	"40572.000000"	"14"	"202.000000"	"0.550000"	"37"	"100040"	"18"	"-1"	"-1"	"21600"	"1"	"43200"	"100039"	"52"	"100040"	"25"	""	""	
"31000209"	"9"	"0"	"45864.000000"	"14"	"229.000000"	"0.500000"	"53"	"100040"	"21"	"-1"	"-1"	"24000"	"1"	"54000"	"100039"	"52"	"100040"	"40"	""	""	
"31000210"	"10"	"0"	"51156.000000"	"14"	"255.000000"	"0.500000"	"90"	"100041"	"6"	"-1"	"-1"	"26400"	"1"	"66000"	"100039"	"52"	"100040"	"56"	""	""	
"31000211"	"11"	"0"	"59976.000000"	"14"	"299.000000"	"0.500000"	"121"	"100041"	"7"	"-1"	"-1"	"28800"	"1"	"79200"	"100039"	"52"	"100040"	"56"	"100041"	"6"	
"31000212"	"12"	"0"	"68796.000000"	"14"	"343.000000"	"0.500000"	"189"	"100041"	"9"	"-1"	"-1"	"31200"	"1"	"93600"	"100039"	"52"	"100040"	"56"	"100041"	"13"	
"31000213"	"13"	"0"	"77616.000000"	"14"	"387.000000"	"0.500000"	"255"	"100041"	"10"	"-1"	"-1"	"33600"	"1"	"109200"	"100039"	"52"	"100040"	"56"	"100041"	"22"	
"31000214"	"14"	"0"	"86436.000000"	"14"	"431.000000"	"0.500000"	"396"	"100041"	"12"	"-1"	"-1"	"36000"	"1"	"126000"	"100039"	"52"	"100040"	"56"	"100041"	"32"	
"31000215"	"15"	"0"	"95256.000000"	"14"	"475.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1"	"144000"	"100039"	"52"	"100040"	"56"	"100041"	"44"	
"31000300"	"0"	"2"	"352.000000"	"18"	"35.000000"	"1.000000"	"0"	"100039"	"7"	"-1"	"-1"	"2400"	"1"	"0"	""	""	""	""	""	""	
"31000301"	"1"	"2"	"528.000000"	"18"	"52.000000"	"1.000000"	"0"	"100039"	"14"	"-1"	"-1"	"4800"	"1"	"1200"	"100039"	"3"	""	""	""	""	
"31000302"	"2"	"2"	"704.000000"	"18"	"70.000000"	"0.900000"	"3"	"100039"	"21"	"-1"	"-1"	"7200"	"1"	"3600"	"100039"	"10"	""	""	""	""	
"31000303"	"3"	"2"	"881.000000"	"18"	"87.000000"	"0.800000"	"7"	"100039"	"28"	"-1"	"-1"	"9600"	"1"	"7200"	"100039"	"21"	""	""	""	""	
"31000304"	"4"	"2"	"1057.000000"	"18"	"105.000000"	"0.750000"	"12"	"100039"	"35"	"-1"	"-1"	"12000"	"1"	"12000"	"100039"	"35"	""	""	""	""	
"31000305"	"5"	"2"	"1234.000000"	"18"	"123.000000"	"0.700000"	"8"	"100040"	"7"	"-1"	"-1"	"14400"	"1"	"18000"	"100039"	"52"	""	""	""	""	
"31000306"	"6"	"2"	"1498.000000"	"18"	"149.000000"	"0.650000"	"15"	"100040"	"11"	"-1"	"-1"	"16800"	"1"	"25200"	"100039"	"52"	"100040"	"5"	""	""	
"31000307"	"7"	"2"	"1763.000000"	"18"	"176.000000"	"0.600000"	"24"	"100040"	"14"	"-1"	"-1"	"19200"	"1"	"33600"	"100039"	"52"	"100040"	"14"	""	""	
"31000308"	"8"	"2"	"2027.000000"	"18"	"202.000000"	"0.550000"	"37"	"100040"	"18"	"-1"	"-1"	"21600"	"1"	"43200"	"100039"	"52"	"100040"	"25"	""	""	
"31000309"	"9"	"2"	"2292.000000"	"18"	"229.000000"	"0.500000"	"53"	"100040"	"21"	"-1"	"-1"	"24000"	"1"	"54000"	"100039"	"52"	"100040"	"40"	""	""	
"31000310"	"10"	"2"	"2557.000000"	"18"	"255.000000"	"0.500000"	"90"	"100041"	"6"	"-1"	"-1"	"26400"	"1"	"66000"	"100039"	"52"	"100040"	"56"	""	""	
"31000311"	"11"	"2"	"2998.000000"	"18"	"299.000000"	"0.500000"	"121"	"100041"	"7"	"-1"	"-1"	"28800"	"1"	"79200"	"100039"	"52"	"100040"	"56"	"100041"	"6"	
"31000312"	"12"	"2"	"3439.000000"	"18"	"343.000000"	"0.500000"	"189"	"100041"	"9"	"-1"	"-1"	"31200"	"1"	"93600"	"100039"	"52"	"100040"	"56"	"100041"	"13"	
"31000313"	"13"	"2"	"3880.000000"	"18"	"387.000000"	"0.500000"	"255"	"100041"	"10"	"-1"	"-1"	"33600"	"1"	"109200"	"100039"	"52"	"100040"	"56"	"100041"	"22"	
"31000314"	"14"	"2"	"4321.000000"	"18"	"431.000000"	"0.500000"	"396"	"100041"	"12"	"-1"	"-1"	"36000"	"1"	"126000"	"100039"	"52"	"100040"	"56"	"100041"	"32"	
"31000315"	"15"	"2"	"4762.000000"	"18"	"475.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1"	"144000"	"100039"	"52"	"100040"	"56"	"100041"	"44"	
"31000400"	"0"	"0"	"7056.000000"	"16"	"35.000000"	"1.000000"	"0"	"100039"	"7"	"-1"	"-1"	"2400"	"1"	"0"	""	""	""	""	""	""	
"31000401"	"1"	"0"	"10584.000000"	"16"	"52.000000"	"1.000000"	"0"	"100039"	"14"	"-1"	"-1"	"4800"	"1"	"1200"	"100039"	"3"	""	""	""	""	
"31000402"	"2"	"0"	"14112.000000"	"16"	"70.000000"	"0.900000"	"3"	"100039"	"21"	"-1"	"-1"	"7200"	"1"	"3600"	"100039"	"10"	""	""	""	""	
"31000403"	"3"	"0"	"17640.000000"	"16"	"87.000000"	"0.800000"	"7"	"100039"	"28"	"-1"	"-1"	"9600"	"1"	"7200"	"100039"	"21"	""	""	""	""	
"31000404"	"4"	"0"	"21168.000000"	"16"	"105.000000"	"0.750000"	"12"	"100039"	"35"	"-1"	"-1"	"12000"	"1"	"12000"	"100039"	"35"	""	""	""	""	
"31000405"	"5"	"0"	"24696.000000"	"16"	"123.000000"	"0.700000"	"8"	"100040"	"7"	"-1"	"-1"	"14400"	"1"	"18000"	"100039"	"52"	""	""	""	""	
"31000406"	"6"	"0"	"29988.000000"	"16"	"149.000000"	"0.650000"	"15"	"100040"	"11"	"-1"	"-1"	"16800"	"1"	"25200"	"100039"	"52"	"100040"	"5"	""	""	
"31000407"	"7"	"0"	"35280.000000"	"16"	"176.000000"	"0.600000"	"24"	"100040"	"14"	"-1"	"-1"	"19200"	"1"	"33600"	"100039"	"52"	"100040"	"14"	""	""	
"31000408"	"8"	"0"	"40572.000000"	"16"	"202.000000"	"0.550000"	"37"	"100040"	"18"	"-1"	"-1"	"21600"	"1"	"43200"	"100039"	"52"	"100040"	"25"	""	""	
"31000409"	"9"	"0"	"45864.000000"	"16"	"229.000000"	"0.500000"	"53"	"100040"	"21"	"-1"	"-1"	"24000"	"1"	"54000"	"100039"	"52"	"100040"	"40"	""	""	
"31000410"	"10"	"0"	"51156.000000"	"16"	"255.000000"	"0.500000"	"90"	"100041"	"6"	"-1"	"-1"	"26400"	"1"	"66000"	"100039"	"52"	"100040"	"56"	""	""	
"31000411"	"11"	"0"	"59976.000000"	"16"	"299.000000"	"0.500000"	"121"	"100041"	"7"	"-1"	"-1"	"28800"	"1"	"79200"	"100039"	"52"	"100040"	"56"	"100041"	"6"	
"31000412"	"12"	"0"	"68796.000000"	"16"	"343.000000"	"0.500000"	"189"	"100041"	"9"	"-1"	"-1"	"31200"	"1"	"93600"	"100039"	"52"	"100040"	"56"	"100041"	"13"	
"31000413"	"13"	"0"	"77616.000000"	"16"	"387.000000"	"0.500000"	"255"	"100041"	"10"	"-1"	"-1"	"33600"	"1"	"109200"	"100039"	"52"	"100040"	"56"	"100041"	"22"	
"31000414"	"14"	"0"	"86436.000000"	"16"	"431.000000"	"0.500000"	"396"	"100041"	"12"	"-1"	"-1"	"36000"	"1"	"126000"	"100039"	"52"	"100040"	"56"	"100041"	"32"	
"31000415"	"15"	"0"	"95256.000000"	"16"	"475.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1"	"144000"	"100039"	"52"	"100040"	"56"	"100041"	"44"	
"31000500"	"0"	"0"	"7056.000000"	"8"	"35.000000"	"1.000000"	"0"	"100039"	"7"	"-1"	"-1"	"2400"	"1"	"0"	""	""	""	""	""	""	
"31000501"	"1"	"0"	"10584.000000"	"8"	"52.000000"	"1.000000"	"0"	"100039"	"14"	"-1"	"-1"	"4800"	"1"	"1200"	"100039"	"3"	""	""	""	""	
"31000502"	"2"	"0"	"14112.000000"	"8"	"70.000000"	"0.900000"	"3"	"100039"	"21"	"-1"	"-1"	"7200"	"1"	"3600"	"100039"	"10"	""	""	""	""	
"31000503"	"3"	"0"	"17640.000000"	"8"	"87.000000"	"0.800000"	"7"	"100039"	"28"	"-1"	"-1"	"9600"	"1"	"7200"	"100039"	"21"	""	""	""	""	
"31000504"	"4"	"0"	"21168.000000"	"8"	"105.000000"	"0.750000"	"12"	"100039"	"35"	"-1"	"-1"	"12000"	"1"	"12000"	"100039"	"35"	""	""	""	""	
"31000505"	"5"	"0"	"24696.000000"	"8"	"123.000000"	"0.700000"	"8"	"100040"	"7"	"-1"	"-1"	"14400"	"1"	"18000"	"100039"	"52"	""	""	""	""	
"31000506"	"6"	"0"	"29988.000000"	"8"	"149.000000"	"0.650000"	"15"	"100040"	"11"	"-1"	"-1"	"16800"	"1"	"25200"	"100039"	"52"	"100040"	"5"	""	""	
"31000507"	"7"	"0"	"35280.000000"	"8"	"176.000000"	"0.600000"	"24"	"100040"	"14"	"-1"	"-1"	"19200"	"1"	"33600"	"100039"	"52"	"100040"	"14"	""	""	
"31000508"	"8"	"0"	"40572.000000"	"8"	"202.000000"	"0.550000"	"37"	"100040"	"18"	"-1"	"-1"	"21600"	"1"	"43200"	"100039"	"52"	"100040"	"25"	""	""	
"31000509"	"9"	"0"	"45864.000000"	"8"	"229.000000"	"0.500000"	"53"	"100040"	"21"	"-1"	"-1"	"24000"	"1"	"54000"	"100039"	"52"	"100040"	"40"	""	""	
"31000510"	"10"	"0"	"51156.000000"	"8"	"255.000000"	"0.500000"	"90"	"100041"	"6"	"-1"	"-1"	"26400"	"1"	"66000"	"100039"	"52"	"100040"	"56"	""	""	
"31000511"	"11"	"0"	"59976.000000"	"8"	"299.000000"	"0.500000"	"121"	"100041"	"7"	"-1"	"-1"	"28800"	"1"	"79200"	"100039"	"52"	"100040"	"56"	"100041"	"6"	
"31000512"	"12"	"0"	"68796.000000"	"8"	"343.000000"	"0.500000"	"189"	"100041"	"9"	"-1"	"-1"	"31200"	"1"	"93600"	"100039"	"52"	"100040"	"56"	"100041"	"13"	
"31000513"	"13"	"0"	"77616.000000"	"8"	"387.000000"	"0.500000"	"255"	"100041"	"10"	"-1"	"-1"	"33600"	"1"	"109200"	"100039"	"52"	"100040"	"56"	"100041"	"22"	
"31000514"	"14"	"0"	"86436.000000"	"8"	"431.000000"	"0.500000"	"396"	"100041"	"12"	"-1"	"-1"	"36000"	"1"	"126000"	"100039"	"52"	"100040"	"56"	"100041"	"32"	
"31000515"	"15"	"0"	"95256.000000"	"8"	"475.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1"	"144000"	"100039"	"52"	"100040"	"56"	"100041"	"44"	
"31000600"	"0"	"2"	"352.000000"	"14"	"35.000000"	"1.000000"	"0"	"100039"	"7"	"-1"	"-1"	"2400"	"1"	"0"	""	""	""	""	""	""	
"31000601"	"1"	"2"	"528.000000"	"14"	"52.000000"	"1.000000"	"0"	"100039"	"14"	"-1"	"-1"	"4800"	"1"	"1200"	"100039"	"3"	""	""	""	""	
"31000602"	"2"	"2"	"704.000000"	"14"	"70.000000"	"0.900000"	"3"	"100039"	"21"	"-1"	"-1"	"7200"	"1"	"3600"	"100039"	"10"	""	""	""	""	
"31000603"	"3"	"2"	"881.000000"	"14"	"87.000000"	"0.800000"	"7"	"100039"	"28"	"-1"	"-1"	"9600"	"1"	"7200"	"100039"	"21"	""	""	""	""	
"31000604"	"4"	"2"	"1057.000000"	"14"	"105.000000"	"0.750000"	"12"	"100039"	"35"	"-1"	"-1"	"12000"	"1"	"12000"	"100039"	"35"	""	""	""	""	
"31000605"	"5"	"2"	"1234.000000"	"14"	"123.000000"	"0.700000"	"8"	"100040"	"7"	"-1"	"-1"	"14400"	"1"	"18000"	"100039"	"52"	""	""	""	""	
