"玩家等级"	"凛冬金币完成花费"	"凛冬通关奖励经验"	"凛冬通关奖励物品1"	"凛冬通关奖励物品2"	"凛冬通关奖励物品3"	"凛冬通关奖励物品4"	"凛冬通关奖励物品5"	"凛冬哥林布宝箱"	"凛冬格林布宝箱掉落ID"	"龙域金币完成花费"	"龙域每天可领奖次数"	"龙域通关奖励经验"	"龙域通关奖励物品1"	"龙域通关奖励物品2"	"龙域通关奖励物品3"	"龙域通关奖励物品4"	"龙域VIP0奖励物品1"	"龙域VIP0奖励物品2"	"龙域VIP1奖励物品1"	"龙域VIP1奖励物品2"	"龙域VIP2奖励物品1"	"龙域VIP2奖励物品2"	"龙域VIP3奖励物品1"	"龙域VIP3奖励物品2"	"龙域VIP4奖励物品1"	"龙域VIP4奖励物品2"	"龙域VIP5奖励物品1"	"龙域VIP5奖励物品2"	"龙域VIP6奖励物品1"	"龙域VIP6奖励物品2"	"龙域VIP7奖励物品1"	"龙域VIP7奖励物品2"	"龙域VIP8奖励物品1"	"龙域VIP8奖励物品2"	"龙域VIP9奖励物品1"	"龙域VIP9奖励物品2"	"龙域VIP10奖励物品1"	"龙域VIP10奖励物品2"	"龙域VIP11奖励物品1"	"龙域VIP11奖励物品2"	"龙域VIP12奖励物品1"	"龙域VIP12奖励物品2"	"龙域VIP13奖励物品1"	"龙域VIP13奖励物品2"	
"54"	"30"	"3500000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,3"	"100001"	"1920"	"30"	"1"	"115000"	"561001,4"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"55"	"30"	"3700000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,3"	"100001"	"1921"	"30"	"1"	"115000"	"561001,4"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"56"	"30"	"3900000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,3"	"100001"	"1921"	"30"	"1"	"115000"	"561001,4"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"57"	"30"	"4100000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,3"	"100001"	"1921"	"30"	"1"	"115000"	"561001,4"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"58"	"30"	"4300000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,3"	"100001"	"1921"	"30"	"1"	"115000"	"561001,4"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"59"	"30"	"4500000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,3"	"100001"	"1921"	"30"	"1"	"115000"	"561001,4"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"60"	"30"	"5000000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,4"	"100001"	"1922"	"30"	"1"	"200000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"61"	"30"	"5500000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,4"	"100001"	"1922"	"30"	"1"	"200000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"62"	"30"	"6000000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,4"	"100001"	"1922"	"30"	"1"	"200000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"63"	"30"	"6500000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,4"	"100001"	"1922"	"30"	"1"	"200000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"64"	"30"	"7000000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,4"	"100001"	"1922"	"30"	"1"	"200000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"65"	"30"	"7500000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,4"	"100001"	"1923"	"30"	"1"	"200000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"66"	"30"	"8000000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,4"	"100001"	"1923"	"30"	"1"	"200000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"67"	"30"	"8500000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,4"	"100001"	"1923"	"30"	"1"	"200000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"68"	"30"	"9000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1923"	"30"	"1"	"200000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"69"	"30"	"9500000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1923"	"30"	"1"	"200000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"70"	"30"	"64000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1924"	"30"	"1"	"1000000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"71"	"30"	"66000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1924"	"30"	"1"	"1000000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"72"	"30"	"68000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1924"	"30"	"1"	"1000000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"73"	"30"	"70000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1924"	"30"	"1"	"1000000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"74"	"30"	"72000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1924"	"30"	"1"	"1000000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"75"	"30"	"74000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1924"	"30"	"1"	"1000000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"76"	"30"	"76000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1924"	"30"	"1"	"1000000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"77"	"30"	"78000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1924"	"30"	"1"	"1000000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"78"	"30"	"80000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1924"	"30"	"1"	"1000000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"79"	"30"	"82000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1924"	"30"	"1"	"1000000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"80"	"30"	"84000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1924"	"30"	"1"	"1000000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"81"	"30"	"86000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1924"	"30"	"1"	"1000000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"82"	"30"	"88000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1924"	"30"	"1"	"1000000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"83"	"30"	"90000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1924"	"30"	"1"	"1000000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"84"	"30"	"92000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1924"	"30"	"1"	"1000000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"85"	"30"	"94000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1924"	"30"	"1"	"1000000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"86"	"30"	"96000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1924"	"30"	"1"	"1000000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"87"	"30"	"98000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1924"	"30"	"1"	"1000000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"88"	"30"	"100000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1924"	"30"	"1"	"1000000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"89"	"30"	"102000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1924"	"30"	"1"	"1000000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"90"	"30"	"104000000"	"100001,1"	"530896,1"	"100001,3"	"100001,30"	"410014,4"	"100001"	"1924"	"30"	"1"	"1000000"	"561001,5"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
