"ID(签到年份+月份+签到天数)"	"奖励ID"	"奖励数量"	""	""	
"20180323"	"100004"	"50"	""	""	
"20180324"	"100004"	"50"	""	""	
"20180325"	"100004"	"50"	""	""	
"20180326"	"100004"	"50"	""	""	
"20180327"	"100004"	"50"	""	""	
"20180328"	"100004"	"50"	""	""	
"20180329"	"100004"	"50"	""	""	
"20180330"	"100004"	"50"	""	""	
"20180331"	"100004"	"50"	""	""	
"20180401"	"100004"	"50"	""	""	
"20180402"	"100004"	"50"	""	""	
"20180403"	"100004"	"50"	""	""	
"20180404"	"100004"	"50"	""	""	
"20180405"	"100004"	"50"	""	""	
"20180406"	"100004"	"50"	""	""	
"20180407"	"100004"	"50"	""	""	
"20180408"	"100004"	"50"	""	""	
"20180409"	"100004"	"50"	""	""	
"20180410"	"100004"	"50"	""	""	
"20180411"	"100004"	"50"	""	""	
"20180412"	"100004"	"50"	""	""	
"20180413"	"100004"	"50"	""	""	
"20180414"	"100004"	"50"	""	""	
"20180415"	"100004"	"50"	""	""	
"20180416"	"100004"	"50"	""	""	
"20180417"	"100004"	"50"	""	""	
"20180418"	"100004"	"50"	""	""	
"20180419"	"100004"	"50"	""	""	
"20180420"	"100004"	"50"	""	""	
"20180421"	"100004"	"50"	""	""	
"20180422"	"100004"	"50"	""	""	
"20180423"	"100004"	"50"	""	""	
"20180424"	"100004"	"50"	""	""	
"20180425"	"100004"	"50"	""	""	
"20180426"	"100004"	"50"	""	""	
"20180427"	"100004"	"50"	""	""	
"20180428"	"100004"	"50"	""	""	
"20180429"	"100004"	"50"	""	""	
"20180430"	"100004"	"50"	""	""	
"20180501"	"100004"	"50"	""	""	
"20180502"	"100004"	"50"	""	""	
"20180503"	"100004"	"50"	""	""	
"20180504"	"100004"	"50"	""	""	
"20180505"	"100004"	"50"	""	""	
"20180506"	"100004"	"50"	""	""	
"20180507"	"100004"	"50"	""	""	
"20180508"	"100004"	"50"	""	""	
"20180509"	"100004"	"50"	""	""	
"20180510"	"100004"	"50"	""	""	
"20180511"	"100004"	"50"	""	""	
"20180512"	"100004"	"50"	""	""	
"20180513"	"100004"	"50"	""	""	
"20180514"	"100004"	"50"	""	""	
"20180515"	"100004"	"50"	""	""	
"20180516"	"100004"	"50"	""	""	
"20180517"	"100004"	"50"	""	""	
"20180518"	"100004"	"50"	""	""	
"20180519"	"100004"	"50"	""	""	
"20180520"	"100004"	"50"	""	""	
"20180521"	"100004"	"50"	""	""	
"20180522"	"100004"	"50"	""	""	
"20180523"	"100004"	"50"	""	""	
"20180524"	"100004"	"50"	""	""	
"20180525"	"100004"	"50"	""	""	
"20180526"	"100004"	"50"	""	""	
"20180527"	"100004"	"50"	""	""	
"20180528"	"100004"	"50"	""	""	
"20180529"	"100004"	"50"	""	""	
"20180530"	"100004"	"50"	""	""	
"20180531"	"100004"	"50"	""	""	
"20180601"	"100004"	"50"	""	""	
"20180602"	"100004"	"50"	""	""	
"20180603"	"100004"	"50"	""	""	
"20180604"	"100004"	"50"	""	""	
"20180605"	"100004"	"50"	""	""	
"20180606"	"100004"	"50"	""	""	
"20180607"	"100004"	"50"	""	""	
"20180608"	"100004"	"50"	""	""	
"20180609"	"100004"	"50"	""	""	
"20180610"	"100004"	"50"	""	""	
"20180611"	"100004"	"50"	""	""	
"20180612"	"100004"	"50"	""	""	
"20180613"	"100004"	"50"	""	""	
"20180614"	"100004"	"50"	""	""	
"20180615"	"100004"	"50"	""	""	
"20180616"	"100004"	"50"	""	""	
"20180617"	"100004"	"50"	""	""	
"20180618"	"100004"	"50"	""	""	
"20180619"	"100004"	"50"	""	""	
"20180620"	"100004"	"50"	""	""	
"20180621"	"100004"	"50"	""	""	
"20180622"	"100004"	"50"	""	""	
"20180623"	"100004"	"50"	""	""	
"20180624"	"100004"	"50"	""	""	
"20180625"	"100004"	"50"	""	""	
"20180626"	"100004"	"50"	""	""	
"20180627"	"100004"	"50"	""	""	
"20180628"	"100004"	"50"	""	""	
"20180629"	"100004"	"50"	""	""	
"20180630"	"100004"	"50"	""	""	
"20180701"	"100004"	"50"	""	""	
"20180702"	"100004"	"50"	""	""	
"20180703"	"100004"	"50"	""	""	
"20180704"	"100004"	"50"	""	""	
"20180705"	"100004"	"50"	""	""	
"20180706"	"100004"	"50"	""	""	
"20180707"	"100004"	"50"	""	""	
"20180708"	"100004"	"50"	""	""	
"20180709"	"100004"	"50"	""	""	
"20180710"	"100004"	"50"	""	""	
"20180711"	"100004"	"50"	""	""	
"20180712"	"100004"	"50"	""	""	
"20180713"	"100004"	"50"	""	""	
"20180714"	"100004"	"50"	""	""	
"20180715"	"100004"	"50"	""	""	
"20180716"	"100004"	"50"	""	""	
"20180717"	"100004"	"50"	""	""	
"20180718"	"100004"	"50"	""	""	
"20180719"	"100004"	"50"	""	""	
"20180720"	"100004"	"50"	""	""	
"20180721"	"100004"	"50"	""	""	
"20180722"	"100004"	"50"	""	""	
"20180723"	"100004"	"50"	""	""	
"20180724"	"100004"	"50"	""	""	
"20180725"	"100004"	"50"	""	""	
"20180726"	"100004"	"50"	""	""	
"20180727"	"100004"	"50"	""	""	
"20180728"	"100004"	"50"	""	""	
"20180729"	"100004"	"50"	""	""	
"20180730"	"100004"	"50"	""	""	
"20180731"	"100004"	"50"	""	""	
"20180801"	"100004"	"50"	""	""	
"20180802"	"100004"	"50"	""	""	
"20180803"	"100004"	"50"	""	""	
"20180804"	"100004"	"50"	""	""	
"20180805"	"100004"	"50"	""	""	
"20180806"	"100004"	"50"	""	""	
"20180807"	"100004"	"50"	""	""	
"20180808"	"100004"	"50"	""	""	
"20180809"	"100004"	"50"	""	""	
"20180810"	"100004"	"50"	""	""	
"20180811"	"100004"	"50"	""	""	
"20180812"	"100004"	"50"	""	""	
"20180813"	"100004"	"50"	""	""	
"20180814"	"100004"	"50"	""	""	
"20180815"	"100004"	"50"	""	""	
"20180816"	"100004"	"50"	""	""	
"20180817"	"100004"	"50"	""	""	
"20180818"	"100004"	"50"	""	""	
"20180819"	"100004"	"50"	""	""	
"20180820"	"100004"	"50"	""	""	
"20180821"	"100004"	"50"	""	""	
"20180822"	"100004"	"50"	""	""	
"20180823"	"100004"	"50"	""	""	
"20180824"	"100004"	"50"	""	""	
"20180825"	"100004"	"50"	""	""	
"20180826"	"100004"	"50"	""	""	
"20180827"	"100004"	"50"	""	""	
"20180828"	"100004"	"50"	""	""	
"20180829"	"100004"	"50"	""	""	
"20180830"	"100004"	"50"	""	""	
"20180831"	"100004"	"50"	""	""	
"20180901"	"100004"	"50"	""	""	
"20180902"	"100004"	"50"	""	""	
"20180903"	"100004"	"50"	""	""	
"20180904"	"100004"	"50"	""	""	
"20180905"	"100004"	"50"	""	""	
"20180906"	"100004"	"50"	""	""	
"20180907"	"100004"	"50"	""	""	
"20180908"	"100004"	"50"	""	""	
"20180909"	"100004"	"50"	""	""	
"20180910"	"100004"	"50"	""	""	
"20180911"	"100004"	"50"	""	""	
"20180912"	"100004"	"50"	""	""	
"20180913"	"100004"	"50"	""	""	
"20180914"	"100004"	"50"	""	""	
"20180915"	"100004"	"50"	""	""	
"20180916"	"100004"	"50"	""	""	
"20180917"	"100004"	"50"	""	""	
"20180918"	"100004"	"50"	""	""	
"20180919"	"100004"	"50"	""	""	
"20180920"	"100004"	"50"	""	""	
"20180921"	"100004"	"50"	""	""	
"20180922"	"100004"	"50"	""	""	
"20180923"	"100004"	"50"	""	""	
"20180924"	"100004"	"50"	""	""	
"20180925"	"100004"	"50"	""	""	
"20180926"	"100004"	"50"	""	""	
"20180927"	"100004"	"50"	""	""	
"20180928"	"100004"	"50"	""	""	
"20180929"	"100004"	"50"	""	""	
"20180930"	"100004"	"50"	""	""	
"20181001"	"100004"	"50"	""	""	
"20181002"	"100004"	"50"	""	""	
"20181003"	"100004"	"50"	""	""	
"20181004"	"100004"	"50"	""	""	
"20181005"	"100004"	"50"	""	""	
"20181006"	"100004"	"50"	""	""	
"20181007"	"100004"	"50"	""	""	
"20181008"	"100004"	"50"	""	""	
"20181009"	"100004"	"50"	""	""	
"20181010"	"100004"	"50"	""	""	
"20181011"	"100004"	"50"	""	""	
"20181012"	"100004"	"50"	""	""	
"20181013"	"100004"	"50"	""	""	
"20181014"	"100004"	"50"	""	""	
"20181015"	"100004"	"50"	""	""	
"20181016"	"100004"	"50"	""	""	
"20181017"	"100004"	"50"	""	""	
"20181018"	"100004"	"50"	""	""	
"20181019"	"100004"	"50"	""	""	
"20181020"	"100004"	"50"	""	""	
"20181021"	"100004"	"50"	""	""	
"20181022"	"100004"	"50"	""	""	
"20181023"	"100004"	"50"	""	""	
"20181024"	"100004"	"50"	""	""	
"20181025"	"100004"	"50"	""	""	
"20181026"	"100004"	"50"	""	""	
"20181027"	"100004"	"50"	""	""	
"20181028"	"100004"	"50"	""	""	
"20181029"	"100004"	"50"	""	""	
"20181030"	"100004"	"50"	""	""	
"20181031"	"100004"	"50"	""	""	
"20181101"	"100004"	"50"	""	""	
"20181102"	"100004"	"50"	""	""	
"20181103"	"100004"	"50"	""	""	
"20181104"	"100004"	"50"	""	""	
"20181105"	"100004"	"50"	""	""	
"20181106"	"100004"	"50"	""	""	
"20181107"	"100004"	"50"	""	""	
"20181108"	"100004"	"50"	""	""	
"20181109"	"100004"	"50"	""	""	
"20181110"	"100004"	"50"	""	""	
"20181111"	"100004"	"50"	""	""	
"20181112"	"100004"	"50"	""	""	
"20181113"	"100004"	"50"	""	""	
"20181114"	"100004"	"50"	""	""	
"20181115"	"100004"	"50"	""	""	
"20181116"	"100004"	"50"	""	""	
"20181117"	"100004"	"50"	""	""	
"20181118"	"100004"	"50"	""	""	
"20181119"	"100004"	"50"	""	""	
"20181120"	"100004"	"50"	""	""	
"20181121"	"100004"	"50"	""	""	
"20181122"	"100004"	"50"	""	""	
"20181123"	"100004"	"50"	""	""	
"20181124"	"100004"	"50"	""	""	
"20181125"	"100004"	"50"	""	""	
"20181126"	"100004"	"50"	""	""	
"20181127"	"100004"	"50"	""	""	
"20181128"	"100004"	"50"	""	""	
"20181129"	"100004"	"50"	""	""	
"20181130"	"100004"	"50"	""	""	
"20181201"	"100004"	"50"	""	""	
"20181202"	"100004"	"50"	""	""	
"20181203"	"100004"	"50"	""	""	
"20181204"	"100004"	"50"	""	""	
"20181205"	"100004"	"50"	""	""	
"20181206"	"100004"	"50"	""	""	
"20181207"	"100004"	"50"	""	""	
"20181208"	"100004"	"50"	""	""	
"20181209"	"100004"	"50"	""	""	
"20181210"	"100004"	"50"	""	""	
"20181211"	"100004"	"50"	""	""	
"20181212"	"100004"	"50"	""	""	
"20181213"	"100004"	"50"	""	""	
"20181214"	"100004"	"50"	""	""	
"20181215"	"100004"	"50"	""	""	
"20181216"	"100004"	"50"	""	""	
"20181217"	"100004"	"50"	""	""	
"20181218"	"100004"	"50"	""	""	
"20181219"	"100004"	"50"	""	""	
"20181220"	"100004"	"50"	""	""	
"20181221"	"100004"	"50"	""	""	
"20181222"	"100004"	"50"	""	""	
"20181223"	"100004"	"50"	""	""	
"20181224"	"100004"	"50"	""	""	
"20181225"	"100004"	"50"	""	""	
"20181226"	"100004"	"50"	""	""	
"20181227"	"100004"	"50"	""	""	
"20181228"	"100004"	"50"	""	""	
"20181229"	"100004"	"50"	""	""	
"20181230"	"100004"	"50"	""	""	
"20181231"	"100004"	"50"	""	""	
