"id，1000开始为怪物随机技能；40000和70000开始为龙的触发性技能；80000开始为装备魂链占用"	"效果名称"	"效果图标"	"描述"	"触发时机0=施法时1=攻击结算时2=受击结算时3=攻击结算前4=攻击结算后5=受击结算前6=受击结算后--begin以下作为攻击者触发7=击中目标时8=目标格档时9=目标闪避时10=暴击时--end--begin以下作为受击者触发11=被击中时12=格档时13=闪避时14=被暴击时---end15=击杀目标时16=被击杀时17=计算击退时(仅用于击退)18=每秒"	"触发的效果类型"	"条件判断脚本名称"	"触发的效果类型索引(不填,程序用)"	"效果参数1"	"效果参数2"	"效果参数3"	"效果参数4"	"效果参数5"	"效果参数6"	"效果参数1"	"效果参数2"	"效果参数3"	"效果参数4"	"效果参数5"	"效果参数6"	"条件:内置cd(毫秒)0=无cd"	"条件:触发几率(毫秒)1=100%"	"条件:目标生命值0=值1=百分比(1=100%)负数=无条件"	"条件:目标生命值"	"效果参数1等级修正"	"效果参数2等级修正"	"效果参数3等级修正"	"效果参数4等级修正"	"效果参数5等级修正"	"效果参数6等级修正"	"效果参数1等级修正"	"效果参数2等级修正"	"效果参数3等级修正"	"效果参数4等级修正"	"效果参数5等级修正"	"效果参数6等级修正"	"条件:触发几率(毫秒)1=100%等级修正"	"同技能允许触发次数(小等于0表示不限)"	"战斗力"	"在触发器所有者身上执行的表现效果。可以调用任意数量的动作、特效等资源。"	"在触发器涉及其他角色（非所有者）身上执行的表现效果。可以调用任意数量的动作、特效等资源。"	"特殊的表现txt的使用方式0.不使用特殊表现1.基于宠物播放2.基于坐骑播放"	"在触发器涉及其他角色（非所有者）身上执行的表现效果。可以调用任意数量的动作、特效等资源。"	
"85001"	""	""	"本次攻击有15%几率忽视敌人30%物理及魔法防御"	"1"	"ignore_resistance"	""	""	"96"	""	""	""	""	""	"0.300000"	""	""	""	""	""	"0"	"0.150000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85010"	""	""	"击中时有5%几率破甲，降低25%物防和魔防，持续5秒"	"7"	"castaura_on_target"	""	""	"85010"	"1"	""	""	""	""	""	""	""	""	""	""	"20000"	"0.050000"	"-1"	""	""	"[[2,50,1]]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85020"	""	""	"受到伤害时有15%几率触发，使你在格挡时会反弹20%的伤害，持续5秒（内置CD8s）"	"2"	"castaura_on_target"	""	""	"85020"	"1"	""	""	""	""	""	""	""	""	""	""	"15000"	"0.150000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85021"	""	""	"使你在格挡时会反弹20%的伤害"	"12"	"throns"	""	""	""	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85022"	""	""	"受到伤害时有15%几率触发，使你在格挡时会反弹30%的伤害，持续5秒（内置CD8s）"	"2"	"castaura_on_target"	""	""	"85022"	"1"	""	""	""	""	""	""	""	""	""	""	"15000"	"0.150000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85023"	""	""	"使你在格挡时会反弹30%的伤害"	"12"	"throns"	""	""	""	""	""	""	""	""	"0.300000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85030"	""	""	"受到伤害时有25%几率获得火焰笼罩效果，使你在格挡时会反弹10%的伤害，持续5秒（内置CD15s），且造成火焰伤害提高50%"	"2"	"castaura_on_target"	""	""	"85030"	"1"	""	""	""	""	""	""	""	""	""	""	"15000"	"0.200000"	"-1"	""	""	"[[2,50,1]]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85040"	""	""	"当受到伤害时，有10%几率使你本次受到的伤害降低20%（内置CD5s）"	"2"	"reduce_damage"	""	""	"111"	""	""	""	""	""	"0.200000"	""	""	""	""	""	"5000"	"0.100000"	"-1"	""	""	""	""	""	""	""	"[[2,50,0.01]]"	""	""	""	""	""	""	""	""	""	""	""	""	
"85050"	""	""	"当受到伤害时，有10%几率施放冰霜新星，冻结周围的敌人1秒（内置CD10s）"	"2"	"castmagic_on_targetposition"	""	""	"85050"	"1"	""	""	""	""	""	""	""	""	""	""	"10000"	"0.100000"	"-1"	""	""	"[[2,50,0]]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85060"	""	""	"暴击时会使敌人中毒，在10秒内受到50%的毒素伤害（内置cd3s）"	"10"	"castmagic_on_target"	""	""	"85060"	"1"	""	""	""	""	""	""	""	""	""	""	"3000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85061"	""	""	"暴击时会使敌人中毒，在10秒内受到150%的毒素伤害（内置cd3s）"	"10"	"castmagic_on_target"	""	""	"85061"	"1"	""	""	""	""	""	""	""	""	""	""	"3000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85070"	""	""	"暴击时会使敌人中毒，在10秒内受到100%的毒素伤害，并受到的所有伤害提高10%"	"10"	"castaura_on_target"	""	""	"85070"	"1"	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	"[[2,50,1]]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85080"	""	""	"生命值低于20%时，受到所有伤害降低15%"	"11"	"reduce_damage"	""	""	"111"	""	""	""	""	""	"0.150000"	""	""	""	""	""	"0"	"1.000000"	"1"	"0.200000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85081"	""	""	"生命值低于20%时，受到所有伤害降低25%"	"11"	"reduce_damage"	""	""	"111"	""	""	""	""	""	"0.250000"	""	""	""	""	""	"0"	"1.000000"	"1"	"0.200000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85090"	""	""	"生命值低于40%时，受到所有伤害降低10%"	"11"	"reduce_damage"	""	""	"111"	""	""	""	""	""	"0.100000"	""	""	""	""	""	"0"	"1.000000"	"1"	"0.400000"	""	""	""	""	""	""	"[[2,50,0.005]]"	""	""	""	""	""	""	""	""	""	""	""	""	
"85100"	""	""	"闪避敌人攻击时，有20%几率是你的暴击伤害率增加100%，持续3秒(内置CD15s）"	"13"	"castaura_on_target"	""	""	"85100"	"1"	""	""	""	""	""	""	""	""	""	""	"15000"	"0.200000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85101"	""	""	"闪避敌人攻击时，有30%几率是你的暴击伤害率增加100%，持续3秒(内置CD15s）"	"13"	"castaura_on_target"	""	""	"85100"	"1"	""	""	""	""	""	""	""	""	""	""	"15000"	"0.300000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85110"	""	""	"受到伤害时，有35%几率使你的闪避值提升100%，持续3秒（内置CD10s）"	"2"	"castaura_on_target"	""	""	"85110"	"1"	""	""	""	""	""	""	""	""	""	""	"10000"	"0.350000"	"-1"	""	""	"[[2,50,0]]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85120"	""	""	"被击中时有15%几率获得闪电风暴效果，对附近的敌人每秒造成50%的闪电伤害，持续3秒（内置CD15s）"	"11"	"castaura_on_target"	""	""	"85120"	"1"	""	""	""	""	""	""	""	""	""	""	"15000"	"0.150000"	"-1"	""	""	"[[2,50,1]]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85130"	""	""	"被击中时有15%几率获得闪电风暴效果，对附近的敌人每秒造成50%的闪电伤害，持续3秒（内置CD15s）。并移动速度提升25%。"	"11"	"castaura_on_target"	""	""	"85130"	"1"	""	""	""	""	""	""	""	""	""	""	"15000"	"0.150000"	"-1"	""	""	"[[2,50,1]]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86000"	"急速冷却Lv.1"	"skil_new_jineng,pohuchenzhou"	"施放技能时，有15%几率减少25%本次使用的技能冷却时间"	"0"	"reduce_magiccooldown_oncasted"	""	""	""	""	""	""	""	""	"0.250000"	""	""	""	""	""	"60000"	"0.150000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86001"	"急速冷却Lv.2"	"skil_new_jineng,pohuchenzhou"	"施放技能时，有15%几率减少50%本次使用的技能冷却时间"	"0"	"reduce_magiccooldown_oncasted"	""	""	""	""	""	""	""	""	"0.500000"	""	""	""	""	""	"60000"	"0.150000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86002"	"急速冷却Lv.3"	"skil_new_jineng,pohuchenzhou"	"施放技能时，有15%几率减少100%本次使用的技能冷却时间"	"0"	"reduce_magiccooldown_oncasted"	""	""	""	""	""	""	""	""	"1.000000"	""	""	""	""	""	"60000"	"0.150000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86003"	"急速冷却Lv.4"	"skil_new_jineng,pohuchenzhou"	"施放技能时，有30%几率减少100%本次使用的技能冷却时间"	"0"	"reduce_magiccooldown_oncasted"	""	""	""	""	""	""	""	""	"1.000000"	""	""	""	""	""	"30000"	"0.300000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86010"	"飞龙在天Lv.1"	"skil_new_jineng,feilongzaitian"	"攻击时，有10%几率使自身移动速度提高10%，持续5秒"	"1"	"castaura_on_self"	""	""	"6150"	"1"	""	""	""	""	""	""	""	""	""	""	"60000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86011"	"飞龙在天Lv.2"	"skil_new_jineng,feilongzaitian"	"攻击时，有10%几率使自身移动速度提高20%，持续5秒"	"1"	"castaura_on_self"	""	""	"6151"	"1"	""	""	""	""	""	""	""	""	""	""	"60000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86012"	"飞龙在天Lv.3"	"skil_new_jineng,feilongzaitian"	"攻击时，有10%几率使自身移动速度提高30%，持续5秒"	"1"	"castaura_on_self"	""	""	"6152"	"1"	""	""	""	""	""	""	""	""	""	""	"60000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86013"	"飞龙在天Lv.4"	"skil_new_jineng,feilongzaitian"	"攻击时，有10%几率使自身移动速度提高60%，持续5秒"	"1"	"castaura_on_self"	""	""	"6153"	"1"	""	""	""	""	""	""	""	""	""	""	"60000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86020"	"时间静止Lv.1"	"skil_new_jineng,budongrushan"	"攻击时，有10%的几率使目标减速20%，持续3秒"	"7"	"castaura_on_target"	""	""	"6100"	"1"	""	""	""	""	""	""	""	""	""	""	"60000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86021"	"时间静止Lv.2"	"skil_new_jineng,budongrushan"	"攻击时，有10%的几率使目标减速50%，持续3秒"	"7"	"castaura_on_target"	""	""	"6101"	"1"	""	""	""	""	""	""	""	""	""	""	"60000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86022"	"时间静止Lv.3"	"skil_new_jineng,budongrushan"	"攻击时，有10%的几率使目标减速100%，持续3秒"	"7"	"castaura_on_target"	""	""	"6102"	"1"	""	""	""	""	""	""	""	""	""	""	"60000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86023"	"时间静止Lv.4"	"skil_new_jineng,budongrushan"	"攻击时，有10%的几率使目标减速100%，持续5秒"	"7"	"castaura_on_target"	""	""	"6103"	"1"	""	""	""	""	""	""	""	""	""	""	"60000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86030"	"利刃之炎Lv.1"	"skil_new_jineng,lirenzhiyan"	"攻击时，有10%的几率获得增加自身物理攻击力1000点的增益效果，持续5秒"	"1"	"castaura_on_self"	""	""	"6120"	""	""	""	""	""	""	""	""	""	""	""	"60000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86031"	"利刃之炎Lv.2"	"skil_new_jineng,lirenzhiyan"	"攻击时，有10%的几率获得增加自身物理攻击力2000点的增益效果，持续5秒"	"1"	"castaura_on_self"	""	""	"6121"	""	""	""	""	""	""	""	""	""	""	""	"60000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86032"	"利刃之炎Lv.3"	"skil_new_jineng,lirenzhiyan"	"攻击时，有10%的几率获得增加自身物理攻击力3000点的增益效果，持续5秒"	"1"	"castaura_on_self"	""	""	"6122"	""	""	""	""	""	""	""	""	""	""	""	"60000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86033"	"利刃之炎Lv.4"	"skil_new_jineng,lirenzhiyan"	"攻击时，有10%的几率获得增加自身物理攻击力4000点的增益效果，持续5秒"	"1"	"castaura_on_self"	""	""	"6123"	""	""	""	""	""	""	""	""	""	""	""	"60000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86040"	"神圣之炎Lv.1"	"skil_new_jineng,shenshengzhiyan"	"攻击时，有10%的几率获得增加自身魔法攻击力1000点的增益效果，持续5秒"	"1"	"castaura_on_self"	""	""	"6130"	""	""	""	""	""	""	""	""	""	""	""	"60000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86041"	"神圣之炎Lv.2"	"skil_new_jineng,shenshengzhiyan"	"攻击时，有10%的几率获得增加自身魔法攻击力2000点的增益效果，持续5秒"	"1"	"castaura_on_self"	""	""	"6131"	""	""	""	""	""	""	""	""	""	""	""	"60000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86042"	"神圣之炎Lv.3"	"skil_new_jineng,shenshengzhiyan"	"攻击时，有10%的几率获得增加自身魔法攻击力3000点的增益效果，持续5秒"	"1"	"castaura_on_self"	""	""	"6132"	""	""	""	""	""	""	""	""	""	""	""	"60000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86043"	"神圣之炎Lv.4"	"skil_new_jineng,shenshengzhiyan"	"攻击时，有10%的几率获得增加自身魔法攻击力4000点的增益效果，持续5秒"	"1"	"castaura_on_self"	""	""	"6133"	""	""	""	""	""	""	""	""	""	""	""	"60000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86050"	"霸者无双Lv.1"	"skil_new_jineng,chenxuerru"	"攻击时，有10%几率使目标物理防御及魔法防御降低25%，持续3秒"	"1"	"castaura_on_target"	""	""	"6140"	"1"	""	""	""	""	""	""	""	""	""	""	"60000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86051"	"霸者无双Lv.2"	"skil_new_jineng,chenxuerru"	"攻击时，有10%几率使目标物理防御及魔法防御降低50%，持续3秒"	"1"	"castaura_on_target"	""	""	"6141"	"1"	""	""	""	""	""	""	""	""	""	""	"60000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86052"	"霸者无双Lv.3"	"skil_new_jineng,chenxuerru"	"攻击时，有10%几率使目标物理防御及魔法防御降低100%，持续3秒"	"1"	"castaura_on_target"	""	""	"6142"	"1"	""	""	""	""	""	""	""	""	""	""	"60000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86053"	"霸者无双Lv.4"	"skil_new_jineng,chenxuerru"	"攻击时，有10%几率使目标物理防御及魔法防御降低100%，持续5秒"	"1"	"castaura_on_target"	""	""	"6143"	"1"	""	""	""	""	""	""	""	""	""	""	"60000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86060"	"怒火逆鳞Lv.1"	"skil_new_jineng,nuhuonilin"	"攻击时，有20%的几率获得自身暴击伤害提升20%的增益，持续5秒"	"1"	"castaura_on_self"	""	""	"6110"	""	""	""	""	""	""	""	""	""	""	""	"20000"	"0.200000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86061"	"怒火逆鳞Lv.2"	"skil_new_jineng,nuhuonilin"	"攻击时，有20%的几率获得自身暴击伤害提升50%的增益，持续5秒"	"1"	"castaura_on_self"	""	""	"6111"	""	""	""	""	""	""	""	""	""	""	""	"20000"	"0.200000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86062"	"怒火逆鳞Lv.3"	"skil_new_jineng,nuhuonilin"	"攻击时，有20%的几率获得自身暴击伤害提升100%的增益，持续5秒"	"1"	"castaura_on_self"	""	""	"6112"	""	""	""	""	""	""	""	""	""	""	""	"20000"	"0.200000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86063"	"怒火逆鳞Lv.4"	"skil_new_jineng,nuhuonilin"	"攻击时，有20%的几率获得自身暴击伤害提升120%的增益，持续5秒"	"1"	"castaura_on_self"	""	""	"6113"	""	""	""	""	""	""	""	""	""	""	""	"20000"	"0.200000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86070"	"无懈可击Lv.1"	"pic_chibang,wuxiekeji"	"被击中时，有30%的几率获得减免伤害10%的增益，持续5秒"	"11"	"castaura_on_self"	""	""	"6160"	"1"	""	""	""	""	""	""	""	""	""	""	"50000"	"0.300000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86071"	"无懈可击Lv.2"	"pic_chibang,wuxiekeji"	"被击中时，有30%的几率获得减免伤害25%的增益，持续5秒"	"11"	"castaura_on_self"	""	""	"6161"	"1"	""	""	""	""	""	""	""	""	""	""	"50000"	"0.300000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86072"	"无懈可击Lv.3"	"pic_chibang,wuxiekeji"	"被击中时，有30%的几率获得减免伤害75%的增益，持续5秒"	"11"	"castaura_on_self"	""	""	"6162"	"1"	""	""	""	""	""	""	""	""	""	""	"50000"	"0.300000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86073"	"无懈可击Lv.4"	"pic_chibang,wuxiekeji"	"被击中时，有30%的几率获得减免伤害100%的增益，持续5秒"	"11"	"castaura_on_self"	""	""	"6163"	"1"	""	""	""	""	""	""	""	""	""	""	"50000"	"0.300000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86080"	"斗转星移Lv.1"	"skill,gedangzhi"	"攻击时，有10%的几率使敌方致盲，命中降低25%，持续5秒"	"1"	"castaura_on_target"	""	""	"6170"	"1"	""	""	""	""	""	""	""	""	""	""	"30000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86081"	"斗转星移Lv.2"	"skill,gedangzhi"	"攻击时，有10%的几率使敌方致盲，命中降低50%，持续5秒"	"1"	"castaura_on_target"	""	""	"6171"	"1"	""	""	""	""	""	""	""	""	""	""	"30000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86082"	"斗转星移Lv.3"	"skill,gedangzhi"	"攻击时，有10%的几率使敌方致盲，命中降低100%，持续5秒"	"1"	"castaura_on_target"	""	""	"6172"	"1"	""	""	""	""	""	""	""	""	""	""	"30000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86083"	"斗转星移Lv.4"	"skill,gedangzhi"	"攻击时，有20%的几率使敌方致盲，命中降低100%，持续5秒"	"1"	"castaura_on_target"	""	""	"6172"	"1"	""	""	""	""	""	""	""	""	""	""	"30000"	"0.200000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86090"	"钢铁意志Lv.1"	"skill,zs_1070"	"攻击时，有10%的几率降低敌方20%暴击值和20%暴击加伤，持续3秒"	"1"	"castaura_on_target"	""	""	"6180"	"1"	""	""	""	""	""	""	""	""	""	""	"58000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86091"	"钢铁意志Lv.2"	"skill,zs_1070"	"攻击时，有10%的几率降低敌方40%暴击值和40%暴击加伤，持续3秒"	"1"	"castaura_on_target"	""	""	"6181"	"1"	""	""	""	""	""	""	""	""	""	""	"58000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86092"	"钢铁意志Lv.3"	"skill,zs_1070"	"攻击时，有10%的几率降低敌方60%暴击值和60%暴击加伤，持续3秒"	"1"	"castaura_on_target"	""	""	"6182"	"1"	""	""	""	""	""	""	""	""	""	""	"58000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86093"	"钢铁意志Lv.4"	"skill,zs_1070"	"攻击时，有10%的几率降低敌方60%暴击值和60%暴击加伤，持续5秒"	"1"	"castaura_on_target"	""	""	"6183"	"1"	""	""	""	""	""	""	""	""	""	""	"58000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86100"	"疾风骤雨Lv.1"	"skill,lianxuji2"	"攻击时，有10%的几率降低敌方10%的闪避值，持续5秒"	"3"	"castaura_on_target"	""	""	"6190"	"1"	""	""	""	""	""	""	""	""	""	""	"50000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86101"	"疾风骤雨Lv.2"	"skill,lianxuji2"	"攻击时，有10%的几率降低敌方30%的闪避值，持续5秒"	"3"	"castaura_on_target"	""	""	"6191"	"1"	""	""	""	""	""	""	""	""	""	""	"50000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86102"	"疾风骤雨Lv.3"	"skill,lianxuji2"	"攻击时，有10%的几率降低敌方60%的闪避值，持续5秒"	"3"	"castaura_on_target"	""	""	"6192"	"1"	""	""	""	""	""	""	""	""	""	""	"50000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86103"	"疾风骤雨Lv.4"	"skill,lianxuji2"	"攻击时，有10%的几率降低敌方100%的闪避值，持续5秒"	"3"	"castaura_on_target"	""	""	"6193"	"1"	""	""	""	""	""	""	""	""	""	""	"50000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86110"	"斗转星移Lv.1"	"skil_new_jineng,shenshengzhiyan"	"10%几率吸收本次敌人对你造成的伤害的25%"	"5"	"absorbdamage"	""	""	"1"	""	""	""	""	""	"0.250000"	""	""	""	""	""	"30000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2000"	""	""	""	""	
"86111"	"斗转星移Lv.2"	"skil_new_jineng,shenshengzhiyan"	"10%几率吸收本次敌人对你造成的伤害的50%"	"5"	"absorbdamage"	""	""	"1"	""	""	""	""	""	"0.500000"	""	""	""	""	""	"30000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4250"	""	""	""	""	
"86112"	"斗转星移Lv.3"	"skil_new_jineng,shenshengzhiyan"	"10%几率吸收本次敌人对你造成的伤害的100%"	"5"	"absorbdamage"	""	""	"1"	""	""	""	""	""	"1.000000"	""	""	""	""	""	"30000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"7000"	""	""	""	""	
"86120"	"无尽荆棘Lv.1"	"skil_new_jineng,chenxuerru"	"战斗过程中，每隔60秒玩家100%可触发一次荆棘效果，该效果会反弹本次敌人对你造成的伤害的25%"	"5"	"throns"	""	""	""	""	""	""	""	""	"0.125000"	""	""	""	""	""	"60000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4000"	""	""	""	""	
"86121"	"无尽荆棘Lv.2"	"skil_new_jineng,chenxuerru"	"战斗过程中，每隔60秒玩家100%可触发一次荆棘效果，该效果会反弹本次敌人对你造成的伤害的50%"	"5"	"throns"	""	""	""	""	""	""	""	""	"0.250000"	""	""	""	""	""	"60000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"5750"	""	""	""	""	
"86122"	"无尽荆棘Lv.3"	"skil_new_jineng,chenxuerru"	"战斗过程中，每隔60秒玩家100%可触发一次荆棘效果，该效果会反弹本次敌人对你造成的伤害的100%"	"5"	"throns"	""	""	""	""	""	""	""	""	"0.500000"	""	""	""	""	""	"60000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"8000"	""	""	""	""	
"86130"	"妖术诅咒Lv.1"	"shengwujianglin,jineng04"	"攻击时有一定几率可以使对手变成招财猪"	"1"	"castaura_on_target"	""	""	"6020"	""	""	""	""	""	""	""	""	""	""	""	"50000"	"0.040000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"15000"	""	""	""	""	
"86140"	"唯我独尊Lv.1"	"skill2,huiyaolong_guanghuafuti"	"攻击时，有10%的几率使自身免疫控制，持续2秒"	"3"	"castaura_on_self"	""	""	"6200"	"1"	""	""	""	""	""	""	""	""	""	""	"50000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86141"	"唯我独尊Lv.2"	"skill2,huiyaolong_guanghuafuti"	"攻击时，有10%的几率使自身免疫控制，持续3秒"	"3"	"castaura_on_self"	""	""	"6201"	"1"	""	""	""	""	""	""	""	""	""	""	"50000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86142"	"唯我独尊Lv.3"	"skill2,huiyaolong_guanghuafuti"	"攻击时，有10%的几率使自身免疫控制，持续4秒"	"3"	"castaura_on_self"	""	""	"6202"	"1"	""	""	""	""	""	""	""	""	""	""	"50000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86143"	"唯我独尊Lv.4"	"skill2,huiyaolong_guanghuafuti"	"攻击时，有10%的几率使自身免疫控制，持续5秒"	"3"	"castaura_on_self"	""	""	"6203"	"1"	""	""	""	""	""	""	""	""	""	""	"50000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"87000"	"烈火熔浆"	""	"攻击时附加1000点火伤害"	"1"	"additionattrdamage"	""	""	"0"	""	""	""	""	""	"1000.000000"	""	""	""	""	""	"60000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"500"	""	""	""	""	
"87001"	"天降火球"	""	"施法时产生1级火球"	"0"	"castmagic_on_targetposition"	""	""	"200"	"1"	""	""	""	""	""	""	""	""	""	""	"60000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1000"	""	""	""	""	
