"id"	"类型0=修改MagicType表1=修改EffectCommon表2=修改EffectCollison表3=修改EffectMotion表4=修改EffectFlexible表5=修改Aura表6=修改AuraEffect表"	"要修改的字段"	"字段hash(不填,程序用)"	"技能id"	"操作0=增加1=减少2=替换"	"操作值(对整数类型的字段操作,会自动转换为整数)"	""	""	""	""	""	""	""	""	
"311000"	"1"	"hurtPercentageMage"	""	"3111"	"0"	"20.000000"	""	""	""	""	""	""	""	""	
"311100"	"1"	"additionalFireHurtTransRate"	""	"3112"	"2"	"0.030000"	""	""	""	""	""	""	""	""	
"311101"	"1"	"hitBuff3"	""	"3111"	"2"	"3110.000000"	""	""	""	""	""	""	""	""	
"311110"	"1"	"additionalFireHurtTransRate"	""	"3112"	"2"	"0.060000"	""	""	""	""	""	""	""	""	
"311120"	"1"	"additionalFireHurtTransRate"	""	"3112"	"2"	"0.090000"	""	""	""	""	""	""	""	""	
"311130"	"1"	"additionalFireHurtTransRate"	""	"3112"	"2"	"0.120000"	""	""	""	""	""	""	""	""	
"311140"	"1"	"additionalFireHurtTransRate"	""	"3112"	"2"	"0.150000"	""	""	""	""	""	""	""	""	
"311200"	"1"	"hurtValueMage"	""	"3111"	"0"	"40.000000"	""	""	""	""	""	""	""	""	
"311210"	"1"	"hurtValueMage"	""	"3111"	"0"	"60.000000"	""	""	""	""	""	""	""	""	
"311220"	"1"	"hurtValueMage"	""	"3111"	"0"	"90.000000"	""	""	""	""	""	""	""	""	
"311230"	"1"	"hurtValueMage"	""	"3111"	"0"	"120.000000"	""	""	""	""	""	""	""	""	
"311240"	"1"	"hurtValueMage"	""	"3111"	"0"	"150.000000"	""	""	""	""	""	""	""	""	
"312000"	"1"	"hurtPercentageMage"	""	"3120"	"0"	"20.000000"	""	""	""	""	""	""	""	""	
"312001"	"1"	"hurtPercentageMage"	""	"3121"	"0"	"20.000000"	""	""	""	""	""	""	""	""	
"312002"	"1"	"hurtPercentageMage"	""	"3122"	"0"	"20.000000"	""	""	""	""	""	""	""	""	
"312100"	"0"	"effectType4"	""	"3121"	"2"	"3.000000"	""	""	""	""	""	""	""	""	
"312101"	"0"	"effectID4"	""	"3121"	"2"	"3121.000000"	""	""	""	""	""	""	""	""	
"314000"	"0"	"CDTime"	""	"3140"	"1"	"5000.000000"	""	""	""	""	""	""	""	""	
"314100"	"5"	"auraTime"	""	"3140"	"0"	"10000.000000"	""	""	""	""	""	""	""	""	
"315000"	"4"	"nparam2"	""	"3150"	"0"	"2.000000"	""	""	""	""	""	""	""	""	
"315100"	"1"	"hurtPercentageMage"	""	"3151"	"0"	"20.000000"	""	""	""	""	""	""	""	""	
"316000"	"1"	"hurtPercentageMage"	""	"3161"	"0"	"10.000000"	""	""	""	""	""	""	""	""	
"316100"	"0"	"add_mp_hit_first"	""	"3161"	"0"	"8.000000"	""	""	""	""	""	""	""	""	
"316110"	"0"	"add_mp_hit_first"	""	"3161"	"0"	"16.000000"	""	""	""	""	""	""	""	""	
"316120"	"0"	"add_mp_hit_first"	""	"3161"	"0"	"24.000000"	""	""	""	""	""	""	""	""	
"316130"	"0"	"add_mp_hit_first"	""	"3161"	"0"	"32.000000"	""	""	""	""	""	""	""	""	
"316140"	"0"	"add_mp_hit_first"	""	"3161"	"0"	"40.000000"	""	""	""	""	""	""	""	""	
"317000"	"6"	"para4"	""	"3170"	"0"	"150.000000"	""	""	""	""	""	""	""	""	
"317100"	"5"	"effectID3"	""	"3170"	"2"	"3172.000000"	""	""	""	""	""	""	""	""	
