"效果ID"	"备注"	"效果类型"	"效果索引(程序用,不填)"	"周期时间"	"参数1"	"参数2"	"参数3"	"参数4"	"参数5"	"参数6"	"参数1等级修正"	"参数2等级修正"	"参数3等级修正"	"参数4等级修正"	"参数5等级修正"	"参数6等级修正"	"触发条件（触发型效果需填）"	"内置CD（触发型效果需填）"	"光环生效期间，附带触发器id=CombatTriggerConfig.xls"	""	""	
"61000"	"初级buff加攻击"	"attr"	"0"	"0"	"1"	"1"	"0"	"0.030000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"61001"	"初级buff加防御"	"attr"	"0"	"0"	"2"	"1"	"0"	"0.030000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"61002"	"初级buff血上限"	"attr"	"0"	"0"	"0"	"1"	"0"	"0.030000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"61010"	"中级buff加攻击"	"attr"	"0"	"0"	"1"	"1"	"0"	"0.060000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"61011"	"中级buff加防御"	"attr"	"0"	"0"	"2"	"1"	"0"	"0.060000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"61012"	"中级buff血上限"	"attr"	"0"	"0"	"0"	"1"	"0"	"0.060000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"61020"	"高级buff加攻击"	"attr"	"0"	"0"	"1"	"1"	"0"	"0.090000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"61021"	"高级buff加防御"	"attr"	"0"	"0"	"2"	"1"	"0"	"0.090000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"61022"	"高级buff血上限"	"attr"	"0"	"0"	"0"	"1"	"0"	"0.090000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10100001"	"自动回血"	"renew"	"0"	"3000"	"1"	"0"	"0"	"0.010000"	"0.000000"	"0.000000"	""	"[[2,70,0.0001]]"	""	""	""	""	"null"	"0"	"-1"	""	""	
"10100021"	"狂暴，加100%攻击"	"attr"	"0"	"0"	"1"	"1"	"0"	"1.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10100022"	"狂暴，加100%移动"	"attr"	"0"	"0"	"32"	"1"	"0"	"1.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10200050"	"摩诃无量"	"castfront"	"0"	"100"	"10200051"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10200051"	"摩诃无量"	"dot"	"0"	"100"	"10200051"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10400020"	"丐帮天下无狗"	"invincible_chop"	"0"	"240"	"10400021"	"0"	"0"	"10.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10000100"	"蓄力，增加5%攻击力"	"attr"	"0"	"0"	"1"	"1"	"0"	"0.050000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10000200"	"集气，增加10%防御力"	"attr"	"0"	"0"	"2"	"1"	"0"	"0.100000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10000300"	"虚弱，降低5%攻击力"	"attr"	"0"	"0"	"1"	"0"	"0"	"-0.050000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10000400"	"破甲，降低10%防御力"	"attr"	"0"	"0"	"2"	"0"	"0"	"-0.100000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10000500"	"暴击，增加暴击"	"attr"	"0"	"0"	"13"	"0"	"0"	"0.250000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10000600"	"震荡，减速50%"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.500000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10000700"	"轻身，加速80%"	"attr"	"0"	"0"	"32"	"1"	"0"	"0.800000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10000800"	"内伤，降低25%攻击"	"attr"	"0"	"0"	"1"	"1"	"0"	"-0.250000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10000900"	"流血，持续伤害"	"dot"	"0"	"1000"	"20000900"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10025030"	"5秒减速30%"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.300000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10025040"	"5秒减速40%"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.400000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10025050"	"5秒减速50%"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.500000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10025060"	"5秒减速60%"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.600000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10025070"	"5秒减速70%"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.700000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10025080"	"5秒减速80%"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.800000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10040030"	"加速30%"	"attr"	"0"	"0"	"32"	"1"	"0"	"0.300000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10040040"	"加速40%"	"attr"	"0"	"0"	"32"	"1"	"0"	"0.400000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10040050"	"加速50%"	"attr"	"0"	"0"	"32"	"1"	"0"	"0.500000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10040060"	"加速60%"	"attr"	"0"	"0"	"32"	"1"	"0"	"0.600000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10040070"	"加速70%"	"attr"	"0"	"0"	"32"	"1"	"0"	"0.700000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10040080"	"加速80%"	"attr"	"0"	"0"	"32"	"1"	"0"	"0.800000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10100020"	"剑啸风花"	"whirlwind"	"0"	"250"	"10100021"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10101020"	"剑啸风花"	"whirlwind"	"0"	"250"	"10101021"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10102020"	"剑啸风花"	"whirlwind"	"0"	"250"	"10102021"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10103020"	"剑啸风花"	"whirlwind"	"0"	"250"	"10103021"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10100041"	"妙转乾坤后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"50.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"10101041"	"妙转乾坤后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"500.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"10102041"	"妙转乾坤后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"2000.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"10103041"	"妙转乾坤后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"5000.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"10200020"	"剑啸风花"	"whirlwind"	"0"	"250"	"10200021"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10201020"	"剑啸风花"	"whirlwind"	"0"	"250"	"10201021"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10202020"	"剑啸风花"	"whirlwind"	"0"	"250"	"10202021"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10203020"	"剑啸风花"	"whirlwind"	"0"	"250"	"10203021"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10200041"	"妙转乾坤后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"50.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"10201041"	"妙转乾坤后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"500.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"10202041"	"妙转乾坤后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"2000.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"10203041"	"妙转乾坤后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"5000.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"10300000"	"璇光斩后自身移动速度增加"	"attr"	"0"	"0"	"32"	"1"	"0"	"0.200000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10301000"	"五岳连横后前方地面着火DoT带出目标点符咒"	"whirlwind"	"0"	"500"	"10301000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10301001"	"五岳连横后前方地面着火DoT技能"	"whirlwind"	"0"	"1000"	"10301002"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10301010"	"五岳连横后自身命中"	"attr"	"0"	"0"	"9"	"0"	"0"	"0.150000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10302000"	"剑啸风花的自身获得光环四周aoe时减速"	"whirlwind"	"0"	"250"	"10302000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10302001"	"剑啸风花的目标降低移动速度"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.500000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10302010"	"剑啸风花的目标附带流血DoT"	"whirlwind"	"0"	"250"	"10302010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10302011"	"剑啸风花的目标附带流血DoT伤害"	"dot"	"0"	"1000"	"10302011"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10303000"	"星河流光后自身移动加速"	"attr"	"0"	"0"	"32"	"1"	"0"	"0.500000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10304000"	"妙转乾坤后自身增加暴击"	"attr"	"0"	"0"	"13"	"0"	"0"	"0.050000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11000020"	"十方天音子弹光环"	"whirlwind"	"0"	"250"	"11000021"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11001020"	"十方天音子弹光环"	"whirlwind"	"0"	"250"	"11001021"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11002020"	"十方天音子弹光环"	"whirlwind"	"0"	"250"	"11002021"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11003020"	"十方天音子弹光环"	"whirlwind"	"0"	"250"	"11003021"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11000030"	"沧海龙吟目标点aoe光环"	"whirlwind"	"0"	"270"	"11000031"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11001030"	"沧海龙吟目标点aoe光环"	"whirlwind"	"0"	"270"	"11001031"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11002030"	"沧海龙吟目标点aoe光环"	"whirlwind"	"0"	"270"	"11002031"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11003030"	"沧海龙吟目标点aoe光环"	"whirlwind"	"0"	"270"	"11003031"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11000041"	"烟雨逍遥后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"50.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"11001041"	"烟雨逍遥后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"500.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"11002041"	"烟雨逍遥后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"2000.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"11003041"	"烟雨逍遥后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"5000.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"11100020"	"十方天音子弹光环"	"whirlwind"	"0"	"250"	"11100021"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11101020"	"十方天音子弹光环"	"whirlwind"	"0"	"250"	"11101021"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11102020"	"十方天音子弹光环"	"whirlwind"	"0"	"250"	"11102021"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11103020"	"十方天音子弹光环"	"whirlwind"	"0"	"250"	"11103021"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11100030"	"沧海龙吟目标点aoe光环"	"whirlwind"	"0"	"240"	"11100031"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11101030"	"沧海龙吟目标点aoe光环"	"whirlwind"	"0"	"240"	"11101031"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11102030"	"沧海龙吟目标点aoe光环"	"whirlwind"	"0"	"240"	"11102031"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11103030"	"沧海龙吟目标点aoe光环"	"whirlwind"	"0"	"240"	"11103031"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11100041"	"烟雨逍遥后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"50.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"11101041"	"烟雨逍遥后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"500.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"11102041"	"烟雨逍遥后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"2000.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"11103041"	"烟雨逍遥后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"5000.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"11200000"	"普庵咒后目标减速"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.100000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11201000"	"风雷引目标流血DoT"	"dot"	"0"	"1000"	"11201000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11201010"	"风雷引目标多一次攻击"	"dot"	"0"	"200"	"11201010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11202000"	"十方天音自身加速"	"attr"	"0"	"0"	"32"	"1"	"0"	"0.200000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11202010"	"十方天音目标拉近"	"whirlwind"	"0"	"200"	"11202010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11203000"	"沧海龙吟目标点追加aoe"	"whirlwind"	"0"	"1500"	"11203000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11203010"	"沧海龙吟自身四周aoe"	"whirlwind"	"0"	"500"	"11203010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11203020"	"沧海龙吟自身随机点瞬移触发器"	"whirlwind"	"0"	"1600"	"11203020"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"11204000"	"烟雨逍遥自身增加命中"	"attr"	"0"	"0"	"9"	"0"	"0"	"0.100000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"12000041"	"天威位移后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"50.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"12001041"	"天威位移后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"500.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"12002041"	"天威位移后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"2000.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"12003041"	"天威位移后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"5000.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"12100041"	"天威位移后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"50.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"12101041"	"天威位移后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"500.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"12102041"	"天威位移后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"2000.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"12103041"	"天威位移后自身buff"	"attr"	"0"	"0"	"1"	"0"	"0"	"5000.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,16],[61,80,30],[81,100,41],[101,120,64],[121,150,111],[151,200,269],[201,250,348],[251,300,416]]"	""	""	"null"	"0"	"-1"	""	""	
"12200000"	"连环枪后目标减速"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.150000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"12201000"	"气动山河后目标破甲"	"attr"	"0"	"0"	"2"	"1"	"0"	"-0.150000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"12201010"	"气动山河后自身增加格挡"	"attr"	"0"	"0"	"19"	"0"	"0"	"0.080000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"12202000"	"五虎断门最后一击目标流血DoT"	"dot"	"0"	"1000"	"12202000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"12202010"	"五虎断门最后一击地面地刺攻击"	"whirlwind"	"0"	"1200"	"12202010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"12203000"	"九龙破空目标拉近"	"whirlwind"	"0"	"100"	"12203000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"12203010"	"九龙破空目标眩晕"	"whirlwind"	"0"	"100"	"12203010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"12204000"	"天影飞梭自身增加穿透"	"attr"	"0"	"0"	"17"	"0"	"0"	"0.050000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"25002000"	"乾坤笔自身buff"	"attr"	"0"	"0"	"1"	"1"	"0"	"0.530000"	"0.000000"	"0.000000"	""	""	""	"[[2,15,0.03]]"	""	""	"null"	"0"	"-1"	""	""	
"25002010"	"乾坤笔自身buff"	"attr"	"0"	"0"	"1"	"1"	"0"	"0.560000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"25002020"	"乾坤笔自身buff"	"attr"	"0"	"0"	"1"	"1"	"0"	"0.590000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"25002030"	"乾坤笔自身buff"	"attr"	"0"	"0"	"1"	"1"	"0"	"0.620000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"25002040"	"乾坤笔自身buff"	"attr"	"0"	"0"	"1"	"1"	"0"	"0.650000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"25002050"	"乾坤笔自身buff"	"attr"	"0"	"0"	"1"	"1"	"0"	"0.680000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"25002060"	"乾坤笔自身buff"	"attr"	"0"	"0"	"1"	"1"	"0"	"0.710000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"25002070"	"乾坤笔自身buff"	"attr"	"0"	"0"	"1"	"1"	"0"	"0.740000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"25002080"	"乾坤笔自身buff"	"attr"	"0"	"0"	"1"	"1"	"0"	"0.770000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"25002090"	"乾坤笔自身buff"	"attr"	"0"	"0"	"1"	"1"	"0"	"0.800000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"25005000"	"混元拂尘减防"	"attr"	"0"	"0"	"2"	"1"	"0"	"-0.480000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"25005010"	"混元拂尘减防"	"attr"	"0"	"0"	"2"	"1"	"0"	"-0.510000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"25005020"	"混元拂尘减防"	"attr"	"0"	"0"	"2"	"1"	"0"	"-0.540000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"25005030"	"混元拂尘减防"	"attr"	"0"	"0"	"2"	"1"	"0"	"-0.570000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"25005040"	"混元拂尘减防"	"attr"	"0"	"0"	"2"	"1"	"0"	"-0.600000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"25005050"	"混元拂尘减防"	"attr"	"0"	"0"	"2"	"1"	"0"	"-0.630000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
