"所属法宝（ID*100+阶数ID）"	"当前阶法宝总属性（属性ID，属性值）"	"进阶所需材料"	"单次进阶所需材料数量"	"进阶所需材料总数量"	"升级所需材料"	"单次升级所需材料数量"	"各级所需升级材料数量第1个数据是1升2"	"当前阶当前级属性占比（每次升级占总属性的百分之多少，填累加值，结果向下取整）"	"技能ID（读MagicType表）"	
"101108"	"1,9992,2,10548,0,266478,12,3330,18,3330,16,3330"	"100043"	"8"	"32"	"100044"	"8"	"56,56,56,56,56,56,56,56,56"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25011070"	
"101109"	"1,11963,2,12628,0,319023,12,3987,18,3987,16,3987"	"100043"	"9"	"36"	"100044"	"9"	"72,72,72,72,72,72,72,72,72"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25011080"	
"101110"	"1,14074,2,14856,0,375321,12,4691,18,4691,16,4691"	"100043"	"0"	"0"	"100044"	"10"	"80,80,80,80,80,80,80,80,80"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25011090"	
"101201"	"1,256,2,172,0,7443,14,79,12,79,10,79"	"100043"	"1"	"2"	"100044"	"1"	"2,2,2,2,2,2,2,2,2"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25012000"	
"101202"	"1,1058,2,711,0,30651,14,328,12,328,10,328"	"100043"	"2"	"4"	"100044"	"2"	"6,6,6,6,6,6,6,6,6"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25012010"	
"101203"	"1,2267,2,1524,0,65681,14,703,12,703,10,703"	"100043"	"3"	"6"	"100044"	"3"	"12,12,12,12,12,12,12,12,12"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25012020"	
"101204"	"1,3779,2,2541,0,109468,14,1172,12,1172,10,1172"	"100043"	"4"	"12"	"100044"	"4"	"20,20,20,20,20,20,20,20,20"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25012030"	
"101205"	"1,5442,2,3659,0,157635,14,1688,12,1688,10,1688"	"100043"	"5"	"15"	"100044"	"5"	"30,30,30,30,30,30,30,30,30"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25012040"	
"101206"	"1,7105,2,4777,0,205801,14,2205,12,2205,10,2205"	"100043"	"6"	"18"	"100044"	"6"	"36,36,36,36,36,36,36,36,36"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25012050"	
"101207"	"1,8919,2,5997,0,258346,14,2767,12,2767,10,2767"	"100043"	"7"	"28"	"100044"	"7"	"49,49,49,49,49,49,49,49,49"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25012060"	
"101208"	"1,10733,2,7217,0,310891,14,3330,12,3330,10,3330"	"100043"	"8"	"32"	"100044"	"8"	"56,56,56,56,56,56,56,56,56"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25012070"	
"101209"	"1,12849,2,8640,0,372194,14,3987,12,3987,10,3987"	"100043"	"9"	"36"	"100044"	"9"	"72,72,72,72,72,72,72,72,72"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25012080"	
"101210"	"1,15117,2,10164,0,437875,14,4691,12,4691,10,4691"	"100043"	"0"	"0"	"100044"	"10"	"80,80,80,80,80,80,80,80,80"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25012090"	
"101301"	"1,336,2,199,0,4519,8,79,10,79,12,79"	"100043"	"1"	"2"	"100044"	"1"	"2,2,2,2,2,2,2,2,2"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25013000"	
"101302"	"1,1386,2,821,0,18609,8,328,10,328,12,328"	"100043"	"2"	"4"	"100044"	"2"	"6,6,6,6,6,6,6,6,6"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25013010"	
"101303"	"1,2971,2,1759,0,39877,8,703,10,703,12,703"	"100043"	"3"	"6"	"100044"	"3"	"12,12,12,12,12,12,12,12,12"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25013020"	
"101304"	"1,4952,2,2932,0,66463,8,1172,10,1172,12,1172"	"100043"	"4"	"12"	"100044"	"4"	"20,20,20,20,20,20,20,20,20"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25013030"	
"101305"	"1,7131,2,4222,0,95707,8,1688,10,1688,12,1688"	"100043"	"5"	"15"	"100044"	"5"	"30,30,30,30,30,30,30,30,30"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25013040"	
"101306"	"1,9310,2,5512,0,124950,8,2205,10,2205,12,2205"	"100043"	"6"	"18"	"100044"	"6"	"36,36,36,36,36,36,36,36,36"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25013050"	
"101307"	"1,11687,2,6919,0,156853,8,2767,10,2767,12,2767"	"100043"	"7"	"28"	"100044"	"7"	"49,49,49,49,49,49,49,49,49"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25013060"	
"101308"	"1,14064,2,8327,0,188755,8,3330,10,3330,12,3330"	"100043"	"8"	"32"	"100044"	"8"	"56,56,56,56,56,56,56,56,56"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25013070"	
"101309"	"1,16837,2,9969,0,225975,8,3987,10,3987,12,3987"	"100043"	"9"	"36"	"100044"	"9"	"72,72,72,72,72,72,72,72,72"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25013080"	
"101310"	"1,19808,2,11728,0,265852,8,4691,10,4691,12,4691"	"100043"	"0"	"0"	"100044"	"10"	"80,80,80,80,80,80,80,80,80"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25013090"	
"101401"	"1,389,2,93,0,5051,8,79,16,79,18,79"	"100043"	"1"	"2"	"100044"	"1"	"2,2,2,2,2,2,2,2,2"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25014000"	
"101402"	"1,1605,2,383,0,20799,8,328,16,328,18,328"	"100043"	"2"	"4"	"100044"	"2"	"6,6,6,6,6,6,6,6,6"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25014010"	
"101403"	"1,3440,2,821,0,44569,8,703,16,703,18,703"	"100043"	"3"	"6"	"100044"	"3"	"12,12,12,12,12,12,12,12,12"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25014020"	
"101404"	"1,5734,2,1368,0,74282,8,1172,16,1172,18,1172"	"100043"	"4"	"12"	"100044"	"4"	"20,20,20,20,20,20,20,20,20"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25014030"	
"101405"	"1,8257,2,1970,0,106966,8,1688,16,1688,18,1688"	"100043"	"5"	"15"	"100044"	"5"	"30,30,30,30,30,30,30,30,30"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25014040"	
"101406"	"1,10780,2,2572,0,139650,8,2205,16,2205,18,2205"	"100043"	"6"	"18"	"100044"	"6"	"36,36,36,36,36,36,36,36,36"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25014050"	
"101407"	"1,13532,2,3229,0,175306,8,2767,16,2767,18,2767"	"100043"	"7"	"28"	"100044"	"7"	"49,49,49,49,49,49,49,49,49"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25014060"	
"101408"	"1,16284,2,3886,0,210962,8,3330,16,3330,18,3330"	"100043"	"8"	"32"	"100044"	"8"	"56,56,56,56,56,56,56,56,56"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25014070"	
"101409"	"1,19495,2,4652,0,252560,8,3987,16,3987,18,3987"	"100043"	"9"	"36"	"100044"	"9"	"72,72,72,72,72,72,72,72,72"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25014080"	
"101410"	"1,22936,2,5473,0,297129,8,4691,16,4691,18,4691"	"100043"	"0"	"0"	"100044"	"10"	"80,80,80,80,80,80,80,80,80"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25014090"	
"101501"	"1,265,2,146,0,7709,16,79,14,79,18,79"	"100043"	"1"	"2"	"100044"	"1"	"2,2,2,2,2,2,2,2,2"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25015000"	
"101502"	"1,1094,2,602,0,31745,16,328,14,328,18,328"	"100043"	"2"	"4"	"100044"	"2"	"6,6,6,6,6,6,6,6,6"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25015010"	
"101503"	"1,2345,2,1290,0,68027,16,703,14,703,18,703"	"100043"	"3"	"6"	"100044"	"3"	"12,12,12,12,12,12,12,12,12"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25015020"	
"101504"	"1,3909,2,2150,0,113378,16,1172,14,1172,18,1172"	"100043"	"4"	"12"	"100044"	"4"	"20,20,20,20,20,20,20,20,20"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25015030"	
"101505"	"1,5629,2,3096,0,163264,16,1688,14,1688,18,1688"	"100043"	"5"	"15"	"100044"	"5"	"30,30,30,30,30,30,30,30,30"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25015040"	
"101506"	"1,7350,2,4042,0,213151,16,2205,14,2205,18,2205"	"100043"	"6"	"18"	"100044"	"6"	"36,36,36,36,36,36,36,36,36"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25015050"	
"101507"	"1,9226,2,5074,0,267573,16,2767,14,2767,18,2767"	"100043"	"7"	"28"	"100044"	"7"	"49,49,49,49,49,49,49,49,49"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25015060"	
"101508"	"1,11103,2,6106,0,321994,16,3330,14,3330,18,3330"	"100043"	"8"	"32"	"100044"	"8"	"56,56,56,56,56,56,56,56,56"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25015070"	
"101509"	"1,13292,2,7310,0,385486,16,3987,14,3987,18,3987"	"100043"	"9"	"36"	"100044"	"9"	"72,72,72,72,72,72,72,72,72"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25015080"	
"101510"	"1,15638,2,8601,0,453513,16,4691,14,4691,18,4691"	"100043"	"0"	"0"	"100044"	"10"	"80,80,80,80,80,80,80,80,80"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25015090"	
