"判定ID"	"描述"	"效果位0x01：结算伤害，0x02：结算buff/debuff"	"区域类型1.选中目标2.原点处圆形范围加偏移圆形半径,正向偏移,左向偏移3.选中目标点处圆形范围圆形半径4.原点前方扇形范围扇形外径,左偏移角，右偏移角,扇形内径，顶点偏移5.原点前方一定距离的长条形区域长度,宽度,偏移,旋转角度(逆时针)6.选中目标点前方一定距离的长条形区域长度,宽度7.从原点到选中目标点的长条形区域宽度"	"区域参数1"	"区域参数2"	"区域参数3"	"区域参数4"	"区域参数5"	"判定延迟时间（ms）"	"目标个数上限AOE技能可攻击的最大目标个数"	"范围搜索的逻辑规则0=1次结算；1=把判定区域按照距离分成n等分，依次结算；2=把判定区域按照距离分成n等分，依次叠加结算；3=在判定区域内按照时间平滑过渡结算"	"范围搜索顺序如果搜索逻辑规则不是0，则0=从近及远进行搜索；1=由远及近进行搜索"	"范围搜索间隔如果范围搜索逻辑规则是1或2，那么就是范围搜索的时间间隔；如果范围搜索逻辑规则是3，那么就是整个平滑搜索的时间，单位ms"	"范围搜索次数"	"受击表现效果ID"	"死亡时[碎尸几率,击飞几率]<=1，都填0时播放死亡动画"	"伤害-击退类型0:普通击退1:挤开2:拉到周围"	"伤害-击退几率(0-1)"	"伤害-击退距离最小值单位m"	"伤害-击退距离最大值单位m"	"击中产生buff1"	"击中产生buff2"	"击中产生buff3"	"buff1产生几率"	"buff2产生几率"	"buff3产生几率"	"物理力类型0=无，1=左切线,2=右切线,3=方向,4=爆炸//"	"力大小"	"力偏移角度"	"力校正(Y),提供向上方向打飞的力"	"力高度0=上1=中2=下"	"反向力(上)取值为0.0到1.0,表示百分比"	"反向力(中)取值为0.0到1.0,表示百分比"	"反向力(下)取值为0.0到1.0,表示百分比"	"是否必中"	"技能伤害百分比"	"技能伤害固定值"	"属性伤害类型0=物理，1=火，2=水，3=风，4=土"	"技能伤害百分比-等级修正"	"技能伤害固定值-等级修正"	""	
"11002020"	"十方天音每次伤害"	"3"	"5"	"14.000000"	"4.400000"	"0.000000"	"0.000000"	"0.000000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"530.000000"	"0.000000"	"1.400000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"62"	"1860"	"2"	"[[2,300,0]]"	"[[2,60,17],[61,80,37],[81,100,79],[101,120,128],[121,150,220],[151,200,601],[201,250,864],[251,300,1033]]"	""	
"11002021"	"十方天音每次伤害"	"3"	"5"	"14.000000"	"4.400000"	"0.000000"	"0.000000"	"0.000000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"530.000000"	"0.000000"	"1.400000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"62"	"1860"	"2"	"[[2,300,0]]"	"[[2,60,17],[61,80,37],[81,100,79],[101,120,128],[121,150,220],[151,200,601],[201,250,864],[251,300,1033]]"	""	
"11002022"	"十方天音每次伤害"	"3"	"5"	"14.000000"	"4.400000"	"0.000000"	"0.000000"	"0.000000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"530.000000"	"0.000000"	"1.400000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"62"	"1860"	"2"	"[[2,300,0]]"	"[[2,60,17],[61,80,37],[81,100,79],[101,120,128],[121,150,220],[151,200,601],[201,250,864],[251,300,1033]]"	""	
"11002031"	"沧海龙吟每次伤害"	"3"	"2"	"6.000000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"8"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"10020550"	"100"	"-1"	"1.000000"	"1.000000"	"1.000000"	"4"	"630.000000"	"0.000000"	"1.500000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"40"	"1200"	"2"	"[[2,300,0]]"	"[[2,60,11],[61,80,24],[81,100,51],[101,120,82],[121,150,142],[151,200,387],[201,250,557],[251,300,666]]"	""	
"11003001"	"普庵咒伤害"	"3"	"3"	"1.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"325.000000"	"0.000000"	"1.100000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"51"	"5100"	"0"	"[[2,300,0]]"	"[[2,60,14],[61,80,30],[81,100,65],[101,120,105],[121,150,181],[151,200,494],[201,250,711],[251,300,849]]"	""	
"11003003"	"普庵咒伤害"	"3"	"3"	"1.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"325.000000"	"0.000000"	"1.100000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"51"	"5100"	"0"	"[[2,300,0]]"	"[[2,60,14],[61,80,30],[81,100,65],[101,120,105],[121,150,181],[151,200,494],[201,250,711],[251,300,849]]"	""	
"11003005"	"普庵咒伤害"	"3"	"3"	"4.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"390.000000"	"0.000000"	"1.100000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"102"	"10200"	"0"	"[[2,300,0]]"	"[[2,60,28],[61,80,61],[81,100,130],[101,120,210],[121,150,362],[151,200,989],[201,250,1422],[251,300,1700]]"	""	
"11003011"	"风雷引爆炸伤害"	"3"	"3"	"3.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"4"	"420.000000"	"0.000000"	"1.200000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"187"	"18700"	"2"	"[[2,300,0]]"	"[[2,60,52],[61,80,112],[81,100,239],[101,120,386],[121,150,664],[151,200,1813],[201,250,2607],[251,300,3116]]"	""	
"11003020"	"十方天音每次伤害"	"3"	"5"	"14.000000"	"4.400000"	"0.000000"	"0.000000"	"0.000000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"530.000000"	"0.000000"	"1.400000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"63"	"6300"	"2"	"[[2,300,0]]"	"[[2,60,17],[61,80,37],[81,100,80],[101,120,130],[121,150,224],[151,200,611],[201,250,878],[251,300,1050]]"	""	
"11003021"	"十方天音每次伤害"	"3"	"5"	"14.000000"	"4.400000"	"0.000000"	"0.000000"	"0.000000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"530.000000"	"0.000000"	"1.400000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"63"	"6300"	"2"	"[[2,300,0]]"	"[[2,60,17],[61,80,37],[81,100,80],[101,120,130],[121,150,224],[151,200,611],[201,250,878],[251,300,1050]]"	""	
"11003022"	"十方天音每次伤害"	"3"	"5"	"14.000000"	"4.400000"	"0.000000"	"0.000000"	"0.000000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"530.000000"	"0.000000"	"1.400000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"63"	"6300"	"2"	"[[2,300,0]]"	"[[2,60,17],[61,80,37],[81,100,80],[101,120,130],[121,150,224],[151,200,611],[201,250,878],[251,300,1050]]"	""	
"11003031"	"沧海龙吟每次伤害"	"3"	"2"	"6.000000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"8"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"10020550"	"100"	"-1"	"1.000000"	"1.000000"	"1.000000"	"4"	"630.000000"	"0.000000"	"1.500000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"41"	"4100"	"2"	"[[2,300,0]]"	"[[2,60,11],[61,80,24],[81,100,52],[101,120,84],[121,150,145],[151,200,397],[201,250,571],[251,300,683]]"	""	
"11100001"	"普庵咒伤害"	"3"	"3"	"1.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0"	"0"	"0"	"0"	"zhujue_yj_2hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"325.000000"	"0.000000"	"1.100000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"48"	"48"	"0"	"[[2,300,0]]"	"[[2,60,13],[61,80,28],[81,100,61],[101,120,99],[121,150,170],[151,200,465],[201,250,669],[251,300,799]]"	""	
"11100003"	"普庵咒伤害"	"3"	"3"	"1.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0"	"0"	"0"	"0"	"zhujue_yj_2hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"325.000000"	"0.000000"	"1.100000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"48"	"48"	"0"	"[[2,300,0]]"	"[[2,60,13],[61,80,28],[81,100,61],[101,120,99],[121,150,170],[151,200,465],[201,250,669],[251,300,799]]"	""	
"11100005"	"普庵咒伤害"	"3"	"3"	"4.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0"	"0"	"0"	"0"	"zhujue_yj_2hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"390.000000"	"0.000000"	"1.100000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"96"	"96"	"0"	"[[2,300,0]]"	"[[2,60,26],[61,80,57],[81,100,122],[101,120,198],[121,150,341],[151,200,931],[201,250,1338],[251,300,1600]]"	""	
"11100011"	"风雷引爆炸伤害"	"3"	"3"	"2.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_yj_2hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"4"	"420.000000"	"0.000000"	"1.200000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"175"	"175"	"2"	"[[2,300,0]]"	"[[2,60,49],[61,80,105],[81,100,224],[101,120,361],[121,150,622],[151,200,1697],[201,250,2440],[251,300,2916]]"	""	
"11100020"	"十方天音每次伤害"	"3"	"5"	"14.000000"	"3.600000"	"0.000000"	"0.000000"	"0.000000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_yj_2hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"530.000000"	"0.000000"	"1.400000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"60"	"60"	"2"	"[[2,300,0]]"	"[[2,60,16],[61,80,36],[81,100,76],[101,120,124],[121,150,213],[151,200,581],[201,250,836],[251,300,999]]"	""	
"11100021"	"十方天音每次伤害"	"3"	"5"	"14.000000"	"3.600000"	"0.000000"	"0.000000"	"0.000000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_yj_2hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"530.000000"	"0.000000"	"1.400000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"60"	"60"	"2"	"[[2,300,0]]"	"[[2,60,16],[61,80,36],[81,100,76],[101,120,124],[121,150,213],[151,200,581],[201,250,836],[251,300,999]]"	""	
"11100022"	"十方天音每次伤害"	"3"	"5"	"14.000000"	"3.600000"	"0.000000"	"0.000000"	"0.000000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_yj_2hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"530.000000"	"0.000000"	"1.400000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"60"	"60"	"2"	"[[2,300,0]]"	"[[2,60,16],[61,80,36],[81,100,76],[101,120,124],[121,150,213],[151,200,581],[201,250,836],[251,300,999]]"	""	
"11100031"	"沧海龙吟每次伤害"	"3"	"2"	"6.000000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"8"	"0"	"0"	"0"	"0"	"zhujue_yj_2hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"10020550"	"100"	"-1"	"1.000000"	"1.000000"	"1.000000"	"4"	"630.000000"	"0.000000"	"1.500000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"38"	"38"	"2"	"[[2,300,0]]"	"[[2,60,10],[61,80,22],[81,100,48],[101,120,78],[121,150,135],[151,200,368],[201,250,529],[251,300,633]]"	""	
"11101001"	"普庵咒伤害"	"3"	"3"	"1.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0"	"0"	"0"	"0"	"zhujue_yj_3hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"325.000000"	"0.000000"	"1.100000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"49"	"490"	"0"	"[[2,300,0]]"	"[[2,60,13],[61,80,29],[81,100,62],[101,120,101],[121,150,174],[151,200,475],[201,250,683],[251,300,816]]"	""	
"11101003"	"普庵咒伤害"	"3"	"3"	"1.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0"	"0"	"0"	"0"	"zhujue_yj_3hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"325.000000"	"0.000000"	"1.100000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"49"	"490"	"0"	"[[2,300,0]]"	"[[2,60,13],[61,80,29],[81,100,62],[101,120,101],[121,150,174],[151,200,475],[201,250,683],[251,300,816]]"	""	
"11101005"	"普庵咒伤害"	"3"	"3"	"4.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0"	"0"	"0"	"0"	"zhujue_yj_3hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"390.000000"	"0.000000"	"1.100000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"98"	"980"	"0"	"[[2,300,0]]"	"[[2,60,27],[61,80,58],[81,100,125],[101,120,202],[121,150,348],[151,200,950],[201,250,1366],[251,300,1633]]"	""	
"11101011"	"风雷引爆炸伤害"	"3"	"3"	"2.800000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_yj_3hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"4"	"420.000000"	"0.000000"	"1.200000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"179"	"1790"	"2"	"[[2,300,0]]"	"[[2,60,50],[61,80,107],[81,100,229],[101,120,369],[121,150,636],[151,200,1736],[201,250,2496],[251,300,2983]]"	""	
"11101020"	"十方天音每次伤害"	"3"	"5"	"14.000000"	"4.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_yj_3hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"530.000000"	"0.000000"	"1.400000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"61"	"610"	"2"	"[[2,300,0]]"	"[[2,60,17],[61,80,36],[81,100,78],[101,120,126],[121,150,216],[151,200,591],[201,250,850],[251,300,1016]]"	""	
"11101021"	"十方天音每次伤害"	"3"	"5"	"14.000000"	"4.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_yj_3hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"530.000000"	"0.000000"	"1.400000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"61"	"610"	"2"	"[[2,300,0]]"	"[[2,60,17],[61,80,36],[81,100,78],[101,120,126],[121,150,216],[151,200,591],[201,250,850],[251,300,1016]]"	""	
"11101022"	"十方天音每次伤害"	"3"	"5"	"14.000000"	"4.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_yj_3hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"530.000000"	"0.000000"	"1.400000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"61"	"610"	"2"	"[[2,300,0]]"	"[[2,60,17],[61,80,36],[81,100,78],[101,120,126],[121,150,216],[151,200,591],[201,250,850],[251,300,1016]]"	""	
"11101031"	"沧海龙吟每次伤害"	"3"	"2"	"6.000000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"8"	"0"	"0"	"0"	"0"	"zhujue_yj_3hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"10020550"	"100"	"-1"	"1.000000"	"1.000000"	"1.000000"	"4"	"630.000000"	"0.000000"	"1.500000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"39"	"390"	"2"	"[[2,300,0]]"	"[[2,60,10],[61,80,23],[81,100,49],[101,120,80],[121,150,138],[151,200,378],[201,250,543],[251,300,650]]"	""	
"11102001"	"普庵咒伤害"	"3"	"3"	"1.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"325.000000"	"0.000000"	"1.100000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"50"	"1500"	"0"	"[[2,300,0]]"	"[[2,60,14],[61,80,30],[81,100,64],[101,120,103],[121,150,177],[151,200,484],[201,250,697],[251,300,833]]"	""	
"11102003"	"普庵咒伤害"	"3"	"3"	"1.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"325.000000"	"0.000000"	"1.100000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"50"	"1500"	"0"	"[[2,300,0]]"	"[[2,60,14],[61,80,30],[81,100,64],[101,120,103],[121,150,177],[151,200,484],[201,250,697],[251,300,833]]"	""	
"11102005"	"普庵咒伤害"	"3"	"3"	"4.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"390.000000"	"0.000000"	"1.100000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"100"	"3000"	"0"	"[[2,300,0]]"	"[[2,60,28],[61,80,60],[81,100,128],[101,120,206],[121,150,355],[151,200,969],[201,250,1394],[251,300,1666]]"	""	
"11102011"	"风雷引爆炸伤害"	"3"	"3"	"3.100000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"4"	"420.000000"	"0.000000"	"1.200000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"183"	"5490"	"2"	"[[2,300,0]]"	"[[2,60,51],[61,80,109],[81,100,234],[101,120,378],[121,150,650],[151,200,1775],[201,250,2551],[251,300,3050]]"	""	
"11102020"	"十方天音每次伤害"	"3"	"5"	"14.000000"	"4.400000"	"0.000000"	"0.000000"	"0.000000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"530.000000"	"0.000000"	"1.400000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"62"	"1860"	"2"	"[[2,300,0]]"	"[[2,60,17],[61,80,37],[81,100,79],[101,120,128],[121,150,220],[151,200,601],[201,250,864],[251,300,1033]]"	""	
"11102021"	"十方天音每次伤害"	"3"	"5"	"14.000000"	"4.400000"	"0.000000"	"0.000000"	"0.000000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"530.000000"	"0.000000"	"1.400000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"62"	"1860"	"2"	"[[2,300,0]]"	"[[2,60,17],[61,80,37],[81,100,79],[101,120,128],[121,150,220],[151,200,601],[201,250,864],[251,300,1033]]"	""	
"11102022"	"十方天音每次伤害"	"3"	"5"	"14.000000"	"4.400000"	"0.000000"	"0.000000"	"0.000000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"530.000000"	"0.000000"	"1.400000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"62"	"1860"	"2"	"[[2,300,0]]"	"[[2,60,17],[61,80,37],[81,100,79],[101,120,128],[121,150,220],[151,200,601],[201,250,864],[251,300,1033]]"	""	
"11102031"	"沧海龙吟每次伤害"	"3"	"2"	"6.000000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"8"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"10020550"	"100"	"-1"	"1.000000"	"1.000000"	"1.000000"	"4"	"630.000000"	"0.000000"	"1.500000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"40"	"1200"	"2"	"[[2,300,0]]"	"[[2,60,11],[61,80,24],[81,100,51],[101,120,82],[121,150,142],[151,200,387],[201,250,557],[251,300,666]]"	""	
"11103001"	"普庵咒伤害"	"3"	"3"	"1.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"325.000000"	"0.000000"	"1.100000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"51"	"5100"	"0"	"[[2,300,0]]"	"[[2,60,14],[61,80,30],[81,100,65],[101,120,105],[121,150,181],[151,200,494],[201,250,711],[251,300,849]]"	""	
"11103003"	"普庵咒伤害"	"3"	"3"	"1.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"325.000000"	"0.000000"	"1.100000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"51"	"5100"	"0"	"[[2,300,0]]"	"[[2,60,14],[61,80,30],[81,100,65],[101,120,105],[121,150,181],[151,200,494],[201,250,711],[251,300,849]]"	""	
"11103005"	"普庵咒伤害"	"3"	"3"	"4.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"390.000000"	"0.000000"	"1.100000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"102"	"10200"	"0"	"[[2,300,0]]"	"[[2,60,28],[61,80,61],[81,100,130],[101,120,210],[121,150,362],[151,200,989],[201,250,1422],[251,300,1700]]"	""	
"11103011"	"风雷引爆炸伤害"	"3"	"3"	"3.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"4"	"420.000000"	"0.000000"	"1.200000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"187"	"18700"	"2"	"[[2,300,0]]"	"[[2,60,52],[61,80,112],[81,100,239],[101,120,386],[121,150,664],[151,200,1813],[201,250,2607],[251,300,3116]]"	""	
"11103020"	"十方天音每次伤害"	"3"	"5"	"14.000000"	"4.400000"	"0.000000"	"0.000000"	"0.000000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_yj_4hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"530.000000"	"0.000000"	"1.400000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"63"	"6300"	"2"	"[[2,300,0]]"	"[[2,60,17],[61,80,37],[81,100,80],[101,120,130],[121,150,224],[151,200,611],[201,250,878],[251,300,1050]]"	""	
