"子弹ID"	"描述"	"目标类型1.选中目标点（选点技能）2.选中目标方向固定距离的点（选点技能）距离3.选中原点处圆形范围内随机一个点（选点技能）范围半径4.选中目标点处圆形范围内随机一个点（选点技能）范围半径5.选择目标方向带方向偏移（子弹类技能）偏移角度6.选择目标方向随机方向偏移（子弹类技能）范围参数1（向左偏移角度一般为正数）范围参数2（向右偏移角度一般为负数）7.选中目标方向固定距离点带方向偏移（选点技能）距离偏移角度8.选中目标方向固定距离点随机方向偏移（选点技能）距离范围参数1范围参数2"	"目标参数1"	"目标参数2"	"目标参数3"	"产生方式0=平行1=扇形2=追踪3=随机曲线"	"产生数量"	"子弹空间间隔如果产生方式是0，则填入距离；如果产生方式是1，则填入角度"	"飞行曲线bezier曲线id-1表示直线1=2=3=4="	"最大飞行距离（m）"	"飞行速度（m/s）"	"碰撞后产生技能ID"	"最大碰撞次数"	"到最大距离是否产生效果"	"产生挂点定子弹飞出的高度挂点专人专用，绝不可复制"	"子弹产生挂点(坐标z,x,y)"	"子弹大小子弹的判定半径"	"只造成一次伤害"	"(全局)只造成一次伤害"	"生效延迟时间（ms）"	"子弹附加光环"	"掩码0x01=不产生碰撞"	"特效"	"消失表现"	"模型缩小比例"	
"35001803"	"女刺客普攻四周aoe"	"6"	"180.000000"	"-180.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"20.000000"	"35001809"	"10"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"800"	"0"	"0"	"1036_attack1_e.prefab"	""	"1.000000"	
"35001804"	"女刺客普攻四周aoe"	"6"	"180.000000"	"-180.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"20.000000"	"35001809"	"10"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"900"	"0"	"0"	"1036_attack1_e.prefab"	""	"1.000000"	
"35001805"	"女刺客普攻四周aoe"	"6"	"180.000000"	"-180.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"20.000000"	"35001809"	"10"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"800"	"0"	"0"	"1036_attack1_e.prefab"	""	"1.000000"	
"35001806"	"女刺客普攻四周aoe"	"6"	"180.000000"	"-180.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"20.000000"	"35001809"	"10"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"900"	"0"	"0"	"1036_attack1_e.prefab"	""	"1.000000"	
"35001930"	"黑龙堡主乱舞"	"6"	"120.000000"	"-120.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"25.000000"	"35001939"	"10"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"0"	"0"	"0"	"1051_attack4_6.prefab"	""	"1.000000"	
"35001931"	"黑龙堡主乱舞"	"6"	"120.000000"	"-120.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"25.000000"	"35001939"	"10"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"267"	"0"	"0"	"1051_attack4_6.prefab"	""	"1.000000"	
"35001932"	"黑龙堡主乱舞"	"6"	"120.000000"	"-120.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"25.000000"	"35001939"	"10"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"633"	"0"	"0"	"1051_attack4_6.prefab"	""	"1.000000"	
"35001933"	"黑龙堡主乱舞"	"6"	"120.000000"	"-120.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"25.000000"	"35001939"	"10"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"900"	"0"	"0"	"1051_attack4_6.prefab"	""	"1.000000"	
"35001934"	"黑龙堡主乱舞"	"6"	"120.000000"	"-120.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"25.000000"	"35001939"	"10"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"1467"	"0"	"0"	"1051_attack4_6.prefab"	""	"1.000000"	
"35002000"	"古琴女普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"3"	"30.000000"	"-1"	"25.000000"	"25.000000"	"35002009"	"10"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1044_attack1_c.prefab"	""	"1.000000"	
"35002001"	"古琴女普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"3"	"30.000000"	"-1"	"25.000000"	"25.000000"	"35002009"	"10"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"467"	"0"	"0"	"1044_attack1_c.prefab"	""	"1.000000"	
"35002002"	"古琴女普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"5"	"20.000000"	"-1"	"25.000000"	"25.000000"	"35002009"	"10"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"1333"	"0"	"0"	"1044_attack1_c.prefab"	""	"1.000000"	
"35002030"	"古琴女乱舞"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"5"	"30.000000"	"-1"	"25.000000"	"15.000000"	"35002039"	"10"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1044_attack4_3.prefab"	""	"1.000000"	
"35002031"	"古琴女乱舞"	"5"	"90.000000"	"0.000000"	"0.000000"	"1"	"5"	"30.000000"	"-1"	"25.000000"	"15.000000"	"35002039"	"10"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"367"	"0"	"0"	"1044_attack4_3.prefab"	""	"1.000000"	
"35002032"	"古琴女乱舞"	"5"	"180.000000"	"0.000000"	"0.000000"	"1"	"5"	"30.000000"	"-1"	"25.000000"	"15.000000"	"35002039"	"10"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"767"	"0"	"0"	"1044_attack4_3.prefab"	""	"1.000000"	
"35002033"	"古琴女乱舞"	"5"	"270.000000"	"0.000000"	"0.000000"	"1"	"5"	"30.000000"	"-1"	"25.000000"	"15.000000"	"35002039"	"10"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"900"	"0"	"0"	"1044_attack4_3.prefab"	""	"1.000000"	
"35002034"	"古琴女乱舞"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"5"	"30.000000"	"-1"	"25.000000"	"15.000000"	"35002039"	"10"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"1267"	"0"	"0"	"1044_attack4_3.prefab"	""	"1.000000"	
"35002035"	"古琴女乱舞"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"10"	"36.000000"	"-1"	"25.000000"	"15.000000"	"35002039"	"10"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"1667"	"0"	"0"	"1044_attack4_3.prefab"	""	"1.000000"	
"35003000"	"神官女普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"3"	"30.000000"	"-1"	"25.000000"	"25.000000"	"35003009"	"10"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1060b_attack1_d.prefab"	""	"1.000000"	
"35003001"	"神官女普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"3"	"30.000000"	"-1"	"25.000000"	"25.000000"	"35003009"	"10"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"667"	"0"	"0"	"1060b_attack1_d.prefab"	""	"1.000000"	
"35003002"	"神官女普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"5"	"20.000000"	"-1"	"25.000000"	"25.000000"	"35003009"	"10"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"1433"	"0"	"0"	"1060b_attack1_d.prefab"	""	"1.000000"	
"35003020"	"神官女扇形子弹"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"3"	"30.000000"	"-1"	"25.000000"	"25.000000"	"35003029"	"10"	"0"	"t_hit"	"0,0,0"	"3.000000"	"0"	"0"	"0"	"0"	"0"	"1060b_attack3_4.prefab"	""	"1.000000"	
"35003021"	"神官女扇形子弹"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"3"	"30.000000"	"-1"	"25.000000"	"25.000000"	"35003029"	"10"	"0"	"t_hit"	"0,0,0"	"3.000000"	"0"	"0"	"333"	"0"	"0"	"1060b_attack3_4.prefab"	""	"1.000000"	
"35003022"	"神官女扇形子弹"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"5"	"20.000000"	"-1"	"25.000000"	"25.000000"	"35003029"	"10"	"0"	"t_hit"	"0,0,0"	"3.000000"	"0"	"0"	"700"	"0"	"0"	"1060b_attack3_4.prefab"	""	"1.000000"	
"35003023"	"神官女扇形子弹"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"3"	"30.000000"	"-1"	"25.000000"	"25.000000"	"35003029"	"10"	"0"	"t_hit"	"0,0,0"	"3.000000"	"0"	"0"	"1067"	"0"	"0"	"1060b_attack3_4.prefab"	""	"1.000000"	
"35003024"	"神官女扇形子弹"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"3"	"30.000000"	"-1"	"25.000000"	"25.000000"	"35003029"	"10"	"0"	"t_hit"	"0,0,0"	"3.000000"	"0"	"0"	"1433"	"0"	"0"	"1060b_attack3_4.prefab"	""	"1.000000"	
"35003025"	"神官女扇形子弹"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"5"	"20.000000"	"-1"	"25.000000"	"25.000000"	"35003029"	"10"	"0"	"t_hit"	"0,0,0"	"3.000000"	"0"	"0"	"1833"	"0"	"0"	"1060b_attack3_4.prefab"	""	"1.000000"	
"40000200"	"飞贼普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"40000201"	"1"	"0"	"Bip001LHand"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1014_attack1.prefab"	""	"1.200000"	
"40000210"	"飞贼扇形扔飞刀"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"3"	"20.000000"	"-1"	"17.000000"	"27.000000"	"40000211"	"1"	"0"	"Bip001LHand"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1014_attack1.prefab"	""	"1.200000"	
"40000300"	"云锦弟子普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"40000301"	"1"	"0"	"Bip001LHand"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1023_attack1.prefab"	""	"1.000000"	
"40000310"	"云锦弟子吹牛逼笛子"	"5"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"40000311"	"1"	"0"	"Bip001LHand"	"0,0,0"	"0.700000"	"0"	"0"	"0"	"0"	"0"	"1023_attack2.prefab"	""	"1.000000"	
"40000311"	"云锦弟子吹牛逼笛子"	"5"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0.000000"	"-1"	"17.000000"	"27.000000"	"40000311"	"1"	"0"	"Bip001LHand"	"0,0,0"	"0.500000"	"0"	"0"	"300"	"0"	"0"	"1023_attack2.prefab"	""	"1.000000"	
"40000312"	"云锦弟子吹牛逼笛子"	"5"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0.000000"	"-1"	"17.000000"	"27.000000"	"40000311"	"1"	"0"	"Bip001LHand"	"0,0,0"	"0.500000"	"0"	"0"	"600"	"0"	"0"	"1023_attack2.prefab"	""	"1.000000"	
"40000500"	"邪道士普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"40000501"	"1"	"0"	"Bip001RHand"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1023_attack2.prefab"	""	"1.000000"	
"40000510"	"邪道士猛甩"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"40000512"	"1"	"0"	"Bip001RHand"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1023_attack2.prefab"	""	"1.000000"	
"40000511"	"邪道士猛甩"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"40000512"	"1"	"0"	"Bip001RHand"	"0,0,0"	"0.500000"	"0"	"0"	"200"	"0"	"0"	"1023_attack2.prefab"	""	"1.000000"	
"40001600"	"宦官普攻远程"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"40001601"	"1"	"0"	"Bone001"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1027_attack1.prefab"	""	"1.000000"	
"40001610"	"宦官普攻远程"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"40001611"	"1"	"0"	"Bip001LHand"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1027_attack1.prefab"	""	"1.000000"	
"40002000"	"太监普攻远程"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"40002001"	"1"	"0"	"Bone001"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1027_attack1.prefab"	""	"1.000000"	
"40002010"	"太监推掌远程"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"40002011"	"1"	"0"	"Bip001LHand"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1027_attack1.prefab"	""	"1.000000"	
"70002100"	"帮会战外塔射箭"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"99.000000"	"40.000000"	"70002101"	"1"	"0"	"t_shoot"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1406_attack1_b.prefab"	""	"1.000000"	
"70002110"	"帮会战内塔射箭"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"99.000000"	"40.000000"	"70002111"	"1"	"0"	"t_shoot"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1406_attack1_b.prefab"	""	"1.000000"	
