"性格ID"	"备注"	"进战斗随机延迟(单位：ms)"	"锁敌距离(单位：米)如果是机关，则锁敌和清除仇恨距离必须小于攻击距离"	"锁敌是否包含全场景内的玩家"	"锁敌是否包含全场景内的指定NPC"	"锁敌指定NPC的类型"	"恐吓几率（10000=%100）"	"恐吓时间（单位：ms）"	"恐吓施放距离（单位：米）"	"在绕敌圈内绕敌几率（10000=%100）"	"在绕地圈外绕敌几率（10000=%100）"	"绕敌动画时间（单位：ms）"	"强制每次绕敌重选绕敌点"	"绕敌圈半径（单位：米）"	"绕敌圈角度（单位：度）"	"绕敌超时时间（单位：ms）"	"攻击间隔"	"技能cd时追敌距离（停止在拒敌x米处）"	"行动选择超时（单位：ms）"	"追敌时间（单位：ms）"	"归位距离（单位：米）"	"清楚仇恨距离（单位：米）"	"加速追敌距离"	"加速追敌速度"	"加速绕敌速度"	"脱战不满血"	"脱战不清伤害信息"	
"500000"	"华山论剑怪性格"	""	"0"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"150000"	"20"	"20"	"0,0"	""	""	""	""	
"500001"	"近战_绕敌_追敌15米"	""	"1000"	"0"	"0"	""	"0"	"0,0"	"0,0"	"2000"	"3000"	"1000,2000"	"1"	"0,3"	"-240,240"	"10000,12000"	"200,300"	"2"	"2000,3000"	"150000"	"15"	"15"	"0,0"	""	""	""	""	
"500002"	"远程_无绕敌_追敌20米"	""	"1000"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"10"	"2000,3000"	"200000"	"20"	"20"	"0,0"	""	""	""	""	
"30000000"	"英雄、BOSS性格（ID与Ability相同）"	""	"0"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"150000"	"20"	"20"	"0,0"	""	""	""	""	
"30004000"	"黄蓉"	""	"12"	"1"	"1"	""	"0"	"0,0"	"0,0"	"5000"	"10000"	"1000,2000"	"1"	"0,6"	"-240,240"	"1000,2000"	"200,300"	"2"	"2000,3000"	"1000000"	"40"	"40"	"0,0"	""	""	""	""	
"30007000"	"梅超风"	""	"12"	"1"	"1"	""	"0"	"0,0"	"0,0"	"5000"	"10000"	"1000,2000"	"1"	"0,6"	"-240,240"	"1000,2000"	"200,300"	"2"	"2000,3000"	"1000000"	"40"	"40"	"0,0"	""	""	""	""	
"30013000"	"裘千仞"	""	"10"	"1"	"1"	""	"5000"	"2000,3000"	"5,10"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"300000"	"25"	"25"	"15,25"	""	""	""	""	
"30014000"	"周伯通"	""	"12"	"1"	"1"	""	"0"	"0,0"	"0,0"	"5000"	"10000"	"1000,2000"	"1"	"0,6"	"-240,240"	"10000,12000"	"200,300"	"2"	"2000,3000"	"1000000"	"40"	"40"	"0,0"	""	""	""	""	
"30017000"	"一灯大师"	""	"10"	"1"	"1"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"300000"	"20"	"20"	"0,0"	""	""	""	""	
"30020000"	"梅超风"	""	"10"	"1"	"1"	""	"5000"	"2000,3000"	"5,10"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"300000"	"25"	"25"	"15,25"	""	""	""	""	
"30204000"	"恶僧"	""	"10"	"1"	"1"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"4"	"2000,3000"	"300000"	"20"	"20"	"0,0"	""	""	""	""	
