"索引数字ID"	"名称（策划内部使用）"	"显示名称"	"类型0:怪1:npc2:可破坏物件3:静物4:采集物5.护送目标6.多人坐骑7.侍从"	"显示等级"	"初始化数值"	"显示头像"	"怪类型(0=普通怪,1=精英怪,2=稀有怪,3=首领怪,4=超级首领怪)"	"boss血条数"	"称谓"	"是否显示名称"	"是否显示npc/怪物血条该字段优先级大于游戏设置面板中的【显示怪物生命条】"	"是否可见"	"刚体特性.位移"	"选取特性.鼠标"	"选取特性.技能(是否可以被选中攻击目标，即是否无敌）"	"角色模型"	"缩放"	"模型放大的比率"	"移动速度"	"空闲速度"	"尺寸对位"	"技能判断点围绕着怪物进行分布。填100开头的代表两层，1000开头代表有3层"	"普通掉落"	"boss掉落(索引到BossDropConfig表)"	"掉落半径"	"屏蔽世界掉落"	"是否主动攻击"	"初始化阵营"	"ADD距离/静物触发距离"	"ADD数量/静物点击触发技能/采集物采集技能(采集距离和读条时间都由技能控制)"	"ADD延迟/采集物获得物品掉落ID"	"ADD开关（是否需要ADD别人）"	"被ADD开关（可否被ADD）"	"出生时检测是否需被ADD(用于控制怪物出生时是否寻找周围的盟友并触发进入战斗)"	"闲聊"	"交互类型（影响鼠标样式）0，无交互；1，传送门（金色）；2，传送门（蓝色）"	"传送门名称特效"	"角色功能"	"出生动画（对应ActionGroup）"	"死亡表现（对应ActionGroup）"	"死亡方式0=act1=重力"	"死后消失判断（跟刷新挂钩)"	"寿命"	"ai脚本"	"性格（索引到性格表）尽量不要乱填，去性格表里找对应模板"	"能力（索引到能力表）"	"进战斗说话"	"静物默认触发脚本"	"角色功能头顶图标无功能=0有功能=特效图标名称"	"是否被裁剪//当从屏幕外到屏幕内出现问题时多半是这个需要填成false"	"是否在交互中转向"	"场景层"	"DmaDialogShiftX,Y"	"DmaDialogEulerAngleX,Y"	"剧情中特殊的选中"	"是否修正坐标到地面"	"显示受击伤害的偏移"	"自动战斗ai攻击优先级"	"耐久值"	"破甲buff"	"破甲硬直时间"	"破甲普通掉落"	"点击语音"	"拒绝他人光环"	"脚步act"	"选中脚下光圈大小1-5共5档玩家等大=3boss=4超级大=5小动物=1or2"	"模型变色1=蓝色2=紫色3=金色4-橙色其他数字/留空=不变色"	""	""	""	""	""	""	""	""	
"14037"	"北魏刀剑兵4"	"千秋城精兵"	"0"	"204"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100009"	"1.500000"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10150"	"1"	"0"	"0"	"1"	"100402"	"40000901"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14038"	"战狼4"	"千秋城战狼"	"0"	"205"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100002"	"1.200000"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10040"	"0"	"1"	"0"	"1"	"100402"	"40000201"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14039"	"萧逸明3"	"萧逸明"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70027"	"1"	"240"	"5"	"2"	"0.000000"	""	"0"	""	"3"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1288"	"0"	""	"1"	"0"	"1260"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14040"	"欧阳羽3"	"欧阳羽"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70001"	"1.000000"	"340.000000"	"5.000000"	"3.000000"	"0.000000"	""	"0"	""	"3.000000"	"1"	"0"	"7"	"0.000000"	"0"	"0"	"0"	"0"	"0"	"1289"	"0"	""	"1"	"0"	"1060"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14041"	"千秋城守卫1"	"千秋城守卫"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100017"	"1"	"240"	"5"	"2"	"0.000000"	""	"0"	""	"3"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1290"	"0"	""	"1"	"0"	"100"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14042"	"黑衣人2"	"黑衣人"	"1"	"120"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100003"	"1"	"240"	"5"	"2"	"0.000000"	""	"0"	""	"3"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1320"	"0"	""	"1"	"0"	"100"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14043"	"萧逸明4"	"萧逸明"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70027"	"1"	"240"	"5"	"2"	"0.000000"	""	"0"	""	"3"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1321"	"0"	""	"1"	"0"	"1260"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14044"	"欧阳羽4"	"欧阳羽"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70001"	"1.000000"	"340.000000"	"5.000000"	"3.000000"	"0.000000"	""	"0"	""	"3.000000"	"1"	"0"	"7"	"0.000000"	"0"	"0"	"0"	"0"	"0"	"1322"	"0"	""	"1"	"0"	"1060"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14045"	"百姓3"	"刘有才"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"10007"	"1.000000"	"340.000000"	"5.000000"	"3.000000"	"0.000000"	""	"0"	""	"3.000000"	"1"	"0"	"7"	"0.000000"	"0"	"0"	"0"	"0"	"0"	"1323"	"0"	""	"1"	"0"	"100"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14046"	"百姓4"	"付有德"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"10005"	"1.000000"	"340.000000"	"5.000000"	"3.000000"	"0.000000"	""	"0"	""	"3.000000"	"1"	"0"	"7"	"0.000000"	"0"	"0"	"0"	"0"	"0"	"1324"	"0"	""	"1"	"0"	"100"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14047"	"百姓5"	"金升"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"10009"	"1.000000"	"340.000000"	"5.000000"	"3.000000"	"0.000000"	""	"0"	""	"3.000000"	"1"	"0"	"7"	"0.000000"	"0"	"0"	"0"	"0"	"0"	"1325"	"0"	""	"1"	"0"	"100"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14048"	"千秋城守卫2"	"千秋城守卫"	"0"	"205"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100015"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10220"	"0"	"0"	"0"	"1"	"100402"	"40001400"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14049"	"奸商1"	"千秋城商人"	"0"	"206"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100019"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10300"	"0"	"0"	"0"	"1"	"100402"	"40001900"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14050"	"混混2"	"混混"	"0"	"207"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100011"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10180"	"0"	"0"	"0"	"1"	"100402"	"40001101"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14051"	"北魏士兵5"	"北魏士兵"	"0"	"208"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100008"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10120"	"1"	"0"	"0"	"1"	"100402"	"40000801"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14052"	"北魏刀剑兵5"	"北魏刀剑兵"	"0"	"209"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100009"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10150"	"1"	"0"	"0"	"1"	"100402"	"40000901"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14053"	"北魏骑兵5"	"北魏骑兵"	"0"	"210"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100025"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10340"	"1"	"0"	"0"	"1"	"100402"	"40002201"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14054"	"萧逸明5"	"萧逸明"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70027"	"1"	"240"	"5"	"2"	"0.000000"	""	"0"	""	"3"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1326"	"0"	""	"1"	"0"	"1260"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14055"	"欧阳羽5"	"欧阳羽"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70001"	"1.000000"	"340.000000"	"5.000000"	"3.000000"	"0.000000"	""	"0"	""	"3.000000"	"1"	"0"	"7"	"0.000000"	"0"	"0"	"0"	"0"	"0"	"1327"	"0"	""	"1"	"0"	"1060"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14056"	"官员"	"千秋城官员"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"10010"	"1"	"240"	"5"	"2"	"0.000000"	""	"0"	""	"3"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1328"	"0"	""	"1"	"0"	"100"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14057"	"翻找"	"翻找"	"4"	"1"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"0"	"1"	"1"	"1"	"1"	"1"	"7001"	"1"	"240"	"2"	"2"	"0.000000"	""	"0"	""	"0"	"1"	"0"	"1"	"0"	"101"	"5138"	"1"	"1"	"1"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"2000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	"1"	""	"3"	""	""	""	""	""	""	""	""	""	
"14058"	"打开盒子"	"打开盒子"	"4"	"1"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"0"	"1"	"1"	"1"	"1"	"1"	"7001"	"1"	"240"	"2"	"2"	"0.000000"	""	"0"	""	"0"	"1"	"0"	"1"	"0"	"101"	"5139"	"1"	"1"	"1"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"2000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	"1"	""	"3"	""	""	""	""	""	""	""	""	""	
"14059"	"取出东西"	"取出东西"	"4"	"1"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"0"	"1"	"1"	"1"	"1"	"1"	"7001"	"1"	"240"	"2"	"2"	"0.000000"	""	"0"	""	"0"	"1"	"0"	"1"	"0"	"101"	"5140"	"1"	"1"	"1"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"2000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	"1"	""	"3"	""	""	""	""	""	""	""	""	""	
"14060"	"混混3"	"混混"	"0"	"211"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100011"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10180"	"0"	"0"	"0"	"1"	"100402"	"40001101"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14061"	"奸商2"	"千秋城商人"	"0"	"212"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100019"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10300"	"0"	"0"	"0"	"1"	"100402"	"40001900"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14062"	"巡逻卫1"	"巡逻卫"	"0"	"213"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100015"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10220"	"0"	"0"	"0"	"1"	"100402"	"40001400"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14063"	"布防卫1"	"布防卫"	"0"	"214"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100014"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10210"	"0"	"0"	"0"	"1"	"100402"	"40001300"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14064"	"纨绔公子1"	"纨绔公子"	"0"	"215"	"5"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100004"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10060"	"0"	"1"	"0"	"1"	"100402"	"40000401"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14065"	"纨绔公子1"	"纨绔公子"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"10004"	"1"	"240"	"5"	"2"	"0.000000"	""	"0"	""	"3"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1329"	"0"	""	"1"	"0"	"100"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14066"	"官府侍卫1"	"官府侍卫"	"0"	"216"	"2"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100013"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10200"	"0"	"1"	"0"	"1"	"300001"	"40001201"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14067"	"沉香1"	"沉香"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70010"	"1"	"240"	"5"	"2"	"0.000000"	""	"0"	""	"3"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1330"	"0"	""	"1"	"0"	"100"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14068"	"寻找密道"	"寻找证据"	"4"	"1"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"0"	"1"	"1"	"1"	"1"	"1"	"7001"	"1"	"240"	"2"	"2"	"0.000000"	""	"0"	""	"0"	"1"	"0"	"1"	"0"	"101"	"5141"	"1"	"1"	"1"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"2000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	"1"	""	"3"	""	""	""	""	""	""	""	""	""	
"14069"	"开动机关"	"搜索环境"	"4"	"1"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"0"	"1"	"1"	"1"	"1"	"1"	"7001"	"1"	"240"	"2"	"2"	"0.000000"	""	"0"	""	"0"	"1"	"0"	"1"	"0"	"101"	"5142"	"1"	"1"	"1"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"2000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	"1"	""	"3"	""	""	""	""	""	""	""	""	""	
"14070"	"潜入密道"	"发现异常"	"4"	"1"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"0"	"1"	"1"	"1"	"1"	"1"	"7001"	"1"	"240"	"2"	"2"	"0.000000"	""	"0"	""	"0"	"1"	"0"	"1"	"0"	"101"	"5143"	"1"	"1"	"1"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"2000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	"1"	""	"3"	""	""	""	""	""	""	""	""	""	
"14071"	"机关师1"	"机关师"	"0"	"217"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100003"	"1.000000"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10050"	"1"	"0"	"0"	"1"	"300001"	"40000303"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"0"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14072"	"阵法大师1"	"阵法大师"	"0"	"218"	"3"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100006"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10090"	"1"	"1"	"0"	"1"	"100006"	"40000605"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14073"	"暗道守卫1"	"暗道守卫"	"0"	"219"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100005"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10070"	"0"	"0"	"0"	"1"	"300001"	"40000501"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14074"	"千秋城刺客1"	"千秋城刺客"	"0"	"220"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100003"	"1.000000"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10050"	"1"	"1"	"0"	"1"	"100402"	"40000303"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14075"	"萧逸明7"	"萧逸明"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70027"	"1"	"240"	"5"	"2"	"0.000000"	""	"0"	""	"3"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1331"	"0"	""	"1"	"0"	"1260"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14076"	"欧阳羽7"	"欧阳羽"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70001"	"1.000000"	"340.000000"	"5.000000"	"3.000000"	"0.000000"	""	"0"	""	"3.000000"	"1"	"0"	"7"	"0.000000"	"0"	"0"	"0"	"0"	"0"	"1332"	"0"	""	"1"	"0"	"1060"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14077"	"沉香2"	"沉香"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70010"	"1"	"240"	"5"	"2"	"0.000000"	""	"0"	""	"3"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1333"	"0"	""	"1"	"0"	"100"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14078"	"纨绔公子2"	"纨绔公子"	"1"	"120"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"10004"	"1"	"240"	"5"	"2"	"0.000000"	""	"0"	""	"3"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1334"	"0"	""	"1"	"0"	"100"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
