"id"	"描述"	"效果类型"	"效果索引(程序用,不填)"	"延时"	"目标类型1.选中目标点（选点技能）2.选中目标方向固定距离的点（选点技能）距离3.选中原点处圆形范围内随机一个点（选点技能）范围半径4.选中目标点处圆形范围内随机一个点（选点技能）范围半径5.选择目标方向带方向偏移（子弹类技能）偏移角度6.选择目标方向随机方向偏移（子弹类技能）范围参数1（向左偏移角度一般为正数）范围参数2（向右偏移角度一般为负数）7.选中目标方向固定距离点带方向偏移（选点技能）距离偏移角度8.选中目标方向固定距离点随机方向偏移（选点技能）距离范围参数1范围参数2"	"目标参数1"	"目标参数2"	"目标参数3"	"效果参数1"	"效果参数2"	"效果参数3"	"效果参数1"	"效果参数2"	"效果参数3"	"nn效果参数1"	"nn效果参数2"	"nn效果参数3"	"ff效果参数1"	"ff效果参数2"	"ff效果参数3"	"符咒类型id对应creatureType表格"	"表现"	""	""	
"11001041"	"烟雨逍遥后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"11001041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"11002041"	"烟雨逍遥后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"11002041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"11003041"	"烟雨逍遥后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"11003041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"11100030"	"沧海龙吟"	"CreateCharmOwnedAura"	"0"	"0"	"1"	"0.000000"	"0.000000"	"0.000000"	"11100030"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"11101030"	"沧海龙吟"	"CreateCharmOwnedAura"	"0"	"0"	"1"	"0.000000"	"0.000000"	"0.000000"	"11101030"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"11102030"	"沧海龙吟"	"CreateCharmOwnedAura"	"0"	"0"	"1"	"0.000000"	"0.000000"	"0.000000"	"11102030"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"11103030"	"沧海龙吟"	"CreateCharmOwnedAura"	"0"	"0"	"1"	"0.000000"	"0.000000"	"0.000000"	"11103030"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"11100041"	"烟雨逍遥后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"11100041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"11101041"	"烟雨逍遥后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"11101041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"11102041"	"烟雨逍遥后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"11102041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"11103041"	"烟雨逍遥后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"11103041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"11200000"	"普庵咒后目标减速"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"11200000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"11201000"	"风雷引目标流血DoT"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"11201000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"11201010"	"风雷引目标多一次攻击"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"11201010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"11202000"	"十方天音自身加速"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"11202000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"11202010"	"十方天音目标拉近"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"11202010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"11203000"	"沧海龙吟目标点追加aoe"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"11203000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"11203010"	"沧海龙吟自身四周aoe"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"11203010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"11203020"	"沧海龙吟自身随机点瞬移"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"11203020"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"11204000"	"烟雨逍遥自身增加命中"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"11204000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"12000041"	"天威位移后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"12000041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"12001041"	"天威位移后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"12001041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"12002041"	"天威位移后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"12002041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"12003041"	"天威位移后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"12003041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"12100041"	"天威位移后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"12100041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"12101041"	"天威位移后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"12101041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"12102041"	"天威位移后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"12102041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"12103041"	"天威位移后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"12103041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"12200000"	"连环枪后目标减速"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"12200000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"12201000"	"气动山河后目标破甲"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"12201000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"12201010"	"气动山河后自身增加格挡"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"12201010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"12202000"	"五虎断门最后一击目标流血DoT"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"12202000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"12202010"	"五虎断门最后一击地面地刺攻击"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"12202010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"12203000"	"九龙破空目标拉近"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"12203000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"12203010"	"九龙破空目标眩晕"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"12203010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"12203020"	"九龙破空自身免疫眩晕"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"12203020"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"12204000"	"天影飞梭自身增加穿透"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"12204000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25002000"	"乾坤神佑"	"CreateAura"	"0"	"1500"	"0"	"0.000000"	"0.000000"	"0.000000"	"25002000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25002010"	"乾坤神佑"	"CreateAura"	"0"	"1500"	"0"	"0.000000"	"0.000000"	"0.000000"	"25002010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25002020"	"乾坤神佑"	"CreateAura"	"0"	"1500"	"0"	"0.000000"	"0.000000"	"0.000000"	"25002020"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25002030"	"乾坤神佑"	"CreateAura"	"0"	"1500"	"0"	"0.000000"	"0.000000"	"0.000000"	"25002030"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25002040"	"乾坤神佑"	"CreateAura"	"0"	"1500"	"0"	"0.000000"	"0.000000"	"0.000000"	"25002040"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25002050"	"乾坤神佑"	"CreateAura"	"0"	"1500"	"0"	"0.000000"	"0.000000"	"0.000000"	"25002050"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25002060"	"乾坤神佑"	"CreateAura"	"0"	"1500"	"0"	"0.000000"	"0.000000"	"0.000000"	"25002060"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25002070"	"乾坤神佑"	"CreateAura"	"0"	"1500"	"0"	"0.000000"	"0.000000"	"0.000000"	"25002070"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25002080"	"乾坤神佑"	"CreateAura"	"0"	"1500"	"0"	"0.000000"	"0.000000"	"0.000000"	"25002080"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25002090"	"乾坤神佑"	"CreateAura"	"0"	"1500"	"0"	"0.000000"	"0.000000"	"0.000000"	"25002090"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25003000"	"天命手环"	"CreateAura"	"0"	"800"	"0"	"0.000000"	"0.000000"	"0.000000"	"25003000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25003010"	"天命手环"	"CreateAura"	"0"	"800"	"0"	"0.000000"	"0.000000"	"0.000000"	"25003010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25003020"	"天命手环"	"CreateAura"	"0"	"800"	"0"	"0.000000"	"0.000000"	"0.000000"	"25003020"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25003030"	"天命手环"	"CreateAura"	"0"	"800"	"0"	"0.000000"	"0.000000"	"0.000000"	"25003030"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25003040"	"天命手环"	"CreateAura"	"0"	"800"	"0"	"0.000000"	"0.000000"	"0.000000"	"25003040"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25003050"	"天命手环"	"CreateAura"	"0"	"800"	"0"	"0.000000"	"0.000000"	"0.000000"	"25003050"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25003060"	"天命手环"	"CreateAura"	"0"	"800"	"0"	"0.000000"	"0.000000"	"0.000000"	"25003060"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25003070"	"天命手环"	"CreateAura"	"0"	"800"	"0"	"0.000000"	"0.000000"	"0.000000"	"25003070"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25003080"	"天命手环"	"CreateAura"	"0"	"800"	"0"	"0.000000"	"0.000000"	"0.000000"	"25003080"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25003090"	"天命手环"	"CreateAura"	"0"	"800"	"0"	"0.000000"	"0.000000"	"0.000000"	"25003090"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25008000"	"雷霆万钧"	"CreateAura"	"0"	"1300"	"0"	"0.000000"	"0.000000"	"0.000000"	"25008000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25008010"	"雷霆万钧"	"CreateAura"	"0"	"1300"	"0"	"0.000000"	"0.000000"	"0.000000"	"25008010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25008020"	"雷霆万钧"	"CreateAura"	"0"	"1300"	"0"	"0.000000"	"0.000000"	"0.000000"	"25008020"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25008030"	"雷霆万钧"	"CreateAura"	"0"	"1300"	"0"	"0.000000"	"0.000000"	"0.000000"	"25008030"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25008040"	"雷霆万钧"	"CreateAura"	"0"	"1300"	"0"	"0.000000"	"0.000000"	"0.000000"	"25008040"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25008050"	"雷霆万钧"	"CreateAura"	"0"	"1300"	"0"	"0.000000"	"0.000000"	"0.000000"	"25008050"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25008060"	"雷霆万钧"	"CreateAura"	"0"	"1300"	"0"	"0.000000"	"0.000000"	"0.000000"	"25008060"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25008070"	"雷霆万钧"	"CreateAura"	"0"	"1300"	"0"	"0.000000"	"0.000000"	"0.000000"	"25008070"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25008080"	"雷霆万钧"	"CreateAura"	"0"	"1300"	"0"	"0.000000"	"0.000000"	"0.000000"	"25008080"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25008090"	"雷霆万钧"	"CreateAura"	"0"	"1300"	"0"	"0.000000"	"0.000000"	"0.000000"	"25008090"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25009000"	"天清玉瓶"	"CreateAura"	"0"	"900"	"0"	"0.000000"	"0.000000"	"0.000000"	"25009000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25009010"	"天清玉瓶"	"CreateAura"	"0"	"900"	"0"	"0.000000"	"0.000000"	"0.000000"	"25009010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25009020"	"天清玉瓶"	"CreateAura"	"0"	"900"	"0"	"0.000000"	"0.000000"	"0.000000"	"25009020"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25009030"	"天清玉瓶"	"CreateAura"	"0"	"900"	"0"	"0.000000"	"0.000000"	"0.000000"	"25009030"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25009040"	"天清玉瓶"	"CreateAura"	"0"	"900"	"0"	"0.000000"	"0.000000"	"0.000000"	"25009040"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25009050"	"天清玉瓶"	"CreateAura"	"0"	"900"	"0"	"0.000000"	"0.000000"	"0.000000"	"25009050"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25009060"	"天清玉瓶"	"CreateAura"	"0"	"900"	"0"	"0.000000"	"0.000000"	"0.000000"	"25009060"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25009070"	"天清玉瓶"	"CreateAura"	"0"	"900"	"0"	"0.000000"	"0.000000"	"0.000000"	"25009070"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25009080"	"天清玉瓶"	"CreateAura"	"0"	"900"	"0"	"0.000000"	"0.000000"	"0.000000"	"25009080"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25009090"	"天清玉瓶"	"CreateAura"	"0"	"900"	"0"	"0.000000"	"0.000000"	"0.000000"	"25009090"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25011000"	"遮天钟"	"CreateAura"	"0"	"800"	"0"	"0.000000"	"0.000000"	"0.000000"	"25011000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25011010"	"遮天钟"	"CreateAura"	"0"	"800"	"0"	"0.000000"	"0.000000"	"0.000000"	"25011010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25011020"	"遮天钟"	"CreateAura"	"0"	"800"	"0"	"0.000000"	"0.000000"	"0.000000"	"25011020"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25011030"	"遮天钟"	"CreateAura"	"0"	"800"	"0"	"0.000000"	"0.000000"	"0.000000"	"25011030"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25011040"	"遮天钟"	"CreateAura"	"0"	"800"	"0"	"0.000000"	"0.000000"	"0.000000"	"25011040"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25011050"	"遮天钟"	"CreateAura"	"0"	"800"	"0"	"0.000000"	"0.000000"	"0.000000"	"25011050"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25011060"	"遮天钟"	"CreateAura"	"0"	"800"	"0"	"0.000000"	"0.000000"	"0.000000"	"25011060"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25011070"	"遮天钟"	"CreateAura"	"0"	"800"	"0"	"0.000000"	"0.000000"	"0.000000"	"25011070"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25011080"	"遮天钟"	"CreateAura"	"0"	"800"	"0"	"0.000000"	"0.000000"	"0.000000"	"25011080"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25011090"	"遮天钟"	"CreateAura"	"0"	"800"	"0"	"0.000000"	"0.000000"	"0.000000"	"25011090"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25012000"	"山河图"	"CreateAura"	"0"	"1300"	"0"	"0.000000"	"0.000000"	"0.000000"	"25012000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25012010"	"山河图"	"CreateAura"	"0"	"1300"	"0"	"0.000000"	"0.000000"	"0.000000"	"25012010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25012020"	"山河图"	"CreateAura"	"0"	"1300"	"0"	"0.000000"	"0.000000"	"0.000000"	"25012020"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25012030"	"山河图"	"CreateAura"	"0"	"1300"	"0"	"0.000000"	"0.000000"	"0.000000"	"25012030"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25012040"	"山河图"	"CreateAura"	"0"	"1300"	"0"	"0.000000"	"0.000000"	"0.000000"	"25012040"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25012050"	"山河图"	"CreateAura"	"0"	"1300"	"0"	"0.000000"	"0.000000"	"0.000000"	"25012050"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25012060"	"山河图"	"CreateAura"	"0"	"1300"	"0"	"0.000000"	"0.000000"	"0.000000"	"25012060"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25012070"	"山河图"	"CreateAura"	"0"	"1300"	"0"	"0.000000"	"0.000000"	"0.000000"	"25012070"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25012080"	"山河图"	"CreateAura"	"0"	"1300"	"0"	"0.000000"	"0.000000"	"0.000000"	"25012080"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"25012090"	"山河图"	"CreateAura"	"0"	"1300"	"0"	"0.000000"	"0.000000"	"0.000000"	"25012090"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"26001001"	"混沌葫芦-减CD"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"26001001"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
