"索引ID"	"职业区分（1丐帮，2少林，3全真）"	"索引MeridianNameConfig"	"经脉ID（命名规则为ID最后两位代表经脉所属页数，前面的ID代表该页数所属经脉,例如101代表，第一个经脉第一页）"	"本页经脉点1(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点2(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点3(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点4(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点5(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点6(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点7(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点8(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点9(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点10(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"51"	"3"	"6"	"601"	"212,95200,1,0,18,688,688"	"212,95400,1,0,16,690,690"	"213,95600,1,0,0,13814,13814"	"213,95800,1,0,1,461,461"	"213,96000,1,0,8,693,693"	"213,96200,1,0,1,463,463"	"214,96400,1,0,0,13904,13904"	"214,96600,1,0,2,696,696"	"214,96800,1,0,1,465,465"	"214,97000,1,0,10,699,699"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"52"	"3"	"6"	"602"	"215,99200,1,0,0,13995,13995"	"215,99400,1,0,1,467,467"	"215,99600,1,0,12,702,702"	"215,99800,1,0,14,703,703"	"216,100000,1,0,1,469,469"	"216,100200,1,0,0,14107,14107"	"216,100400,1,0,2,706,706"	"217,100600,1,0,1,472,472"	"217,100900,1,0,0,14175,14175"	"217,101100,1,0,1,473,473"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"53"	"3"	"6"	"603"	"217,103200,1,0,18,711,711"	"218,103500,1,0,16,712,712"	"218,103700,1,0,1,475,475"	"218,103900,1,0,0,14287,14287"	"218,104100,1,0,2,715,715"	"219,104300,1,0,1,478,478"	"219,104500,1,0,8,718,718"	"219,104800,1,0,0,14377,14377"	"220,105000,1,0,1,480,480"	"220,105200,1,0,10,721,721"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"54"	"3"	"6"	"604"	"220,107400,1,0,1,481,481"	"220,107600,1,0,0,14467,14467"	"221,107900,1,0,12,724,724"	"221,108100,1,0,1,484,484"	"221,108300,1,0,2,727,727"	"221,108500,1,0,14,728,728"	"222,108700,1,0,0,14580,14580"	"222,109000,1,0,1,487,487"	"222,109200,1,0,1,487,487"	"223,109400,1,0,0,14647,14647"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"55"	"3"	"6"	"605"	"223,111700,1,0,2,733,733"	"223,111900,1,0,1,490,490"	"223,112100,1,0,18,736,736"	"224,112300,1,0,16,737,737"	"224,112600,1,0,0,14760,14760"	"224,112800,1,0,1,493,493"	"225,113000,1,0,8,740,740"	"225,113300,1,0,1,494,494"	"225,113500,1,0,0,14850,14850"	"225,113700,1,0,2,744,744"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"56"	"3"	"6"	"606"	"226,116000,1,0,1,496,496"	"226,116200,1,0,10,746,746"	"226,116500,1,0,0,14940,14940"	"227,116700,1,0,1,499,499"	"227,116900,1,0,12,749,749"	"227,117200,1,0,14,750,750"	"227,117400,1,0,1,501,501"	"228,117600,1,0,0,15053,15053"	"228,117900,1,0,2,754,754"	"228,118100,1,0,1,503,503"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"57"	"3"	"6"	"607"	"229,120400,1,0,0,15120,15120"	"229,120700,1,0,1,505,505"	"229,120900,1,0,18,758,758"	"229,121100,1,0,16,759,759"	"230,121400,1,0,1,507,507"	"230,121600,1,0,0,15233,15233"	"230,121900,1,0,2,763,763"	"231,122100,1,0,1,509,509"	"231,122300,1,0,8,765,765"	"231,122600,1,0,0,15323,15323"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"58"	"3"	"6"	"608"	"231,125000,1,0,1,512,512"	"232,125200,1,0,10,768,768"	"232,125400,1,0,1,513,513"	"232,125700,1,0,0,15413,15413"	"233,125900,1,0,12,772,772"	"233,126200,1,0,1,515,515"	"233,126400,1,0,2,774,774"	"234,126600,1,0,14,775,775"	"234,126900,1,0,0,15525,15525"	"234,127100,1,0,1,518,518"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"59"	"3"	"6"	"609"	"234,129600,1,0,1,519,519"	"235,129800,1,0,0,15593,15593"	"235,130100,1,0,2,781,781"	"235,130300,1,0,1,521,521"	"236,130500,1,0,18,783,783"	"236,130800,1,0,16,784,784"	"236,131000,1,0,0,15705,15705"	"237,131300,1,0,1,524,524"	"237,131500,1,0,8,788,788"	"237,131800,1,0,1,526,526"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"60"	"3"	"6"	"610"	"237,134300,1,0,0,15795,15795"	"238,134500,1,0,2,791,791"	"238,134800,1,0,1,528,528"	"238,135000,1,0,10,793,793"	"239,135300,1,0,0,15885,15885"	"239,135500,1,0,1,530,530"	"239,135800,1,0,12,797,797"	"240,136000,1,0,14,798,798"	"240,136300,1,0,1,533,533"	"240,136500,1,0,0,15998,15998"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"61"	"3"	"7"	"701"	"240,139000,1,0,2,801,801"	"241,139300,1,0,1,535,535"	"241,139500,1,0,0,16066,16066"	"241,139800,1,0,1,536,536"	"242,140100,1,0,18,806,806"	"242,140300,1,0,16,807,807"	"242,140600,1,0,1,539,539"	"243,140800,1,0,0,16178,16178"	"243,141100,1,0,2,810,810"	"243,141300,1,0,1,541,541"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"62"	"3"	"7"	"702"	"244,143900,1,0,8,812,812"	"244,144200,1,0,0,16268,16268"	"244,144400,1,0,1,543,543"	"244,144700,1,0,10,816,816"	"245,144900,1,0,1,545,545"	"245,145200,1,0,0,16358,16358"	"245,145500,1,0,12,819,819"	"246,145700,1,0,1,547,547"	"246,146000,1,0,2,821,821"	"246,146200,1,0,14,822,822"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"63"	"3"	"7"	"703"	"247,148900,1,0,0,16471,16471"	"247,149100,1,0,1,550,550"	"247,149400,1,0,1,551,551"	"248,149600,1,0,0,16538,16538"	"248,149900,1,0,2,828,828"	"248,150200,1,0,1,553,553"	"249,150400,1,0,18,830,830"	"249,150700,1,0,16,831,831"	"249,151000,1,0,0,16651,16651"	"249,151200,1,0,1,556,556"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"64"	"3"	"7"	"704"	"250,153900,1,0,8,835,835"	"250,154200,1,0,1,557,557"	"250,154400,1,0,0,16741,16741"	"250,154700,1,0,2,838,838"	"251,155000,1,0,1,560,560"	"251,155200,1,0,10,840,840"	"251,155500,1,0,0,16831,16831"	"251,155800,1,0,1,562,562"	"252,156000,1,0,12,844,844"	"252,156300,1,0,14,845,845"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"65"	"3"	"7"	"705"	"252,159000,1,0,1,564,564"	"253,159300,1,0,0,16944,16944"	"253,159600,1,0,2,848,848"	"253,159900,1,0,1,566,566"	"253,160100,1,0,0,17011,17011"	"254,160400,1,0,1,568,568"	"254,160700,1,0,18,853,853"	"254,160900,1,0,16,854,854"	"254,161200,1,0,1,570,570"	"255,161500,1,0,0,17124,17124"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"66"	"3"	"7"	"706"	"255,164300,1,0,2,857,857"	"255,164500,1,0,1,572,572"	"256,164800,1,0,8,860,860"	"256,165100,1,0,0,17214,17214"	"256,165400,1,0,1,575,575"	"256,165600,1,0,10,863,863"	"257,165900,1,0,1,576,576"	"257,166200,1,0,0,17304,17304"	"257,166500,1,0,12,866,866"	"257,166800,1,0,2,867,867"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"67"	"3"	"7"	"707"	"258,169600,1,0,1,579,579"	"258,169800,1,0,14,870,870"	"258,170100,1,0,0,17416,17416"	"259,170400,1,0,1,581,581"	"259,170700,1,0,1,582,582"	"259,171000,1,0,0,17484,17484"	"259,171300,1,0,2,875,875"	"260,171500,1,0,18,876,876"	"260,171800,1,0,1,585,585"	"260,172100,1,0,16,879,879"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"68"	"3"	"7"	"708"	"260,175000,1,0,0,17596,17596"	"261,175200,1,0,1,587,587"	"261,175500,1,0,8,882,882"	"261,175800,1,0,1,589,589"	"262,176100,1,0,0,17686,17686"	"262,176400,1,0,2,885,885"	"262,176700,1,0,1,591,591"	"262,177000,1,0,10,888,888"	"263,177300,1,0,0,17776,17776"	"263,177500,1,0,1,593,593"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"69"	"3"	"7"	"709"	"263,180400,1,0,12,891,891"	"264,180700,1,0,14,892,892"	"264,181000,1,0,1,596,596"	"264,181300,1,0,0,17889,17889"	"264,181600,1,0,2,896,896"	"265,181900,1,0,1,598,598"	"265,182200,1,0,0,17957,17957"	"265,182500,1,0,1,599,599"	"266,182800,1,0,18,900,900"	"266,183100,1,0,16,901,901"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"70"	"3"	"7"	"710"	"266,186000,1,0,1,602,602"	"266,186300,1,0,0,18069,18069"	"267,186600,1,0,2,905,905"	"267,186900,1,0,1,604,604"	"267,187200,1,0,8,907,907"	"268,187500,1,0,0,18159,18159"	"268,187800,1,0,1,606,606"	"268,188100,1,0,10,910,910"	"268,188400,1,0,1,608,608"	"269,188700,1,0,0,18249,18249"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"71"	"3"	"8"	"801"	"269,191700,1,0,12,914,914"	"269,192000,1,0,2,915,915"	"270,192300,1,0,1,611,611"	"270,192600,1,0,14,917,917"	"270,192900,1,0,0,18362,18362"	"270,193200,1,0,1,613,613"	"271,193500,1,0,1,614,614"	"271,193800,1,0,0,18429,18429"	"271,194100,1,0,2,923,923"	"272,194400,1,0,18,924,924"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"72"	"3"	"8"	"802"	"272,197400,1,0,1,617,617"	"272,197700,1,0,16,926,926"	"273,198000,1,0,0,18542,18542"	"273,198300,1,0,1,619,619"	"273,198700,1,0,8,929,929"	"273,199000,1,0,1,620,620"	"274,199300,1,0,0,18632,18632"	"274,199600,1,0,2,933,933"	"274,199900,1,0,1,623,623"	"275,200200,1,0,10,935,935"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"73"	"3"	"8"	"803"	"275,203300,1,0,0,18722,18722"	"275,203600,1,0,1,625,625"	"275,203900,1,0,12,938,938"	"276,204200,1,0,14,939,939"	"276,204500,1,0,1,627,627"	"276,204800,1,0,0,18834,18834"	"277,205100,1,0,2,943,943"	"277,205400,1,0,1,629,629"	"277,205800,1,0,0,18902,18902"	"278,206100,1,0,1,631,631"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"74"	"3"	"8"	"804"	"278,209200,1,0,18,947,947"	"278,209500,1,0,16,948,948"	"278,209800,1,0,1,633,633"	"279,210100,1,0,0,19015,19015"	"279,210500,1,0,2,952,952"	"279,210800,1,0,1,635,635"	"280,211100,1,0,8,954,954"	"280,211400,1,0,0,19105,19105"	"280,211700,1,0,1,638,638"	"281,212000,1,0,10,957,957"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"75"	"3"	"8"	"805"	"281,215200,1,0,1,639,639"	"281,215500,1,0,0,19195,19195"	"282,215900,1,0,12,961,961"	"282,216200,1,0,2,962,962"	"282,216500,1,0,1,642,642"	"282,216800,1,0,14,964,964"	"283,217100,1,0,0,19307,19307"	"283,217500,1,0,1,644,644"	"283,217800,1,0,1,645,645"	"284,218100,1,0,0,19375,19375"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"76"	"3"	"8"	"806"	"284,221300,1,0,2,970,970"	"284,221700,1,0,18,971,971"	"285,222000,1,0,1,648,648"	"285,222300,1,0,16,973,973"	"285,222600,1,0,0,19487,19487"	"286,223000,1,0,1,650,650"	"286,223300,1,0,8,977,977"	"286,223600,1,0,1,652,652"	"286,223900,1,0,0,19577,19577"	"287,224300,1,0,2,980,980"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"77"	"3"	"8"	"807"	"287,227500,1,0,1,654,654"	"287,227900,1,0,10,982,982"	"288,228200,1,0,0,19667,19667"	"288,228500,1,0,1,656,656"	"288,228800,1,0,12,986,986"	"289,229200,1,0,14,987,987"	"289,229500,1,0,1,659,659"	"289,229800,1,0,0,19780,19780"	"290,230200,1,0,2,990,990"	"290,230500,1,0,1,661,661"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"78"	"3"	"8"	"808"	"290,233800,1,0,0,19847,19847"	"291,234200,1,0,1,662,662"	"291,234500,1,0,18,995,995"	"291,234800,1,0,16,996,996"	"291,235200,1,0,1,665,665"	"292,235500,1,0,0,19960,19960"	"292,235800,1,0,2,999,999"	"292,236200,1,0,1,667,667"	"293,236500,1,0,8,1001,1001"	"293,236800,1,0,0,20050,20050"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"79"	"3"	"8"	"809"	"293,240200,1,0,1,669,669"	"294,240500,1,0,10,1005,1005"	"294,240900,1,0,1,671,671"	"294,241200,1,0,0,20140,20140"	"295,241600,1,0,12,1008,1008"	"295,241900,1,0,2,1009,1009"	"295,242200,1,0,1,674,674"	"296,242600,1,0,14,1012,1012"	"296,242900,1,0,0,20253,20253"	"296,243200,1,0,1,676,676"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80"	"3"	"8"	"810"	"297,246700,1,0,1,677,677"	"297,247000,1,0,0,20320,20320"	"297,247400,1,0,2,1017,1017"	"298,247700,1,0,18,1018,1018"	"298,248000,1,0,1,680,680"	"298,248400,1,0,16,1021,1021"	"299,248700,1,0,0,20433,20433"	"299,249100,1,0,1,682,682"	"299,249400,1,0,8,1024,1024"	"300,249800,1,0,1,683,683"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"81"	"2"	"1"	"101"	"1,100,1,0,1,50,50"	"1,100,1,0,0,1508,1508"	"1,100,1,0,2,76,76"	"2,200,1,0,1,50,50"	"2,200,1,0,8,76,76"	"3,300,1,0,0,1518,1518"	"4,300,1,0,1,51,51"	"4,400,1,0,10,76,76"	"5,400,1,0,12,76,76"	"6,500,1,0,1,51,51"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"82"	"2"	"1"	"102"	"6,600,1,0,0,1531,1531"	"7,600,1,0,14,77,77"	"7,700,1,0,1,51,51"	"8,700,1,0,2,77,77"	"9,800,1,0,18,77,77"	"9,800,1,0,0,1543,1543"	"10,900,1,0,1,52,52"	"10,1000,1,0,16,77,77"	"11,1000,1,0,1,52,52"	"12,1100,1,0,0,1553,1553"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"83"	"2"	"1"	"103"	"12,1100,1,0,1,52,52"	"13,1200,1,0,2,78,78"	"13,1300,1,0,0,1561,1561"	"14,1300,1,0,1,52,52"	"15,1400,1,0,8,78,78"	"15,1400,1,0,1,52,52"	"16,1500,1,0,0,1571,1571"	"17,1600,1,0,10,79,79"	"17,1600,1,0,2,79,79"	"18,1700,1,0,1,53,53"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"84"	"2"	"1"	"104"	"18,1700,1,0,12,79,79"	"19,1800,1,0,0,1583,1583"	"20,1900,1,0,1,53,53"	"20,1900,1,0,14,79,79"	"21,2000,1,0,18,80,80"	"22,2100,1,0,1,53,53"	"22,2100,1,0,0,1596,1596"	"23,2200,1,0,16,80,80"	"24,2300,1,0,1,53,53"	"24,2300,1,0,2,80,80"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85"	"2"	"1"	"105"	"25,2400,1,0,0,1606,1606"	"25,2400,1,0,1,54,54"	"26,2500,1,0,1,54,54"	"27,2600,1,0,0,1613,1613"	"27,2600,1,0,2,81,81"	"28,2700,1,0,1,54,54"	"29,2800,1,0,8,81,81"	"29,2800,1,0,0,1623,1623"	"30,2900,1,0,1,54,54"	"31,3000,1,0,10,81,81"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86"	"2"	"1"	"106"	"31,3000,1,0,12,82,82"	"32,3100,1,0,1,54,54"	"33,3200,1,0,0,1636,1636"	"33,3200,1,0,14,82,82"	"34,3300,1,0,1,55,55"	"34,3400,1,0,2,82,82"	"35,3400,1,0,18,123,123"	"36,3500,1,0,1,83,83"	"37,3500,1,0,0,2481,2481"	"38,3600,1,0,16,124,124"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"87"	"2"	"1"	"107"	"39,3700,1,0,1,83,83"	"40,3700,1,0,0,2498,2498"	"41,3800,1,0,2,125,125"	"42,3900,1,0,1,84,84"	"43,3900,1,0,0,2515,2515"	"44,4000,1,0,1,84,84"	"45,4100,1,0,8,126,126"	"46,4100,1,0,10,127,127"	"47,4200,1,0,1,85,85"	"48,4300,1,0,0,2543,2543"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"88"	"2"	"1"	"108"	"49,4300,1,0,2,127,127"	"50,4400,1,0,1,85,85"	"51,4500,1,0,12,128,128"	"52,4600,1,0,14,128,128"	"53,4600,1,0,1,86,86"	"55,4700,1,0,0,2577,2577"	"56,4800,1,0,1,86,86"	"57,4800,1,0,18,129,129"	"58,4900,1,0,0,2593,2593"	"59,5000,1,0,2,130,130"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"89"	"2"	"1"	"109"	"60,5000,1,0,1,87,87"	"60,5100,1,0,16,131,131"	"61,5200,1,0,0,2616,2616"	"61,5200,1,0,1,87,87"	"62,5300,1,0,1,88,88"	"62,5400,1,0,0,2633,2633"	"63,5400,1,0,2,132,132"	"64,5500,1,0,1,88,88"	"64,5600,1,0,8,132,132"	"65,5600,1,0,10,133,133"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"90"	"2"	"1"	"110"	"65,5700,1,0,0,2661,2661"	"66,5800,1,0,1,89,89"	"66,5900,1,0,12,134,134"	"67,5900,1,0,14,134,134"	"68,6000,1,0,1,89,89"	"68,6100,1,0,0,2689,2689"	"69,6100,1,0,2,135,135"	"69,6200,1,0,1,90,90"	"70,6300,1,0,18,135,135"	"71,6300,1,0,0,2712,2712"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"91"	"2"	"2"	"201"	"71,6400,1,0,1,91,91"	"72,6500,1,0,16,136,136"	"72,6500,1,0,1,91,91"	"73,6600,1,0,0,2734,2734"	"73,6700,1,0,2,137,137"	"74,6800,1,0,1,92,92"	"75,6800,1,0,0,2751,2751"	"75,6900,1,0,1,92,92"	"76,7000,1,0,8,138,138"	"76,7000,1,0,10,138,138"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"92"	"2"	"2"	"202"	"77,7100,1,0,1,92,92"	"78,7200,1,0,0,2779,2779"	"78,7300,1,0,2,139,139"	"79,7300,1,0,1,93,93"	"79,7400,1,0,12,140,140"	"80,7500,1,0,14,140,140"	"80,7500,1,0,1,94,94"	"81,7600,1,0,0,2813,2813"	"81,7700,1,0,1,94,94"	"82,7700,1,0,18,141,141"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"93"	"2"	"2"	"203"	"82,7800,1,0,0,2830,2830"	"83,7900,1,0,2,142,142"	"83,8000,1,0,1,95,95"	"84,8000,1,0,16,142,142"	"84,8100,1,0,0,2852,2852"	"85,8200,1,0,1,95,95"	"85,8200,1,0,1,95,95"	"86,8300,1,0,0,2869,2869"	"86,8400,1,0,2,144,144"	"87,8500,1,0,1,96,96"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"94"	"2"	"2"	"204"	"87,8500,1,0,8,144,144"	"88,8600,1,0,10,145,145"	"88,8700,1,0,0,2897,2897"	"89,8700,1,0,1,97,97"	"89,8800,1,0,12,145,145"	"90,8900,1,0,14,146,146"	"90,9000,1,0,1,97,97"	"91,9000,1,0,0,2926,2926"	"91,9100,1,0,2,147,147"	"91,9200,1,0,1,98,98"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"95"	"2"	"2"	"205"	"92,9300,1,0,18,147,147"	"92,9300,1,0,0,2948,2948"	"93,9400,1,0,1,98,98"	"93,9500,1,0,16,148,148"	"94,9500,1,0,1,99,99"	"94,9600,1,0,0,2971,2971"	"95,9700,1,0,2,149,149"	"95,9800,1,0,1,99,99"	"95,9800,1,0,0,2987,2987"	"96,9900,1,0,1,100,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"96"	"2"	"2"	"206"	"96,10000,1,0,8,150,150"	"97,10000,1,0,10,150,150"	"97,10100,1,0,1,100,100"	"98,10200,1,0,0,3016,3016"	"98,10300,1,0,2,151,151"	"98,10300,1,0,1,101,101"	"99,10400,1,0,12,152,152"	"99,10500,1,0,14,152,152"	"100,10600,1,0,1,101,101"	"100,10600,1,0,0,3049,3049"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"97"	"2"	"2"	"207"	"101,10700,1,0,1,204,204"	"102,10800,1,0,0,6138,6138"	"102,10900,1,0,2,308,308"	"103,10900,1,0,1,206,206"	"104,11000,1,0,18,310,310"	"105,11100,1,0,16,311,311"	"105,11100,1,0,0,6251,6251"	"106,11200,1,0,1,209,209"	"107,11300,1,0,8,315,315"	"107,11400,1,0,1,211,211"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"98"	"2"	"2"	"208"	"108,11400,1,0,0,6341,6341"	"109,11500,1,0,2,318,318"	"109,11600,1,0,1,213,213"	"110,11700,1,0,10,320,320"	"111,11700,1,0,12,322,322"	"111,11800,1,0,0,6453,6453"	"112,11900,1,0,1,216,216"	"113,12000,1,0,14,325,325"	"113,12000,1,0,1,217,217"	"114,12100,1,0,0,6543,6543"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"99"	"2"	"2"	"209"	"114,12200,1,0,2,328,328"	"115,12300,1,0,1,220,220"	"116,12300,1,0,0,6611,6611"	"116,12400,1,0,1,221,221"	"117,12500,1,0,18,333,333"	"117,12500,1,0,16,334,334"	"118,12600,1,0,1,223,223"	"119,12700,1,0,0,6723,6723"	"119,12800,1,0,2,337,337"	"120,12800,1,0,1,226,226"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100"	"2"	"2"	"210"	"120,12900,1,0,8,340,340"	"121,13000,1,0,0,6813,6813"	"121,13100,1,0,1,228,228"	"122,13100,1,0,10,343,343"	"122,13200,1,0,1,229,229"	"123,13300,1,0,0,6903,6903"	"124,13400,1,0,12,346,346"	"124,13400,1,0,14,347,347"	"125,13500,1,0,1,232,232"	"125,13600,1,0,2,350,350"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"101"	"2"	"3"	"301"	"126,14300,1,0,0,7016,7016"	"126,14400,1,0,1,235,235"	"127,14500,1,0,1,235,235"	"127,14600,1,0,0,7084,7084"	"128,14700,1,0,2,355,355"	"129,14700,1,0,1,238,238"	"129,14800,1,0,18,358,358"	"130,14900,1,0,16,359,359"	"130,15000,1,0,0,7196,7196"	"130,15100,1,0,1,241,241"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"102"	"2"	"3"	"302"	"131,15900,1,0,8,362,362"	"131,15900,1,0,1,242,242"	"132,16000,1,0,0,7286,7286"	"132,16100,1,0,2,365,365"	"133,16200,1,0,1,244,244"	"133,16300,1,0,10,368,368"	"134,16400,1,0,0,7376,7376"	"134,16400,1,0,1,247,247"	"134,16500,1,0,12,371,371"	"135,16600,1,0,14,372,372"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"103"	"2"	"3"	"303"	"135,17400,1,0,1,249,249"	"136,17500,1,0,0,7489,7489"	"136,17600,1,0,2,376,376"	"137,17700,1,0,1,251,251"	"137,17800,1,0,0,7556,7556"	"138,17900,1,0,1,253,253"	"138,18000,1,0,18,380,380"	"138,18100,1,0,16,381,381"	"139,18100,1,0,1,255,255"	"139,18200,1,0,0,7669,7669"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"104"	"2"	"3"	"304"	"140,19100,1,0,2,385,385"	"140,19200,1,0,1,257,257"	"141,19300,1,0,8,387,387"	"141,19400,1,0,0,7759,7759"	"141,19500,1,0,1,259,259"	"142,19600,1,0,10,390,390"	"142,19700,1,0,1,261,261"	"142,19700,1,0,0,7849,7849"	"143,19800,1,0,12,394,394"	"143,19900,1,0,14,395,395"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"105"	"2"	"3"	"305"	"143,20900,1,0,1,264,264"	"144,20900,1,0,2,397,397"	"144,21000,1,0,0,7961,7961"	"145,21100,1,0,1,266,266"	"145,21200,1,0,1,267,267"	"145,21300,1,0,0,8029,8029"	"146,21400,1,0,2,403,403"	"146,21500,1,0,1,269,269"	"147,21600,1,0,18,405,405"	"147,21700,1,0,16,406,406"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"106"	"2"	"3"	"306"	"147,22700,1,0,0,8142,8142"	"148,22800,1,0,1,272,272"	"148,22900,1,0,8,409,409"	"148,23000,1,0,1,274,274"	"149,23100,1,0,0,8232,8232"	"149,23200,1,0,2,413,413"	"150,23300,1,0,1,276,276"	"150,23400,1,0,10,415,415"	"150,23500,1,0,0,8322,8322"	"151,23600,1,0,1,278,278"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"107"	"2"	"3"	"307"	"151,24600,1,0,12,418,418"	"151,24700,1,0,14,419,419"	"151,24800,1,0,1,280,280"	"152,24900,1,0,0,8434,8434"	"152,25000,1,0,2,423,423"	"152,25100,1,0,1,283,283"	"153,25200,1,0,0,8502,8502"	"153,25300,1,0,1,284,284"	"153,25400,1,0,18,427,427"	"154,25500,1,0,16,428,428"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"108"	"2"	"3"	"308"	"154,26600,1,0,1,286,286"	"154,26700,1,0,0,8614,8614"	"155,26800,1,0,2,432,432"	"155,26900,1,0,1,289,289"	"155,27000,1,0,8,434,434"	"156,27100,1,0,0,8704,8704"	"156,27200,1,0,1,291,291"	"156,27300,1,0,10,437,437"	"157,27400,1,0,1,292,292"	"157,27500,1,0,0,8794,8794"	""	""	""	""	""	""	""	""	""	""	""	""	""	
